Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,"DEM Lawrence Allen, Jr.",Totals
"Member, State Board of Education, District 4",0007,495,124,619,1058,58.51%,15,591,606
"Member, State Board of Education, District 4",0009,472,382,854,1736,49.19%,208,588,796
"Member, State Board of Education, District 4",0010,499,245,744,1722,43.21%,207,475,682
"Member, State Board of Education, District 4",0011,418,335,753,1830,41.15%,158,550,708
"Member, State Board of Education, District 4",0016,457,175,632,947,66.74%,295,285,580
"Member, State Board of Education, District 4",0017,346,326,672,1105,60.81%,273,355,628
"Member, State Board of Education, District 4",0019,423,261,684,995,68.74%,249,383,632
"Member, State Board of Education, District 4",0020,678,470,1148,3074,37.35%,331,739,1070
"Member, State Board of Education, District 4",0021,419,230,649,1013,64.07%,144,470,614
"Member, State Board of Education, District 4",0022,888,554,1442,2524,57.13%,211,1166,1377
"Member, State Board of Education, District 4",0023,99,65,164,512,32.03%,40,118,158
"Member, State Board of Education, District 4",0024,225,121,346,611,56.63%,35,291,326
"Member, State Board of Education, District 4",0025,244,304,548,1062,51.60%,20,506,526
"Member, State Board of Education, District 4",0026,463,486,949,1843,51.49%,306,590,896
"Member, State Board of Education, District 4",0027,821,695,1516,3005,50.45%,428,999,1427
"Member, State Board of Education, District 4",0029,418,577,995,2659,37.42%,341,601,942
"Member, State Board of Education, District 4",0030,798,588,1386,2034,68.14%,360,962,1322
"Member, State Board of Education, District 4",0031,913,526,1439,2518,57.15%,26,1381,1407
"Member, State Board of Education, District 4",0035,4,0,4,12,33.33%,1,3,4
"Member, State Board of Education, District 4",0036,993,479,1472,2868,51.32%,388,1003,1391
"Member, State Board of Education, District 4",0042,505,139,644,1121,57.45%,14,603,617
"Member, State Board of Education, District 4",0045,2434,1138,3572,6031,59.23%,610,2830,3440
"Member, State Board of Education, District 4",0047,535,345,880,1624,54.19%,24,836,860
"Member, State Board of Education, District 4",0048,371,193,564,992,56.85%,50,490,540
"Member, State Board of Education, District 4",0061,435,528,963,2250,42.80%,252,659,911
"Member, State Board of Education, District 4",0062,419,528,947,2190,43.24%,245,623,868
"Member, State Board of Education, District 4",0064,410,420,830,2090,39.71%,214,576,790
"Member, State Board of Education, District 4",0065,404,532,936,2178,42.98%,241,641,882
"Member, State Board of Education, District 4",0066,172,279,451,1090,41.38%,83,332,415
"Member, State Board of Education, District 4",0067,664,574,1238,2742,45.15%,310,831,1141
"Member, State Board of Education, District 4",0068,1198,486,1684,2782,60.53%,31,1595,1626
"Member, State Board of Education, District 4",0069,218,284,502,1303,38.53%,99,351,450
"Member, State Board of Education, District 4",0072,441,562,1003,1882,53.29%,330,599,929
"Member, State Board of Education, District 4",0073,499,496,995,1494,66.60%,565,364,929
