Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM Traci Jensen,LIB Gene Clark,GRN G C Molison,Totals
"Member, State Board of Education, District 6",0001,806,516,1322,2155,61.35%,400,760,55,32,1247
"Member, State Board of Education, District 6",0002,753,407,1160,1890,61.38%,500,516,59,20,1095
"Member, State Board of Education, District 6",0003,660,474,1134,1519,74.65%,390,580,71,22,1063
"Member, State Board of Education, District 6",0004,676,534,1210,1652,73.24%,395,665,63,22,1145
"Member, State Board of Education, District 6",0005,472,518,990,1376,71.95%,349,514,40,22,925
"Member, State Board of Education, District 6",0008,661,430,1091,1706,63.95%,493,474,50,15,1032
"Member, State Board of Education, District 6",0014,758,606,1364,1848,73.81%,664,573,30,22,1289
"Member, State Board of Education, District 6",0015,1144,1016,2160,2806,76.98%,1139,785,58,22,2004
"Member, State Board of Education, District 6",0018,550,483,1033,1396,74.00%,449,479,35,15,978
"Member, State Board of Education, District 6",0032,796,556,1352,2171,62.28%,578,582,91,16,1267
"Member, State Board of Education, District 6",0033,1479,843,2322,3540,65.59%,818,1195,113,48,2174
"Member, State Board of Education, District 6",0034,1012,749,1761,2676,65.81%,424,1116,93,47,1680
"Member, State Board of Education, District 6",0037,801,479,1280,1885,67.90%,380,744,49,30,1203
"Member, State Board of Education, District 6",0038,1241,673,1914,2703,70.81%,614,1040,76,47,1777
"Member, State Board of Education, District 6",0039,1063,723,1786,2726,65.52%,440,1137,63,41,1681
"Member, State Board of Education, District 6",0040,239,135,374,524,71.37%,161,166,14,3,344
"Member, State Board of Education, District 6",0043,520,372,892,1644,54.26%,392,395,33,17,837
"Member, State Board of Education, District 6",0044,492,314,806,1976,40.79%,140,559,26,19,744
"Member, State Board of Education, District 6",0046,538,433,971,2468,39.34%,144,740,20,17,921
"Member, State Board of Education, District 6",0050,1901,1110,3011,4762,63.23%,1451,1360,76,24,2911
"Member, State Board of Education, District 6",0052,970,620,1590,2299,69.16%,729,668,77,19,1493
"Member, State Board of Education, District 6",0053,1102,884,1986,2808,70.73%,762,960,95,39,1856
"Member, State Board of Education, District 6",0054,606,402,1008,1408,71.59%,460,425,49,9,943
"Member, State Board of Education, District 6",0055,441,394,835,1305,63.98%,298,418,46,13,775
"Member, State Board of Education, District 6",0056,548,307,855,1285,66.54%,498,266,38,7,809
"Member, State Board of Education, District 6",0057,1273,956,2229,3062,72.80%,824,1144,90,48,2106
"Member, State Board of Education, District 6",0058,881,747,1628,2521,64.58%,618,814,66,29,1527
"Member, State Board of Education, District 6",0059,914,751,1665,2283,72.93%,601,855,56,40,1552
"Member, State Board of Education, District 6",0060,839,664,1503,2263,66.42%,386,922,64,41,1413
"Member, State Board of Education, District 6",0070,1633,726,2359,3142,75.08%,1293,826,68,21,2208
"Member, State Board of Education, District 6",0071,1419,948,2367,3662,64.64%,1095,995,121,21,2232
"Member, State Board of Education, District 6",0074,2212,530,2742,3632,75.50%,1988,518,58,20,2584
"Member, State Board of Education, District 6",0075,481,370,851,1329,64.03%,298,447,30,18,793
"Member, State Board of Education, District 6",0082,1353,816,2169,3284,66.05%,1525,487,55,22,2089
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM Traci Jensen,LIB Gene Clark,GRN G C Molison,Totals
"Member, State Board of Education, District 6",0086,1054,689,1743,2637,66.10%,720,827,68,15,1630
"Member, State Board of Education, District 6",0087,1222,851,2083,2749,75.77%,1173,674,55,14,1916
"Member, State Board of Education, District 6",0089,342,454,796,1104,72.10%,392,304,28,8,732
"Member, State Board of Education, District 6",0095,1684,671,2355,3179,74.08%,1485,662,70,15,2232
"Member, State Board of Education, District 6",0096,364,237,601,1241,48.43%,50,519,8,3,580
"Member, State Board of Education, District 6",0111,1868,848,2716,3638,74.66%,1888,594,72,28,2582
"Member, State Board of Education, District 6",0112,1262,668,1930,2894,66.69%,1266,505,77,16,1864
"Member, State Board of Education, District 6",0113,1125,590,1715,2537,67.60%,910,685,42,14,1651
"Member, State Board of Education, District 6",0114,1454,546,2000,2650,75.47%,1494,383,49,13,1939
"Member, State Board of Education, District 6",0116,1626,747,2373,3014,78.73%,1710,502,44,6,2262
"Member, State Board of Education, District 6",0117,398,462,860,1878,45.79%,330,452,20,15,817
"Member, State Board of Education, District 6",0118,460,148,608,743,81.83%,459,111,12,1,583
"Member, State Board of Education, District 6",0120,1197,632,1829,2986,61.25%,1033,643,40,13,1729
"Member, State Board of Education, District 6",0123,440,350,790,1356,58.26%,200,494,28,22,744
"Member, State Board of Education, District 6",0124,3522,1281,4803,5952,80.70%,3637,867,95,30,4629
"Member, State Board of Education, District 6",0125,896,534,1430,2281,62.69%,776,547,52,11,1386
"Member, State Board of Education, District 6",0126,1630,407,2037,2799,72.78%,1676,231,45,10,1962
"Member, State Board of Education, District 6",0127,854,182,1036,1703,60.83%,678,280,26,9,993
"Member, State Board of Education, District 6",0128,936,736,1672,2257,74.08%,936,535,31,18,1520
"Member, State Board of Education, District 6",0129,2294,1449,3743,5495,68.12%,2129,1259,103,48,3539
"Member, State Board of Education, District 6",0130,1201,523,1724,2240,76.96%,1201,392,29,14,1636
"Member, State Board of Education, District 6",0133,1083,940,2023,2605,77.66%,1075,696,73,27,1871
"Member, State Board of Education, District 6",0135,1424,634,2058,2750,74.84%,1185,647,62,18,1912
"Member, State Board of Education, District 6",0137,305,193,498,740,67.30%,216,218,14,10,458
"Member, State Board of Education, District 6",0139,1290,747,2037,2746,74.18%,882,883,84,31,1880
"Member, State Board of Education, District 6",0148,908,924,1832,2467,74.26%,663,971,41,29,1704
"Member, State Board of Education, District 6",0155,1957,834,2791,4087,68.29%,1782,829,46,16,2673
"Member, State Board of Education, District 6",0165,918,557,1475,2284,64.58%,871,475,40,18,1404
"Member, State Board of Education, District 6",0166,281,311,592,1016,58.27%,173,345,28,18,564
"Member, State Board of Education, District 6",0173,1798,619,2417,3105,77.84%,1766,489,59,15,2329
