Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barbara Cargill,DEM Dexter Smith,Totals
"Member, State Board of Education, District 8",0006,1251,929,2180,3616,60.29%,1198,881,2079
"Member, State Board of Education, District 8",0012,227,133,360,716,50.28%,186,162,348
"Member, State Board of Education, District 8",0013,1140,443,1583,2823,56.08%,1056,452,1508
"Member, State Board of Education, District 8",0028,1446,465,1911,2782,68.69%,1108,707,1815
"Member, State Board of Education, District 8",0041,560,284,844,1197,70.51%,370,449,819
"Member, State Board of Education, District 8",0049,1228,669,1897,3144,60.34%,1314,513,1827
"Member, State Board of Education, District 8",0051,658,349,1007,1568,64.22%,714,248,962
"Member, State Board of Education, District 8",0063,674,400,1074,1784,60.20%,841,180,1021
"Member, State Board of Education, District 8",0076,814,569,1383,2328,59.41%,757,545,1302
"Member, State Board of Education, District 8",0084,444,346,790,1389,56.88%,555,207,762
"Member, State Board of Education, District 8",0088,235,162,397,678,58.55%,250,132,382
"Member, State Board of Education, District 8",0090,1498,958,2456,3571,68.78%,1781,546,2327
"Member, State Board of Education, District 8",0091,466,333,799,1248,64.02%,494,276,770
"Member, State Board of Education, District 8",0092,1105,534,1639,2228,73.56%,1105,443,1548
"Member, State Board of Education, District 8",0097,2393,764,3157,4566,69.14%,2293,726,3019
"Member, State Board of Education, District 8",0098,874,607,1481,2403,61.63%,1211,214,1425
"Member, State Board of Education, District 8",0099,568,311,879,2040,43.09%,395,446,841
"Member, State Board of Education, District 8",0100,427,324,751,1754,42.82%,343,372,715
"Member, State Board of Education, District 8",0102,493,268,761,1910,39.84%,194,535,729
"Member, State Board of Education, District 8",0103,1915,1065,2980,4751,62.72%,1561,1301,2862
"Member, State Board of Education, District 8",0108,1193,514,1707,3229,52.86%,899,721,1620
"Member, State Board of Education, District 8",0110,1465,589,2054,2853,71.99%,1228,734,1962
"Member, State Board of Education, District 8",0119,1924,1265,3189,4892,65.19%,2489,604,3093
"Member, State Board of Education, District 8",0121,193,244,437,679,64.36%,283,135,418
"Member, State Board of Education, District 8",0141,181,143,324,872,37.16%,196,108,304
"Member, State Board of Education, District 8",0143,2993,660,3653,4598,79.45%,2559,974,3533
"Member, State Board of Education, District 8",0149,2859,1322,4181,6103,68.51%,1869,2146,4015
"Member, State Board of Education, District 8",0170,481,353,834,1887,44.20%,392,383,775
"Member, State Board of Education, District 8",0174,1554,767,2321,3159,73.47%,1545,642,2187
"Member, State Board of Education, District 8",0199,1408,773,2181,3159,69.04%,1640,454,2094
"Member, State Board of Education, District 8",0220,711,353,1064,2360,45.08%,725,279,1004
"Member, State Board of Education, District 8",0242,363,323,686,1570,43.69%,363,290,653
"Member, State Board of Education, District 8",0248,408,405,813,2122,38.31%,191,577,768
"Member, State Board of Education, District 8",0249,1028,481,1509,2676,56.39%,983,459,1442
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barbara Cargill,DEM Dexter Smith,Totals
"Member, State Board of Education, District 8",0250,306,247,553,951,58.1,5%,9,535,544
"Member, State Board of Education, District 8",0251,809,529,1338,2072,64.58%,54,1231,1285
"Member, State Board of Education, District 8",0279,548,383,931,1899,49.03%,558,328,886
"Member, State Board of Education, District 8",0290,577,429,1006,1567,64.20%,752,220,972
"Member, State Board of Education, District 8",0302,713,635,1348,2724,49.49%,704,570,1274
"Member, State Board of Education, District 8",0305,1319,858,2177,3621,60.12%,816,1272,2088
"Member, State Board of Education, District 8",0306,1013,323,1336,1847,72.33%,951,313,1264
"Member, State Board of Education, District 8",0307,1242,876,2118,2931,72.26%,1424,589,2013
"Member, State Board of Education, District 8",0333,1018,939,1957,2901,67.46%,1379,487,1866
"Member, State Board of Education, District 8",0340,1778,833,2611,3717,70.24%,1915,554,2469
"Member, State Board of Education, District 8",0346,1,2,3,1,300.00%,3,0,3
"Member, State Board of Education, District 8",0347,1250,614,1864,3299,56.50%,1141,644,1785
"Member, State Board of Education, District 8",0348,751,280,1031,1740,59.25%,727,257,984
"Member, State Board of Education, District 8",0349,405,407,812,1315,61.75%,471,301,772
"Member, State Board of Education, District 8",0351,2495,793,3288,4537,72.47%,2565,614,3179
"Member, State Board of Education, District 8",0352,1151,583,1734,3193,54.31%,1180,483,1663
"Member, State Board of Education, District 8",0357,1633,709,2342,3371,69.47%,1708,518,2226
"Member, State Board of Education, District 8",0377,1055,707,1762,2871,61.37%,1293,368,1661
"Member, State Board of Education, District 8",0378,559,521,1080,1777,60.78%,673,363,1036
"Member, State Board of Education, District 8",0380,2501,1183,3684,4753,77.51%,2088,1450,3538
"Member, State Board of Education, District 8",0382,276,231,507,841,60.29%,349,137,486
"Member, State Board of Education, District 8",0386,1464,460,1924,2872,66.99%,1373,484,1857
"Member, State Board of Education, District 8",0387,1369,802,2171,3727,58.25%,1470,602,2072
"Member, State Board of Education, District 8",0388,2780,1222,4002,5329,75.10%,2243,1612,3855
"Member, State Board of Education, District 8",0391,856,355,1211,1805,67.09%,768,389,1157
"Member, State Board of Education, District 8",0393,346,318,664,1206,55.06%,290,340,630
"Member, State Board of Education, District 8",0399,896,593,1489,2542,58.58%,713,723,1436
"Member, State Board of Education, District 8",0404,778,552,1330,2589,51.37%,682,591,1273
"Member, State Board of Education, District 8",0414,1452,593,2045,3457,59.16%,1447,478,1925
"Member, State Board of Education, District 8",0415,950,633,1583,2124,74.53%,1063,431,1494
"Member, State Board of Education, District 8",0416,1174,916,2090,3582,58.35%,1061,919,1980
"Member, State Board of Education, District 8",0419,1006,578,1584,2697,58.73%,1014,510,1524
"Member, State Board of Education, District 8",0420,2174,1089,3263,4639,70.34%,2618,500,3118
"Member, State Board of Education, District 8",0456,1266,593,1859,3350,55.49%,978,786,1764
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barbara Cargill,DEM Dexter Smith,Totals
"Member, State Board of Education, District 8",0459,1637,476,2113,2950,71.63%,1658,360,2018
"Member, State Board of Education, District 8",0469,2039,638,2677,3779,70.84%,2048,502,2550
"Member, State Board of Education, District 8",0470,443,323,766,1349,56.78%,533,192,725
"Member, State Board of Education, District 8",0471,793,597,1390,2349,59.17%,1055,275,1330
"Member, State Board of Education, District 8",0473,914,442,1356,1827,74.22%,896,377,1273
"Member, State Board of Education, District 8",0474,1146,766,1912,3006,63.61%,1302,519,1821
"Member, State Board of Education, District 8",0476,809,658,1467,2412,60.82%,831,565,1396
"Member, State Board of Education, District 8",0502,1150,332,1482,2364,62.69%,1126,283,1409
"Member, State Board of Education, District 8",0521,1011,694,1705,2725,62.57%,856,776,1632
"Member, State Board of Education, District 8",0531,672,113,785,1094,71.76%,600,146,746
"Member, State Board of Education, District 8",0532,452,184,636,1039,61.21%,427,184,611
"Member, State Board of Education, District 8",0533,317,207,524,1069,49.02%,262,234,496
"Member, State Board of Education, District 8",0534,1658,675,2333,3795,61.48%,1680,559,2239
"Member, State Board of Education, District 8",0537,1455,823,2278,2971,76.67%,1631,542,2173
"Member, State Board of Education, District 8",0545,1314,857,2171,3339,65.02%,1018,1038,2056
"Member, State Board of Education, District 8",0561,837,759,1596,3033,52.62%,876,642,1518
"Member, State Board of Education, District 8",0563,1699,415,2114,2969,71.20%,1588,420,2008
"Member, State Board of Education, District 8",0568,1628,837,2465,3487,70.69%,1563,741,2304
"Member, State Board of Education, District 8",0586,1307,1189,2496,4230,59.01%,1485,918,2403
"Member, State Board of Education, District 8",0588,1537,871,2408,3468,69.43%,1679,637,2316
"Member, State Board of Education, District 8",0589,1034,738,1772,3130,56.61%,923,778,1701
"Member, State Board of Education, District 8",0590,1158,463,1621,2136,75.89%,1223,328,1551
"Member, State Board of Education, District 8",0596,945,690,1635,2848,57.41%,845,728,1573
"Member, State Board of Education, District 8",0598,335,103,438,724,60.50%,330,79,409
"Member, State Board of Education, District 8",0603,1437,1163,2600,3917,66.38%,1533,978,2511
"Member, State Board of Education, District 8",0604,1444,528,1972,2910,67.77%,1612,292,1904
"Member, State Board of Education, District 8",0612,1702,579,2281,3272,69.71%,1695,468,2163
"Member, State Board of Education, District 8",0617,1318,849,2167,3546,61.11%,764,1324,2088
"Member, State Board of Education, District 8",0618,1920,1021,2941,5344,55.03%,1269,1562,2831
"Member, State Board of Education, District 8",0634,1020,734,1754,2922,60.03%,1077,610,1687
"Member, State Board of Education, District 8",0635,1326,706,2032,3280,61.95%,1520,433,1953
"Member, State Board of Education, District 8",0636,1793,974,2767,3881,71.30%,2322,345,2667
"Member, State Board of Education, District 8",0639,828,711,1539,2501,61.54%,1199,287,1486
"Member, State Board of Education, District 8",0654,2103,1344,3447,5765,59.79%,1753,1509,3262
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barbara Cargill,DEM Dexter Smith,Totals
"Member, State Board of Education, District 8",0655,2612,1451,4063,6304,64.45%,2482,1387,3869
"Member, State Board of Education, District 8",0658,985,708,1693,2824,59.95%,1035,600,1635
"Member, State Board of Education, District 8",0659,2141,1091,3232,4588,70.44%,2260,840,3100
"Member, State Board of Education, District 8",0662,2477,999,3476,4807,72.31%,2754,597,3351
"Member, State Board of Education, District 8",0665,951,394,1345,2007,67.02%,1081,199,1280
"Member, State Board of Education, District 8",0670,1566,518,2084,2952,70.60%,1614,367,1981
"Member, State Board of Education, District 8",0673,1376,643,2019,2988,67.57%,1541,382,1923
"Member, State Board of Education, District 8",0674,2092,813,2905,4055,71.64%,2155,651,2806
"Member, State Board of Education, District 8",0679,1466,661,2127,3331,63.85%,1546,476,2022
"Member, State Board of Education, District 8",0682,1673,912,2585,4134,62.53%,1846,626,2472
"Member, State Board of Education, District 8",0692,999,717,1716,2626,65.35%,1256,397,1653
"Member, State Board of Education, District 8",0695,454,320,774,1646,47.02%,479,263,742
"Member, State Board of Education, District 8",0696,600,373,973,2098,46.38%,583,354,937
"Member, State Board of Education, District 8",0699,1031,566,1597,2288,69.80%,1005,485,1490
"Member, State Board of Education, District 8",0700,531,287,818,1313,62.30%,641,138,779
"Member, State Board of Education, District 8",0703,742,616,1358,1845,73.60%,956,314,1270
"Member, State Board of Education, District 8",0704,1334,701,2035,2882,70.61%,1617,334,1951
"Member, State Board of Education, District 8",0712,1201,858,2059,3348,61.50%,834,1162,1996
"Member, State Board of Education, District 8",0715,405,326,731,1380,52.97%,361,336,697
"Member, State Board of Education, District 8",0716,977,622,1599,2670,59.89%,1107,431,1538
"Member, State Board of Education, District 8",0718,1844,1019,2863,4050,70.69%,1873,810,2683
"Member, State Board of Education, District 8",0720,1575,1044,2619,3903,67.10%,1859,661,2520
"Member, State Board of Education, District 8",0721,1334,637,1971,2842,69.35%,1311,558,1869
"Member, State Board of Education, District 8",0724,325,170,495,716,69.13%,337,136,473
"Member, State Board of Education, District 8",0728,343,208,551,881,62.54%,309,215,524
"Member, State Board of Education, District 8",0732,701,543,1244,1895,65.65%,730,441,1171
"Member, State Board of Education, District 8",0739,1005,490,1495,2872,52.05%,668,776,1444
"Member, State Board of Education, District 8",0740,233,205,438,935,46.84%,230,195,425
"Member, State Board of Education, District 8",0744,848,509,1357,2024,67.05%,870,420,1290
"Member, State Board of Education, District 8",0745,1066,542,1608,2396,67.11%,1007,520,1527
"Member, State Board of Education, District 8",0746,230,151,381,707,53.89%,185,166,351
"Member, State Board of Education, District 8",0747,1200,873,2073,3490,59.40%,962,1034,1996
"Member, State Board of Education, District 8",0748,420,307,727,1319,55.12%,325,361,686
"Member, State Board of Education, District 8",0750,264,147,411,720,57.08%,228,158,386
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barbara Cargill,DEM Dexter Smith,Totals
"Member, State Board of Education, District 8",0752,571,277,848,1511,56.12%,602,206,808
"Member, State Board of Education, District 8",0758,1996,783,2779,3781,73.50%,2188,446,2634
"Member, State Board of Education, District 8",0760,2347,647,2994,4154,72.08%,2468,392,2860
"Member, State Board of Education, District 8",0764,2271,1050,3321,4931,67.35%,2088,1104,3192
"Member, State Board of Education, District 8",0776,1114,741,1855,2855,64.97%,1082,698,1780
"Member, State Board of Education, District 8",0782,851,532,1383,2188,63.21%,832,470,1302
"Member, State Board of Education, District 8",0790,1,0,1,4,25.00%,0,1,1
"Member, State Board of Education, District 8",0791,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 8",0793,889,338,1227,2437,50.35%,692,486,1178
"Member, State Board of Education, District 8",0796,145,92,237,485,48.87%,119,107,226
"Member, State Board of Education, District 8",0813,1967,1258,3225,5423,59.47%,1544,1571,3115
"Member, State Board of Education, District 8",0834,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 8",0845,85,10,95,100,95.00%,54,35,89
"Member, State Board of Education, District 8",0872,13,5,18,66,27.27%,9,7,16
"Member, State Board of Education, District 8",0875,1719,927,2646,4031,65.64%,1253,1294,2547
"Member, State Board of Education, District 8",0877,1030,642,1672,2480,67.42%,711,917,1628
"Member, State Board of Education, District 8",0879,890,527,1417,2334,60.71%,658,707,1365
"Member, State Board of Education, District 8",0881,1510,877,2387,3619,65.96%,761,1549,2310
"Member, State Board of Education, District 8",0885,1222,541,1763,2466,71.49%,1042,649,1691
"Member, State Board of Education, District 8",0888,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 8",0897,742,375,1117,1624,68.78%,608,467,1075
"Member, State Board of Education, District 8",0898,0,0,0,2,0.00%,0,0,0
"Member, State Board of Education, District 8",0901,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 8",0907,60,43,103,134,76.87%,21,80,101
"Member, State Board of Education, District 8",0911,227,79,306,570,53.68%,195,94,289
"Member, State Board of Education, District 8",0912,676,221,897,1235,72.63%,541,299,840
"Member, State Board of Education, District 8",0913,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 8",0919,0,3,3,3,100.00%,2,1,3
"Member, State Board of Education, District 8",0920,6,0,6,13,46.15%,6,0,6
"Member, State Board of Education, District 8",0921,71,9,80,87,91.95%,64,16,80
"Member, State Board of Education, District 8",0923,665,87,752,826,91.04%,573,158,731
"Member, State Board of Education, District 8",0950,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 8",0951,79,44,123,218,56.42%,25,94,119
"Member, State Board of Education, District 8",0964,945,447,1392,1571,88.61%,837,511,1348
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barbara Cargill,DEM Dexter Smith,Totals
"Member, State Board of Education, District 8",0965,93,27,120,355,33.80%,79,36,115
"Member, State Board of Education, District 8",0967,48,15,63,98,64.29%,26,36,62
"Member, State Board of Education, District 8",0968,243,83,326,517,63.06%,65,253,318
"Member, State Board of Education, District 8",0988,44,21,65,111,58.56%,52,9,61
"Member, State Board of Education, District 8",0992,309,202,511,1015,50.34%,282,209,491
"Member, State Board of Education, District 8",0996,297,125,422,699,60.37%,233,167,400
"Member, State Board of Education, District 8",1005,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 8",1006,3,0,3,5,60.00%,3,0,3
"Member, State Board of Education, District 8",1008,86,21,107,150,71.33%,81,21,102
"Member, State Board of Education, District 8",1009,3,1,4,8,50.00%,3,1,4
"Member, State Board of Education, District 8",1016,592,364,956,1626,58.79%,422,482,904
"Member, State Board of Education, District 8",1017,127,50,177,232,76.29%,54,118,172
"Member, State Board of Education, District 8",1018,209,92,301,468,64.32%,142,147,289
"Member, State Board of Education, District 8",1031,3,3,6,6,100.00%,5,1,6
"Member, State Board of Education, District 8",1032,59,80,139,241,57.68%,94,34,128
"Member, State Board of Education, District 8",1034,0,0,0,1,0.00%,0,0,0
"Member, State Board of Education, District 8",1037,27,16,43,73,58.90%,22,17,39
"Member, State Board of Education, District 8",1040,192,146,338,607,55.68%,174,146,320
"Member, State Board of Education, District 8",1047,563,288,851,1242,68.52%,257,564,821
"Member, State Board of Education, District 8",1060,13,4,17,49,34.69%,9,8,17
"Member, State Board of Education, District 8",1061,555,300,965,1613,59.83%,518,409,927
"Member, State Board of Education, District 8",1062,59,26,85,168,50.60%,21,60,81
"Member, State Board of Education, District 8",Totals:,176997,94190,271187,425201,,170311,88938,259249
