Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Thaddeus Seals,Totals
"North Forest I.S.D., Trustee, Position 4",0007,373,89,462,760,60.79%,197,197
"North Forest I.S.D., Trustee, Position 4",0042,0,0,0,0,0.00%,0,0
"North Forest I.S.D., Trustee, Position 4",0045,0,0,0,0,0.00%,0,0
"North Forest I.S.D., Trustee, Position 4",0104,992,238,1230,1847,66.59%,516,516
"North Forest I.S.D., Trustee, Position 4",0115,598,305,903,1764,51.19%,339,339
"North Forest I.S.D., Trustee, Position 4",0150,539,207,746,1212,61.55%,303,303
"North Forest I.S.D., Trustee, Position 4",0151,316,148,464,846,54.85%,182,182
"North Forest I.S.D., Trustee, Position 4",0205,856,201,1057,1667,63.41%,464,464
"North Forest I.S.D., Trustee, Position 4",0230,99,19,118,214,55.14%,55,55
"North Forest I.S.D., Trustee, Position 4",0252,1111,355,1467,2350,62.43%,569,569
"North Forest I.S.D., Trustee, Position 4",0253,923,325,1248,2252,55.42%,499,499
"North Forest I.S.D., Trustee, Position 4",0254,69,68,137,370,37.03%,53,53
"North Forest I.S.D., Trustee, Position 4",0371,226,69,295,475,62.11%,106,106
"North Forest I.S.D., Trustee, Position 4",0396,1157,219,1376,2073,66.38%,543,543
"North Forest I.S.D., Trustee, Position 4",0401,723,284,1007,1876,53.68%,406,406
"North Forest I.S.D., Trustee, Position 4",0454,1226,311,1537,2571,59.78%,586,586
"North Forest I.S.D., Trustee, Position 4",0497,882,165,1047,1492,70.17%,414,414
"North Forest I.S.D., Trustee, Position 4",0581,0,0,0,1,0.00%,0,0
"North Forest I.S.D., Trustee, Position 4",0582,614,256,870,1613,53.94%,361,361
"North Forest I.S.D., Trustee, Position 4",0584,392,139,531,971,54.69%,192,192
"North Forest I.S.D., Trustee, Position 4",0585,934,304,1238,2403,51.52%,531,531
"North Forest I.S.D., Trustee, Position 4",0611,1118,293,1411,2450,57.59%,485,485
"North Forest I.S.D., Trustee, Position 4",0656,1198,421,1619,2622,61.75%,597,597
"North Forest I.S.D., Trustee, Position 4",0742,0,0,0,0,0.00%,0,0
"North Forest I.S.D., Trustee, Position 4",0784,205,87,292,468,62.39%,100,100
"North Forest I.S.D., Trustee, Position 4",0832,109,46,155,351,44.16%,61,61
"North Forest I.S.D., Trustee, Position 4",Totals:,14660,4550,19210,32648,,7559,7559
