Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Linda Bell Robinson,JoAnna Love Casey,Albert Coleman,Totals
"North Forest |.S.D., Trustee, Position 5",0007,373,89,462,760,60.79%,142,31,113,286
"North Forest |.S.D., Trustee, Position 5",0042,0,0,0,0,0.00%,0,0,0,0
"North Forest |.S.D., Trustee, Position 5",0045,0,0,0,0,0.00%,0,0,0,0
"North Forest |.S.D., Trustee, Position 5",0104,992,238,1230,1847,66.59%,445,59,243,747
"North Forest |.S.D., Trustee, Position 5",0115,598,305,903,1764,51.19%,272,84,161,517
"North Forest |.S.D., Trustee, Position 5",0150,539,207,746,1212,61.55%,239,59,132,430
"North Forest |.S.D., Trustee, Position 5",0151,316,148,464,846,54.85%,141,44,69,254
"North Forest |.S.D., Trustee, Position 5",0205,856,201,1057,1667,63.41%,380,72,204,656
"North Forest |.S.D., Trustee, Position 5",0230,99,19,118,214,55.14%,36,7,23,66
"North Forest |.S.D., Trustee, Position 5",0252,1111,355,1467,2350,62.43%,453,112,243,808
"North Forest |.S.D., Trustee, Position 5",0253,923,325,1248,2252,55.42%,393,76,279,748
"North Forest |.S.D., Trustee, Position 5",0254,69,68,137,370,37.03%,26,18,26,70
"North Forest |.S.D., Trustee, Position 5",0371,226,69,295,475,62.11%,91,17,44,152
"North Forest |.S.D., Trustee, Position 5",0396,1157,219,1376,2073,66.38%,439,84,297,820
"North Forest |.S.D., Trustee, Position 5",0401,723,284,1007,1876,53.68%,339,75,175,589
"North Forest |.S.D., Trustee, Position 5",0454,1226,311,1537,2571,59.78%,469,96,282,847
"North Forest |.S.D., Trustee, Position 5",0497,882,165,1047,1492,70.17%,338,67,193,598
"North Forest |.S.D., Trustee, Position 5",0581,0,0,0,1,0.00%,0,0,0,0
"North Forest |.S.D., Trustee, Position 5",0582,614,256,870,1613,53.94%,234,63,179,476
"North Forest |.S.D., Trustee, Position 5",0584,392,139,531,971,54.69%,169,48,78,295
"North Forest |.S.D., Trustee, Position 5",0585,934,304,1238,2403,51.52%,396,97,256,749
"North Forest |.S.D., Trustee, Position 5",0611,1118,293,1411,2450,57.59%,420,73,238,731
"North Forest |.S.D., Trustee, Position 5",0656,1198,421,1619,2622,61.75%,539,90,300,929
"North Forest |.S.D., Trustee, Position 5",0742,0,0,0,0,0.00%,0,0,0,0
"North Forest |.S.D., Trustee, Position 5",0784,205,87,292,468,62.39%,84,22,54,160
"North Forest |.S.D., Trustee, Position 5",0832,109,46,155,351,44.16%,36,15,32,83
"North Forest |.S.D., Trustee, Position 5",Totals:,14660,4550,19210,32648,6081,1309,3621,11011
