Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mitt Romney l Paul Ryan,DEM Barack Obama I Joe Biden,LIB Gary Johnson I Jim Gray,GRN Jill Stein l Cheri Honkala,Stewart Alexanderl Alex Mendoza,Rocky Anderson I Luis J. Rodriguez,Avery Ayers l Alejandrina Cabrera,Andre N. Barnettl Kenneth R. Cross
President and Vice President,0001,812,516,1328,2155,61.62%,463,827,15,12,0,0,0,0
President and Vice President,0002,760,407,1167,1890,61.75%,559,566,26,7,0,0,0,0
President and Vice President,0003,666,474,1140,1519,75.05%,478,609,29,12,0,1,0,0
President and Vice President,0004,581,534,1215,1652,73.55%,457,707,29,11,0,0,0,0
President and Vice President,0005,478,518,996,1376,72.38%,405,551,16,16,0,0,0,0
President and Vice President,0006,1251,929,2180,3616,60.29%,1216,897,27,7,0,0,0,0
President and Vice President,0007,496,124,620,1058,58.60%,15,591,0,1,0,0,0,0
President and Vice President,0008,664,430,1094,1706,64.13%,550,508,18,4,0,0,0,0
President and Vice President,0009,475,382,857,1736,49.37%,199,620,12,8,0,0,0,0
President and Vice President,0010,499,245,744,1722,43.21%,185,521,6,1,0,0,0,0
President and Vice President,0011,418,335,753,1830,41.15%,147,565,4,3,0,0,0,0
President and Vice President,0012,228,133,361,716,50.42%,203,145,3,2,0,0,0,0
President and Vice President,0013,1142,443,1585,2823,56.15%,1101,444,12,7,0,0,0,0
President and Vice President,0014,764,606,1370,1848,74.13%,741,583,17,10,0,0,0,0
President and Vice President,0015,1149,1016,2165,2806,77.16%,1303,815,21,7,0,0,0,0
President and Vice President,0016,462,175,637,947,67.27%,312,295,17,5,0,1,0,0
President and Vice President,0017,347,326,673,1105,60.90%,266,372,13,3,0,0,0,0
President and Vice President,0018,551,483,1034,1396,74.07%,502,506,13,5,0,1,0,0
President and Vice President,0019,424,261,685,995,68.84%,245,413,16,2,0,0,0,0
President and Vice President,0020,686,470,1156,3074,37.61%,337,765,26,11,0,0,0,0
President and Vice President,0021,420,230,650,1013,64.17%,137,483,11,4,0,0,0,0
President and Vice President,0022,893,554,1447,2524,57.33%,212,1196,12,4,0,0,0,0
President and Vice President,0023,100,65,165,512,32.23%,36,126,0,0,0,0,0,0
President and Vice President,0024,225,121,346,611,56.63%,41,299,0,0,0,0,0,0
President and Vice President,0025,246,304,550,1062,51.79%,14,519,5,1,0,0,0,0
President and Vice President,0026,464,486,950,1843,51.55%,260,652,13,5,0,1,0,0
President and Vice President,0027,822,595,1517,3005,50.48%,392,1071,8,22,0,0,0,0
President and Vice President,0028,1448,465,1913,2782,68.76%,1161,715,10,7,0,0,0,0
President and Vice President,0029,419,577,996,2659,37.46%,338,626,6,1,0,0,0,0
President and Vice President,0030,803,588,1391,2034,68.39%,359,990,18,7,0,0,0,0
President and Vice President,0031,916,526,1442,2518,57.27%,21,1401,4,3,0,0,0,0
President and Vice President,0032,804,556,1360,2171,62.64%,665,635,41,9,0,0,0,0
President and Vice President,0033,1496,843,2339,3540,66.07%,945,1294,62,20,0,0,0,0
President and Vice President,0034,1029,749,1778,2676,66.44%,485,1192,47,38,0,0,0,0
President and Vice President,0035,4,0,4,12,33.33%,1,3,0,0,0,0,0,0
President and Vice President,0036,995,479,1474,2868,51.39%,403,1027,9,7,0,0,0,0
President and Vice President,0037,809,479,1288,1885,68.33%,425,811,22,17,0,0,0,0
President and Vice President,0038,1251,673,1924,2703,71.18%,728,1135,26,18,0,1,0,0
