Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0001,809,518,1325,2155,81.48%,433,752,80,1245
"Presiding Judge, Court of Criminal Appeals",0002,759,407,1188,1890,81.89%,524,512,59,1095
"Presiding Judge, Court of Criminal Appeals",0003,883,474,1137,1519,74.85%,403,587,74,1084
"Presiding Judge, Court of Criminal Appeals",0004,877,534,1211,1852,73.31%,430,880,80,1150
"Presiding Judge, Court of Criminal Appeals",0005,475,518,993,1378,72.17%,370,502,48,920
"Presiding Judge, Court of Criminal Appeals",0008,1251,929,2180,3818,80.29%,1184,883,82,2089
"Presiding Judge, Court of Criminal Appeals",0007,495,124,819,1058,58.51%,13,591,3,807
"Presiding Judge, Court of Criminal Appeals",0008,883,430,1093,1708,84.07%,497,499,39,1035
"Presiding Judge, Court of Criminal Appeals",0009,474,382,858,1738,49.31%,178,805,28,807
"Presiding Judge, Court of Criminal Appeals",0010,499,245,744,1722,43.21%,185,497,19,881
"Presiding Judge, Court of Criminal Appeals",0011,418,335,753,1830,41.15%,131,555,17,703
"Presiding Judge, Court of Criminal Appeals",0012,227,133,380,718,50.28%,180,181,7,348
"Presiding Judge, Court of Criminal Appeals",0013,1140,443,1583,2823,58.08%,1012,458,42,1510
"Presiding Judge, Court of Criminal Appeals",0014,781,808,1387,1848,73.97%,711,552,30,1293
"Presiding Judge, Court of Criminal Appeals",0015,1144,1018,2180,2808,78.98%,1193,789,48,2008
"Presiding Judge, Court of Criminal Appeals",0018,459,175,834,947,88.95%,288,291,29,588
"Presiding Judge, Court of Criminal Appeals",0017,347,328,873,1105,80.90%,250,359,25,834
"Presiding Judge, Court of Criminal Appeals",0018,550,483,1033,1398,74.00%,485,488,38,971
"Presiding Judge, Court of Criminal Appeals",0019,424,281,885,995,88.84%,235,371,35,841
"Presiding Judge, Court of Criminal Appeals",0020,881,470,1151,3074,37.44%,309,725,48,1082
"Presiding Judge, Court of Criminal Appeals",0021,420,230,850,1013,84.17%,125,482,31,818
"Presiding Judge, Court of Criminal Appeals",0022,890,554,1444,2524,57.21%,195,1177,13,1385
"Presiding Judge, Court of Criminal Appeals",0023,100,85,185,512,32.23%,37,120,0,157
"Presiding Judge, Court of Criminal Appeals",0024,225,121,348,811,58.83%,37,284,5,328
"Presiding Judge, Court of Criminal Appeals",0025,244,304,548,1082,51.80%,18,500,8,528
"Presiding Judge, Court of Criminal Appeals",0028,483,488,949,1843,51,49%,250,802,38,888
"Presiding Judge, Court of Criminal Appeals",0027,821,895,1518,3005,50.45%,355,1022,48,1425
"Presiding Judge, Court of Criminal Appeals",0028,1448,485,1911,2782,88.89%,1088,898,40,1824
"Presiding Judge, Court of Criminal Appeals",0029,418,577,995,2859,37.42%,322,804,17,943
"Presiding Judge, Court of Criminal Appeals",0030,801,588,1389,2034,88.29%,335,948,49,1330
"Presiding Judge, Court of Criminal Appeals",0031,918,528,1442,2518,57.27%,28,1382,5,1413
"Presiding Judge, Court of Criminal Appeals",0032,799,558,1355,2171,82.41%,808,583,78,1289
"Presiding Judge, Court of Criminal Appeals",0033,1488,843,2329,3540,85.79%,872,1174,125,2171
"Presiding Judge, Court of Criminal Appeals",0034,1017,749,1788,2878,85.99%,454,1108,105,1887
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0035,4,0,4,12,33.33%,1,3,0,4
"Presiding Judge, Court of Criminal Appeals",0038,993,479,1472,2888,51.32%,387,995,23,1385
"Presiding Judge, Court of Criminal Appeals",0037,803,479,1282,1885,88.01%,399,744,59,1202
"Presiding Judge, Court of Criminal Appeals",0038,1244,873,1917,2703,70.92%,850,1057,78,1785
"Presiding Judge, Court of Criminal Appeals",0039,1072,723,1795,2728,85.85%,485,1152,73,1890
"Presiding Judge, Court of Criminal Appeals",0040,239,135,374,524,71.37%,187,182,13,342
"Presiding Judge, Court of Criminal Appeals",0041,580,284,844,1197,70.51%,380,442,20,822
"Presiding Judge, Court of Criminal Appeals",0042,505,139,844,1121,57.45%,10,808,3,821
"Presiding Judge, Court of Criminal Appeals",0043,521,372,893,1844,54.32%,408,398,33,839
"Presiding Judge, Court of Criminal Appeals",0044,492,314,808,1978,40.79%,158,588,25,749
"Presiding Judge, Court of Criminal Appeals",0045,2434,1138,3572,8031,59.23%,594,2818,39,3451
"Presiding Judge, Court of Criminal Appeals",0048,539,433,972,2488,39.38%,159,745,19,923
"Presiding Judge, Court of Criminal Appeals",0047,538,345,881,1824,54.25%,22,843,1,888
"Presiding Judge, Court of Criminal Appeals",0048,371,193,584,992,58.85%,43,495,5,543
"Presiding Judge, Court of Criminal Appeals",0049,1229,339,1898,3144,80.37%,1282,504,42,1828
"Presiding Judge, Court of Criminal Appeals",0050,1907,1110,3017,4782,83.38%,1502,1341,77,2920
"Presiding Judge, Court of Criminal Appeals",0051,858,349,1007,1588,84.22%,710,239,20,989
"Presiding Judge, Court of Criminal Appeals",0052,981,820,1801,2299,89.84%,789,880,75,1504
"Presiding Judge, Court of Criminal Appeals",0053,1107,884,1991,2808,70.90%,804,945,97,1848
"Presiding Judge, Court of Criminal Appeals",0054,809,402,1011,1408,71.80%,487,432,50,949
"Presiding Judge, Court of Criminal Appeals",0055,443,394,837,1305,84.14%,324,408,49,781
"Presiding Judge, Court of Criminal Appeals",0058,549,307,858,1285,88.81%,513,285,38,814
"Presiding Judge, Court of Criminal Appeals",0057,1277,958,2233,3082,72.93%,873,1111,111,2095
"Presiding Judge, Court of Criminal Appeals",0058,882,747,1829,2521,84.82%,852,808,71,1529
"Presiding Judge, Court of Criminal Appeals",0059,915,751,1888,2283,72.97%,835,845,88,1548
"Presiding Judge, Court of Criminal Appeals",0080,844,884,1508,2283,88.84%,382,949,78,1407
"Presiding Judge, Court of Criminal Appeals",0081,437,528,985,2250,42.89%,245,859,15,919
"Presiding Judge, Court of Criminal Appeals",0082,420,528,948,2190,43.29%,198,848,13,857
