Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0001,809,516,1325,2155,61,48%,472,243,227,942
"Railroad Commissioner, Unexpired Term",0002,759,407,1166,1890,61.69%,573,184,141,898
"Railroad Commissioner, Unexpired Term",0003,663,474,1137,1519,74.85%,507,179,200,886
"Railroad Commissioner, Unexpired Term",0004,577,534,1211,1652,73.31%,486,202,246,934
"Railroad Commissioner, Unexpired Term",0005,475,518,993,1376,72.17%,417,187,172,776
"Railroad Commissioner, Unexpired Term",0006,1251,929,2180,3616,60.29%,1238,281,126,1645
"Railroad Commissioner, Unexpired Term",0007,495,124,619,1058,58.51%,26,74,35,135
"Railroad Commissioner, Unexpired Term",0008,663,430,1093,1706,64.07%,586,164,107,857
"Railroad Commissioner, Unexpired Term",0009,474,382,856,1736,49.31%,211,217,89,517
"Railroad Commissioner, Unexpired Term",0010,499,245,744,1722,43.21%,174,192,45,411
"Railroad Commissioner, Unexpired Term",0011,418,335,753,1830,41.15%,150,186,41,377
"Railroad Commissioner, Unexpired Term",0012,227,133,360,716,50.28%,192,49,11,252
"Railroad Commissioner, Unexpired Term",0013,1140,443,1583,2823,56.08%,1063,129,69,1261
"Railroad Commissioner, Unexpired Term",0014,761,606,1367,1848,73.97%,799,138,187,1124
"Railroad Commissioner, Unexpired Term",0015,1144,1016,2160,2806,76.98%,1403,162,212,1777
"Railroad Commissioner, Unexpired Term",0016,459,175,634,947,66.95%,329,91,80,500
"Railroad Commissioner, Unexpired Term",0017,347,326,673,1105,60.90%,291,119,78,488
"Railroad Commissioner, Unexpired Term",0018,550,483,1033,1396,74.00%,555,113,145,813
"Railroad Commissioner, Unexpired Term",0019,424,261,685,995,68.84%,251,160,111,522
"Railroad Commissioner, Unexpired Term",0020,681,470,1151,3074,37.44%,376,203,192,771
"Railroad Commissioner, Unexpired Term",0021,420,230,650,1013,64.17%,157,141,84,382
"Railroad Commissioner, Unexpired Term",0022,890,554,1444,2524,57.21%,252,293,144,689
"Railroad Commissioner, Unexpired Term",0023,100,65,165,512,32.23%,44,22,18,84
"Railroad Commissioner, Unexpired Term",0024,225,121,346,611,56.63%,44,57,29,130
