Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0001,809,516,1325,2155,61.48%,462,693,35,68,1258
Railroad Commissioner,0002,759,407,1166,1890,61.69%,555,475,44,42,1116
Railroad Commissioner,0003,663,474,1137,1519,74.85%,468,516,40,58,1082
Railroad Commissioner,0004,577,534,1211,1652,73.31%,470,589,46,55,1160
Railroad Commissioner,0005,475,518,993,1376,72.17%,405,451,31,51,938
Railroad Commissioner,0006,1251,929,2180,3616,60.29%,1178,842,39,38,2097
Railroad Commissioner,0007,495,124,619,1058,58.51%,13,588,1,7,609
Railroad Commissioner,0008,663,430,1093,1706,64.07%,554,439,30,28,1051
Railroad Commissioner,0009,474,382,856,1736,49.31%,181,592,22,20,815
Railroad Commissioner,0010,499,245,744,1722,43.21%,165,480,9,32,686
Railroad Commissioner,0011,418,335,753,1830,41.15%,137,542,10,17,706
Railroad Commissioner,0012,227,133,360,716,50.28%,183,161,3,2,349
Railroad Commissioner,0013,1140,443,1583,2823,56.08%,1057,417,23,29,1526
Railroad Commissioner,0014,761,606,1367,1848,73.97%,769,479,20,42,1310
Railroad Commissioner,0015,1144,1016,2160,2806,76.98%,1341,617,37,42,2037
Railroad Commissioner,0016,459,175,634,947,66.95%,304,255,27,12,598
Railroad Commissioner,0017,347,326,673,1105,60.90%,262,344,17,18,641
Railroad Commissioner,0018,550,483,1033,1396,74.00%,533,390,27,30,980
Railroad Commissioner,0019,424,261,685,995,68.84%,239,347,30,31,647
Railroad Commissioner,0020,681,470,1151,3074,37.44%,341,676,36,35,1088
Railroad Commissioner,0021,420,230,650,1013,64.17%,140,444,19,20,623
Railroad Commissioner,0022,890,554,1444,2524,57.21%,205,1152,11,22,1390
Railroad Commissioner,0023,100,65,165,512,32.23%,36,119,0,2,157
Railroad Commissioner,0024,225,121,346,611,56.63%,45,280,2,4,331
Railroad Commissioner,0025,244,304,548,1062,51.60%,19,494,8,9,530
Railroad Commissioner,0026,463,486,949,1843,51,49%,261,587,17,39,904
Railroad Commissioner,0027,821,595,1516,3005,50.45%,350,986,25,72,1433
Railroad Commissioner,0028,1446,465,1911,2782,68.69%,1108,669,27,35,1839
Railroad Commissioner,0029,418,577,995,2659,37.42%,318,605,13,12,948
Railroad Commissioner,0030,801,588,1389,2034,68.29%,356,910,34,39,1339
Railroad Commissioner,0031,916,526,1442,2518,57.27%,27,1374,4,7,1412
Railroad Commissioner,0032,799,556,1355,2171,62.41%,660,517,61,33,1271
