Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Latricia Archie,Totals
"Sheldon |.S.D., Trustee Position 2",0045,2434,1138,3572,6029,59.25%,1592,1592
"Sheldon |.S.D., Trustee Position 2",0220,92,17,109,190,57.37%,55,55
"Sheldon |.S.D., Trustee Position 2",0376,357,224,581,1175,49.45%,265,265
"Sheldon |.S.D., Trustee Position 2",0380,42,17,59,76,77.63%,24,24
"Sheldon |.S.D., Trustee Position 2",0382,276,231,507,841,60.29%,227,227
"Sheldon |.S.D., Trustee Position 2",0460,362,1,19,481,741,64.91%,244,244
"Sheldon |.S.D., Trustee Position 2",0742,0,0,0,0,0.00%,0,0
"Sheldon |.S.D., Trustee Position 2",0834,0,0,0,0,0.00%,0,0
"Sheldon |.S.D., Trustee Position 2",0963,129,69,198,353,56.09%,85,85
"Sheldon |.S.D., Trustee Position 2",0965,93,27,120,355,33.80%,60,60
"Sheldon |.S.D., Trustee Position 2",0976,159,131,290,684,42.40%,137,137
"Sheldon |.S.D., Trustee Position 2",Totals:,3944,1973,5917,10444,2689,2689
