Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Eileen Palmer,Totals
"Sheldon |.S.D., Trustee Position 3",0045,2434,1138,3572,6029,59.25%,1614,1614
"Sheldon |.S.D., Trustee Position 3",0220,92,17,109,190,57.37%,57,57
"Sheldon |.S.D., Trustee Position 3",0376,357,224,581,1175,49.45%,285,285
"Sheldon |.S.D., Trustee Position 3",0380,42,17,59,76,77.63%,25,25
"Sheldon |.S.D., Trustee Position 3",0382,276,231,507,841,60.29%,246,246
"Sheldon |.S.D., Trustee Position 3",0460,362,119,481,741,64.91%,237,237
"Sheldon |.S.D., Trustee Position 3",0742,0,0,0,0,0.00%,0,0
"Sheldon |.S.D., Trustee Position 3",0834,0,0,0,0,0.00%,0,0
"Sheldon |.S.D., Trustee Position 3",0963,129,69,198,353,56.09%,90,90
"Sheldon |.S.D., Trustee Position 3",0965,93,27,120,355,33.80%,62,62
"Sheldon |.S.D., Trustee Position 3",0976,159,131,290,684,42.40%,143,143
"Sheldon |.S.D., Trustee Position 3",Totals:,3944,1973,5917,10444,2759,2759
