Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Louis Guthrie,DEM Adrian Garcia,GRN Remington Alessi,Totals
Sheriff,0001,806,516,1322,2155,61.35%,374,839,51,1264
Sheriff,0002,753,407,1160,1890,61,38%,495,564,46,1105
Sheriff,0003,660,474,1134,1519,74.65%,381,649,49,1079
Sheriff,0004,676,534,1210,1652,73.24%,378,729,53,1160
Sheriff,0005,472,518,990,1376,71.95%,332,560,49,941
Sheriff,0006,1251,929,2180,3616,60.29%,1111,966,45,2122
Sheriff,0007,495,124,619,1058,58.51%,13,590,6,609
Sheriff,0008,661,430,1091,1706,63.95%,503,522,28,1053
Sheriff,0009,472,382,854,1736,49.19%,142,651,21,814
Sheriff,0010,499,245,744,1722,43.21%,130,569,10,709
Sheriff,0011,418,335,753,1830,41.15%,90,612,14,716
Sheriff,0012,227,133,360,716,50.28%,182,164,4,350
Sheriff,0013,1140,443,1583,2823,56.08%,987,524,23,1534
Sheriff,0014,758,606,1364,1848,73.81%,643,617,36,1296
Sheriff,0015,1144,1016,2160,2806,76.98%,1102,889,47,2038
Sheriff,0016,457,175,632,947,66.74%,271,299,24,594
Sheriff,0017,346,326,672,1105,60.81%,228,382,22,632
Sheriff,0018,550,483,1033,1396,74.00%,430,537,27,994
Sheriff,0019,423,261,684,995,68.74%,222,386,37,645
Sheriff,0020,678,470,1148,3074,37.35%,317,730,38,1085
Sheriff,0021,419,230,649,1013,64.07%,137,462,24,623
Sheriff,0022,888,554,1442,2524,57.13%,186,1193,14,1393
Sheriff,0023,99,65,164,512,32.03%,31,126,2,159
Sheriff,0024,225,121,346,611,56.63%,32,295,3,330
Sheriff,0025,244,304,548,1062,51.60%,17,503,11,531
Sheriff,0026,463,486,949,1843,51.49%,194,683,31,908
Sheriff,0027,821,695,1516,3005,50.45%,258,1138,65,1461
Sheriff,0028,1446,465,1911,2782,68.69%,1043,765,30,1838
Sheriff,0029,418,577,995,2659,37.42%,273,673,10,956
Sheriff,0030,798,588,1386,2034,68.14%,323,968,47,1338
Sheriff,0031,911,526,1437,2518,57.07%,25,1362,7,1394
Sheriff,0032,796,556,1352,2171,62.28%,608,606,61,1275
Sheriff,0033,1479,843,2322,3540,65.59%,861,1219,100,2180
Sheriff,0034,1012,749,1761,2676,65.81%,438,1151,102,1691
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Louis Guthrie,DEM Adrian Garcia,GRN Remington Alessi,Totals
Sheriff,0035,4,0,4,12,33.33%,1,3,0,4
Sheriff,0036,993,479,1472,2868,51.32%,333,1051,20,1404
Sheriff,0037,801,479,1280,1885,67.90%,384,770,60,1214
Sheriff,0038,1241,673,1914,2703,70.81%,629,1077,93,1799
Sheriff,0039,1063,723,1786,2726,65.52%,464,1139,100,1703
Sheriff,0040,239,135,374,524,71.37%,166,178,12,356
Sheriff,0041,560,284,844,1197,70.51%,352,461,12,825
Sheriff,0042,505,139,644,1121,57.45%,10,608,3,621
Sheriff,0043,520,372,892,1644,54.26%,388,430,39,857
Sheriff,0044,492,314,806,1976,40.79%,118,633,24,775
Sheriff,0045,2434,1138,3572,6031,59.23%,518,2916,36,3470
Sheriff,0046,538,433,971,2468,39.34%,99,807,29,935
Sheriff,0047,535,345,880,1624,54.19%,21,843,4,868
Sheriff,0048,371,193,564,992,56.85%,38,500,7,545
Sheriff,0049,1228,559,1897,3144,60.34%,1236,577,24,1837
Sheriff,0050,1901,1110,3011,4762,63.23%,1424,1454,49,2927
Sheriff,0051,657,349,1006,1568,64.16%,675,271,20,966
Sheriff,0052,970,620,1590,2299,69.16%,740,726,44,1510
Sheriff,0053,1102,884,1986,2808,70.73%,744,1041,77,1862
Sheriff,0054,606,402,1008,1408,71.59%,462,473,24,959
Sheriff,0055,441,394,835,1305,63.98%,309,451,31,791
Sheriff,0056,548,307,855,1285,66.54%,501,293,21,815
Sheriff,0057,1273,956,2229,3062,72.80%,787,1247,96,2130
Sheriff,0058,881,747,1628,2521,64.58%,630,880,50,1560
Sheriff,0059,914,751,1665,2283,72.93%,595,935,55,1585
Sheriff,0060,839,664,1503,2263,66.42%,380,953,91,1424
Sheriff,0061,435,528,963,2250,42.80%,195,725,14,934
Sheriff,0062,419,528,947,2190,43.24%,141,748,16,905
Sheriff,0063,674,400,1074,1784,60.20%,797,235,12,1044
Sheriff,0064,410,420,830,2090,39.71%,114,677,14,805
Sheriff,0065,404,532,936,2178,42.98%,115,754,27,896
Sheriff,0066,172,279,451,1090,41.38%,48,379,7,434
Sheriff,0067,664,574,1238,2742,45.15%,217,941,24,1182
Sheriff,0068,1198,486,1684,2782,60.53%,26,1602,13,1641
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Louis Guthrie,DEM Adrian Garcia,GRN Remington Alessi,Totals
Sheriff,0069,218,284,502,1303,38.53%,57,421,3,481
Sheriff,0070,1633,726,2359,3142,75.08%,1299,906,48,2253
Sheriff,0071,1419,948,2367,3662,64.64%,1121,1061,68,2250
Sheriff,0072,441,562,1003,1882,53.29%,176,765,19,960
Sheriff,0073,499,496,995,1494,66.60%,481,446,24,951
Sheriff,0074,2212,530,2742,3632,75.50%,1937,653,34,2624
Sheriff,0075,481,370,851,1329,64.03%,298,476,36,810
Sheriff,0076,814,559,1383,2328,59.41%,652,645,27,1324
Sheriff,0077,168,81,249,565,44.07%,46,190,1,237
Sheriff,0078,359,344,703,1479,47.53%,143,515,14,672
Sheriff,0079,511,717,1228,2959,41.50%,159,1003,18,1180
Sheriff,0080,1159,481,1640,2712,60.47%,261,1296,31,1588
Sheriff,0081,540,309,849,1839,46.17%,224,588,7,819
Sheriff,0082,1353,816,2169,3284,66.05%,1497,567,37,2101
Sheriff,0083,2525,1181,3806,5598,67.99%,1609,2044,58,3711
Sheriff,0084,444,346,790,1389,56.88%,519,229,16,764
Sheriff,0085,730,548,1278,2079,61.47%,20,1189,17,1226
Sheriff,0086,1054,689,1743,2637,66.10%,729,868,54,1651
Sheriff,0087,1222,861,2083,2749,75.77%,1126,786,40,1952
Sheriff,0088,235,162,397,678,58.55%,233,143,11,387
Sheriff,0089,342,454,796,1104,72.10%,395,336,17,748
Sheriff,0090,1498,958,2456,3571,68.78%,1692,617,56,2365
Sheriff,0091,466,333,799,1248,64.02%,461,288,26,775
Sheriff,0092,1105,534,1639,2228,73.56%,1024,502,38,1564
Sheriff,0093,782,643,1425,3295,43.25%,439,907,19,1365
Sheriff,0094,148,104,252,537,46.93%,40,193,9,242
Sheriff,0095,1584,571,2355,3179,74.08%,1463,737,50,2250
Sheriff,0096,364,237,601,1241,48.43%,47,525,12,584
Sheriff,0097,2393,764,3157,4566,69.14%,2134,906,32,3072
Sheriff,0098,874,607,1481,2403,61.63%,1138,277,25,1440
Sheriff,0099,568,311,879,2040,43.09%,364,473,12,849
Sheriff,0100,427,324,751,1754,42.82%,292,421,17,730
Sheriff,0101,203,186,389,941,41.34%,76,301,5,382
Sheriff,0102,493,268,761,1910,39.84%,159,569,11,739
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Louis Guthrie,DEM Adrian Garcia,GRN Remington Alessi,Totals
Sheriff,0103,1915,1065,2980,4751,62.72%,1426,1419,44,2889
Sheriff,0104,992,238,1230,1847,66.59%,19,1173,7,1199
Sheriff,0105,462,453,915,2153,42.50%,163,706,7,876
Sheriff,0106,49,37,86,284,30.28%,40,39,2,81
Sheriff,0107,412,441,853,1905,44.78%,114,701,11,826
Sheriff,0108,1193,514,1707,3229,52.86%,843,779,25,1647
Sheriff,0109,1160,430,1590,2884,55.13%,28,1511,9,1548
Sheriff,0110,1465,589,2054,2853,71.99%,1150,809,33,1992
Sheriff,0111,1868,848,2716,3638,74.66%,1844,730,42,2616
Sheriff,0112,1262,668,1930,2894,66.69%,1250,592,35,1877
Sheriff,0113,1125,590,1715,2537,67.60%,875,768,19,1662
Sheriff,0114,1454,546,2000,2650,75.47%,1481,431,27,1939
Sheriff,0115,598,305,903,1764,51.19%,80,791,10,881
Sheriff,0116,1626,747,2373,3014,78.73%,1632,626,24,2282
Sheriff,0117,398,462,860,1878,45.79%,321,495,20,836
Sheriff,0118,460,148,608,743,81.83%,439,132,7,578
Sheriff,0119,1924,1265,3189,4892,65.19%,2365,703,41,3109
Sheriff,0120,1197,632,1829,2986,61.25%,1000,720,27,1747
Sheriff,0121,193,244,437,679,64.36%,271,144,9,424
Sheriff,0122,895,349,1244,2199,56.57%,35,1172,5,1212
Sheriff,0123,440,350,790,1356,58.26%,196,505,49,750
Sheriff,0124,3522,1281,4803,5952,80.70%,3574,1046,50,4670
Sheriff,0125,896,534,1430,2281,62.69%,769,585,34,1388
Sheriff,0126,1630,407,2037,2799,72.78%,1677,278,17,1972
Sheriff,0127,854,182,1036,1703,60.83%,679,303,19,1001
Sheriff,0128,936,736,1672,2257,74.08%,909,614,28,1551
Sheriff,0129,2294,1449,3743,5495,68.12%,2077,1407,101,3585
Sheriff,0130,1201,523,1724,2240,76.96%,1160,478,21,1659
Sheriff,0131,604,374,978,1721,56.83%,206,730,14,950
Sheriff,0132,1119,397,1516,2449,61.90%,25,1435,17,1477
Sheriff,0133,1083,940,2023,2605,77.66%,1056,797,51,1904
Sheriff,0134,419,392,811,1444,56.16%,306,456,20,782
Sheriff,0135,1424,634,2058,2750,74.84%,1128,766,34,1928
Sheriff,0136,981,451,1432,2111,67.84%,43,1323,26,1392
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Louis Guthrie,DEM Adrian Garcia,GRN Remington Alessi,Totals
Sheriff,0137,305,193,498,740,67.30%,216,236,20,472
Sheriff,0138,661,259,920,1749,52.60%,17,868,7,892
Sheriff,0139,1290,747,2037,2746,74.18%,882,988,48,1918
Sheriff,0140,1311,683,1994,3104,64.24%,263,1607,38,1908
Sheriff,0141,181,143,324,872,37.16%,187,118,3,308
Sheriff,0142,212,171,383,870,44.02%,74,282,9,365
Sheriff,0143,2993,660,3653,4598,79.45%,2379,1134,51,3564
