Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Jana Anders,Totals
"Spring |.S.D., Trustee, Position 7",0006,1251,929,2180,3616,60.29%,1197,1197
"Spring |.S.D., Trustee, Position 7",0041,560,284,844,1197,70.51%,463,463
"Spring |.S.D., Trustee, Position 7",0110,1465,589,2054,2853,71.99%,1102,1102
"Spring |.S.D., Trustee, Position 7",0342,935,421,1357,2122,63.95%,637,637
"Spring |.S.D., Trustee, Position 7",0358,6,4,10,29,34.48%,5,5
"Spring |.S.D., Trustee, Position 7",0399,141,113,254,586,43.34%,103,103
"Spring |.S.D., Trustee, Position 7",0452,61,35,96,149,64.43%,54,54
"Spring |.S.D., Trustee, Position 7",0465,1465,702,2167,3343,64.82%,1139,1139
"Spring |.S.D., Trustee, Position 7",0466,2052,729,2781,4072,68.30%,1362,1362
"Spring |.S.D., Trustee, Position 7",0468,27,25,52,116,44.83%,22,22
"Spring |.S.D., Trustee, Position 7",0482,2,1,3,1,300.00%,2,2
"Spring |.S.D., Trustee, Position 7",0500,171,67,238,391,60.87%,126,126
"Spring |.S.D., Trustee, Position 7",0520,1542,857,2399,4064,59.03%,1022,1022
"Spring |.S.D., Trustee, Position 7",0549,920,576,1496,2448,61.11%,642,642
"Spring |.S.D., Trustee, Position 7",0550,1134,629,1763,2847,61.92%,859,859
"Spring |.S.D., Trustee, Position 7",0586,1306,1189,2495,4230,58.98%,1362,1362
"Spring |.S.D., Trustee, Position 7",0588,1536,871,2407,3468,69.41%,1332,1332
"Spring |.S.D., Trustee, Position 7",0596,945,690,1635,2848,57.41%,868,868
"Spring |.S.D., Trustee, Position 7",0614,1200,681,1881,3064,61.39%,828,828
"Spring |.S.D., Trustee, Position 7",0615,931,404,1335,1926,69.31%,660,660
"Spring |.S.D., Trustee, Position 7",0629,175,127,302,629,48.01%,151,151
"Spring |.S.D., Trustee, Position 7",0634,1020,734,1754,2922,60.03%,958,958
"Spring |.S.D., Trustee, Position 7",0660,2460,932,3392,5048,67.19%,1413,1413
"Spring |.S.D., Trustee, Position 7",0717,826,258,1084,1927,56.25%,436,436
"Spring |.S.D., Trustee, Position 7",0747,1200,873,2073,3490,59.40%,1154,1154
"Spring |.S.D., Trustee, Position 7",0757,1416,690,2106,3498,60.21%,908,908
"Spring |.S.D., Trustee, Position 7",0794,114,80,194,464,41.81%,88,88
"Spring |.S.D., Trustee, Position 7",0851,191,87,278,390,71.28%,157,157
"Spring |.S.D., Trustee, Position 7",0883,1786,960,2746,4357,63.03%,1211,1211
"Spring |.S.D., Trustee, Position 7",0888,0,0,0,0,0.00%,0,0
"Spring |.S.D., Trustee, Position 7",0897,742,375,1117,1624,68.78%,556,556
"Spring |.S.D., Trustee, Position 7",0898,0,0,0,2,0.00%,0,0
"Spring |.S.D., Trustee, Position 7",0912,675,221,896,1235,72.55%,487,487
"Spring |.S.D., Trustee, Position 7",0913,0,0,0,0,0.00%,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Jana Anders,Totals
"Spring |.S.D., Trustee, Position 7",0957,261,115,376,551,68.24%,162,162
"Spring |.S.D., Trustee, Position 7",0958,144,149,293,492,59.55%,102,102
"Spring |.S.D., Trustee, Position 7",0997,429,328,757,1439,52.61%,336,336
"Spring |.S.D., Trustee, Position 7",1,014,9,7,1,6,36,44.44%,5,5
"Spring |.S.D., Trustee, Position 7",1015,11,7,18,29,62.07%,7,7
"Spring |.S.D., Trustee, Position 7",1017,127,50,177,232,76.29%,87,87
"Spring |.S.D., Trustee, Position 7",1018,209,92,301,468,64.32%,151,151
"Spring |.S.D., Trustee, Position 7",1035,24,13,37,139,26.62%,15,15
"Spring |.S.D., Trustee, Position 7",1045,611,321,932,1439,64.77%,397,397
"Spring |.S.D., Trustee, Position 7",Totals:,30081,16215,46296,73781,22566,22566
