Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Patricia Harless,Totals
"State Representative, District 126",0082,1353,816,2169,3284,66.05%,1732,1732
"State Representative, District 126",0112,1262,668,1930,2894,66.69%,1510,1510
"State Representative, District 126",0113,1125,590,1715,2537,67.60%,1128,1128
"State Representative, District 126",0125,895,534,1430,2281,62.69%,934,934
"State Representative, District 126",0451,1575,515,2090,2674,78.16%,1812,1812
"State Representative, District 126",0468,984,793,1777,3354,52.98%,711,711
"State Representative, District 126",0478,1959,898,2857,4150,68.84%,2135,2135
"State Representative, District 126",0479,1298,588,1886,2648,71.22%,1514,1514
"State Representative, District 126",0484,2236,1008,3244,4594,70.61%,2536,2536
"State Representative, District 126",0496,495,571,1067,2086,51.15%,507,507
"State Representative, District 126",0511,0,6,6,0,0.00%,2,2
"State Representative, District 126",0513,1605,507,2112,2752,76.74%,1755,1755
"State Representative, District 126",0515,1692,708,2400,3173,75.64%,2064,2064
"State Representative, District 126",0516,2179,1066,3245,4934,65.77%,1889,1889
"State Representative, District 126",0548,720,476,1196,2129,56.18%,651,651
"State Representative, District 126",0551,3088,1527,4615,6135,75.22%,3628,3628
"State Representative, District 126",0592,370,288,658,1258,52.31%,226,226
"State Representative, District 126",0597,1067,719,1786,3267,54.67%,820,820
"State Representative, District 126",0601,2028,858,2886,3990,72.33%,2323,2323
"State Representative, District 126",0614,1631,812,2443,3932,62.13%,1080,1080
"State Representative, District 126",0615,931,404,1335,1926,69.31%,887,887
"State Representative, District 126",0623,1708,626,2334,3481,67.05%,1661,1661
"State Representative, District 126",0631,1489,392,1881,2733,68.83%,1465,1465
"State Representative, District 126",0648,1590,668,2258,3197,70.63%,1728,1728
"State Representative, District 126",0668,927,655,1582,2458,64.36%,1116,1116
"State Representative, District 126",0669,1606,823,2429,3243,74.90%,1906,1906
"State Representative, District 126",0783,103,43,146,265,55.09%,87,87
"State Representative, District 126",0823,1849,1015,2864,4710,60.81%,1771,1771
"State Representative, District 126",0841,0,2,2,0,0.00%,0,0
"State Representative, District 126",0868,573,586,1159,2292,50.57%,452,452
"State Representative, District 126",0873,253,125,378,701,53.92%,141,141
"State Representative, District 126",0884,118,37,155,330,46.97%,28,28
"State Representative, District 126",0977,104,83,187,535,34.95%,83,83
"State Representative, District 126",0998,15,9,24,35,68.57%,19,19
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Patricia Harless,Totals
"State Representative, District 126",1,025,4,0,4,1,8,22.22%,1,1
"State Representative, District 126",1026,0,0,0,0,0.00%,0,0
"State Representative, District 126",1035,24,13,37,139,26.62%,9,9
