Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Smith,Totals
"State Representative, District 128",0012,227,133,360,716,50.28%,228,228
"State Representative, District 128",0013,1140,443,1583,2823,56.08%,1173,1173
"State Representative, District 128",0028,1446,465,1911,2782,68.69%,1280,1280
"State Representative, District 128",0051,557,349,1006,1568,64.16%,789,789
"State Representative, District 128",0063,674,400,1074,1784,60.20%,899,899
"State Representative, District 128",0097,2393,764,3157,4566,69.14%,2468,2468
"State Representative, District 128",0103,1915,1065,2980,4751,62.72%,1836,1836
"State Representative, District 128",0249,1028,481,1509,2676,56.39%,1111,1111
"State Representative, District 128",0250,306,247,553,951,58.15%,45,45
"State Representative, District 128",0352,1151,583,1734,3193,54.31%,1290,1290
"State Representative, District 128",0386,1464,460,1924,2872,66.99%,1495,1495
"State Representative, District 128",0387,1369,802,2171,3727,58.25%,1614,1614
"State Representative, District 128",0414,1452,593,2045,3457,59.16%,1600,1600
"State Representative, District 128",0420,2174,1089,3263,4639,70.34%,2752,2752
"State Representative, District 128",0456,1266,593,1859,3350,55.49%,1137,1137
"State Representative, District 128",0470,443,323,766,1349,56.78%,576,576
"State Representative, District 128",0471,792,597,1389,2349,59.13%,1134,1134
"State Representative, District 128",0502,1150,332,1482,2364,62.69%,1213,1213
"State Representative, District 128",0531,672,113,785,1094,71.76%,635,635
"State Representative, District 128",0532,452,184,636,1039,61.21%,471,471
"State Representative, District 128",0533,317,207,524,1069,49.02%,318,318
"State Representative, District 128",0534,1658,675,2333,3795,61.48%,1833,1833
"State Representative, District 128",0561,837,759,1596,3033,52.62%,979,979
"State Representative, District 128",0604,1444,528,1972,2910,67.77%,1700,1700
"State Representative, District 128",0662,2477,999,3476,4807,72.31%,2898,2898
"State Representative, District 128",0665,951,394,1345,2007,67.02%,1142,1142
"State Representative, District 128",0673,1375,543,2019,2988,67.57%,1647,1647
"State Representative, District 128",0679,1466,661,2127,3331,63.85%,1681,1681
"State Representative, District 128",0682,1673,912,2585,4134,62.53%,1996,1996
"State Representative, District 128",0700,531,287,818,1313,62.30%,698,698
"State Representative, District 128",0704,1334,701,2035,2882,70.61%,1692,1692
"State Representative, District 128",0716,977,622,1599,2670,59.89%,1199,1199
"State Representative, District 128",0739,1005,490,1495,2872,52.05%,797,797
"State Representative, District 128",0740,233,205,438,935,46.84%,263,263
"State Representative, District 128",1008,86,21,107,150,71.33%,89,89
"State Representative, District 128",1009,3,1,4,8,50.00%,4,4
