Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Gary Elkins,DEM Paul Morgan,Totals
"State Representative, District 135",0050,1901,1110,3011,4782,83.23%,1552,1359,2911
"State Representative, District 135",0074,2212,530,2742,3832,75.50%,2142,482,2824
"State Representative, District 135",0225,1109,720,1829,3155,57.97%,784,978,1782
"State Representative, District 135",0244,1100,858,1758,2912,80.30%,913,784,1897
"State Representative, District 135",0314,2494,1221,3715,5225,71.10%,2247,1350,3597
"State Representative, District 135",0495,1120,494,1814,2284,70.87%,1151,405,1558
"State Representative, District 135",0512,1558,1127,2885,4582,58.80%,1213,1370,2583
"State Representative, District 135",0518,1478,919,2397,3755,83.83%,1490,818,2308
"State Representative, District 135",0553,1485,951,2418,4355,55.48%,1015,1299,2314
"State Representative, District 135",0809,1354,844,2208,3281,87.71%,1391,723,2114
"State Representative, District 135",0818,1352,970,2322,3378,88.74%,1588,849,2235
"State Representative, District 135",0851,2085,1070,3155,4931,83.98%,1957,1072,3029
"State Representative, District 135",0881,1814,1012,2828,4179,82.84%,1402,1121,2523
"State Representative, District 135",0887,989,547,1538,2181,70.43%,1181,302,1483
"State Representative, District 135",0871,1090,773,1883,2942,83.32%,1088,897,1783
"State Representative, District 135",0887,1084,841,1725,2497,89.08%,1178,478,1858
"State Representative, District 135",0709,2998,1297,4293,8239,88.81%,2540,1818,4158
"State Representative, District 135",0753,108,81,187,280,84.23%,109,54,183
"State Representative, District 135",0759,1109,590,1899,2825,84.72%,1025,598,1821
"State Representative, District 135",0800,1188,795,1983,2817,70.39%,1331,579,1910
"State Representative, District 135",0803,1305,530,1935,2718,71.19%,1427,442,1889
"State Representative, District 135",0875,1719,927,2848,4031,85.84%,1249,1305,2554
"State Representative, District 135",0881,1510,877,2387,3819,85.98%,750,1583,2313
"State Representative, District 135",0904,0,1,1,1,100.00%,0,1,1
"State Representative, District 135",0934,12,1,13,41,31.71%,8,7,13
"State Representative, District 135",0939,1,0,1,1,100.00%,0,1,1
"State Representative, District 135",0951,79,44,123,218,58.42%,28,94,120
"State Representative, District 135",1018,591,384,955,1828,58.73%,424,488,912
"State Representative, District 135",1023,894,401,1295,1984,85.94%,847,399,1248
"State Representative, District 135",1028,0,1,1,0,0.00%,1,0,1
"State Representative, District 135",Totals:,35525,19574,55099,84191,32023,21030,53053
