Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Larry Taylor,DEM Jacqueline Acquistapace,Totals
"State Senator, District 11",0051,657,349,1006,1568,64.16%,734,229,963
"State Senator, District 11",0076,814,569,1383,2328,59.41%,742,557,1299
"State Senator, District 11",0084,444,346,790,1389,56.88%,556,208,764
"State Senator, District 11",0088,235,162,397,678,58.55%,251,134,385
"State Senator, District 11",0090,1498,958,2456,3571,68.78%,1803,554,2357
"State Senator, District 11",0091,466,333,799,1248,64.02%,494,278,772
"State Senator, District 11",0092,1105,534,1639,2228,73.56%,1116,439,1555
"State Senator, District 11",0174,1554,767,2321,3159,73.47%,1565,627,2192
"State Senator, District 11",0242,363,323,686,1570,43.69%,352,303,655
"State Senator, District 11",0290,577,429,1006,1567,64.20%,756,218,974
"State Senator, District 11",0306,1013,323,1336,1847,72.33%,976,291,1267
"State Senator, District 11",0307,1242,876,2118,2931,72.26%,1473,556,2029
"State Senator, District 11",0333,1018,939,1957,2901,67.46%,1396,479,1875
"State Senator, District 11",0346,1,2,3,1,300.00%,3,0,3
"State Senator, District 11",0347,1250,614,1864,3299,56.50%,1120,660,1780
"State Senator, District 11",0348,751,280,1031,1740,59.25%,736,249,985
"State Senator, District 11",0349,406,407,813,1315,61.83%,471,303,774
"State Senator, District 11",0352,1151,583,1734,3193,54.31%,1182,483,1665
"State Senator, District 11",0377,1055,707,1762,2871,61.37%,1303,368,1671
"State Senator, District 11",0378,559,521,1080,1777,60.78%,672,372,1044
"State Senator, District 11",0391,856,355,1211,1805,67.09%,764,391,1155
"State Senator, District 11",0393,346,318,664,1206,55.06%,291,341,632
"State Senator, District 11",0415,950,633,1583,2124,74.53%,1088,419,1507
"State Senator, District 11",0416,1176,916,2092,3582,58.40%,1065,917,1982
"State Senator, District 11",0419,1006,578,1584,2697,58.73%,1010,504,1514
"State Senator, District 11",0420,2174,1089,3263,4639,70.34%,2632,491,3123
"State Senator, District 11",0470,443,323,766,1349,56.78%,528,195,723
"State Senator, District 11",0471,792,597,1389,2349,59.13%,1051,284,1335
"State Senator, District 11",0473,914,442,1356,1827,74.22%,928,357,1285
"State Senator, District 11",0474,1146,766,1912,3006,63.61%,1340,490,1830
"State Senator, District 11",0476,809,658,1467,2412,60.82%,832,566,1398
"State Senator, District 11",0534,1658,675,2333,3795,61.48%,1678,560,2238
"State Senator, District 11",0537,1454,823,2277,2971,76.64%,1673,516,2189
"State Senator, District 11",0545,1314,857,2171,3339,65.02%,1014,1043,2057
"State Senator, District 11",0561,837,759,1596,3033,52.62%,869,648,1517
"State Senator, District 11",0568,1528,837,2465,3487,70.69%,1575,747,2322
"State Senator, District 11",0654,2103,1344,3447,5765,59.79%,1748,1532,3280
"State Senator, District 11",0655,2612,1451,4063,6304,64.45%,2516,1376,3892
"State Senator, District 11",0662,2477,999,3476,4807,72.31%,2766,600,3366
"State Senator, District 11",0665,951,394,1345,2007,67.02%,1086,202,1288
"State Senator, District 11",0673,1376,643,2019,2988,67.57%,1556,370,1926
"State Senator, District 11",0679,1455,551,2127,3331,63.85%,1554,470,2024
"State Senator, District 11",0682,1674,912,2586,4134,62.55%,1836,648,2484
"State Senator, District 11",0692,1000,717,1717,2626,65.38%,1258,397,1655
"State Senator, District 11",0695,454,320,774,1646,47.02%,475,268,743
"State Senator, District 11",0696,600,373,973,2098,46.38%,593,342,935
"State Senator, District 11",0699,1031,566,1597,2288,69.80%,1010,488,1498
"State Senator, District 11",0703,742,616,1358,1845,73.60%,977,298,1275
"State Senator, District 11",0704,1334,701,2035,2882,70.61%,1621,326,1947
"State Senator, District 11",0715,405,326,731,1380,52.97%,361,338,699
"State Senator, District 11",0716,977,622,1599,2670,59.89%,1105,432,1537
"State Senator, District 11",0718,1844,1019,2863,4050,70.69%,1894,790,2684
"State Senator, District 11",0721,1334,637,1971,2842,69.35%,1315,558,1873
"State Senator, District 11",0724,325,170,495,716,69.13%,333,139,472
"State Senator, District 11",0728,343,208,551,881,62.54%,315,209,524
"State Senator, District 11",0732,701,543,1244,1895,65.65%,748,428,1176
"State Senator, District 11",0744,848,509,1357,2024,67.05%,873,422,1295
"State Senator, District 11",0745,1067,542,1609,2396,67.15%,1008,522,1530
"State Senator, District 11",0746,230,151,381,707,53.89%,177,177,354
"State Senator, District 11",0748,421,307,728,1319,55.19%,324,364,688
"State Senator, District 11",0750,264,147,411,720,57.08%,235,158,393
"State Senator, District 11",0752,571,277,848,1511,56.12%,597,211,808
"State Senator, District 11",0782,851,532,1383,2188,63.21%,845,470,1315
"State Senator, District 11",0791,0,0,0,0,0.00%,0,0,0
"State Senator, District 11",0793,889,338,1227,2437,50.35%,693,487,1180
"State Senator, District 11",0845,85,10,96,100,96.00%,58,33,91
"State Senator, District 11",0907,60,43,103,134,76.87%,21,81,102
"State Senator, District 11",1034,0,0,0,1,0.00%,0,0,0
"State Senator, District 11",1037,27,16,43,73,58.90%,23,17,40
"State Senator, District 11",1040,192,146,338,607,55.68%,177,143,320
