Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Rodney Ellis,Totals
"State Senator, District 13",0007,495,124,619,1058,58.51%,594,594
"State Senator, District 13",0016,457,175,632,947,66.74%,348,348
"State Senator, District 13",0019,423,261,684,995,68.74%,475,475
"State Senator, District 13",0020,578,470,1148,3074,37.35%,832,832
"State Senator, District 13",0021,419,230,649,1013,64.07%,513,513
"State Senator, District 13",0022,888,554,1442,2524,57.13%,1223,1223
"State Senator, District 13",0024,225,121,346,611,56.63%,304,304
"State Senator, District 13",0025,244,304,548,1062,51.60%,509,509
"State Senator, District 13",0031,914,526,1440,2518,57.19%,1385,1385
"State Senator, District 13",0042,505,139,644,1121,57.45%,610,610
"State Senator, District 13",0047,535,345,880,1624,54.19%,857,857
"State Senator, District 13",0048,371,193,564,992,56.85%,507,507
"State Senator, District 13",0068,1198,486,1684,2782,60.53%,1621,1621
"State Senator, District 13",0085,730,548,1278,2079,61.47%,1219,1219
"State Senator, District 13",0104,992,238,1230,1847,66.59%,1190,1190
"State Senator, District 13",0131,604,374,978,1721,56.83%,759,759
"State Senator, District 13",0132,1120,397,1517,2449,61.94%,1453,1453
"State Senator, District 13",0136,981,451,1432,2111,67.84%,1358,1358
"State Senator, District 13",0138,661,259,920,1749,52.60%,872,872
"State Senator, District 13",0140,1311,683,1994,3104,64.24%,1709,1709
"State Senator, District 13",0144,475,204,680,1143,59.49%,657,657
"State Senator, District 13",0145,663,245,908,1580,57.47%,881,881
"State Senator, District 13",0151,316,148,464,846,54.85%,425,425
"State Senator, District 13",0156,1427,457,1884,3134,60.11%,1796,1796
"State Senator, District 13",0158,1304,435,1739,3016,57.66%,1699,1699
"State Senator, District 13",0159,313,187,500,976,51.23%,431,431
"State Senator, District 13",0160,245,140,386,688,56.10%,365,365
"State Senator, District 13",0161,395,190,585,1030,56.80%,565,565
"State Senator, District 13",0168,188,126,314,519,60.50%,301,301
"State Senator, District 13",0180,966,552,1518,2795,54.31%,1438,1438
"State Senator, District 13",0186,204,170,374,795,47.04%,317,317
"State Senator, District 13",0193,341,269,610,1050,58.10%,586,586
"State Senator, District 13",0194,704,504,1208,1735,69.63%,877,877
"State Senator, District 13",0198,143,158,301,657,45.81%,287,287
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Rodney Ellis,Totals
"State Senator, District 13",0201,229,125,354,728,48.63%,341,341
"State Senator, District 13",0202,488,332,820,1479,55.44%,779,779
"State Senator, District 13",0205,856,201,1057,1667,63.41%,1023,1023
"State Senator, District 13",0210,1015,542,1557,2300,67.70%,1378,1378
"State Senator, District 13",0216,784,320,1104,1917,57.59%,1007,1007
"State Senator, District 13",0219,1117,587,1704,2654,64.20%,1539,1539
"State Senator, District 13",0222,1000,792,1792,2384,75.17%,1065,1065
"State Senator, District 13",0223,1350,750,2110,3528,59.81%,1568,1568
"State Senator, District 13",0228,583,165,748,1073,69.71%,710,710
"State Senator, District 13",0230,421,153,574,1096,52.37%,544,544
"State Senator, District 13",0235,466,242,708,1305,54.25%,671,671
"State Senator, District 13",0236,779,342,1121,2144,52.29%,1063,1063
"State Senator, District 13",0237,793,441,1234,2181,56.58%,1195,1195
"State Senator, District 13",0238,640,422,1062,1901,55.87%,1018,1018
"State Senator, District 13",0239,755,357,1122,1997,56.18%,1069,1069
"State Senator, District 13",0240,1158,402,1560,2688,58.04%,1502,1502
"State Senator, District 13",0243,254,50,304,452,67.26%,293,293
"State Senator, District 13",0247,421,403,824,1607,51.28%,792,792
"State Senator, District 13",0252,1111,356,1467,2350,62.43%,1420,1420
"State Senator, District 13",0253,923,325,1248,2252,55.42%,1217,1217
"State Senator, District 13",0256,1059,755,1825,3226,56.57%,1106,1106
"State Senator, District 13",0271,1303,371,1674,2469,67.80%,1625,1625
"State Senator, District 13",0276,1139,404,1543,2532,60.94%,1494,1494
"State Senator, District 13",0284,1135,595,1730,3262,53.03%,1141,1141
"State Senator, District 13",0286,2658,1053,3711,5719,64.89%,3363,3363
"State Senator, District 13",0287,647,542,1189,1616,73.58%,642,642
"State Senator, District 13",0288,1036,380,1416,2259,62.68%,1360,1360
"State Senator, District 13",0292,477,236,713,1272,56.05%,617,617
"State Senator, District 13",0294,989,298,1287,2107,61.08%,1251,1251
"State Senator, District 13",0295,314,189,503,862,58.35%,488,488
"State Senator, District 13",0296,602,432,1034,1693,61.08%,491,491
"State Senator, District 13",0297,577,445,1022,1978,51.67%,660,660
"State Senator, District 13",0311,862,699,1561,2997,52.09%,900,900
"State Senator, District 13",0318,1708,611,2319,3531,65.68%,2196,2196
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Rodney Ellis,Totals
"State Senator, District 13",0319,965,290,1255,2081,60.31%,1159,1159
"State Senator, District 13",0331,0,1,1,0,0.00%,0,0
"State Senator, District 13",0335,285,246,531,1227,43.28%,356,356
"State Senator, District 13",0336,1818,588,2406,3161,76.12%,2187,2187
"State Senator, District 13",0337,310,207,517,951,54.36%,441,441
