Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Walker,DEM John Whitmire,Totals
"State Senator, District 15",0003,660,474,1134,1519,74.65%,428,648,1076
"State Senator, District 15",0004,676,534,1210,1652,73.24%,414,745,1159
"State Senator, District 15",0005,472,518,990,1376,71.95%,356,581,937
"State Senator, District 15",0028,1446,465,1911,2782,68.69%,1077,758,1835
"State Senator, District 15",0030,798,588,1386,2034,68.14%,338,994,1332
"State Senator, District 15",0032,796,556,1352,2171,62.28%,632,636,1268
"State Senator, District 15",0033,1479,843,2322,3540,65.59%,904,1290,2194
"State Senator, District 15",0034,1012,749,1761,2676,65.81%,460,1221,1681
"State Senator, District 15",0035,4,0,4,12,33.33%,1,3,4
"State Senator, District 15",0037,801,479,1280,1885,67.90%,400,812,1212
"State Senator, District 15",0038,1241,673,1914,2703,70.81%,648,1163,1811
"State Senator, District 15",0039,1063,723,1786,2726,65.52%,470,1236,1706
"State Senator, District 15",0040,239,135,374,524,71.37%,179,176,355
"State Senator, District 15",0043,520,372,892,1644,54.26%,385,457,842
"State Senator, District 15",0052,970,620,1590,2299,69.16%,779,724,1503
"State Senator, District 15",0053,1102,884,1986,2808,70.73%,812,1053,1865
"State Senator, District 15",0054,606,402,1008,1408,71.59%,483,479,962
"State Senator, District 15",0055,441,394,835,1305,63.98%,323,466,789
"State Senator, District 15",0057,1273,956,2229,3062,72.80%,851,1263,2114
"State Senator, District 15",0058,881,747,1628,2521,64.58%,662,885,1547
"State Senator, District 15",0059,914,751,1665,2283,72.93%,643,942,1585
"State Senator, District 15",0060,839,664,1503,2263,66.42%,409,1010,1419
"State Senator, District 15",0063,674,400,1074,1784,60.20%,810,222,1032
"State Senator, District 15",0070,1633,726,2359,3142,75.08%,1320,936,2256
"State Senator, District 15",0071,1419,948,2367,3662,64.64%,1194,1046,2240
"State Senator, District 15",0073,499,496,995,1494,66.60%,498,454,952
"State Senator, District 15",0075,481,370,851,1329,64.03%,314,497,811
"State Senator, District 15",0080,1159,481,1640,2712,60.47%,307,1271,1578
"State Senator, District 15",0086,1054,689,1743,2637,66.10%,761,883,1644
"State Senator, District 15",0108,1193,514,1707,3229,52.86%,864,766,1630
"State Senator, District 15",0109,1160,430,1590,2884,55.13%,24,1526,1550
"State Senator, District 15",0113,1125,590,1715,2537,67.60%,936,718,1654
"State Senator, District 15",0117,398,462,860,1878,45.79%,324,498,822
"State Senator, District 15",0122,895,349,1244,2199,56.57%,34,1170,1204
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Walker,DEM John Whitmire,Totals
"State Senator, District 15",0123,440,350,790,1358,58.28%,202,548,750
