Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Joan Huffman,LIB Austin Page,GRN David Courtney,Totals
"State Senator, District 17",0008,661,430,1091,1706,63.95%,590,143,110,843
"State Senator, District 17",0014,758,606,1364,1848,73.81%,795,147,180,1122
"State Senator, District 17",0015,1144,1016,2160,2806,76.98%,1421,173,196,1790
"State Senator, District 17",0017,346,326,672,1105,60.81%,299,101,73,473
"State Senator, District 17",0018,550,483,1033,1396,74.00%,559,109,150,818
"State Senator, District 17",0087,1222,861,2083,2749,75.77%,1457,162,172,1791
"State Senator, District 17",0089,342,454,796,1104,72.10%,544,76,79,699
"State Senator, District 17",0095,1684,671,2355,3179,74.08%,1655,209,168,2032
"State Senator, District 17",0096,364,237,601,1241,48.43%,87,151,61,299
"State Senator, District 17",0116,1626,747,2373,3014,78.73%,1857,164,110,2131
"State Senator, District 17",0118,460,148,608,743,81.83%,496,30,20,546
"State Senator, District 17",0128,936,736,1672,2257,74.08%,1126,136,149,1411
"State Senator, District 17",0129,2294,1449,3743,5495,68.12%,2420,404,280,3104
"State Senator, District 17",0130,1201,523,1724,2240,76.96%,1323,101,94,1518
"State Senator, District 17",0133,1086,940,2026,2605,77.77%,1328,191,197,1716
"State Senator, District 17",0135,1424,634,2058,2750,74.84%,1373,209,156,1738
"State Senator, District 17",0137,305,193,498,740,67.30%,268,66,77,411
"State Senator, District 17",0139,1290,747,2037,2746,74.18%,1072,254,279,1605
"State Senator, District 17",0146,759,614,1373,1953,70.30%,650,220,199,1069
"State Senator, District 17",0148,908,924,1832,2467,74.26%,864,211,346,1421
"State Senator, District 17",0175,1064,867,1931,2506,77.06%,1112,224,221,1557
"State Senator, District 17",0176,626,530,1156,1581,73.12%,680,114,124,918
"State Senator, District 17",0177,672,385,1057,1478,71.52%,662,148,86,896
"State Senator, District 17",0178,914,368,1282,1718,74.62%,903,115,72,1090
"State Senator, District 17",0182,1321,1081,2402,3289,73.03%,1600,198,226,2024
"State Senator, District 17",0183,970,943,1913,2451,78.05%,1409,130,140,1679
"State Senator, District 17",0214,798,544,1342,1795,74.76%,887,141,110,1138
"State Senator, District 17",0215,844,786,1630,2168,75.18%,1053,147,160,1360
"State Senator, District 17",0217,1396,651,2047,2637,77.63%,1402,160,156,1718
"State Senator, District 17",0224,895,649,1544,2259,68.35%,772,178,242,1192
"State Senator, District 17",0227,947,451,1398,1767,79.12%,1074,76,66,1216
"State Senator, District 17",0232,685,546,1231,1696,72.58%,775,116,131,1022
"State Senator, District 17",0233,1826,1063,2889,4132,69.92%,1566,406,372,2344
"State Senator, District 17",0234,2089,885,2974,3854,77.17%,2350,139,96,2585
