Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Tommy Williams,LIB Bob Townsend,Totals
"State Senator, District 4",0097,2393,764,3157,4566,69.14%,2346,303,2649
"State Senator, District 4",0098,874,607,1481,2403,61.63%,1221,107,1328
"State Senator, District 4",0103,1915,1065,2980,4751,62.72%,1650,416,2066
"State Senator, District 4",0199,1408,773,2181,3159,69.04%,1664,235,1899
"State Senator, District 4",0340,1778,833,2611,3717,70.24%,1947,315,2262
"State Senator, District 4",0351,2495,793,3288,4537,72.47%,2655,275,2930
"State Senator, District 4",0357,1633,709,2342,3371,69.47%,1753,296,2049
"State Senator, District 4",0452,1110,639,1749,2810,62.24%,1317,180,1497
"State Senator, District 4",0459,1637,476,2113,2950,71.63%,1699,194,1893
"State Senator, District 4",0469,2039,538,2677,3779,70.84%,2115,244,2359
"State Senator, District 4",0502,1151,332,1483,2364,62.73%,1163,113,1276
"State Senator, District 4",0531,672,113,785,1094,71.76%,616,58,674
"State Senator, District 4",0563,1699,415,2114,2969,71.20%,1649,207,1856
"State Senator, District 4",0590,1158,463,1621,2136,75.89%,1272,167,1439
"State Senator, District 4",0598,335,103,438,724,60.50%,338,38,376
"State Senator, District 4",0604,1446,528,1974,2910,67.84%,1623,168,1791
"State Senator, District 4",0612,1702,579,2281,3272,69.71%,1761,256,2017
"State Senator, District 4",0635,1326,706,2032,3280,61.95%,1569,228,1797
"State Senator, District 4",0636,1793,974,2767,3881,71.30%,2340,197,2537
"State Senator, District 4",0658,985,708,1693,2824,59.95%,1082,266,1348
"State Senator, District 4",0659,2141,1091,3232,4588,70.44%,2325,393,2718
"State Senator, District 4",0670,1566,518,2084,2952,70.60%,1663,194,1857
"State Senator, District 4",0674,2092,813,2905,4055,71.64%,2195,300,2495
"State Senator, District 4",0700,531,287,818,1313,62.30%,667,64,731
"State Senator, District 4",0735,9,0,9,23,39.13%,6,3,9
"State Senator, District 4",0758,1996,783,2779,3781,73.50%,2249,233,2482
"State Senator, District 4",0760,2347,547,2994,4154,72.08%,2528,228,2756
"State Senator, District 4",0914,173,67,240,221,108.60%,186,29,215
"State Senator, District 4",0988,44,21,65,111,58.56%,56,2,58
"State Senator, District 4",1008,86,21,107,150,71.33%,87,9,96
"State Senator, District 4",1009,3,1,4,8,50.00%,4,0,4
"State Senator, District 4",1029,1021,641,1662,1802,92.23%,1315,152,1467
"State Senator, District 4",1031,3,3,6,6,100.00%,5,0,5
"State Senator, District 4",1032,59,80,139,241,57.68%,103,13,116
