Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Patrick,DEM Sam (Tejas) Texas,Totals
"State Senator, District 7",0008,1251,929,2180,3818,80.29%,1212,893,2105
"State Senator, District 7",0041,580,284,844,1197,70.51%,373,449,822
"State Senator, District 7",0050,1901,1110,3011,4782,83.23%,1571,1338,2909
"State Senator, District 7",0058,548,307,855,1285,88.54%,582,248,810
"State Senator, District 7",0074,2212,530,2742,3832,75.50%,2144,501,2845
"State Senator, District 7",0082,1353,818,2189,3284,88.05%,1819,479,2098
"State Senator, District 7",0110,1485,589,2054,2853,71.99%,1282,713,1975
"State Senator, District 7",0111,1888,848,2718,3838,74.88%,2013,805,2818
"State Senator, District 7",0112,1282,888,1930,2894,88.89%,1379,500,1879
"State Senator, District 7",0114,1454,548,2000,2850,75.47%,1570,379,1949
"State Senator, District 7",0120,1197,832,1829,2988,81.25%,1131,825,1758
"State Senator, District 7",0124,3522,1281,4803,5952,80.70%,3834,833,4887
"State Senator, District 7",0125,898,534,1430,2281,82.89%,834,548,1380
"State Senator, District 7",0128,1830,407,2037,2799,72.78%,1781,214,1975
"State Senator, District 7",0127,854,182,1038,1703,80.83%,727,275,1002
"State Senator, District 7",0143,2993,880,3853,4598,79.45%,2588,983,3549
"State Senator, District 7",0155,1957,834,2791,4087,88.29%,1889,802,2891
"State Senator, District 7",0173,1798,819,2417,3105,77.84%,1887,473,2340
"State Senator, District 7",0209,0,4,4,0,0.00%,4,0,4
"State Senator, District 7",0213,1803,939,2542,3308,78.84%,1970,488,2438
"State Senator, District 7",0225,1109,720,1829,3155,57.97%,790,978,1788
"State Senator, District 7",0244,1100,858,1758,2912,80.30%,927,772,1899
"State Senator, District 7",0245,2340,1115,3455,5240,85.94%,2312,1032,3344
"State Senator, District 7",0248,1584,824,2208,2999,73.82%,1499,837,2138
"State Senator, District 7",0258,1577,888,2485,3288,75.02%,1803,542,2345
"State Senator, District 7",0280,420,290,710,1187,59.81%,383,299,882
"State Senator, District 7",0263,1785,719,2504,3319,75.44%,1875,559,2434
"State Senator, District 7",0285,1938,874,2810,3817,72.18%,1948,545,2491
"State Senator, District 7",0273,1139,834,1773,2428,73.08%,1408,298,1704
"State Senator, District 7",0300,3013,922,3935,5040,78.08%,3090,724,3814
"State Senator, District 7",0305,1319,858,2177,3821,80.12%,803,1294,2097
"State Senator, District 7",0309,1385,812,1997,2529,78.98%,1805,325,1930
"State Senator, District 7",0314,2494,1221,3715,5225,71.10%,2275,1333,3808
"State Senator, District 7",0370,3143,1178,4321,5781,74.74%,3302,898,4198
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Patrick,DEM Sam (Tejas) Texas,Totals
"State Senator, District 7",0385,1099,621,1720,2175,79.08%,1291,345,1636
"State Senator, District 7",0398,1438,840,2278,3816,59.70%,1120,1080,2200
"State Senator, District 7",0399,896,593,1489,2542,58.58%,723,728,1451
"State Senator, District 7",0439,1526,905,2431,3416,71.17%,1718,600,2318
"State Senator, District 7",0440,1326,876,2202,2867,76.81%,1718,376,2094
"State Senator, District 7",0441,698,513,1211,1616,74.94%,882,267,1149
"State Senator, District 7",0442,1366,513,1879,2504,75.04%,1551,276,1827
"State Senator, District 7",0451,1575,515,2090,2674,78.16%,1690,348,2038
"State Senator, District 7",0463,1124,656,1780,2962,60.09%,711,999,1710
"State Senator, District 7",0464,786,612,1398,2126,65.76%,968,383,1351
"State Senator, District 7",0465,1465,702,2167,3343,64.82%,1133,981,2114
"State Senator, District 7",0466,2052,729,2781,4072,68.30%,1568,1137,2705
"State Senator, District 7",0477,1441,742,2183,3195,68.33%,1636,488,2124
"State Senator, District 7",0478,1959,898,2857,4150,68.84%,1884,869,2753
