Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Steve Stockman,DEM Max Martin,LIB Michael K. Cole,Totals
"United States Representative, District 36",0012,228,133,381,718,50.42%,188,155,8,349
"United States Representative, District 36",0013,1142,443,1585,2823,58.15%,1022,459,47,1528
"United States Representative, District 36",0028,1448,485,1913,2782,88.78%,1111,888,47,1844
"United States Representative, District 36",0051,859,349,1008,1588,84.29%,720,231,24,975
"United States Representative, District 36",0083,874,400,1074,1784,80.20%,854,184,18,1034
"United States Representative, District 36",0084,444,348,790,1389,58.88%,551,194,23,788
"United States Representative, District 36",0088,235,182,397,878,58.55%,245,130,8,383
"United States Representative, District 36",0090,1499,958,2457,3571,88.80%,1743,554,78,2375
"United States Representative, District 36",0091,488,333,799,1248,84.02%,472,273,37,782
"United States Representative, District 36",0092,1108,534,1840,2228,73.81%,1084,489,38,1591
"United States Representative, District 36",0097,2398,784,3180,4588,89.21%,2283,702,80,3045
"United States Representative, District 36",0099,588,311,879,2040,43.09%,392,449,14,855
"United States Representative, District 36",0100,427,324,751,1754,42.82%,325,375,22,722
"United States Representative, District 36",0102,493,288,781,1910,39.84%,190,535,11,738
"United States Representative, District 36",0103,1915,1085,2980,4751,82.72%,1515,1282,85,2882
"United States Representative, District 36",0141,181,143,324,872,37.18%,198,109,3,308
"United States Representative, District 36",0174,1558,787,2323,3159,73.54%,1548,834,83,2245
"United States Representative, District 36",0220,711,353,1084,2380,45.08%,721,288,31,1018
"United States Representative, District 36",0248,408,405,813,2122,38.31%,178,573,18,789
"United States Representative, District 36",0249,1029,481,1510,2878,58.43%,951,459,48,1458
"United States Representative, District 36",0250,307,247,554,951,58.25%,11,528,2,541
"United States Representative, District 36",0251,810,529,1339,2072,84.82%,58,1228,8,1292
"United States Representative, District 36",0290,579,429,1008,1587,84.33%,744,211,28,981
"United States Representative, District 36",0308,1019,323,1342,1847,72.88%,959,309,32,1300
"United States Representative, District 36",0307,1248,878,2124,2931,72.47%,1417,583,80,2080
"United States Representative, District 36",0333,1019,939,1958,2901,87.49%,1385,488,87,1900
"United States Representative, District 36",0348,1,2,3,1,300.00%,3,0,0,3
"United States Representative, District 36",0347,1251,814,1885,3299,58.53%,1098,838,55,1791
"United States Representative, District 36",0348,751,280,1031,1740,59.25%,729,252,19,1000
"United States Representative, District 36",0352,1152,583,1735,3193,54.34%,1184,475,53,1892
"United States Representative, District 36",0377,1058,707,1783,2871,81.41%,1273,359,59,1891
"United States Representative, District 36",0381,957,424,1381,2715,50.87%,552,752,23,1327
"United States Representative, District 36",0382,278,231,507,841,80.29%,348,132,9,489
"United States Representative, District 36",0388,1488,480,1928,2872,87.08%,1343,477,57,1877
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Steve Stockman,DEM Max Martin,LIB Michael K. Cole,Totals
