Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0001,417,466,883,2358,37.45%,273,558,33,7,871
Attorney General,0002,334,313,647,1961,32.99%,258,353,19,6,636
Attorney General,0003,326,405,731,1560,46.86%,227,452,27,10,716
Attorney General,0004,369,487,856,1668,51.32%,269,536,25,7,837
Attorney General,0005,280,448,728,1417,51.38%,229,449,29,9,716
Attorney General,0006,656,456,1112,3702,30.04%,622,431,37,7,1097
Attorney General,0007,209,110,319,1017,31.37%,13,292,2,4,311
Attorney General,0008,393,310,703,1744,40.31%,334,330,22,8,694
Attorney General,0009,206,223,429,1874,22.89%,110,275,14,16,415
Attorney General,0010,255,171,426,1753,24.30%,122,275,7,6,410
Attorney General,0011,184,176,360,1785,20.17%,68,257,9,4,338
Attorney General,0012,86,66,152,735,20.68%,86,63,3,0,152
Attorney General,0013,548,361,909,2689,33.80%,654,222,15,6,897
Attorney General,0014,442,495,937,1870,50.11%,473,427,12,7,919
Attorney General,0015,597,898,1495,2878,51.95%,781,658,20,8,1467
Attorney General,0016,243,137,380,1071,35.48%,166,190,13,1,370
Attorney General,0017,185,215,400,1162,34.42%,170,201,12,4,387
Attorney General,0018,371,351,722,1443,50.03%,309,373,15,7,704
Attorney General,0019,172,207,379,1170,32.39%,115,247,8,2,372
Attorney General,0020,313,287,600,2646,22.68%,156,406,22,7,591
Attorney General,0021,179,184,363,1122,32.35%,63,277,11,5,356
Attorney General,0022,397,322,719,2473,29.07%,132,560,10,6,708
Attorney General,0023,31,22,53,541,9.80%,8,41,1,1,51
Attorney General,0024,107,88,195,655,29.77%,14,169,8,0,191
Attorney General,0025,105,143,248,1086,22.84%,8,230,4,3,245
Attorney General,0026,241,277,518,1845,28.08%,128,340,15,9,492
Attorney General,0027,453,427,890,3074,28.95%,208,623,22,16,869
Attorney General,0028,637,405,1042,3029,34.40%,673,340,7,3,1023
Attorney General,0029,194,237,431,2638,16.34%,168,235,6,8,417
Attorney General,0030,369,391,760,2403,31.63%,179,544,17,13,753
Attorney General,0031,455,280,735,2511,29.27%,19,693,6,4,722
Attorney General,0032,320,405,725,2398,30.23%,265,414,35,3,717
Attorney General,0033,709,615,1324,3706,35.73%,370,866,47,19,1302
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0034,626,579,1205,2786,43.25%,252,892,32,12,1188
Attorney General,0035,4,0,4,11,36.36%,1,3,0,0,4
Attorney General,0036,416,318,734,2927,25.08%,202,485,14,14,715
Attorney General,0037,542,436,978,2106,46.44%,258,662,26,12,958
Attorney General,0038,786,589,1375,2875,47.83%,415,889,30,18,1352
Attorney General,0039,659,575,1234,2759,44.73%,267,892,34,22,1215
Attorney General,0040,136,152,288,541,53.23%,122,150,4,2,278
Attorney General,0041,176,230,406,1334,30.43%,161,230,8,3,402
Attorney General,0042,228,109,337,1071,31.47%,6,319,1,2,328
Attorney General,0043,293,210,503,1695,29.68%,260,205,12,9,486
Attorney General,0044,204,222,426,2001,21.29%,91,296,18,5,410
Attorney General,0045,894,750,1644,6698,24.54%,324,1246,18,22,1610
Attorney General,0046,290,247,537,2511,21.39%,92,404,18,9,523
Attorney General,0047,213,218,431,1627,26.49%,14,398,4,8,424
Attorney General,0048,158,142,300,940,31.91%,25,269,2,2,298
Attorney General,0049,584,482,1066,3343,31.89%,762,263,19,8,1052
Attorney General,0050,785,771,1556,5211,29.86%,834,658,30,17,1539
Attorney General,0051,353,243,596,1689,35.29%,439,135,9,4,587
Attorney General,0052,422,447,869,2457,35.37%,386,446,23,6,861
Attorney General,0053,564,726,1290,2971,43.42%,480,743,36,13,1272
Attorney General,0054,270,364,634,1487,42.64%,302,298,20,6,626
Attorney General,0055,191,251,442,1506,29.35%,182,221,24,4,431
Attorney General,0056,282,278,560,1326,42.23%,358,177,13,2,550
Attorney General,0057,710,831,1541,3153,48.87%,543,911,35,23,1512
Attorney General,0058,470,556,1026,2690,38.14%,391,560,43,12,1006
Attorney General,0059,555,609,1164,2544,45.75%,414,679,41,15,1149
Attorney General,0060,500,564,1064,2453,43.38%,240,752,29,26,1047
Attorney General,0061,172,204,376,1773,21.21,%,145,203,6,4,358
Attorney General,0062,145,322,467,2181,21.41%,122,311,11,5,449
Attorney General,0063,264,354,618,1826,33.84%,492,108,11,2,613
Attorney General,0064,191,221,412,2141,19.24%,87,289,9,4,389
Attorney General,0065,172,230,402,2167,18.55%,93,274,12,9,388
Attorney General,0066,69,143,212,1098,19.31%,36,164,4,3,207
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0067,304,282,586,2794,20.97%,159,376,17,7,559
Attorney General,0068,553,352,905,2924,30.95%,21,851,3,12,887
Attorney General,0069,80,124,204,1284,15.89%,43,147,3,0,193
Attorney General,0070,882,664,1546,3337,46.33%,835,647,34,10,1526
Attorney General,0071,602,722,1324,4197,31.55%,604,637,59,10,1310
Attorney General,0072,220,293,513,1924,26.66%,164,308,19,10,501
Attorney General,0073,252,414,666,1555,42.83%,362,263,15,7,647
Attorney General,0074,1153,782,1935,3583,54.01%,1492,395,21,3,1911
Attorney General,0075,254,280,534,1444,36.98%,184,314,24,6,528
Attorney General,0076,373,374,747,2362,31.63%,427,291,12,5,735
Attorney General,0077,43,46,89,566,15.72%,18,68,2,0,88
Attorney General,0078,181,201,382,1522,25.10%,134,222,12,5,373
Attorney General,0079,205,306,511,2927,17.46%,128,344,13,3,488
Attorney General,0080,501,351,852,2725,31.27%,215,592,15,10,832
Attorney General,0081,183,187,370,1835,20.16%,148,201,8,3,360
Attorney General,0082,639,671,1310,3368,38.90%,966,294,27,10,1297
Attorney General,0083,1298,888,2186,6625,33.00%,1050,1066,27,11,2154
Attorney General,0084,208,218,426,1373,31.03%,306,104,7,1,418
Attorney General,0085,271,248,519,2173,23.88%,23,479,4,6,512
Attorney General,0086,448,568,1016,2910,34.91%,432,533,32,4,1001
Attorney General,0087,574,787,1461,2818,51.85%,836,575,31,4,1446
Attorney General,0088,123,118,241,693,34.78%,158,72,4,2,236
Attorney General,0089,165,371,536,1094,48.99%,257,251,8,4,520
Attorney General,0090,845,790,1635,3700,44.19%,1159,413,44,5,1621
Attorney General,0091,221,222,443,1505,29.44%,257,167,14,1,439
Attorney General,0092,695,462,1157,2242,51.61%,751,361,22,5,1139
Attorney General,0093,381,301,582,3356,20.32%,270,361,15,8,654
Attorney General,0094,51,43,94,549,17.12%,28,62,2,1,93
Attorney General,0095,917,576,1493,3177,46.99%,1048,392,28,5,1473
Attorney General,0096,83,83,166,1296,12.81%,22,142,0,2,166
Attorney General,0097,1024,725,1749,4828,36.23%,1300,405,22,6,1733
Attorney General,0098,403,488,891,2651,33.61%,731,121,19,8,879
Attorney General,0099,254,184,438,2092,20.94%,207,214,8,5,434
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0100,165,173,338,1730,19.54%,174,147,9,3,333
Attorney General,0101,72,58,130,946,13.74%,46,76,6,1,129
Attorney General,0102,207,121,328,1872,17.52%,88,225,6,0,319
Attorney General,0103,700,714,1414,5371,26.33%,806,563,19,8,1396
Attorney General,0104,530,231,761,1905,39.95%,18,727,2,3,750
Attorney General,0105,196,210,406,2165,18.75%,133,235,11,5,384
Attorney General,0106,18,7,25,294,8.50%,16,9,0,0,25
Attorney General,0107,154,197,351,2032,17.27%,56,277,5,6,344
Attorney General,0108,558,272,940,3365,27.93%,563,343,18,4,928
Attorney General,0109,530,245,775,2824,27.44%,9,748,2,5,764
Attorney General,0110,854,494,1148,3042,37.74%,742,368,17,5,1132
Attorney General,0111,816,795,1611,4102,39.27%,1178,377,36,3,1594
Attorney General,0112,542,485,1027,2976,34.51%,760,239,19,3,1021
Attorney General,0113,552,429,991,2647,37.44%,582,358,20,15,975
Attorney General,0114,707,547,1254,3311,37.87%,1008,216,19,4,1247
Attorney General,0115,238,150,388,1800,21.56%,53,319,1,4,377
Attorney General,0116,982,776,1758,3147,55.86%,1295,396,35,2,1728
Attorney General,0117,216,226,442,1880,23.51%,217,207,8,3,435
Attorney General,0118,304,123,427,759,56.26%,333,81,10,1,425
Attorney General,0119,1290,1024,2314,5500,42.07%,1853,386,38,9,2286
Attorney General,0120,713,422,1135,3191,35.57%,732,364,16,8,1120
