Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0001,417,466,883,2358,37.45%,289,538,827
"Chief Justice, 14th Court of Appeals District",0002,333,313,646,1961,32.94%,270,337,607
"Chief Justice, 14th Court of Appeals District",0003,326,405,731,1560,46.86%,258,409,667
"Chief Justice, 14th Court of Appeals District",0004,369,487,856,1668,51.32%,316,486,802
"Chief Justice, 14th Court of Appeals District",0005,279,448,727,1417,51.31%,258,424,682
"Chief Justice, 14th Court of Appeals District",0006,656,456,1112,3702,30.04%,641,442,1083
"Chief Justice, 14th Court of Appeals District",0007,209,110,319,1017,31.37%,12,295,307
"Chief Justice, 14th Court of Appeals District",0008,393,310,703,1744,40.31%,356,321,677
"Chief Justice, 14th Court of Appeals District",0009,206,223,429,1874,22.89%,117,284,401
"Chief Justice, 14th Court of Appeals District",0010,255,171,426,1753,24.30%,119,278,397
"Chief Justice, 14th Court of Appeals District",0011,184,176,360,1785,20.17%,71,262,333
"Chief Justice, 14th Court of Appeals District",0012,86,66,152,735,20.68%,86,62,148
"Chief Justice, 14th Court of Appeals District",0013,548,361,909,2689,33.80%,659,212,871
"Chief Justice, 14th Court of Appeals District",0014,442,495,937,1870,50.11%,498,395,893
"Chief Justice, 14th Court of Appeals District",0015,597,898,1495,2878,51.95%,905,498,1403
"Chief Justice, 14th Court of Appeals District",0016,239,137,376,1071,35.11%,174,184,358
"Chief Justice, 14th Court of Appeals District",0017,185,215,400,1162,34.42%,181,194,375
"Chief Justice, 14th Court of Appeals District",0018,371,351,722,1443,50.03%,357,324,681
"Chief Justice, 14th Court of Appeals District",0019,171,207,378,1170,32.31%,128,233,361
"Chief Justice, 14th Court of Appeals District",0020,312,287,599,2646,22.64%,175,396,571
"Chief Justice, 14th Court of Appeals District",0021,178,184,362,1122,32.26%,71,277,348
"Chief Justice, 14th Court of Appeals District",0022,397,322,719,2473,29.07%,136,561,697
"Chief Justice, 14th Court of Appeals District",0023,31,22,53,541,9.80%,8,44,52
"Chief Justice, 14th Court of Appeals District",0024,106,88,194,655,29.62%,14,172,186
"Chief Justice, 14th Court of Appeals District",0025,105,143,248,1086,22.84%,11,232,243
"Chief Justice, 14th Court of Appeals District",0026,239,277,516,1845,27.97%,130,344,474
"Chief Justice, 14th Court of Appeals District",0027,463,427,890,3074,28.95%,218,627,845
"Chief Justice, 14th Court of Appeals District",0028,636,405,1041,3029,34.37%,684,316,1000
"Chief Justice, 14th Court of Appeals District",0029,194,237,431,2638,16.34%,166,242,408
"Chief Justice, 14th Court of Appeals District",0030,368,391,759,2403,31.59%,201,532,733
"Chief Justice, 14th Court of Appeals District",0031,453,280,733,2511,29.19%,17,696,713
"Chief Justice, 14th Court of Appeals District",0032,318,405,723,2398,30.15%,290,396,686
"Chief Justice, 14th Court of Appeals District",0033,707,615,1322,3706,35.67%,440,818,1258
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0034,625,579,1204,2786,43.22%,289,860,1149
"Chief Justice, 14th Court of Appeals District",0035,4,0,4,11,36.36%,1,3,4
"Chief Justice, 14th Court of Appeals District",0036,416,318,734,2927,25.08%,205,491,696
"Chief Justice, 14th Court of Appeals District",0037,542,436,978,2106,46.44%,300,624,924
"Chief Justice, 14th Court of Appeals District",0038,784,589,1373,2875,47.76%,474,828,1302
"Chief Justice, 14th Court of Appeals District",0039,657,575,1232,2759,44.65%,308,860,1168
"Chief Justice, 14th Court of Appeals District",0040,136,152,288,541,53.23%,142,127,269
"Chief Justice, 14th Court of Appeals District",0041,176,230,406,1334,30.43%,170,227,397
"Chief Justice, 14th Court of Appeals District",0042,228,109,337,1071,31.47%,6,324,330
"Chief Justice, 14th Court of Appeals District",0043,293,210,503,1695,29.68%,276,202,478
"Chief Justice, 14th Court of Appeals District",0044,204,222,426,2001,21.29%,98,301,399
"Chief Justice, 14th Court of Appeals District",0045,894,750,1644,6698,24.54%,306,1288,1594
"Chief Justice, 14th Court of Appeals District",0046,290,247,537,2511,21.39%,94,417,511
"Chief Justice, 14th Court of Appeals District",0047,213,218,431,1627,26.49%,15,407,422
"Chief Justice, 14th Court of Appeals District",0048,157,142,299,940,31.81%,26,267,293
"Chief Justice, 14th Court of Appeals District",0049,584,482,1066,3343,31.89%,778,262,1040
"Chief Justice, 14th Court of Appeals District",0050,785,771,1556,5211,29.86%,857,656,1513
"Chief Justice, 14th Court of Appeals District",0051,353,243,596,1689,35.29%,449,132,581
"Chief Justice, 14th Court of Appeals District",0052,422,447,869,2457,35.37%,407,415,822
"Chief Justice, 14th Court of Appeals District",0053,564,726,1290,2971,43.42%,544,679,1223
"Chief Justice, 14th Court of Appeals District",0054,269,364,633,1487,42.57%,321,280,601
"Chief Justice, 14th Court of Appeals District",0055,191,251,442,1506,29.35%,201,218,419
"Chief Justice, 14th Court of Appeals District",0056,282,278,560,1326,42.23%,376,160,536
"Chief Justice, 14th Court of Appeals District",0057,710,831,1541,3153,48.87%,607,841,1448
"Chief Justice, 14th Court of Appeals District",0058,469,556,1025,2690,38.10%,440,542,982
"Chief Justice, 14th Court of Appeals District",0059,555,609,1164,2544,45.75%,458,644,1102
"Chief Justice, 14th Court of Appeals District",0060,499,564,1063,2453,43.33%,265,730,995
"Chief Justice, 14th Court of Appeals District",0061,172,204,376,1773,21.21%,158,193,351
"Chief Justice, 14th Court of Appeals District",0062,145,322,467,2181,21.41%,120,319,439
"Chief Justice, 14th Court of Appeals District",0063,264,354,618,1826,33.84%,501,103,604
"Chief Justice, 14th Court of Appeals District",0064,191,221,412,2141,19.24%,87,300,387
"Chief Justice, 14th Court of Appeals District",0065,172,230,402,2167,18.55%,95,284,379
"Chief Justice, 14th Court of Appeals District",0066,69,143,212,1098,19.31%,40,161,201
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0067,304,282,586,2794,20.97%,167,382,549
"Chief Justice, 14th Court of Appeals District",0068,553,352,905,2924,30.95%,18,865,883
"Chief Justice, 14th Court of Appeals District",0069,80,124,204,1284,15.89%,43,150,193
"Chief Justice, 14th Court of Appeals District",0070,882,664,1546,3337,46.33%,925,537,1462
"Chief Justice, 14th Court of Appeals District",0071,602,722,1324,4197,31.55%,649,620,1269
"Chief Justice, 14th Court of Appeals District",0072,220,293,513,1924,26.66%,168,321,489
"Chief Justice, 14th Court of Appeals District",0073,252,414,666,1555,42.83%,375,245,620
"Chief Justice, 14th Court of Appeals District",0074,1153,782,1935,3583,54.01%,1512,340,1852
"Chief Justice, 14th Court of Appeals District",0075,254,280,534,1444,36.98%,203,302,505
"Chief Justice, 14th Court of Appeals District",0076,373,374,747,2362,31.63%,437,284,721
"Chief Justice, 14th Court of Appeals District",0077,43,46,89,566,15.72%,20,66,86
"Chief Justice, 14th Court of Appeals District",0078,180,201,381,1522,25.03%,135,224,359
"Chief Justice, 14th Court of Appeals District",0079,205,306,511,2927,17.46%,131,342,473
"Chief Justice, 14th Court of Appeals District",0080,501,351,852,2725,31.27%,213,597,810
"Chief Justice, 14th Court of Appeals District",0081,183,187,370,1835,20.16%,142,210,352
"Chief Justice, 14th Court of Appeals District",0082,639,671,1310,3368,38.90%,993,281,1274
"Chief Justice, 14th Court of Appeals District",0083,1296,888,2184,6625,32.97%,1075,1045,2120
"Chief Justice, 14th Court of Appeals District",0084,208,218,426,1373,31.03%,311,100,411
