Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Nathan Hecht,DEM William Moody,LIB Tom Oxford,Totals
"Chief Justice, Supreme Court",0001,417,466,883,2358,37.45%,297,522,35,854
"Chief Justice, Supreme Court",0002,334,313,647,1961,32.99%,264,333,32,629
"Chief Justice, Supreme Court",0003,326,405,731,1560,46.86%,255,414,29,698
"Chief Justice, Supreme Court",0004,369,487,856,1668,51,32%,324,471,29,824
"Chief Justice, Supreme Court",0005,280,448,728,1417,51,38%,246,419,31,696
"Chief Justice, Supreme Court",0006,656,456,1112,3702,30.04%,627,420,42,1089
"Chief Justice, Supreme Court",0007,209,110,319,1017,31.37%,11,298,2,311
"Chief Justice, Supreme Court",0008,393,310,703,1744,40.31%,355,314,20,689
"Chief Justice, Supreme Court",0009,206,223,429,1874,22.89%,115,272,17,404
"Chief Justice, Supreme Court",0010,255,171,426,1753,24.30%,118,277,11,406
"Chief Justice, Supreme Court",0011,184,176,360,1785,20.17%,74,258,7,339
"Chief Justice, Supreme Court",0012,86,66,152,735,20.68%,83,62,4,149
"Chief Justice, Supreme Court",0013,548,361,909,2689,33.80%,661,205,20,886
"Chief Justice, Supreme Court",0014,442,495,937,1870,50.11%,521,376,19,916
"Chief Justice, Supreme Court",0015,597,898,1495,2878,51.95%,915,500,25,1440
"Chief Justice, Supreme Court",0016,243,137,380,1071,35.48%,174,179,16,369
"Chief Justice, Supreme Court",0017,185,215,400,1162,34.42%,176,196,13,385
"Chief Justice, Supreme Court",0018,371,351,722,1443,50.03%,359,318,21,698
"Chief Justice, Supreme Court",0019,172,207,379,1170,32.39%,125,234,13,372
"Chief Justice, Supreme Court",0020,313,287,600,2646,22.68%,168,389,25,582
"Chief Justice, Supreme Court",0021,179,184,363,1122,32.35%,75,261,15,351
"Chief Justice, Supreme Court",0022,397,322,719,2473,29.07%,139,557,9,705
"Chief Justice, Supreme Court",0023,31,22,53,541,9.80%,8,42,1,51
"Chief Justice, Supreme Court",0024,107,88,195,655,29.77%,14,170,6,190
"Chief Justice, Supreme Court",0025,105,143,248,1086,22.84%,8,232,4,244
"Chief Justice, Supreme Court",0026,241,277,518,1845,28.08%,139,329,13,481
"Chief Justice, Supreme Court",0027,463,427,890,3074,28.95%,221,614,24,859
"Chief Justice, Supreme Court",0028,637,405,1042,3029,34.40%,679,318,17,1014
"Chief Justice, Supreme Court",0029,194,237,431,2638,16.34%,166,235,12,413
"Chief Justice, Supreme Court",0030,369,391,760,2403,31.63%,190,530,26,746
"Chief Justice, Supreme Court",0031,455,280,735,2511,29.27%,22,694,5,721
"Chief Justice, Supreme Court",0032,320,405,725,2398,30.23%,282,379,43,704
"Chief Justice, Supreme Court",0033,709,615,1324,3706,35.73%,422,812,51,1285
"Chief Justice, Supreme Court",0034,626,579,1205,2786,43.25%,291,831,45,1167
"Chief Justice, Supreme Court",0035,4,0,4,11,36.36%,1,3,0,4
"Chief Justice, Supreme Court",0036,416,318,734,2927,25.08%,202,490,12,704
"Chief Justice, Supreme Court",0037,542,436,978,2106,46.44%,294,615,31,940
"Chief Justice, Supreme Court",0038,786,589,1375,2875,47.83%,488,804,39,1331
"Chief Justice, Supreme Court",0039,659,575,1234,2759,44.73%,326,823,41,1190
"Chief Justice, Supreme Court",0040,136,152,288,541,53.23%,154,115,7,276
"Chief Justice, Supreme Court",0041,176,230,406,1334,30.43%,164,226,9,399
"Chief Justice, Supreme Court",0042,228,109,337,1071,31.47%,7,317,5,329
"Chief Justice, Supreme Court",0043,293,210,503,1695,29.68%,272,190,18,480
"Chief Justice, Supreme Court",0044,204,222,426,2001,21.29%,97,295,16,408
"Chief Justice, Supreme Court",0045,894,750,1644,6698,24.54%,316,1273,17,1606
"Chief Justice, Supreme Court",0046,290,247,537,2511,21.39%,93,411,15,519
"Chief Justice, Supreme Court",0047,213,218,431,1627,26.49%,16,401,6,423
"Chief Justice, Supreme Court",0048,158,142,300,940,31.91%,24,272,2,298
"Chief Justice, Supreme Court",0049,584,482,1066,3343,31.89%,773,252,19,1044
"Chief Justice, Supreme Court",0050,785,771,1556,5211,29.86%,835,650,39,1524
"Chief Justice, Supreme Court",0051,353,243,596,1689,35.29%,432,134,18,584
"Chief Justice, Supreme Court",0052,422,447,869,2457,35.37%,408,403,28,839
"Chief Justice, Supreme Court",0053,564,726,1290,2971,43.42%,538,658,53,1249
"Chief Justice, Supreme Court",0054,270,364,634,1487,42.64%,326,276,19,621
"Chief Justice, Supreme Court",0055,191,251,442,1506,29.35%,188,218,18,424
