Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0001,417,466,883,2358,37.45%,290,496,37,32,855
Commissioner of Agriculture,0002,334,313,647,1961,32.99%,260,312,25,21,618
Commissioner of Agriculture,0003,326,405,731,1560,46.86%,251,377,32,30,690
Commissioner of Agriculture,0004,369,487,856,1668,51.32%,303,438,36,44,821
Commissioner of Agriculture,0005,280,448,728,1417,51.38%,253,389,26,23,691
Commissioner of Agriculture,0006,656,456,1112,3702,30.04%,600,428,45,14,1087
Commissioner of Agriculture,0007,209,110,319,1017,31.37%,14,296,1,0,311
Commissioner of Agriculture,0008,393,310,703,1744,40.31%,345,303,22,16,686
Commissioner of Agriculture,0009,206,223,429,1874,22.89%,106,264,13,24,407
Commissioner of Agriculture,0010,255,171,426,1753,24.30%,115,274,7,11,407
Commissioner of Agriculture,0011,184,176,360,1785,20.17%,66,258,6,7,337
Commissioner of Agriculture,0012,86,66,152,735,20.68%,77,66,4,2,149
Commissioner of Agriculture,0013,548,361,909,2689,33.80%,641,215,20,11,887
Commissioner of Agriculture,0014,442,495,937,1870,50.11%,500,366,19,17,902
Commissioner of Agriculture,0015,597,898,1495,2878,51.95%,876,498,17,25,1416
Commissioner of Agriculture,0016,243,137,380,1071,35.48%,168,170,18,10,366
Commissioner of Agriculture,0017,185,215,400,1162,34.42%,171,192,12,6,381
Commissioner of Agriculture,0018,371,351,722,1443,50.03%,340,307,18,26,691
Commissioner of Agriculture,0019,172,207,379,1170,32.39%,117,224,14,8,363
Commissioner of Agriculture,0020,313,287,600,2646,22.68%,160,362,33,19,574
Commissioner of Agriculture,0021,179,184,363,1122,32.35%,74,253,12,12,351
Commissioner of Agriculture,0022,397,322,719,2473,29.07%,136,553,8,10,707
Commissioner of Agriculture,0023,31,22,53,541,9.80%,9,41,1,0,51
Commissioner of Agriculture,0024,107,88,195,655,29.77%,15,169,4,2,190
Commissioner of Agriculture,0025,105,143,248,1086,22.84%,9,225,2,9,245
Commissioner of Agriculture,0026,241,277,518,1845,28.08%,130,305,12,32,479
Commissioner of Agriculture,0027,453,427,890,3074,28.95%,222,581,18,39,860
Commissioner of Agriculture,0028,637,405,1042,3029,34.40%,661,318,17,10,1006
Commissioner of Agriculture,0029,194,237,431,2638,16.34%,161,234,8,12,415
Commissioner of Agriculture,0030,369,391,760,2403,31.63%,176,509,30,21,736
Commissioner of Agriculture,0031,455,280,735,2511,29.27%,16,694,6,2,718
Commissioner of Agriculture,0032,320,405,725,2398,30.23%,270,370,44,12,696
Commissioner of Agriculture,0033,709,615,1324,3706,35.73%,416,750,49,53,1268
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0034,626,579,1205,2786,43.25%,265,793,46,52,1156
Commissioner of Agriculture,0035,4,0,4,11,36.36%,1,3,0,0,4
Commissioner of Agriculture,0036,416,318,734,2927,25.08%,198,479,11,17,705
Commissioner of Agriculture,0037,542,436,978,2106,46.44%,272,594,29,38,933
Commissioner of Agriculture,0038,786,589,1375,2875,47.83%,457,770,46,56,1329
Commissioner of Agriculture,0039,659,575,1234,2759,44.73%,309,784,37,49,1179
Commissioner of Agriculture,0040,136,152,288,541,53.23%,145,119,6,4,274
Commissioner of Agriculture,0041,176,230,406,1334,30.43%,165,220,9,6,400
