Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0001,417,466,883,2358,37.45%,305,507,29,23,864
Commissioner of the General Land Office,0002,334,313,647,1961,32.99%,282,304,21,18,625
Commissioner of the General Land Office,0003,326,405,731,1560,46.86%,287,380,27,13,707
Commissioner of the General Land Office,0004,369,487,856,1668,51.32%,322,451,30,24,827
Commissioner of the General Land Office,0005,280,448,728,1417,51.38%,265,394,23,19,701
Commissioner of the General Land Office,0006,656,456,1112,3702,30.04%,618,410,49,20,1097
Commissioner of the General Land Office,0007,209,110,319,1017,31.37%,12,295,3,1,311
Commissioner of the General Land Office,0008,393,310,703,1744,40.31%,356,294,18,21,689
Commissioner of the General Land Office,0009,206,223,429,1874,22.89%,121,264,10,12,407
Commissioner of the General Land Office,0010,255,171,426,1753,24.30%,127,262,6,15,410
Commissioner of the General Land Office,0011,184,176,360,1785,20.17%,68,258,6,6,338
Commissioner of the General Land Office,0012,86,66,152,735,20.68%,86,61,3,0,150
Commissioner of the General Land Office,0013,548,361,909,2689,33.80%,676,199,14,9,898
Commissioner of the General Land Office,0014,442,495,937,1870,50.11%,505,369,23,14,911
Commissioner of the General Land Office,0015,597,898,1495,2878,51.95%,954,468,18,11,1451
Commissioner of the General Land Office,0016,243,137,380,1071,35.48%,183,168,17,6,374
Commissioner of the General Land Office,0017,185,215,400,1162,34.42%,186,188,8,6,388
Commissioner of the General Land Office,0018,371,351,722,1443,50.03%,368,317,14,10,709
Commissioner of the General Land Office,0019,172,207,379,1170,32.39%,132,223,6,7,368
Commissioner of the General Land Office,0020,313,287,600,2646,22.68%,181,364,24,15,584
Commissioner of the General Land Office,0021,179,184,363,1122,32.35%,81,257,12,5,355
Commissioner of the General Land Office,0022,397,322,719,2473,29.07%,150,544,7,9,710
Commissioner of the General Land Office,0023,31,22,53,541,9.80%,9,41,0,1,51
Commissioner of the General Land Office,0024,107,88,195,655,29.77%,12,170,5,3,190
Commissioner of the General Land Office,0025,105,143,248,1086,22.84%,12,226,1,6,245
Commissioner of the General Land Office,0026,241,277,518,1845,28.08%,157,311,7,15,490
Commissioner of the General Land Office,0027,463,427,890,3074,28.95%,254,561,24,33,872
Commissioner of the General Land Office,0028,637,405,1042,3029,34.40%,692,306,16,5,1019
Commissioner of the General Land Office,0029,194,237,431,2638,16.34%,176,225,6,11,418
Commissioner of the General Land Office,0030,369,391,760,2403,31.63%,201,501,26,19,747
Commissioner of the General Land Office,0031,455,280,735,2511,29.27%,20,693,2,5,720
Commissioner of the General Land Office,0032,320,405,725,2398,30.23%,292,370,28,14,704
Commissioner of the General Land Office,0033,709,615,1324,3706,35.73%,455,754,45,34,1288
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0034,626,579,1205,2786,43.25%,294,808,38,28,1168
Commissioner of the General Land Office,0035,4,0,4,11,36.36%,1,3,0,0,4
Commissioner of the General Land Office,0036,416,318,734,2927,25.08%,209,477,11,16,713
Commissioner of the General Land Office,0037,542,436,978,2106,46.44%,295,605,23,20,943
Commissioner of the General Land Office,0038,786,589,1375,2875,47.83%,511,761,30,36,1338
Commissioner of the General Land Office,0039,659,575,1234,2759,44.73%,352,779,30,41,1202
Commissioner of the General Land Office,0040,136,152,288,541,53.23%,154,120,3,3,280
Commissioner of the General Land Office,0041,176,230,406,1334,30.43%,169,218,12,4,403
Commissioner of the General Land Office,0042,228,109,337,1071,31.47%,7,321,1,1,330
Commissioner of the General Land Office,0043,293,210,503,1695,29.68%,268,193,13,12,486
Commissioner of the General Land Office,0044,204,222,426,2001,21.29%,111,273,16,10,410
Commissioner of the General Land Office,0045,894,750,1644,6698,24.54%,319,1261,17,17,1614
Commissioner of the General Land Office,0046,290,247,537,2511,21.39%,115,384,6,19,524
Commissioner of the General Land Office,0047,213,218,431,1627,26.49%,14,402,2,6,424
Commissioner of the General Land Office,0048,158,142,300,940,31.91%,26,266,2,3,297
Commissioner of the General Land Office,0049,584,482,1066,3343,31.89%,774,245,27,7,1053
Commissioner of the General Land Office,0050,785,771,1556,5211,29.86%,837,637,37,22,1533
Commissioner of the General Land Office,0051,353,243,596,1689,35.29%,438,130,14,7,589
Commissioner of the General Land Office,0052,422,447,869,2457,35.37%,426,381,26,12,845
Commissioner of the General Land Office,0053,564,726,1290,2971,43.42%,555,635,35,27,1252
Commissioner of the General Land Office,0054,270,364,634,1487,42.64%,334,259,15,11,619
Commissioner of the General Land Office,0055,191,251,442,1506,29.35%,196,207,16,9,428
Commissioner of the General Land Office,0056,282,278,560,1326,42.23%,369,145,20,6,540
Commissioner of the General Land Office,0057,710,831,1541,3153,48.87%,636,799,25,32,1492
Commissioner of the General Land Office,0058,470,556,1026,2690,38.14%,438,505,34,20,997
Commissioner of the General Land Office,0059,555,609,1164,2544,45.75%,461,595,39,43,1138
