Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0001,417,466,883,2358,37.45%,266,539,44,12,861
Comptroller of Public Accounts,0002,334,313,647,1961,32.99%,255,340,22,11,628
Comptroller of Public Accounts,0003,325,405,731,1560,46.86%,234,420,23,15,692
Comptroller of Public Accounts,0004,369,487,856,1668,51.32%,271,507,34,11,823
Comptroller of Public Accounts,0005,280,448,728,1417,51.38%,224,449,19,14,706
Comptroller of Public Accounts,0006,656,456,1112,3702,30.04%,600,439,36,16,1091
Comptroller of Public Accounts,0007,209,110,319,1017,31.37%,12,299,1,0,312
Comptroller of Public Accounts,0008,393,310,703,1744,40.31%,331,330,20,9,690
Comptroller of Public Accounts,0009,206,223,429,1874,22.89%,109,274,16,9,408
Comptroller of Public Accounts,0010,255,171,426,1753,24.30%,119,267,9,10,405
Comptroller of Public Accounts,0011,184,176,360,1785,20.17%,69,256,9,10,344
Comptroller of Public Accounts,0012,86,66,152,735,20.68%,82,64,4,0,150
Comptroller of Public Accounts,0013,548,361,909,2689,33.80%,647,224,12,5,888
Comptroller of Public Accounts,0014,442,495,937,1870,50.11%,468,422,13,7,910
Comptroller of Public Accounts,0015,597,898,1495,2878,51.95%,775,633,24,9,1441
Comptroller of Public Accounts,0016,243,137,380,1071,35.48%,166,184,16,3,369
Comptroller of Public Accounts,0017,185,215,400,1162,34.42%,166,203,12,6,387
Comptroller of Public Accounts,0018,371,351,722,1443,50.03%,310,369,13,7,699
Comptroller of Public Accounts,0019,172,207,379,1170,32.39%,115,241,8,2,366
Comptroller of Public Accounts,0020,313,287,600,2646,22.68%,154,393,29,7,583
Comptroller of Public Accounts,0021,179,184,363,1122,32.35%,67,259,15,11,352
Comptroller of Public Accounts,0022,397,322,719,2473,29.07%,126,564,9,8,707
Comptroller of Public Accounts,0023,31,22,53,541,9.80%,9,42,0,0,51
Comptroller of Public Accounts,0024,107,88,195,655,29.77%,14,171,3,3,191
Comptroller of Public Accounts,0025,105,143,248,1086,22.84%,13,226,1,4,244
Comptroller of Public Accounts,0026,241,277,518,1845,28.08%,120,338,11,16,485
Comptroller of Public Accounts,0027,453,427,890,3074,28.95%,205,618,25,25,873
Comptroller of Public Accounts,0028,637,405,1042,3029,34.40%,658,331,12,5,1006
Comptroller of Public Accounts,0029,194,237,431,2638,16.34%,169,230,7,10,416
Comptroller of Public Accounts,0030,369,391,760,2403,31.63%,175,524,30,9,738
Comptroller of Public Accounts,0031,455,280,735,2511,29.27%,16,697,2,4,719
Comptroller of Public Accounts,0032,320,405,725,2398,30.23%,268,380,45,7,700
Comptroller of Public Accounts,0033,709,615,1324,3706,35.73%,393,814,50,24,1281
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0034,626,579,1205,2786,43.25%,248,860,41,20,1169
Comptroller of Public Accounts,0035,4,0,4,11,36.36%,1,3,0,0,4
Comptroller of Public Accounts,0036,416,318,734,2927,25.08%,193,488,16,11,708
Comptroller of Public Accounts,0037,542,436,978,2106,46.44%,260,637,28,12,937
Comptroller of Public Accounts,0038,786,589,1375,2875,47.83%,409,857,44,26,1336
Comptroller of Public Accounts,0039,659,575,1234,2759,44.73%,273,865,31,28,1197
