Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0001,417,466,883,2358,37.45%,291,542,833
County Clerk,0002,333,313,646,1961,32.94%,272,339,611
County Clerk,0003,326,405,731,1560,46.86%,260,408,668
County Clerk,0004,369,487,856,1668,51.32%,319,486,805
County Clerk,0005,279,448,727,1417,51.31,%,260,423,683
County Clerk,0006,656,456,1112,3702,30.04%,628,449,1077
County Clerk,0007,209,110,319,1017,31.37%,10,303,313
County Clerk,0008,393,310,703,1744,40.31%,361,323,684
County Clerk,0009,206,223,429,1874,22.89%,117,282,399
County Clerk,0010,255,171,426,1753,24.30%,122,274,396
County Clerk,0011,184,176,360,1785,20.17%,68,270,338
County Clerk,0012,86,66,152,735,20.68%,87,60,147
County Clerk,0013,548,361,909,2689,33.80%,654,217,871
County Clerk,0014,442,495,937,1870,50.11%,512,375,887
County Clerk,0015,597,898,1495,2878,51.95%,885,506,1391
County Clerk,0016,239,137,376,1071,35.11%,172,185,357
County Clerk,0017,185,215,400,1162,34.42%,176,205,381
County Clerk,0018,371,351,722,1443,50.03%,332,345,677
County Clerk,0019,170,207,377,1170,32.22%,123,234,357
County Clerk,0020,311,287,598,2646,22.60%,178,396,574
County Clerk,0021,176,184,360,1122,32.09%,76,266,342
County Clerk,0022,397,322,719,2473,29.07%,131,564,695
County Clerk,0023,31,22,53,541,9.80%,10,41,51
County Clerk,0024,106,88,194,655,29.62%,13,171,184
County Clerk,0025,104,143,247,1086,22.74%,10,232,242
County Clerk,0026,239,277,516,1845,27.97%,138,333,471
County Clerk,0027,463,427,890,3074,28.95%,231,616,847
County Clerk,0028,636,405,1041,3029,34.37%,681,321,1002
County Clerk,0029,194,237,431,2638,16.34%,165,245,410
County Clerk,0030,368,391,759,2403,31.59%,208,528,736
County Clerk,0031,453,280,733,2511,29.19%,16,693,709
County Clerk,0032,318,405,723,2398,30.15%,292,391,683
County Clerk,0033,707,615,1322,3706,35.67%,426,826,1252
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0034,625,579,1204,2786,43.22%,297,855,1152
County Clerk,0035,4,0,4,11,36.36%,1,3,4
County Clerk,0036,416,318,734,2927,25.08%,199,503,702
County Clerk,0037,542,436,978,2106,46.44%,279,642,921
County Clerk,0038,784,589,1373,2875,47.76%,473,829,1302
County Clerk,0039,657,575,1232,2759,44.65%,316,851,1167
County Clerk,0040,136,152,288,541,53.23%,149,123,272
County Clerk,0041,176,230,406,1334,30.43%,166,230,396
County Clerk,0042,228,109,337,1071,31.47%,6,323,329
County Clerk,0043,293,210,503,1695,29.68%,274,209,483
County Clerk,0044,204,222,426,2001,21.29%,93,309,402
County Clerk,0045,894,750,1644,6698,24.54%,315,1286,1601
County Clerk,0046,290,247,537,2511,21.39%,93,415,508
County Clerk,0047,213,218,431,1627,26.49%,16,405,421
County Clerk,0048,157,142,299,940,31.81%,26,265,291
County Clerk,0049,584,482,1066,3343,31.89%,766,271,1037
County Clerk,0050,785,771,1556,5211,29.86%,846,663,1509
County Clerk,0051,353,243,596,1689,35.29%,440,139,579
County Clerk,0052,422,447,869,2457,35.37%,415,412,827
County Clerk,0053,564,726,1290,2971,43.42%,532,681,1213
County Clerk,0054,269,364,633,1487,42.57%,323,281,604
County Clerk,0055,191,251,442,1506,29.35%,200,218,418
County Clerk,0056,282,278,560,1326,42.23%,377,160,537
County Clerk,0057,710,831,1541,3153,48.87%,611,824,1435
County Clerk,0058,469,556,1025,2690,38.10%,434,548,982
County Clerk,0059,555,609,1164,2544,45.75%,472,630,1102
County Clerk,0060,498,564,1062,2453,43.29%,266,735,1001
County Clerk,0061,172,204,376,1773,21.21%,153,197,350
County Clerk,0062,145,322,467,2181,21.41%,113,330,443
County Clerk,0063,264,354,618,1826,33.84%,501,105,606
County Clerk,0064,191,221,412,2141,19.24%,82,304,386
County Clerk,0065,172,230,402,2167,18.55%,96,284,380
County Clerk,0066,69,143,212,1098,19.31%,36,165,201
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0067,304,282,586,2794,20.97%,169,380,549
County Clerk,0068,553,352,905,2924,30.95%,22,864,886
County Clerk,0069,80,124,204,1284,15.89%,43,148,191
County Clerk,0070,882,664,1546,3337,46.33%,919,530,1449
County Clerk,0071,602,722,1324,4197,31.55%,642,621,1263
County Clerk,0072,220,293,513,1924,26.66%,159,330,489
County Clerk,0073,252,414,666,1555,42.83%,372,258,630
County Clerk,0074,1153,782,1935,3583,54.01%,1503,363,1866
County Clerk,0075,254,280,534,1444,36.98%,199,303,502
County Clerk,0076,373,374,747,2362,31.63%,441,277,718
County Clerk,0077,43,46,89,566,15.72%,22,64,86
County Clerk,0078,180,201,381,1522,25.03%,140,224,364
County Clerk,0079,205,306,511,2927,17.46%,127,343,470
County Clerk,0080,501,351,852,2725,31.27%,216,603,819
County Clerk,0081,183,187,370,1835,20.16%,147,203,350
County Clerk,0082,639,671,1310,3368,38.90%,990,290,1280
County Clerk,0083,1296,888,2184,6625,32.97%,1063,1060,2123
County Clerk,0084,208,218,426,1373,31.03%,303,107,410
County Clerk,0085,271,248,519,2173,23.88%,21,490,511
County Clerk,0086,447,568,1015,2910,34.88%,468,506,974
County Clerk,0087,574,787,1461,2818,51.85%,941,430,1371
County Clerk,0088,123,118,241,693,34.78%,155,76,231
