Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jack Morman,Totals
"County Commissioner, Precinct 2",0001,417,466,883,2358,37.45%,367,367
"County Commissioner, Precinct 2",0002,333,313,646,1961,32.94%,323,323
"County Commissioner, Precinct 2",0009,206,223,429,1874,22.89%,162,162
"County Commissioner, Precinct 2",0010,255,171,426,1753,24.30%,166,166
"County Commissioner, Precinct 2",0011,184,176,360,1785,20.17%,97,97
"County Commissioner, Precinct 2",0012,86,66,152,735,20.68%,94,94
"County Commissioner, Precinct 2",0013,548,361,909,2689,33.80%,692,692
"County Commissioner, Precinct 2",0023,31,22,53,541,9.80%,13,13
"County Commissioner, Precinct 2",0026,239,277,516,1845,27.97%,192,192
"County Commissioner, Precinct 2",0027,463,427,890,3074,28.95%,306,306
"County Commissioner, Precinct 2",0028,636,405,1041,3029,34.37%,721,721
"County Commissioner, Precinct 2",0029,194,237,431,2638,16.34%,201,201
"County Commissioner, Precinct 2",0036,416,318,734,2927,25.08%,267,267
"County Commissioner, Precinct 2",0044,204,222,426,2001,21.29%,146,146
"County Commissioner, Precinct 2",0046,290,247,537,2511,21.39%,149,149
"County Commissioner, Precinct 2",0051,353,243,596,1689,35.29%,473,473
"County Commissioner, Precinct 2",0061,172,204,376,1773,21.21,%,175,175
"County Commissioner, Precinct 2",0062,145,322,467,2181,21.41%,175,175
"County Commissioner, Precinct 2",0063,264,354,618,1826,33.84%,516,516
"County Commissioner, Precinct 2",0064,191,221,412,2141,19.24%,120,120
"County Commissioner, Precinct 2",0065,172,230,402,2167,18.55%,144,144
"County Commissioner, Precinct 2",0066,69,143,212,1098,19.31%,52,52
"County Commissioner, Precinct 2",0067,304,282,586,2794,20.97%,206,206
"County Commissioner, Precinct 2",0069,80,124,204,1284,15.89%,63,63
"County Commissioner, Precinct 2",0072,220,293,513,1924,26.66%,206,206
"County Commissioner, Precinct 2",0078,180,201,381,1522,25.03%,170,170
"County Commissioner, Precinct 2",0079,205,306,511,2927,17.46%,194,194
"County Commissioner, Precinct 2",0080,501,351,852,2725,31.27%,295,295
"County Commissioner, Precinct 2",0081,183,187,370,1835,20.16%,185,185
"County Commissioner, Precinct 2",0084,208,218,426,1373,31.03%,329,329
"County Commissioner, Precinct 2",0088,123,118,241,693,34.78%,165,165
"County Commissioner, Precinct 2",0090,844,790,1634,3700,44.16%,1263,1263
"County Commissioner, Precinct 2",0091,219,222,441,1505,29.30%,293,293
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jack Morman,Totals
"County Commissioner, Precinct 2",0092,695,462,1157,2242,51.61,%,805,805
"County Commissioner, Precinct 2",0093,381,301,682,3356,20.32%,331,331
"County Commissioner, Precinct 2",0094,51,43,94,549,17.12%,40,40
"County Commissioner, Precinct 2",0097,1024,725,1749,4828,36.23%,1383,1383
"County Commissioner, Precinct 2",0098,403,488,891,2651,33.61%,757,757
"County Commissioner, Precinct 2",0099,254,184,438,2092,20.94%,236,236
"County Commissioner, Precinct 2",0100,165,173,338,1730,19.54%,198,198
"County Commissioner, Precinct 2",0102,207,121,328,1872,17.52%,109,109
"County Commissioner, Precinct 2",0103,700,714,1414,5371,26.33%,872,872
"County Commissioner, Precinct 2",0105,196,210,406,2165,18.75%,169,169
"County Commissioner, Precinct 2",0106,16,7,25,294,8.50%,17,17
"County Commissioner, Precinct 2",0107,154,197,351,2032,17.27%,84,84
"County Commissioner, Precinct 2",0141,80,80,160,855,18.71%,105,105
"County Commissioner, Precinct 2",0142,67,103,190,902,21.06%,87,87
"County Commissioner, Precinct 2",0152,213,299,512,2788,18.36%,194,194
"County Commissioner, Precinct 2",0153,125,206,331,1808,18.31%,147,147
"County Commissioner, Precinct 2",0154,249,183,432,2190,19.73%,155,155
"County Commissioner, Precinct 2",0162,101,83,184,1265,14.55%,81,81
"County Commissioner, Precinct 2",0163,230,320,550,3037,18.11%,287,287
