Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP R. Jack Cagle,DEM M.|. Badat,Totals
"County Commissioner, Precinct 4",0006,656,456,1112,3702,30.04%,675,415,1090
"County Commissioner, Precinct 4",0041,176,230,406,1334,30.43%,172,228,400
"County Commissioner, Precinct 4",0054,269,364,533,1487,42.57%,344,250,594
"County Commissioner, Precinct 4",0058,469,556,1025,2690,38.10%,468,507,975
"County Commissioner, Precinct 4",0070,882,664,1546,3337,46.33%,966,478,1444
"County Commissioner, Precinct 4",0071,602,722,1324,4197,31.55%,672,580,1252
"County Commissioner, Precinct 4",0073,252,414,666,1555,42.83%,393,229,622
"County Commissioner, Precinct 4",0074,1153,782,1935,3583,54.01%,1579,305,1884
"County Commissioner, Precinct 4",0082,539,571,1310,3368,38.90%,1020,264,1284
"County Commissioner, Precinct 4",0083,1296,888,2184,6625,32.97%,1106,1014,2120
"County Commissioner, Precinct 4",0086,447,568,1015,2910,34.88%,495,465,960
"County Commissioner, Precinct 4",0108,668,272,940,3365,27.93%,588,330,918
"County Commissioner, Precinct 4",0110,654,494,1148,3042,37.74%,779,344,1123
"County Commissioner, Precinct 4",0112,542,485,1027,2976,34.51%,774,218,992
"County Commissioner, Precinct 4",0113,562,429,991,2647,37.44%,642,313,955
"County Commissioner, Precinct 4",0114,707,547,1254,3311,37.87%,1033,200,1233
"County Commissioner, Precinct 4",0117,215,226,441,1880,23.46%,230,191,421
"County Commissioner, Precinct 4",0125,415,332,747,2405,31.06%,476,247,723
"County Commissioner, Precinct 4",0127,435,154,589,1836,32.08%,442,117,559
"County Commissioner, Precinct 4",0135,727,579,1306,2671,48.90%,947,283,1230
"County Commissioner, Precinct 4",0139,599,551,1250,3037,41.16%,591,580,1171
"County Commissioner, Precinct 4",0155,1022,619,1641,4109,39.94%,1182,406,1588
"County Commissioner, Precinct 4",0173,817,739,1556,3599,43.23%,1292,230,1522
"County Commissioner, Precinct 4",0177,278,326,604,1496,40.37%,363,210,573
"County Commissioner, Precinct 4",0178,504,365,869,1765,49.24%,627,183,810
"County Commissioner, Precinct 4",0189,239,360,599,1465,40.89%,324,226,550
"County Commissioner, Precinct 4",0199,812,551,1473,3216,45.80%,1168,251,1419
"County Commissioner, Precinct 4",0204,815,784,1600,3487,45.88%,949,555,1504
"County Commissioner, Precinct 4",0209,0,2,2,0,0.00%,2,0,2
"County Commissioner, Precinct 4",0217,844,631,1475,2678,55.08%,1005,355,1360
"County Commissioner, Precinct 4",0225,376,405,781,3305,23.63%,406,349,755
"County Commissioner, Precinct 4",0227,558,423,981,1785,54.96%,775,131,906
"County Commissioner, Precinct 4",0233,890,801,1691,4445,38.04%,865,703,1568
"County Commissioner, Precinct 4",0244,480,425,905,3117,29.03%,525,340,865
"County Commissioner, Precinct 4",0245,945,799,1745,5828,29.94%,1252,464,1716
"County Commissioner, Precinct 4",0246,684,513,1197,3315,36.11%,880,292,1172
"County Commissioner, Precinct 4",0260,162,145,307,1260,24.37%,185,108,293
"County Commissioner, Precinct 4",0262,758,600,1358,4397,30.88%,884,404,1288
"County Commissioner, Precinct 4",0263,858,712,1570,3693,42.51%,1231,297,1528
"County Commissioner, Precinct 4",0264,480,457,937,2963,31.62%,606,286,892
"County Commissioner, Precinct 4",0270,817,572,1489,3605,41.30%,873,548,1421
"County Commissioner, Precinct 4",0310,385,279,665,1435,46.34%,472,153,625
"County Commissioner, Precinct 4",0313,9,0,9,62,14.52%,7,1,8
"County Commissioner, Precinct 4",0322,181,129,310,1226,25.29%,108,191,299
"County Commissioner, Precinct 4",0323,278,211,489,1722,28.40%,242,220,462
"County Commissioner, Precinct 4",0324,532,646,1178,2336,50.43%,775,325,1100
"County Commissioner, Precinct 4",0330,334,253,587,1936,30.32%,347,216,563
"County Commissioner, Precinct 4",0340,1038,594,1632,3765,43.35%,1265,308,1573
"County Commissioner, Precinct 4",0357,837,575,1412,3517,40.15%,1053,317,1370
"County Commissioner, Precinct 4",0358,212,254,466,2492,18.70%,61,394,455
"County Commissioner, Precinct 4",0363,620,412,1032,3677,28.07%,488,522,1010
"County Commissioner, Precinct 4",0364,488,405,893,2658,33.60%,546,316,862
"County Commissioner, Precinct 4",0366,252,270,522,2454,21.27%,150,360,510
"County Commissioner, Precinct 4",0383,289,263,552,2173,25.40%,240,291,531
"County Commissioner, Precinct 4",0398,615,521,1136,4022,28.24%,631,476,1107
"County Commissioner, Precinct 4",0399,402,366,768,2791,27.52%,453,299,752
"County Commissioner, Precinct 4",0405,0,0,0,0,0.00%,0,0,0
"County Commissioner, Precinct 4",0434,370,289,659,1503,43.85%,442,183,625
"County Commissioner, Precinct 4",0442,612,574,1186,2575,46.06%,1002,153,1155
"County Commissioner, Precinct 4",0444,687,583,1270,3262,38.93%,846,371,1217
"County Commissioner, Precinct 4",0445,499,348,847,2026,41.81%,607,211,818
"County Commissioner, Precinct 4",0446,31,22,53,291,18.21%,27,23,50
"County Commissioner, Precinct 4",0448,590,778,1368,3138,43.59%,806,480,1286
"County Commissioner, Precinct 4",0451,1002,510,1512,2687,56.27%,1284,170,1454
"County Commissioner, Precinct 4",0452,554,444,998,3048,32.74%,756,217,973
"County Commissioner, Precinct 4",0457,0,0,0,0,0.00%,0,0,0
"County Commissioner, Precinct 4",0459,951,474,1425,3021,47.17%,1151,232,1383
"County Commissioner, Precinct 4",0464,356,430,786,2257,34.82%,589,180,769
"County Commissioner, Precinct 4",0465,687,520,1207,3564,33.87%,724,451,1175
"County Commissioner, Precinct 4",0466,1058,614,1672,4184,39.96%,1015,615,1630
"County Commissioner, Precinct 4",0467,213,189,402,1270,31.65%,102,290,392
"County Commissioner, Precinct 4",0468,352,443,795,3598,22.10%,264,500,764
"County Commissioner, Precinct 4",0469,1294,547,1841,3985,46.20%,1501,276,1777
"County Commissioner, Precinct 4",0477,737,567,1304,3505,37.20%,1025,241,1266
"County Commissioner, Precinct 4",0478,958,657,1515,4461,36.20%,1148,416,1564
"County Commissioner, Precinct 4",0479,638,612,1250,2714,46.06%,970,244,1214
"County Commissioner, Precinct 4",0482,878,630,1508,4373,34.48%,1134,343,1477
"County Commissioner, Precinct 4",0484,1107,930,2037,4979,40.91%,1542,444,1986
"County Commissioner, Precinct 4",0485,1095,911,2006,5388,37.23%,1609,357,1966
"County Commissioner, Precinct 4",0486,873,855,1728,3866,44.70%,1405,271,1676
"County Commissioner, Precinct 4",0495,522,523,1045,2375,44.00%,783,203,986
"County Commissioner, Precinct 4",0496,190,315,505,2160,23.38%,213,278,491
"County Commissioner, Precinct 4",0498,363,323,686,2297,29.87%,323,350,673
"County Commissioner, Precinct 4",0500,729,715,1444,3507,41.17%,1041,360,1401
"County Commissioner, Precinct 4",0505,631,562,1193,3773,31.62%,591,530,1121
"County Commissioner, Precinct 4",0511,0,0,0,0,0.00%,0,0,0
"County Commissioner, Precinct 4",0512,502,660,1262,5057,24.96%,615,614,1229
"County Commissioner, Precinct 4",0513,1019,487,1506,2894,52.04%,1215,243,1458
"County Commissioner, Precinct 4",0514,953,720,1673,4275,39.13%,1292,337,1629
"County Commissioner, Precinct 4",0515,942,683,1625,3455,47.03%,1359,214,1573
"County Commissioner, Precinct 4",0516,1000,800,1800,5356,33.61%,1009,735,1744
"County Commissioner, Precinct 4",0517,481,256,737,2954,24.95%,439,276,715
"County Commissioner, Precinct 4",0518,635,693,1328,3943,33.68%,902,380,1282
"County Commissioner, Precinct 4",0523,751,415,1166,3052,38.20%,827,300,1127
"County Commissioner, Precinct 4",0529,1043,491,1534,3710,41.35%,1354,142,1496
"County Commissioner, Precinct 4",0548,286,293,579,2215,26.14%,309,256,565
"County Commissioner, Precinct 4",0549,343,418,761,2663,28.58%,122,624,746
