Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0001,417,466,883,2358,37.45%,411,211,622
County Judge,0002,333,313,646,1961,32.94%,337,131,468
County Judge,0003,326,405,731,1560,46.86%,379,166,545
County Judge,0004,369,487,856,1668,51.32%,439,191,630
County Judge,0005,279,448,727,1417,51.31%,362,185,547
County Judge,0006,656,456,1112,3702,30.04%,705,132,837
County Judge,0007,209,110,319,1017,31.37%,21,34,55
County Judge,0008,393,310,703,1744,40.31%,429,115,544
County Judge,0009,206,223,429,1874,22.89%,161,105,266
County Judge,0010,255,171,426,1753,24.30%,168,58,226
County Judge,0011,184,176,360,1785,20.17%,98,52,150
County Judge,0012,86,66,152,735,20.68%,94,7,101
County Judge,0013,548,361,909,2689,33.80%,705,60,765
County Judge,0014,442,495,937,1870,50.11%,610,146,756
County Judge,0015,597,898,1495,2878,51.95%,1067,172,1239
County Judge,0016,239,137,376,1071,35.11%,220,71,291
County Judge,0017,185,215,400,1162,34.42%,207,69,276
County Judge,0018,371,351,722,1443,50.03%,437,130,567
County Judge,0019,170,207,377,1170,32.22%,167,103,270
County Judge,0020,311,287,598,2646,22.60%,242,156,398
County Judge,0021,176,184,360,1122,32.09%,102,101,203
County Judge,0022,397,322,719,2473,29.07%,179,128,307
County Judge,0023,31,22,53,541,9.80%,12,10,22
County Judge,0024,106,88,194,655,29.62%,29,48,77
County Judge,0025,104,143,247,1086,22.74%,26,31,57
County Judge,0026,239,277,516,1845,27.97%,204,135,339
County Judge,0027,463,427,890,3074,28.95%,315,228,543
County Judge,0028,636,405,1041,3029,34.37%,728,81,809
County Judge,0029,194,237,431,2638,16.34%,200,45,245
County Judge,0030,368,391,759,2403,31.59%,249,195,444
County Judge,0031,453,280,733,2511,29.19%,52,77,129
County Judge,0032,318,405,723,2398,30.15%,354,192,546
County Judge,0033,707,615,1322,3706,35.67%,571,424,995
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0034,625,579,1204,2786,43.22%,400,429,829
County Judge,0035,4,0,4,11,36.36%,1,0,1
County Judge,0036,416,318,734,2927,25.08%,274,120,394
County Judge,0037,542,436,978,2106,46.44%,389,299,688
County Judge,0038,784,589,1373,2875,47.76%,620,376,996
County Judge,0039,657,575,1232,2759,44.65%,479,395,874
County Judge,0040,136,152,288,541,53.23%,186,42,228
County Judge,0041,176,230,406,1334,30.43%,188,79,267
County Judge,0042,228,109,337,1071,31.47%,13,39,52
County Judge,0043,293,210,503,1695,29.68%,303,83,386
County Judge,0044,204,222,426,2001,21.29%,142,92,234
County Judge,0045,894,750,1644,6698,24.54%,443,251,694
County Judge,0046,290,247,537,2511,21.39%,155,87,242
County Judge,0047,213,218,431,1627,26.49%,35,54,89
County Judge,0048,157,142,299,940,31.81%,43,41,84
County Judge,0049,584,482,1066,3343,31.89%,816,87,903
County Judge,0050,785,771,1556,5211,29.86%,929,217,1146
County Judge,0051,353,243,596,1689,35.29%,469,45,514
County Judge,0052,422,447,869,2457,35.37%,513,188,701
County Judge,0053,564,726,1290,2971,43.42%,694,286,980
County Judge,0054,269,364,633,1487,42.57%,409,100,509
County Judge,0055,191,251,442,1506,29.35%,228,100,328
County Judge,0056,282,278,560,1326,42.23%,421,59,480
County Judge,0057,710,831,1541,3153,48.87%,825,377,1202
County Judge,0058,469,556,1025,2690,38.10%,537,240,777
County Judge,0059,555,609,1164,2544,45.75%,597,279,876
County Judge,0060,498,564,1062,2453,43.29%,387,385,772
County Judge,0061,172,204,376,1773,21.21%,172,43,215
County Judge,0062,145,322,467,2181,21.41%,166,62,228
County Judge,0063,264,354,618,1826,33.84%,519,33,552
County Judge,0064,191,221,412,2141,19.24%,109,66,175
County Judge,0065,172,230,402,2167,18.55%,139,57,196
County Judge,0066,69,143,212,1098,19.31%,45,34,79
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0067,304,282,586,2794,20.97%,213,77,290
County Judge,0068,553,352,905,2924,30.95%,58,113,171
County Judge,0069,80,124,204,1284,15.89%,64,26,90
County Judge,0070,882,664,1546,3337,46.33%,1070,208,1278
County Judge,0071,602,722,1324,4197,31.55%,780,251,1031
County Judge,0072,220,293,513,1924,26.66%,207,87,294
County Judge,0073,252,414,666,1555,42.83%,471,87,558
County Judge,0074,1153,782,1935,3583,54.01%,1615,120,1735
County Judge,0075,254,280,534,1444,36.98%,263,129,392
County Judge,0076,373,374,747,2362,31.63%,510,75,585
County Judge,0077,43,46,89,566,15.72%,28,16,44
County Judge,0078,180,201,381,1522,25.03%,180,58,238
County Judge,0079,205,306,511,2927,17.46%,179,73,252
County Judge,0080,501,351,852,2725,31.27%,285,114,399
County Judge,0081,183,187,370,1835,20.16%,182,35,217
County Judge,0082,639,671,1310,3368,38.90%,1038,107,1145
