Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wolfe,"DEM Debra ""Debby"" Kerner",Totals
"County School Trustee, Position 5, At Large",0001,417,466,883,2358,37.45%,273,556,829
"County School Trustee, Position 5, At Large",0002,333,313,646,1961,32.94%,250,357,607
"County School Trustee, Position 5, At Large",0003,326,405,731,1560,46.86%,238,423,661
"County School Trustee, Position 5, At Large",0004,369,487,856,1668,51.32%,271,521,792
"County School Trustee, Position 5, At Large",0005,279,448,727,1417,51.31%,227,442,669
"County School Trustee, Position 5, At Large",0006,656,456,1112,3702,30.04%,626,449,1075
"County School Trustee, Position 5, At Large",0007,209,110,319,1017,31.37%,10,300,310
"County School Trustee, Position 5, At Large",0008,393,310,703,1744,40.31%,342,335,677
"County School Trustee, Position 5, At Large",0009,206,223,429,1874,22.89%,118,281,399
"County School Trustee, Position 5, At Large",0010,255,171,426,1753,24.30%,123,271,394
"County School Trustee, Position 5, At Large",0011,184,176,360,1785,20.17%,72,262,334
"County School Trustee, Position 5, At Large",0012,86,66,152,735,20.68%,87,60,147
"County School Trustee, Position 5, At Large",0013,548,361,909,2689,33.80%,649,219,868
"County School Trustee, Position 5, At Large",0014,442,495,937,1870,50.11%,468,421,889
"County School Trustee, Position 5, At Large",0015,597,898,1495,2878,51.95%,783,594,1377
"County School Trustee, Position 5, At Large",0016,239,137,376,1071,35.11%,159,192,351
"County School Trustee, Position 5, At Large",0017,185,215,400,1162,34.42%,171,206,377
"County School Trustee, Position 5, At Large",0018,371,351,722,1443,50.03%,313,361,674
"County School Trustee, Position 5, At Large",0019,170,207,377,1170,32.22%,107,246,353
"County School Trustee, Position 5, At Large",0020,311,287,598,2646,22.60%,163,407,570
"County School Trustee, Position 5, At Large",0021,176,184,360,1122,32.09%,70,274,344
"County School Trustee, Position 5, At Large",0022,397,322,719,2473,29.07%,126,570,696
"County School Trustee, Position 5, At Large",0023,31,22,53,541,9.80%,8,42,50
"County School Trustee, Position 5, At Large",0024,106,88,194,655,29.62%,14,173,187
"County School Trustee, Position 5, At Large",0025,104,143,247,1086,22.74%,11,231,242
"County School Trustee, Position 5, At Large",0026,239,277,516,1845,27.97%,133,331,464
"County School Trustee, Position 5, At Large",0027,463,427,890,3074,28.95%,221,622,843
"County School Trustee, Position 5, At Large",0028,636,405,1041,3029,34.37%,669,326,995
"County School Trustee, Position 5, At Large",0029,194,237,431,2638,16.34%,171,240,411
"County School Trustee, Position 5, At Large",0030,368,391,759,2403,31.59%,191,536,727
"County School Trustee, Position 5, At Large",0031,453,280,733,2511,29.19%,20,691,711
"County School Trustee, Position 5, At Large",0032,318,405,723,2398,30.15%,279,395,674
"County School Trustee, Position 5, At Large",0033,707,615,1322,3706,35.67%,397,845,1242
"County School Trustee, Position 5, At Large",0034,625,579,1204,2786,43.22%,270,874,1144
"County School Trustee, Position 5, At Large",0035,4,0,4,11,36.36%,1,3,4
"County School Trustee, Position 5, At Large",0036,416,318,734,2927,25.08%,203,495,698
"County School Trustee, Position 5, At Large",0037,542,436,978,2106,46.44%,263,642,905
"County School Trustee, Position 5, At Large",0038,784,589,1373,2875,47.76%,424,861,1285
"County School Trustee, Position 5, At Large",0039,657,575,1232,2759,44.65%,275,881,1156
"County School Trustee, Position 5, At Large",0040,136,152,288,541,53.23%,121,149,270
"County School Trustee, Position 5, At Large",0041,176,230,406,1334,30.43%,163,230,393
"County School Trustee, Position 5, At Large",0042,228,109,337,1071,31.47%,5,322,327
"County School Trustee, Position 5, At Large",0043,293,210,503,1695,29.68%,265,216,481
"County School Trustee, Position 5, At Large",0044,204,222,426,2001,21.29%,94,306,400
"County School Trustee, Position 5, At Large",0045,894,750,1644,6698,24.54%,321,1279,1600
"County School Trustee, Position 5, At Large",0046,290,247,537,2511,21.39%,90,417,507
"County School Trustee, Position 5, At Large",0047,213,218,431,1627,26.49%,15,407,422
"County School Trustee, Position 5, At Large",0048,157,142,299,940,31.81%,25,264,289
"County School Trustee, Position 5, At Large",0049,584,482,1066,3343,31.89%,768,267,1035
"County School Trustee, Position 5, At Large",0050,785,771,1556,5211,29.86%,844,665,1509
"County School Trustee, Position 5, At Large",0051,353,243,596,1689,35.29%,437,140,577
"County School Trustee, Position 5, At Large",0052,422,447,869,2457,35.37%,388,433,821
"County School Trustee, Position 5, At Large",0053,564,726,1290,2971,43.42%,485,714,1199
"County School Trustee, Position 5, At Large",0054,269,364,633,1487,42.57%,309,285,594
"County School Trustee, Position 5, At Large",0055,191,251,442,1506,29.35%,191,227,418
"County School Trustee, Position 5, At Large",0056,282,278,560,1326,42.23%,363,172,535
"County School Trustee, Position 5, At Large",0057,710,831,1541,3153,48.87%,538,890,1428
"County School Trustee, Position 5, At Large",0058,469,556,1025,2690,38.10%,415,561,976
"County School Trustee, Position 5, At Large",0059,555,609,1164,2544,45.75%,427,666,1093
"County School Trustee, Position 5, At Large",0060,498,564,1062,2453,43.29%,243,747,990
"County School Trustee, Position 5, At Large",0061,172,204,376,1773,21.21%,153,193,346
"County School Trustee, Position 5, At Large",0062,145,322,467,2181,21.41%,116,326,442
"County School Trustee, Position 5, At Large",0063,264,354,618,1826,33.84%,498,101,599
"County School Trustee, Position 5, At Large",0064,191,221,412,2141,19.24%,84,303,387
"County School Trustee, Position 5, At Large",0065,172,230,402,2167,18.55%,97,282,379
"County School Trustee, Position 5, At Large",0066,69,143,212,1098,19.31%,38,161,199
"County School Trustee, Position 5, At Large",0067,304,282,586,2794,20.97%,160,384,544
"County School Trustee, Position 5, At Large",0068,553,352,905,2924,30.95%,24,860,884
"County School Trustee, Position 5, At Large",0069,80,124,204,1284,15.89%,43,148,191
"County School Trustee, Position 5, At Large",0070,882,664,1546,3337,46.33%,842,589,1431
"County School Trustee, Position 5, At Large",0071,602,722,1324,4197,31.55%,635,618,1253
"County School Trustee, Position 5, At Large",0072,220,293,513,1924,26.66%,165,324,489
"County School Trustee, Position 5, At Large",0073,252,414,666,1555,42.83%,358,259,617
"County School Trustee, Position 5, At Large",0074,1153,782,1935,3583,54.01%,1488,367,1855
"County School Trustee, Position 5, At Large",0075,254,280,534,1444,36.98%,196,306,502
"County School Trustee, Position 5, At Large",0076,373,374,747,2362,31.63%,438,279,717
"County School Trustee, Position 5, At Large",0077,43,46,89,566,15.72%,21,65,86
"County School Trustee, Position 5, At Large",0078,180,201,381,1522,25.03%,129,233,362
"County School Trustee, Position 5, At Large",0079,205,306,511,2927,17.46%,121,350,471
"County School Trustee, Position 5, At Large",0080,501,351,852,2725,31.27%,211,602,813
"County School Trustee, Position 5, At Large",0081,183,187,370,1835,20.16%,145,203,348
"County School Trustee, Position 5, At Large",0082,639,671,1310,3368,38.90%,976,301,1277
"County School Trustee, Position 5, At Large",0083,1296,888,2184,6625,32.97%,1049,1061,2110
"County School Trustee, Position 5, At Large",0084,208,218,426,1373,31.03%,303,106,409
"County School Trustee, Position 5, At Large",0085,271,248,519,2173,23.88%,23,486,509
"County School Trustee, Position 5, At Large",0086,447,568,1015,2910,34.88%,434,527,961
"County School Trustee, Position 5, At Large",0087,574,787,1461,2818,51.85%,840,516,1356
"County School Trustee, Position 5, At Large",0088,123,118,241,693,34.78%,156,75,231
"County School Trustee, Position 5, At Large",0089,165,371,536,1094,48.99%,262,222,484
"County School Trustee, Position 5, At Large",0090,844,790,1634,3700,44.16%,1158,408,1566
"County School Trustee, Position 5, At Large",0091,219,222,441,1505,29.30%,263,160,423
"County School Trustee, Position 5, At Large",0092,695,462,1157,2242,51.61%,734,354,1088
"County School Trustee, Position 5, At Large",0093,381,301,682,3356,20.32%,274,366,640
"County School Trustee, Position 5, At Large",0094,51,43,94,549,17.12%,29,61,90
"County School Trustee, Position 5, At Large",0095,917,576,1493,3177,46.99%,1049,384,1433
"County School Trustee, Position 5, At Large",0096,83,83,166,1296,12.81%,22,142,164
"County School Trustee, Position 5, At Large",0097,1024,725,1749,4828,36.23%,1294,409,1703
"County School Trustee, Position 5, At Large",0098,403,488,891,2651,33.61%,733,129,862
"County School Trustee, Position 5, At Large",0099,254,184,438,2092,20.94%,209,215,424
"County School Trustee, Position 5, At Large",0100,165,173,338,1730,19.54%,183,146,329
"County School Trustee, Position 5, At Large",0101,72,58,130,946,13.74%,46,82,128
"County School Trustee, Position 5, At Large",0102,207,121,328,1872,17.52%,92,223,315
"County School Trustee, Position 5, At Large",0103,700,714,1414,5371,26.33%,796,577,1373
"County School Trustee, Position 5, At Large",0104,530,231,761,1905,39.95%,16,729,745
"County School Trustee, Position 5, At Large",0105,196,210,406,2165,18.75%,136,237,373
"County School Trustee, Position 5, At Large",0106,18,7,25,294,8.50%,15,9,24
"County School Trustee, Position 5, At Large",0107,154,197,351,2032,17.27%,58,275,333
"County School Trustee, Position 5, At Large",0108,558,272,940,3365,27.93%,559,348,907
