Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,John Swinney,Totals
"Crosby ISD, Trustee, At Large Position 6",0063,33,17,50,99,50.51%,22,22
"Crosby ISD, Trustee, At Large Position 6",0097,1024,725,1749,4828,36.23%,1080,1080
"Crosby ISD, Trustee, At Large Position 6",0103,145,25,170,941,18.07%,85,85
"Crosby ISD, Trustee, At Large Position 6",0251,278,436,714,2089,34.18%,217,217
"Crosby ISD, Trustee, At Large Position 6",0387,38,46,84,194,43.30%,38,38
"Crosby ISD, Trustee, At Large Position 6",0502,475,345,820,2460,33.33%,461,461
"Crosby ISD, Trustee, At Large Position 6",0531,363,174,537,1145,46.90%,316,316
"Crosby ISD, Trustee, At Large Position 6",0604,555,357,912,2228,40.93%,579,579
"Crosby ISD, Trustee, At Large Position 6",0700,14,12,26,58,44.83%,16,16
"Crosby ISD, Trustee, At Large Position 6",0988,24,12,36,123,29.27%,21,21
"Crosby ISD, Trustee, At Large Position 6",1008,32,12,44,151,29.14%,27,27
"Crosby ISD, Trustee, At Large Position 6",1009,0,0,0,9,0.00%,0,0
"Crosby ISD, Trustee, At Large Position 6",Totals:,2981,2161,5142,14325,,2862,2862
