Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0001,417,466,883,2358,37.45%,312,526,838
District Clerk,0002,333,313,646,1961,32.94%,277,333,610
District Clerk,0003,326,405,731,1560,46.86%,268,402,670
District Clerk,0004,369,487,856,1668,51.32%,327,474,801
District Clerk,0005,279,448,727,1417,51.31,%,279,404,683
District Clerk,0006,656,456,1112,3702,30.04%,644,433,1077
District Clerk,0007,209,110,319,1017,31.37%,16,295,311
District Clerk,0008,393,310,703,1744,40.31%,375,304,679
District Clerk,0009,206,223,429,1874,22.89%,119,278,397
District Clerk,0010,255,171,426,1753,24.30%,133,263,396
District Clerk,0011,184,176,360,1785,20.17%,68,267,335
District Clerk,0012,86,66,152,735,20.68%,89,59,148
District Clerk,0013,548,361,909,2689,33.80%,663,203,866
District Clerk,0014,442,495,937,1870,50.11%,514,365,879
District Clerk,0015,597,898,1495,2878,51.95%,886,495,1381
District Clerk,0016,239,137,376,1071,35.11%,183,175,358
District Clerk,0017,185,215,400,1162,34.42%,185,194,379
District Clerk,0018,371,351,722,1443,50.03%,360,320,680
District Clerk,0019,170,207,377,1170,32.22%,130,230,360
District Clerk,0020,311,287,598,2646,22.60%,183,390,573
District Clerk,0021,176,184,360,1122,32.09%,77,268,345
District Clerk,0022,397,322,719,2473,29.07%,135,559,694
District Clerk,0023,31,22,53,541,9.80%,12,39,51
District Clerk,0024,106,88,194,655,29.62%,14,172,186
District Clerk,0025,104,143,247,1086,22.74%,12,230,242
District Clerk,0026,239,277,516,1845,27.97%,149,317,466
District Clerk,0027,463,427,890,3074,28.95%,238,604,842
District Clerk,0028,636,405,1041,3029,34.37%,681,316,997
District Clerk,0029,194,237,431,2638,16.34%,176,233,409
District Clerk,0030,368,391,759,2403,31.59%,211,524,735
District Clerk,0031,453,280,733,2511,29.19%,21,687,708
District Clerk,0032,318,405,723,2398,30.15%,298,379,677
District Clerk,0033,707,615,1322,3706,35.67%,447,803,1250
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0034,625,579,1204,2786,43.22%,309,841,1150
District Clerk,0035,4,0,4,11,36.36%,1,3,4
District Clerk,0036,416,318,734,2927,25.08%,212,484,696
District Clerk,0037,542,436,978,2106,46.44%,302,618,920
District Clerk,0038,784,589,1373,2875,47.76%,488,812,1300
District Clerk,0039,657,575,1232,2759,44.65%,325,840,1165
District Clerk,0040,136,152,288,541,53.23%,151,121,272
District Clerk,0041,176,230,406,1334,30.43%,165,229,394
District Clerk,0042,228,109,337,1071,31.47%,6,321,327
District Clerk,0043,293,210,503,1695,29.68%,280,205,485
District Clerk,0044,204,222,426,2001,21.29%,101,301,402
District Clerk,0045,894,750,1644,6698,24.54%,324,1274,1598
District Clerk,0046,290,247,537,2511,21.39%,102,405,507
District Clerk,0047,213,218,431,1627,26.49%,17,402,419
District Clerk,0048,157,142,299,940,31.81%,27,263,290
District Clerk,0049,584,482,1066,3343,31.89%,777,261,1038
District Clerk,0050,785,771,1556,5211,29.86%,863,648,1511
District Clerk,0051,353,243,596,1689,35.29%,443,133,576
District Clerk,0052,422,447,869,2457,35.37%,422,404,826
District Clerk,0053,564,726,1290,2971,43.42%,561,654,1215
District Clerk,0054,269,364,633,1487,42.57%,339,262,601
District Clerk,0055,191,251,442,1506,29.35%,203,216,419
District Clerk,0056,282,278,560,1326,42.23%,381,154,535
District Clerk,0057,710,831,1541,3153,48.87%,623,810,1433
District Clerk,0058,469,556,1025,2690,38.10%,441,538,979
District Clerk,0059,555,609,1164,2544,45.75%,473,621,1094
District Clerk,0060,498,564,1062,2453,43.29%,267,728,995
District Clerk,0061,172,204,376,1773,21.21,%,162,188,350
District Clerk,0062,145,322,467,2181,21.41%,120,323,443
District Clerk,0063,264,354,618,1826,33.84%,498,102,600
District Clerk,0064,191,221,412,2141,19.24%,85,302,387
District Clerk,0065,172,230,402,2167,18.55%,100,279,379
