Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Steven E. Kirkland,Totals
"District Judge, 113th Judicial District",0001,417,466,883,2358,37.45%,279,552,831
"District Judge, 113th Judicial District",0002,333,313,646,1961,32.94%,253,362,615
"District Judge, 113th Judicial District",0003,326,405,731,1560,46.86%,237,428,665
"District Judge, 113th Judicial District",0004,369,487,856,1668,51.32%,272,519,791
"District Judge, 113th Judicial District",0005,279,448,727,1417,51.31%,236,431,667
"District Judge, 113th Judicial District",0006,656,456,1112,3702,30.04%,643,433,1076
"District Judge, 113th Judicial District",0007,209,110,319,1017,31.37%,14,293,307
"District Judge, 113th Judicial District",0008,393,310,703,1744,40.31%,345,330,675
"District Judge, 113th Judicial District",0009,206,223,429,1874,22.89%,117,283,400
"District Judge, 113th Judicial District",0010,255,171,426,1753,24.30%,125,273,398
"District Judge, 113th Judicial District",0011,184,176,360,1785,20.17%,68,271,339
"District Judge, 113th Judicial District",0012,86,66,152,735,20.68%,87,62,149
"District Judge, 113th Judicial District",0013,548,361,909,2689,33.80%,656,219,875
"District Judge, 113th Judicial District",0014,442,495,937,1870,50.11%,470,418,888
"District Judge, 113th Judicial District",0015,597,898,1495,2878,51.95%,801,586,1387
"District Judge, 113th Judicial District",0016,239,137,376,1071,35.11%,164,192,356
"District Judge, 113th Judicial District",0017,185,215,400,1162,34.42%,169,205,374
"District Judge, 113th Judicial District",0018,371,351,722,1443,50.03%,309,375,684
"District Judge, 113th Judicial District",0019,170,207,377,1170,32.22%,117,241,358
"District Judge, 113th Judicial District",0020,311,287,598,2646,22.60%,168,406,574
"District Judge, 113th Judicial District",0021,176,184,360,1122,32.09%,70,273,343
"District Judge, 113th Judicial District",0022,397,322,719,2473,29.07%,133,566,699
"District Judge, 113th Judicial District",0023,31,22,53,541,9.80%,10,42,52
"District Judge, 113th Judicial District",0024,106,88,194,655,29.62%,15,172,187
"District Judge, 113th Judicial District",0025,104,143,247,1086,22.74%,11,231,242
"District Judge, 113th Judicial District",0026,239,277,516,1845,27.97%,133,342,475
"District Judge, 113th Judicial District",0027,463,427,890,3074,28.95%,215,630,845
"District Judge, 113th Judicial District",0028,636,405,1041,3029,34.37%,667,324,991
"District Judge, 113th Judicial District",0029,194,237,431,2638,16.34%,172,240,412
"District Judge, 113th Judicial District",0030,368,391,759,2403,31.59%,192,544,736
"District Judge, 113th Judicial District",0031,453,280,733,2511,29.19%,17,692,709
"District Judge, 113th Judicial District",0032,318,405,723,2398,30.15%,285,390,675
"District Judge, 113th Judicial District",0033,707,615,1322,3706,35.67%,404,848,1252
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Steven E. Kirkland,Totals
"District Judge, 113th Judicial District",0034,625,579,1204,2786,43.22%,264,891,1155
"District Judge, 113th Judicial District",0035,4,0,4,11,36.36%,1,3,4
"District Judge, 113th Judicial District",0036,416,318,734,2927,25.08%,197,498,695
"District Judge, 113th Judicial District",0037,542,436,978,2106,46.44%,263,663,926
"District Judge, 113th Judicial District",0038,784,589,1373,2875,47.76%,429,868,1297
"District Judge, 113th Judicial District",0039,657,575,1232,2759,44.65%,271,892,1163
"District Judge, 113th Judicial District",0040,136,152,288,541,53.23%,119,147,266
"District Judge, 113th Judicial District",0041,176,230,406,1334,30.43%,164,230,394
"District Judge, 113th Judicial District",0042,228,109,337,1071,31.47%,5,323,328
"District Judge, 113th Judicial District",0043,293,210,503,1695,29.68%,271,211,482
"District Judge, 113th Judicial District",0044,204,222,426,2001,21.29%,96,303,399
"District Judge, 113th Judicial District",0045,894,750,1644,6698,24.54%,321,1273,1594
"District Judge, 113th Judicial District",0046,290,247,537,2511,21.39%,92,419,511
"District Judge, 113th Judicial District",0047,213,218,431,1627,26.49%,18,406,424
"District Judge, 113th Judicial District",0048,157,142,299,940,31.81%,27,266,293
"District Judge, 113th Judicial District",0049,584,482,1066,3343,31.89%,778,258,1036
"District Judge, 113th Judicial District",0050,785,771,1556,5211,29.86%,844,661,1505
"District Judge, 113th Judicial District",0051,353,243,596,1689,35.29%,452,130,582
"District Judge, 113th Judicial District",0052,422,447,869,2457,35.37%,392,428,820
"District Judge, 113th Judicial District",0053,564,726,1290,2971,43.42%,492,719,1211
"District Judge, 113th Judicial District",0054,269,364,633,1487,42.57%,322,280,602
"District Judge, 113th Judicial District",0055,191,251,442,1506,29.35%,197,221,418
"District Judge, 113th Judicial District",0056,282,278,560,1326,42.23%,374,161,535
"District Judge, 113th Judicial District",0057,710,831,1541,3153,48.87%,552,881,1433
"District Judge, 113th Judicial District",0058,469,556,1025,2690,38.10%,434,548,982
"District Judge, 113th Judicial District",0059,555,609,1164,2544,45.75%,419,675,1094
"District Judge, 113th Judicial District",0060,498,564,1062,2453,43.29%,249,749,998
"District Judge, 113th Judicial District",0061,172,204,376,1773,21.21%,159,193,352
"District Judge, 113th Judicial District",0062,145,322,467,2181,21.41%,116,325,441
"District Judge, 113th Judicial District",0063,264,354,618,1826,33.84%,494,108,602
"District Judge, 113th Judicial District",0064,191,221,412,2141,19.24%,84,306,390
"District Judge, 113th Judicial District",0065,172,230,402,2167,18.55%,96,285,381
"District Judge, 113th Judicial District",0066,69,143,212,1098,19.31%,36,162,198
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Steven E. Kirkland,Totals
"District Judge, 113th Judicial District",0067,304,282,586,2794,20.97%,171,381,552
"District Judge, 113th Judicial District",0068,553,352,905,2924,30.95%,21,866,887
"District Judge, 113th Judicial District",0069,80,124,204,1284,15.89%,44,146,190
"District Judge, 113th Judicial District",0070,882,664,1546,3337,46.33%,846,596,1442
"District Judge, 113th Judicial District",0071,602,722,1324,4197,31.55%,635,627,1262
"District Judge, 113th Judicial District",0072,220,293,513,1924,26.66%,165,319,484
"District Judge, 113th Judicial District",0073,252,414,666,1555,42.83%,361,261,622
"District Judge, 113th Judicial District",0074,1153,782,1935,3583,54.01%,1491,370,1861
"District Judge, 113th Judicial District",0075,254,280,534,1444,36.98%,198,306,504
"District Judge, 113th Judicial District",0076,373,374,747,2362,31.63%,430,290,720
"District Judge, 113th Judicial District",0077,43,46,89,566,15.72%,21,65,86
"District Judge, 113th Judicial District",0078,180,201,381,1522,25.03%,134,230,364
"District Judge, 113th Judicial District",0079,205,306,511,2927,17.46%,123,348,471
"District Judge, 113th Judicial District",0080,501,351,852,2725,31.27%,215,601,816
"District Judge, 113th Judicial District",0081,183,187,370,1835,20.16%,140,209,349
"District Judge, 113th Judicial District",0082,639,671,1310,3368,38.90%,979,294,1273
"District Judge, 113th Judicial District",0083,1296,888,2184,6625,32.97%,1065,1049,2114
"District Judge, 113th Judicial District",0084,208,218,426,1373,31.03%,310,102,412
"District Judge, 113th Judicial District",0085,271,248,519,2173,23.88%,20,488,508
"District Judge, 113th Judicial District",0086,447,568,1015,2910,34.88%,440,527,967
"District Judge, 113th Judicial District",0087,574,787,1461,2818,51.85%,851,511,1362
"District Judge, 113th Judicial District",0088,123,118,241,693,34.78%,158,72,230
"District Judge, 113th Judicial District",0089,165,371,536,1094,48.99%,271,222,493
"District Judge, 113th Judicial District",0090,844,790,1634,3700,44.16%,1170,406,1576
"District Judge, 113th Judicial District",0091,219,222,441,1505,29.30%,261,164,425
"District Judge, 113th Judicial District",0092,695,462,1157,2242,51.61%,754,337,1091
"District Judge, 113th Judicial District",0093,381,301,682,3356,20.32%,280,368,648
"District Judge, 113th Judicial District",0094,51,43,94,549,17.12%,28,62,90
"District Judge, 113th Judicial District",0095,917,576,1493,3177,46.99%,1057,374,1431
"District Judge, 113th Judicial District",0096,83,83,166,1296,12.81%,23,142,165
"District Judge, 113th Judicial District",0097,1024,725,1749,4828,36.23%,1302,395,1697
"District Judge, 113th Judicial District",0098,403,488,891,2651,33.61%,737,125,862
"District Judge, 113th Judicial District",0099,254,184,438,2092,20.94%,215,213,428
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Steven E. Kirkland,Totals
"District Judge, 113th Judicial District",0100,165,173,338,1730,19.54%,186,145,331
"District Judge, 113th Judicial District",0101,72,58,130,946,13.74%,47,80,127
"District Judge, 113th Judicial District",0102,207,121,328,1872,17.52%,92,226,318
"District Judge, 113th Judicial District",0103,700,714,1414,5371,26.33%,811,566,1377
"District Judge, 113th Judicial District",0104,530,231,761,1905,39.95%,16,734,750
"District Judge, 113th Judicial District",0105,196,210,406,2165,18.75%,132,244,376
"District Judge, 113th Judicial District",0106,18,7,25,294,8.50%,16,9,25
"District Judge, 113th Judicial District",0107,154,197,351,2032,17.27%,61,278,339
"District Judge, 113th Judicial District",0108,558,272,940,3365,27.93%,565,343,908
"District Judge, 113th Judicial District",0109,529,245,774,2824,27.41%,9,751,760
"District Judge, 113th Judicial District",0110,654,494,1148,3042,37.74%,741,371,1112
"District Judge, 113th Judicial District",0111,816,795,1611,4102,39.27%,1190,369,1559
"District Judge, 113th Judicial District",0112,542,485,1027,2976,34.51%,755,239,994
"District Judge, 113th Judicial District",0113,562,429,991,2647,37.44%,606,345,951
"District Judge, 113th Judicial District",0114,707,547,1254,3311,37.87%,1017,206,1223
"District Judge, 113th Judicial District",0115,238,150,388,1800,21.56%,50,328,378
"District Judge, 113th Judicial District",0116,982,776,1758,3147,55.86%,1322,345,1667
"District Judge, 113th Judicial District",0117,215,226,441,1880,23.46%,220,202,422
"District Judge, 113th Judicial District",0118,304,123,427,759,56.26%,350,65,415
"District Judge, 113th Judicial District",0119,1288,1024,2312,5500,42.04%,1873,362,2235
"District Judge, 113th Judicial District",0120,712,422,1134,3191,35.54%,745,353,1098
"District Judge, 113th Judicial District",0121,92,178,270,848,31.84%,190,69,259
"District Judge, 113th Judicial District",0122,352,225,577,1890,30.53%,21,538,559
"District Judge, 113th Judicial District",0123,284,288,572,1392,41.09%,134,406,540
"District Judge, 113th Judicial District",0124,1734,1292,3026,7254,41.71%,2400,550,2950
"District Judge, 113th Judicial District",0125,415,332,747,2405,31.06%,460,263,723
"District Judge, 113th Judicial District",0126,893,467,1360,3100,43.87%,1199,129,1328
"District Judge, 113th Judicial District",0127,435,154,589,1836,32.08%,415,139,554
"District Judge, 113th Judicial District",0128,445,707,1152,2290,50.31%,667,391,1058
"District Judge, 113th Judicial District",0129,1030,1200,2230,5746,38.81%,1351,771,2122
"District Judge, 113th Judicial District",0130,727,523,1250,2333,53.58%,905,291,1196
"District Judge, 113th Judicial District",0131,251,259,510,1935,26.36%,118,368,486
"District Judge, 113th Judicial District",0132,593,323,916,2387,38.37%,21,875,896
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Steven E. Kirkland,Totals
"District Judge, 113th Judicial District",0133,513,858,1371,2662,51.50%,740,532,1272
"District Judge, 113th Judicial District",0134,192,265,457,1437,31.80%,206,232,438
"District Judge, 113th Judicial District",0135,727,579,1305,2671,48.90%,849,393,1242
"District Judge, 113th Judicial District",0136,503,371,874,2013,43.42%,32,819,851
"District Judge, 113th Judicial District",0137,166,141,307,716,42.88%,140,143,283
"District Judge, 113th Judicial District",0138,296,199,495,1699,29.13%,14,473,487
"District Judge, 113th Judicial District",0139,699,551,1250,3037,41.16%,517,666,1183
"District Judge, 113th Judicial District",0140,699,480,1179,3214,36.68%,142,1004,1146
"District Judge, 113th Judicial District",0141,80,80,160,855,18.71%,95,56,151
"District Judge, 113th Judicial District",0142,87,103,190,902,21.06%,64,118,182
"District Judge, 113th Judicial District",0143,1962,580,2542,6386,39.81%,1837,651,2488
"District Judge, 113th Judicial District",0144,216,158,374,1093,34.22%,9,356,365
"District Judge, 113th Judicial District",0145,264,213,477,1538,31.01%,9,456,465
"District Judge, 113th Judicial District",0146,426,519,945,2008,47.06%,398,505,903
"District Judge, 113th Judicial District",0147,589,329,1018,3008,33.84%,130,862,992
"District Judge, 113th Judicial District",0148,500,780,1280,2540,50.39%,449,744,1193
"District Judge, 113th Judicial District",0149,1621,737,2358,7993,29.50%,1221,1080,2301
"District Judge, 113th Judicial District",0150,236,169,405,1256,32.25%,12,389,401
"District Judge, 113th Judicial District",0151,137,79,216,826,26.15%,9,198,207
"District Judge, 113th Judicial District",0152,213,299,512,2788,18.36%,139,352,491
"District Judge, 113th Judicial District",0153,125,206,331,1808,18.31%,111,209,320
"District Judge, 113th Judicial District",0154,249,183,432,2190,19.73%,114,296,410
"District Judge, 113th Judicial District",0155,1022,619,1641,4109,39.94%,1134,456,1590
"District Judge, 113th Judicial District",0156,799,326,1125,3071,36.63%,45,1055,1100
"District Judge, 113th Judicial District",0157,448,214,662,2236,29.61%,24,618,642
"District Judge, 113th Judicial District",0158,600,315,915,3035,30.15%,23,875,898
"District Judge, 113th Judicial District",0159,116,127,243,998,24.35%,39,198,237
"District Judge, 113th Judicial District",0160,122,73,195,696,28.02%,5,188,193
"District Judge, 113th Judicial District",0161,163,141,304,991,30.68%,6,291,297
"District Judge, 113th Judicial District",0162,101,83,184,1265,14.55%,72,101,173
"District Judge, 113th Judicial District",0163,230,320,550,3037,18.11%,228,294,522
"District Judge, 113th Judicial District",0164,182,205,387,1420,27.25%,10,369,379
"District Judge, 113th Judicial District",0165,535,483,1018,2334,43.62%,672,304,976
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Steven E. Kirkland,Totals
"District Judge, 113th Judicial District",0166,158,233,391,1028,38.04%,113,257,370
"District Judge, 113th Judicial District",0167,3,0,3,24,12.50%,0,3,3
"District Judge, 113th Judicial District",0168,92,58,150,503,29.82%,3,143,146
"District Judge, 113th Judicial District",0169,518,251,767,2513,30.52%,16,733,749
"District Judge, 113th Judicial District",0170,271,141,412,1869,22.04%,215,177,392
"District Judge, 113th Judicial District",0171,202,198,400,1604,24.94%,10,379,389
"District Judge, 113th Judicial District",0172,88,80,166,621,26.73%,65,89,154
"District Judge, 113th Judicial District",0173,817,739,1556,3599,43.23%,1257,256,1513
"District Judge, 113th Judicial District",0174,829,733,1562,3296,47.39%,1052,431,1483
"District Judge, 113th Judicial District",0175,557,749,1306,2618,49.89%,625,585,1210
"District Judge, 113th Judicial District",0176,344,451,795,1602,49.63%,392,339,731
"District Judge, 113th Judicial District",0177,278,326,604,1496,40.37%,324,248,572
"District Judge, 113th Judicial District",0178,504,365,869,1765,49.24%,552,259,811
"District Judge, 113th Judicial District",0179,256,188,444,1575,28.19%,243,181,424
"District Judge, 113th Judicial District",0180,470,343,813,2834,28.69%,19,760,779
"District Judge, 113th Judicial District",0181,175,262,437,2061,21.20%,143,273,416
"District Judge, 113th Judicial District",0182,590,974,1564,3405,45.93%,910,528,1438
"District Judge, 113th Judicial District",0183,519,794,1313,2491,52.71%,792,434,1226
"District Judge, 113th Judicial District",0184,106,135,241,994,24.25%,91,134,225
"District Judge, 113th Judicial District",0185,283,292,575,1933,29.75%,205,342,547
"District Judge, 113th Judicial District",0186,97,106,203,798,25.44%,34,163,197
"District Judge, 113th Judicial District",0187,21,25,46,311,14.79%,13,32,45
"District Judge, 113th Judicial District",0188,153,146,299,1637,18.27%,136,151,287
"District Judge, 113th Judicial District",0189,239,360,599,1465,40.89%,310,248,558
"District Judge, 113th Judicial District",0190,120,177,297,1723,17.24%,125,159,284
"District Judge, 113th Judicial District",0191,79,126,205,1366,15.01%,90,108,198
"District Judge, 113th Judicial District",0192,380,225,805,1959,30.88%,28,563,591
"District Judge, 113th Judicial District",0193,173,187,360,1074,33.52%,8,338,346
"District Judge, 113th Judicial District",0194,350,431,781,1912,40.85%,224,522,746
"District Judge, 113th Judicial District",0195,269,278,547,1694,32.29%,18,515,533
"District Judge, 113th Judicial District",0196,52,32,84,316,26.58%,6,76,82
"District Judge, 113th Judicial District",0197,543,309,852,2914,29.24%,14,822,836
"District Judge, 113th Judicial District",0198,53,74,127,642,19.78%,2,124,126
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Steven E. Kirkland,Totals
"District Judge, 113th Judicial District",0199,812,661,1473,3216,45.80%,1136,276,1412
"District Judge, 113th Judicial District",0200,982,536,1498,3382,44.29%,641,767,1408
"District Judge, 113th Judicial District",0201,98,87,185,724,25.55%,2,179,181
"District Judge, 113th Judicial District",0202,217,189,406,1464,27.73%,11,389,400
"District Judge, 113th Judicial District",0203,107,68,175,960,18.23%,45,120,165
