Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Patricia J. Kerrigan,DEM Farrah Martinez,Totals
"District Judge, 190th Judicial District",0001,417,466,883,2358,37.45%,304,525,829
"District Judge, 190th Judicial District",0002,333,313,646,1961,32.94%,285,313,598
"District Judge, 190th Judicial District",0003,326,405,731,1560,46.86%,284,376,660
"District Judge, 190th Judicial District",0004,369,487,856,1668,51.32%,323,464,787
"District Judge, 190th Judicial District",0005,279,448,727,1417,51.31,%,272,393,665
"District Judge, 190th Judicial District",0006,656,456,1112,3702,30.04%,650,431,1081
"District Judge, 190th Judicial District",0007,209,110,319,1017,31.37%,11,296,307
"District Judge, 190th Judicial District",0008,393,310,703,1744,40.31%,374,298,672
"District Judge, 190th Judicial District",0009,206,223,429,1874,22.89%,116,286,402
"District Judge, 190th Judicial District",0010,255,171,426,1753,24.30%,121,280,401
"District Judge, 190th Judicial District",0011,184,176,360,1785,20.17%,61,277,338
"District Judge, 190th Judicial District",0012,86,66,152,735,20.68%,87,62,149
"District Judge, 190th Judicial District",0013,548,361,909,2689,33.80%,672,203,875
"District Judge, 190th Judicial District",0014,442,495,937,1870,50.11%,524,359,883
"District Judge, 190th Judicial District",0015,597,898,1495,2878,51.95%,927,451,1378
"District Judge, 190th Judicial District",0016,239,137,376,1071,35.11%,178,176,354
"District Judge, 190th Judicial District",0017,185,215,400,1162,34.42%,180,193,373
"District Judge, 190th Judicial District",0018,371,351,722,1443,50.03%,354,313,667
"District Judge, 190th Judicial District",0019,170,207,377,1170,32.22%,125,231,356
"District Judge, 190th Judicial District",0020,311,287,598,2646,22.60%,190,378,568
"District Judge, 190th Judicial District",0021,176,184,360,1122,32.09%,73,267,340
"District Judge, 190th Judicial District",0022,397,322,719,2473,29.07%,143,552,695
"District Judge, 190th Judicial District",0023,31,22,53,541,9.80%,10,42,52
"District Judge, 190th Judicial District",0024,106,88,194,655,29.62%,17,169,186
"District Judge, 190th Judicial District",0025,104,143,247,1086,22.74%,14,227,241
"District Judge, 190th Judicial District",0026,239,277,516,1845,27.97%,142,340,482
"District Judge, 190th Judicial District",0027,463,427,890,3074,28.95%,228,621,849
"District Judge, 190th Judicial District",0028,636,405,1041,3029,34.37%,681,312,993
"District Judge, 190th Judicial District",0029,194,237,431,2638,16.34%,167,242,409
"District Judge, 190th Judicial District",0030,368,391,759,2403,31.59%,211,516,727
"District Judge, 190th Judicial District",0031,453,280,733,2511,29.19%,19,690,709
"District Judge, 190th Judicial District",0032,318,405,723,2398,30.15%,292,384,676
