Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Denise Collins,DEM Chuck Silverman,Totals
"District Judge, 208th Judicial District",0001,417,466,883,2358,37.45%,323,506,829
"District Judge, 208th Judicial District",0002,333,313,646,1961,32.94%,280,318,598
"District Judge, 208th Judicial District",0003,326,405,731,1560,46.86%,270,385,655
"District Judge, 208th Judicial District",0004,369,487,856,1668,51.32%,322,462,784
"District Judge, 208th Judicial District",0005,279,448,727,1417,51.31%,261,398,659
"District Judge, 208th Judicial District",0006,656,456,1112,3702,30.04%,651,428,1079
"District Judge, 208th Judicial District",0007,209,110,319,1017,31.37%,14,293,307
"District Judge, 208th Judicial District",0008,393,310,703,1744,40.31%,376,301,677
"District Judge, 208th Judicial District",0009,206,223,429,1874,22.89%,124,273,397
"District Judge, 208th Judicial District",0010,255,171,426,1753,24.30%,128,271,399
"District Judge, 208th Judicial District",0011,184,176,360,1785,20.17%,73,261,334
"District Judge, 208th Judicial District",0012,86,66,152,735,20.68%,87,60,147
"District Judge, 208th Judicial District",0013,548,361,909,2689,33.80%,671,203,874
"District Judge, 208th Judicial District",0014,442,495,937,1870,50.11%,508,373,881
"District Judge, 208th Judicial District",0015,597,898,1495,2878,51.95%,903,462,1365
"District Judge, 208th Judicial District",0016,239,137,376,1071,35.11%,175,179,354
"District Judge, 208th Judicial District",0017,185,215,400,1162,34.42%,184,192,376
"District Judge, 208th Judicial District",0018,371,351,722,1443,50.03%,350,325,675
"District Judge, 208th Judicial District",0019,170,207,377,1170,32.22%,130,227,357
"District Judge, 208th Judicial District",0020,311,287,598,2646,22.60%,188,380,568
"District Judge, 208th Judicial District",0021,176,184,360,1122,32.09%,74,265,339
"District Judge, 208th Judicial District",0022,397,322,719,2473,29.07%,144,555,699
"District Judge, 208th Judicial District",0023,31,22,53,541,9.80%,10,41,51
"District Judge, 208th Judicial District",0024,106,88,194,655,29.62%,18,169,187
"District Judge, 208th Judicial District",0025,104,143,247,1086,22.74%,13,228,241
"District Judge, 208th Judicial District",0026,239,277,516,1845,27.97%,142,328,470
"District Judge, 208th Judicial District",0027,463,427,890,3074,28.95%,241,602,843
"District Judge, 208th Judicial District",0028,636,405,1041,3029,34.37%,685,313,998
"District Judge, 208th Judicial District",0029,194,237,431,2638,16.34%,174,235,409
"District Judge, 208th Judicial District",0030,368,391,759,2403,31.59%,201,526,727
"District Judge, 208th Judicial District",0031,453,280,733,2511,29.19%,21,690,711
"District Judge, 208th Judicial District",0032,318,405,723,2398,30.15%,295,383,678
"District Judge, 208th Judicial District",0033,707,615,1322,3706,35.67%,445,786,1231
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Denise Collins,DEM Chuck Silverman,Totals
"District Judge, 208th Judicial District",0034,625,579,1204,2786,43.22%,305,827,1132
"District Judge, 208th Judicial District",0035,4,0,4,11,36.36%,1,3,4
"District Judge, 208th Judicial District",0036,416,318,734,2927,25.08%,205,491,696
"District Judge, 208th Judicial District",0037,542,436,978,2106,46.44%,301,608,909
"District Judge, 208th Judicial District",0038,784,589,1373,2875,47.76%,496,783,1279
"District Judge, 208th Judicial District",0039,657,575,1232,2759,44.65%,328,821,1149
"District Judge, 208th Judicial District",0040,136,152,288,541,53.23%,150,112,262
"District Judge, 208th Judicial District",0041,176,230,406,1334,30.43%,168,225,393
"District Judge, 208th Judicial District",0042,228,109,337,1071,31.47%,6,320,326
"District Judge, 208th Judicial District",0043,293,210,503,1695,29.68%,285,197,482
"District Judge, 208th Judicial District",0044,204,222,426,2001,21.29%,105,295,400
"District Judge, 208th Judicial District",0045,894,750,1644,6698,24.54%,338,1258,1596
"District Judge, 208th Judicial District",0046,290,247,537,2511,21.39%,100,411,511
"District Judge, 208th Judicial District",0047,213,218,431,1627,26.49%,20,401,421
"District Judge, 208th Judicial District",0048,157,142,299,940,31.81%,27,265,292
"District Judge, 208th Judicial District",0049,584,482,1066,3343,31.89%,781,255,1036
"District Judge, 208th Judicial District",0050,785,771,1556,5211,29.86%,855,649,1504
"District Judge, 208th Judicial District",0051,353,243,596,1689,35.29%,456,118,574
"District Judge, 208th Judicial District",0052,422,447,869,2457,35.37%,412,404,816
"District Judge, 208th Judicial District",0053,564,726,1290,2971,43.42%,545,648,1193
"District Judge, 208th Judicial District",0054,269,364,633,1487,42.57%,324,269,593
"District Judge, 208th Judicial District",0055,191,251,442,1506,29.35%,199,217,416
"District Judge, 208th Judicial District",0056,282,278,560,1326,42.23%,384,151,535
"District Judge, 208th Judicial District",0057,710,831,1541,3153,48.87%,635,783,1418
"District Judge, 208th Judicial District",0058,469,556,1025,2690,38.10%,460,513,973
"District Judge, 208th Judicial District",0059,555,609,1164,2544,45.75%,479,601,1080
"District Judge, 208th Judicial District",0060,498,564,1062,2453,43.29%,273,706,979
"District Judge, 208th Judicial District",0061,172,204,376,1773,21.21%,164,184,348
"District Judge, 208th Judicial District",0062,145,322,467,2181,21.41%,130,314,444
"District Judge, 208th Judicial District",0063,264,354,618,1826,33.84%,501,96,597
"District Judge, 208th Judicial District",0064,191,221,412,2141,19.24%,92,296,388
"District Judge, 208th Judicial District",0065,172,230,402,2167,18.55%,101,277,378
"District Judge, 208th Judicial District",0066,69,143,212,1098,19.31%,35,163,198
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Denise Collins,DEM Chuck Silverman,Totals
"District Judge, 208th Judicial District",0067,304,282,586,2794,20.97%,171,375,546
"District Judge, 208th Judicial District",0068,553,352,905,2924,30.95%,26,858,884
"District Judge, 208th Judicial District",0069,80,124,204,1284,15.89%,46,141,187
"District Judge, 208th Judicial District",0070,882,664,1546,3337,46.33%,933,492,1425
