Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lynn Bradshaw Hull,DEM Barbara J. Stalder,Totals
"District Judge, 280th Judicial District",0001,417,466,883,2358,37.45%,279,540,819
"District Judge, 280th Judicial District",0002,333,313,646,1961,32.94%,256,347,603
"District Judge, 280th Judicial District",0003,325,405,731,1560,46.86%,235,419,654
"District Judge, 280th Judicial District",0004,369,487,856,1668,51.32%,285,497,782
"District Judge, 280th Judicial District",0005,279,448,727,1417,51.31%,245,419,664
"District Judge, 280th Judicial District",0006,656,456,1112,3702,30.04%,639,435,1074
"District Judge, 280th Judicial District",0007,209,110,319,1017,31.37%,12,294,306
"District Judge, 280th Judicial District",0008,393,310,703,1744,40.31%,346,328,674
"District Judge, 280th Judicial District",0009,206,223,429,1874,22.89%,111,285,396
"District Judge, 280th Judicial District",0010,255,171,426,1753,24.30%,124,274,398
"District Judge, 280th Judicial District",0011,184,176,360,1785,20.17%,69,266,335
"District Judge, 280th Judicial District",0012,86,66,152,735,20.68%,88,60,148
"District Judge, 280th Judicial District",0013,548,361,909,2689,33.80%,651,219,870
"District Judge, 280th Judicial District",0014,442,495,937,1870,50.11%,480,398,878
"District Judge, 280th Judicial District",0015,597,898,1495,2878,51.95%,808,576,1384
"District Judge, 280th Judicial District",0016,239,137,376,1071,35.11%,171,184,355
"District Judge, 280th Judicial District",0017,185,215,400,1162,34.42%,169,203,372
"District Judge, 280th Judicial District",0018,371,351,722,1443,50.03%,315,359,674
"District Judge, 280th Judicial District",0019,170,207,377,1170,32.22%,117,238,355
"District Judge, 280th Judicial District",0020,311,287,598,2646,22.60%,166,405,571
"District Judge, 280th Judicial District",0021,176,184,360,1122,32.09%,69,271,340
"District Judge, 280th Judicial District",0022,397,322,719,2473,29.07%,126,568,694
"District Judge, 280th Judicial District",0023,31,22,53,541,9.80%,9,43,52
"District Judge, 280th Judicial District",0024,106,88,194,655,29.62%,17,171,188
"District Judge, 280th Judicial District",0025,104,143,247,1086,22.74%,11,230,241
"District Judge, 280th Judicial District",0026,239,277,516,1845,27.97%,132,336,468
"District Judge, 280th Judicial District",0027,463,427,890,3074,28.95%,212,626,838
"District Judge, 280th Judicial District",0028,636,405,1041,3029,34.37%,665,323,988
"District Judge, 280th Judicial District",0029,194,237,431,2638,16.34%,162,246,408
"District Judge, 280th Judicial District",0030,368,391,759,2403,31.59%,192,537,729
"District Judge, 280th Judicial District",0031,453,280,733,2511,29.19%,19,692,711
"District Judge, 280th Judicial District",0032,318,405,723,2398,30.15%,289,389,678
"District Judge, 280th Judicial District",0033,707,615,1322,3706,35.67%,402,837,1239
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lynn Bradshaw Hull,DEM Barbara J. Stalder,Totals
"District Judge, 280th Judicial District",0034,625,579,1204,2786,43.22%,271,870,1141
"District Judge, 280th Judicial District",0035,4,0,4,11,36.36%,1,3,4
"District Judge, 280th Judicial District",0036,416,318,734,2927,25.08%,202,493,695
"District Judge, 280th Judicial District",0037,542,436,978,2106,46.44%,280,633,913
"District Judge, 280th Judicial District",0038,784,589,1373,2875,47.76%,433,849,1282
"District Judge, 280th Judicial District",0039,657,575,1232,2759,44.65%,284,867,1151
"District Judge, 280th Judicial District",0040,136,152,288,541,53.23%,120,148,268
"District Judge, 280th Judicial District",0041,176,230,406,1334,30.43%,163,229,392
"District Judge, 280th Judicial District",0042,228,109,337,1071,31.47%,7,321,328
"District Judge, 280th Judicial District",0043,293,210,503,1695,29.68%,268,211,479
"District Judge, 280th Judicial District",0044,204,222,426,2001,21.29%,95,303,398
"District Judge, 280th Judicial District",0045,894,750,1644,6698,24.54%,319,1276,1595
"District Judge, 280th Judicial District",0046,290,247,537,2511,21.39%,92,415,507
"District Judge, 280th Judicial District",0047,213,218,431,1627,26.49%,15,407,422
"District Judge, 280th Judicial District",0048,157,142,299,940,31.81%,24,267,291
"District Judge, 280th Judicial District",0049,584,482,1066,3343,31.89%,772,263,1035
"District Judge, 280th Judicial District",0050,785,771,1556,5211,29.86%,840,663,1503
"District Judge, 280th Judicial District",0051,353,243,596,1689,35.29%,445,132,577
"District Judge, 280th Judicial District",0052,422,447,869,2457,35.37%,392,425,817
"District Judge, 280th Judicial District",0053,564,726,1290,2971,43.42%,500,697,1197
"District Judge, 280th Judicial District",0054,269,364,633,1487,42.57%,316,278,594
"District Judge, 280th Judicial District",0055,191,251,442,1506,29.35%,195,218,413
"District Judge, 280th Judicial District",0056,282,278,560,1326,42.23%,365,166,531
"District Judge, 280th Judicial District",0057,710,831,1541,3153,48.87%,555,861,1416
"District Judge, 280th Judicial District",0058,469,556,1025,2690,38.10%,431,539,970
