Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Caroline E. Baker,DEM Latosha Lewis,Totals
"District Judge, 295th Judicial District",0001,417,466,883,2358,37.45%,315,512,827
"District Judge, 295th Judicial District",0002,333,313,646,1961,32.94%,286,316,602
"District Judge, 295th Judicial District",0003,326,405,731,1560,46.86%,290,365,655
"District Judge, 295th Judicial District",0004,369,487,856,1668,51.32%,334,450,784
"District Judge, 295th Judicial District",0005,279,448,727,1417,51.31%,283,378,661
"District Judge, 295th Judicial District",0006,656,456,1112,3702,30.04%,655,416,1071
"District Judge, 295th Judicial District",0007,209,110,319,1017,31.37%,14,293,307
"District Judge, 295th Judicial District",0008,393,310,703,1744,40.31%,380,293,673
"District Judge, 295th Judicial District",0009,206,223,429,1874,22.89%,121,277,398
"District Judge, 295th Judicial District",0010,255,171,426,1753,24.30%,134,258,392
"District Judge, 295th Judicial District",0011,184,176,360,1785,20.17%,79,254,333
"District Judge, 295th Judicial District",0012,86,66,152,735,20.68%,89,60,149
"District Judge, 295th Judicial District",0013,548,361,909,2689,33.80%,680,190,870
"District Judge, 295th Judicial District",0014,442,495,937,1870,50.11%,528,347,875
"District Judge, 295th Judicial District",0015,597,898,1495,2878,51.95%,942,431,1373
"District Judge, 295th Judicial District",0016,239,137,376,1071,35.11%,182,173,355
"District Judge, 295th Judicial District",0017,185,215,400,1162,34.42%,186,184,370
"District Judge, 295th Judicial District",0018,371,351,722,1443,50.03%,360,311,671
"District Judge, 295th Judicial District",0019,170,207,377,1170,32.22%,129,223,352
"District Judge, 295th Judicial District",0020,311,287,598,2646,22.60%,197,373,570
"District Judge, 295th Judicial District",0021,176,184,360,1122,32.09%,78,264,342
"District Judge, 295th Judicial District",0022,397,322,719,2473,29.07%,147,548,695
"District Judge, 295th Judicial District",0023,31,22,53,541,9.80%,10,42,52
"District Judge, 295th Judicial District",0024,106,88,194,655,29.62%,17,170,187
"District Judge, 295th Judicial District",0025,104,143,247,1086,22.74%,13,230,243
"District Judge, 295th Judicial District",0026,239,277,516,1845,27.97%,146,321,467
"District Judge, 295th Judicial District",0027,463,427,890,3074,28.95%,238,600,838
