Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0001,417,466,883,2358,37.45%,277,547,824
"Family District Judge, 311th Judicial District",0002,333,313,646,1961,32.94%,258,346,604
"Family District Judge, 311th Judicial District",0003,326,405,731,1560,46.86%,236,417,653
"Family District Judge, 311th Judicial District",0004,369,487,856,1668,51.32%,270,515,785
"Family District Judge, 311th Judicial District",0005,279,448,727,1417,51.31%,234,428,662
"Family District Judge, 311th Judicial District",0006,656,456,1112,3702,30.04%,638,434,1072
"Family District Judge, 311th Judicial District",0007,209,110,319,1017,31.37%,15,294,309
"Family District Judge, 311th Judicial District",0008,393,310,703,1744,40.31%,346,326,672
"Family District Judge, 311th Judicial District",0009,206,223,429,1874,22.89%,120,280,400
"Family District Judge, 311th Judicial District",0010,255,171,426,1753,24.30%,131,267,398
"Family District Judge, 311th Judicial District",0011,184,176,360,1785,20.17%,72,261,333
"Family District Judge, 311th Judicial District",0012,86,66,152,735,20.68%,88,61,149
"Family District Judge, 311th Judicial District",0013,548,361,909,2689,33.80%,644,224,868
"Family District Judge, 311th Judicial District",0014,442,495,937,1870,50.11%,470,405,875
"Family District Judge, 311th Judicial District",0015,597,898,1495,2878,51.95%,773,592,1365
"Family District Judge, 311th Judicial District",0016,239,137,376,1071,35.11%,160,191,351
"Family District Judge, 311th Judicial District",0017,185,215,400,1162,34.42%,171,202,373
"Family District Judge, 311th Judicial District",0018,371,351,722,1443,50.03%,308,360,668
"Family District Judge, 311th Judicial District",0019,170,207,377,1170,32.22%,117,239,356
"Family District Judge, 311th Judicial District",0020,311,287,598,2646,22.60%,166,405,571
"Family District Judge, 311th Judicial District",0021,176,184,360,1122,32.09%,73,269,342
"Family District Judge, 311th Judicial District",0022,397,322,719,2473,29.07%,130,567,697
"Family District Judge, 311th Judicial District",0023,31,22,53,541,9.80%,11,40,51
"Family District Judge, 311th Judicial District",0024,106,88,194,655,29.62%,19,169,188
"Family District Judge, 311th Judicial District",0025,104,143,247,1086,22.74%,13,227,240
"Family District Judge, 311th Judicial District",0026,239,277,516,1845,27.97%,139,333,472
"Family District Judge, 311th Judicial District",0027,463,427,890,3074,28.95%,221,622,843
"Family District Judge, 311th Judicial District",0028,636,405,1041,3029,34.37%,666,327,993
"Family District Judge, 311th Judicial District",0029,194,237,431,2638,16.34%,171,237,408
"Family District Judge, 311th Judicial District",0030,368,391,759,2403,31.59%,193,528,721
"Family District Judge, 311th Judicial District",0031,453,280,733,2511,29.19%,20,691,711
"Family District Judge, 311th Judicial District",0032,318,405,723,2398,30.15%,283,392,675
"Family District Judge, 311th Judicial District",0033,707,615,1322,3706,35.67%,389,842,1231
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0034,625,579,1204,2786,43.22%,264,878,1142
"Family District Judge, 311th Judicial District",0035,4,0,4,11,36.36%,1,3,4
"Family District Judge, 311th Judicial District",0036,416,318,734,2927,25.08%,204,486,690
"Family District Judge, 311th Judicial District",0037,542,436,978,2106,46.44%,265,647,912
"Family District Judge, 311th Judicial District",0038,784,589,1373,2875,47.76%,423,854,1277
