Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Devlin,DEM Tracy D. Good,Totals
"Family District Judge, 313th Judicial District",0001,417,466,883,2358,37.45%,283,535,818
"Family District Judge, 313th Judicial District",0002,333,313,646,1961,32.94%,258,341,599
"Family District Judge, 313th Judicial District",0003,326,405,731,1560,46.86%,255,393,648
"Family District Judge, 313th Judicial District",0004,369,487,856,1668,51.32%,309,474,783
"Family District Judge, 313th Judicial District",0005,279,448,727,1417,51.31%,251,410,661
"Family District Judge, 313th Judicial District",0006,656,456,1112,3702,30.04%,636,438,1074
"Family District Judge, 313th Judicial District",0007,209,110,319,1017,31.37%,15,293,308
"Family District Judge, 313th Judicial District",0008,393,310,703,1744,40.31%,347,322,669
"Family District Judge, 313th Judicial District",0009,206,223,429,1874,22.89%,109,284,393
"Family District Judge, 313th Judicial District",0010,255,171,426,1753,24.30%,125,270,395
"Family District Judge, 313th Judicial District",0011,184,176,360,1785,20.17%,71,264,335
"Family District Judge, 313th Judicial District",0012,86,66,152,735,20.68%,89,60,149
"Family District Judge, 313th Judicial District",0013,548,361,909,2689,33.80%,660,210,870
"Family District Judge, 313th Judicial District",0014,442,495,937,1870,50.11%,496,375,871
"Family District Judge, 313th Judicial District",0015,597,898,1495,2878,51.95%,852,508,1360
"Family District Judge, 313th Judicial District",0016,239,137,376,1071,35.11%,167,184,351
"Family District Judge, 313th Judicial District",0017,185,215,400,1162,34.42%,176,195,371
"Family District Judge, 313th Judicial District",0018,371,351,722,1443,50.03%,336,329,665
"Family District Judge, 313th Judicial District",0019,170,207,377,1170,32.22%,121,236,357
"Family District Judge, 313th Judicial District",0020,311,287,598,2646,22.60%,175,389,564
"Family District Judge, 313th Judicial District",0021,176,184,360,1122,32.09%,77,265,342
"Family District Judge, 313th Judicial District",0022,397,322,719,2473,29.07%,137,558,695
"Family District Judge, 313th Judicial District",0023,31,22,53,541,9.80%,11,40,51
"Family District Judge, 313th Judicial District",0024,106,88,194,655,29.62%,14,173,187
"Family District Judge, 313th Judicial District",0025,104,143,247,1086,22.74%,11,230,241
"Family District Judge, 313th Judicial District",0026,239,277,516,1845,27.97%,130,338,468
"Family District Judge, 313th Judicial District",0027,463,427,890,3074,28.95%,222,616,838
"Family District Judge, 313th Judicial District",0028,636,405,1041,3029,34.37%,673,319,992
"Family District Judge, 313th Judicial District",0029,194,237,431,2638,16.34%,169,241,410
"Family District Judge, 313th Judicial District",0030,368,391,759,2403,31.59%,188,530,718
"Family District Judge, 313th Judicial District",0031,453,280,733,2511,29.19%,17,692,709
"Family District Judge, 313th Judicial District",0032,318,405,723,2398,30.15%,280,395,675
"Family District Judge, 313th Judicial District",0033,707,615,1322,3706,35.67%,416,814,1230
"Family District Judge, 313th Judicial District",0034,625,579,1204,2786,43.22%,285,842,1127
"Family District Judge, 313th Judicial District",0035,4,0,4,11,36.36%,1,3,4
"Family District Judge, 313th Judicial District",0036,416,318,734,2927,25.08%,195,498,693
"Family District Judge, 313th Judicial District",0037,542,436,978,2106,46.44%,276,631,907
"Family District Judge, 313th Judicial District",0038,784,589,1373,2875,47.76%,456,817,1273
"Family District Judge, 313th Judicial District",0039,657,575,1232,2759,44.65%,303,835,1138
"Family District Judge, 313th Judicial District",0040,136,152,288,541,53.23%,142,120,262
"Family District Judge, 313th Judicial District",0041,176,230,406,1334,30.43%,158,234,392
"Family District Judge, 313th Judicial District",0042,228,109,337,1071,31.47%,7,320,327
"Family District Judge, 313th Judicial District",0043,293,210,503,1695,29.68%,267,209,476
"Family District Judge, 313th Judicial District",0044,204,222,426,2001,21.29%,95,302,397
"Family District Judge, 313th Judicial District",0045,894,750,1644,6698,24.54%,314,1281,1595
"Family District Judge, 313th Judicial District",0046,290,247,537,2511,21.39%,91,414,505
"Family District Judge, 313th Judicial District",0047,213,218,431,1627,26.49%,17,404,421
"Family District Judge, 313th Judicial District",0048,157,142,299,940,31.81%,27,265,292
"Family District Judge, 313th Judicial District",0049,584,482,1066,3343,31.89%,770,264,1034
"Family District Judge, 313th Judicial District",0050,785,771,1556,5211,29.86%,845,662,1507
"Family District Judge, 313th Judicial District",0051,353,243,596,1689,35.29%,441,135,576
"Family District Judge, 313th Judicial District",0052,422,447,869,2457,35.37%,395,419,814
"Family District Judge, 313th Judicial District",0053,564,726,1290,2971,43.42%,522,665,1187
"Family District Judge, 313th Judicial District",0054,269,364,633,1487,42.57%,320,267,587
"Family District Judge, 313th Judicial District",0055,191,251,442,1506,29.35%,194,214,408
"Family District Judge, 313th Judicial District",0056,282,278,560,1326,42.23%,372,158,530
"Family District Judge, 313th Judicial District",0057,710,831,1541,3153,48.87%,578,831,1409
"Family District Judge, 313th Judicial District",0058,469,556,1025,2690,38.10%,412,556,968
"Family District Judge, 313th Judicial District",0059,555,609,1164,2544,45.75%,456,619,1075
"Family District Judge, 313th Judicial District",0060,498,564,1062,2453,43.29%,261,716,977
"Family District Judge, 313th Judicial District",0061,172,204,376,1773,21.21%,150,199,349
"Family District Judge, 313th Judicial District",0062,145,322,467,2181,21.41%,127,319,446
