Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,"REP Michael ""Mike"" Schneider",Totals
"Family District Judge, 315th Judicial District",0001,417,466,883,2358,37.45%,369,369
"Family District Judge, 315th Judicial District",0002,333,313,646,1961,32.94%,315,315
"Family District Judge, 315th Judicial District",0003,326,405,731,1560,46.86%,311,311
"Family District Judge, 315th Judicial District",0004,369,487,856,1668,51.32%,353,353
"Family District Judge, 315th Judicial District",0005,279,448,727,1417,51.31%,303,303
"Family District Judge, 315th Judicial District",0006,656,456,1112,3702,30.04%,721,721
"Family District Judge, 315th Judicial District",0007,209,110,319,1017,31.37%,25,25
"Family District Judge, 315th Judicial District",0008,393,310,703,1744,40.31%,405,405
"Family District Judge, 315th Judicial District",0009,206,223,429,1874,22.89%,164,164
"Family District Judge, 315th Judicial District",0010,255,171,426,1753,24.30%,168,168
"Family District Judge, 315th Judicial District",0011,184,176,360,1785,20.17%,99,99
"Family District Judge, 315th Judicial District",0012,86,66,152,735,20.68%,94,94
"Family District Judge, 315th Judicial District",0013,548,361,909,2689,33.80%,680,680
"Family District Judge, 315th Judicial District",0014,442,495,937,1870,50.11%,553,553
"Family District Judge, 315th Judicial District",0015,597,898,1495,2878,51.95%,950,950
"Family District Judge, 315th Judicial District",0016,239,137,376,1071,35.11%,210,210
"Family District Judge, 315th Judicial District",0017,185,215,400,1162,34.42%,208,208
"Family District Judge, 315th Judicial District",0018,371,351,722,1443,50.03%,388,388
"Family District Judge, 315th Judicial District",0019,170,207,377,1170,32.22%,152,152
"Family District Judge, 315th Judicial District",0020,311,287,598,2646,22.60%,228,228
"Family District Judge, 315th Judicial District",0021,176,184,360,1122,32.09%,104,104
"Family District Judge, 315th Judicial District",0022,397,322,719,2473,29.07%,174,174
"Family District Judge, 315th Judicial District",0023,31,22,53,541,9.80%,13,13
"Family District Judge, 315th Judicial District",0024,106,88,194,655,29.62%,34,34
"Family District Judge, 315th Judicial District",0025,104,143,247,1086,22.74%,29,29
"Family District Judge, 315th Judicial District",0026,239,277,516,1845,27.97%,187,187
"Family District Judge, 315th Judicial District",0027,463,427,890,3074,28.95%,313,313
"Family District Judge, 315th Judicial District",0028,636,405,1041,3029,34.37%,705,705
"Family District Judge, 315th Judicial District",0029,194,237,431,2638,16.34%,197,197
"Family District Judge, 315th Judicial District",0030,368,391,759,2403,31.59%,258,258
"Family District Judge, 315th Judicial District",0031,453,280,733,2511,29.19%,55,55
"Family District Judge, 315th Judicial District",0032,318,405,723,2398,30.15%,351,351
"Family District Judge, 315th Judicial District",0033,707,615,1322,3706,35.67%,533,533
"Family District Judge, 315th Judicial District",0034,625,579,1204,2786,43.22%,370,370
"Family District Judge, 315th Judicial District",0035,4,0,4,11,36.36%,1,1
"Family District Judge, 315th Judicial District",0036,416,318,734,2927,25.08%,269,269
"Family District Judge, 315th Judicial District",0037,542,436,978,2106,46.44%,361,361
"Family District Judge, 315th Judicial District",0038,784,589,1373,2875,47.76%,563,563
"Family District Judge, 315th Judicial District",0039,657,575,1232,2759,44.65%,402,402
"Family District Judge, 315th Judicial District",0040,136,152,288,541,53.23%,156,156
"Family District Judge, 315th Judicial District",0041,176,230,406,1334,30.43%,194,194
"Family District Judge, 315th Judicial District",0042,228,109,337,1071,31.47%,21,21
"Family District Judge, 315th Judicial District",0043,293,210,503,1695,29.68%,302,302
"Family District Judge, 315th Judicial District",0044,204,222,426,2001,21.29%,145,145
"Family District Judge, 315th Judicial District",0045,894,750,1644,6698,24.54%,457,457
"Family District Judge, 315th Judicial District",0046,290,247,537,2511,21.39%,149,149
"Family District Judge, 315th Judicial District",0047,213,218,431,1627,26.49%,44,44
"Family District Judge, 315th Judicial District",0048,157,142,299,940,31.81%,40,40
"Family District Judge, 315th Judicial District",0049,584,482,1066,3343,31.89%,811,811
"Family District Judge, 315th Judicial District",0050,785,771,1556,5211,29.86%,953,953
"Family District Judge, 315th Judicial District",0051,353,243,596,1689,35.29%,466,466
"Family District Judge, 315th Judicial District",0052,422,447,869,2457,35.37%,486,486
"Family District Judge, 315th Judicial District",0053,564,726,1290,2971,43.42%,596,596
"Family District Judge, 315th Judicial District",0054,269,364,633,1487,42.57%,377,377
"Family District Judge, 315th Judicial District",0055,191,251,442,1506,29.35%,229,229
"Family District Judge, 315th Judicial District",0056,282,278,560,1326,42.23%,386,386
"Family District Judge, 315th Judicial District",0057,710,831,1541,3153,48.87%,709,709
"Family District Judge, 315th Judicial District",0058,469,556,1025,2690,38.10%,519,519
"Family District Judge, 315th Judicial District",0059,555,609,1164,2544,45.75%,542,542
"Family District Judge, 315th Judicial District",0060,498,564,1052,2453,43.29%,346,346
"Family District Judge, 315th Judicial District",0061,172,204,376,1773,21.21%,174,174
"Family District Judge, 315th Judicial District",0062,145,322,467,2181,21.41%,173,173
"Family District Judge, 315th Judicial District",0063,264,354,618,1826,33.84%,512,512
"Family District Judge, 315th Judicial District",0064,191,221,412,2141,19.24%,122,122
"Family District Judge, 315th Judicial District",0065,172,230,402,2167,18.55%,141,141
"Family District Judge, 315th Judicial District",0066,69,143,212,1098,19.31%,49,49
"Family District Judge, 315th Judicial District",0067,304,282,586,2794,20.97%,210,210
"Family District Judge, 315th Judicial District",0068,553,352,905,2924,30.95%,67,67
"Family District Judge, 315th Judicial District",0069,80,124,204,1284,15.89%,65,65
"Family District Judge, 315th Judicial District",0070,882,664,1546,3337,46.33%,984,984
"Family District Judge, 315th Judicial District",0071,602,722,1324,4197,31.55%,750,750
"Family District Judge, 315th Judicial District",0072,220,293,513,1924,26.66%,202,202
"Family District Judge, 315th Judicial District",0073,252,414,666,1555,42.83%,410,410
"Family District Judge, 315th Judicial District",0074,1153,782,1935,3583,54.01%,1536,1536
"Family District Judge, 315th Judicial District",0075,254,280,534,1444,36.98%,257,257
"Family District Judge, 315th Judicial District",0076,373,374,747,2362,31.63%,492,492
"Family District Judge, 315th Judicial District",0077,43,46,89,566,15.72%,26,26
"Family District Judge, 315th Judicial District",0078,180,201,381,1522,25.03%,172,172
"Family District Judge, 315th Judicial District",0079,205,306,511,2927,17.46%,198,198
"Family District Judge, 315th Judicial District",0080,501,351,852,2725,31.27%,284,284
"Family District Judge, 315th Judicial District",0081,183,187,370,1835,20.16%,176,176
"Family District Judge, 315th Judicial District",0082,639,671,1310,3368,38.90%,1032,1032
"Family District Judge, 315th Judicial District",0083,1296,888,2184,6625,32.97%,1213,1213
"Family District Judge, 315th Judicial District",0084,208,218,426,1373,31.03%,325,325
"Family District Judge, 315th Judicial District",0085,271,248,519,2173,23.88%,67,67
"Family District Judge, 315th Judicial District",0086,447,568,1015,2910,34.88%,545,545
"Family District Judge, 315th Judicial District",0087,574,787,1461,2818,51.85%,994,994
"Family District Judge, 315th Judicial District",0088,123,118,241,693,34.78%,164,164
"Family District Judge, 315th Judicial District",0089,165,371,536,1094,48.99%,328,328
