Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0001,417,466,883,2358,37.45%,276,590,9,3,0,878
Governor,0002,334,313,647,1961,32.99%,251,378,10,1,0,540
Governor,0003,326,405,731,1560,46.86%,220,484,18,3,0,725
Governor,0004,359,487,856,1668,51.32%,275,555,17,4,0,851
Governor,0005,280,448,728,1417,51.38%,219,494,10,0,0,723
Governor,0006,656,456,1112,3702,30.04%,609,463,22,8,0,1102
Governor,0007,209,110,319,1017,31.37%,13,299,0,1,0,313
Governor,0008,393,310,703,1744,40.31%,334,342,16,5,0,597
Governor,0009,206,223,429,1874,22.89%,112,291,4,8,0,415
Governor,0010,255,171,426,1753,24.30%,125,281,4,8,0,418
Governor,0011,184,176,360,1785,20.17%,73,267,5,2,0,347
Governor,0012,86,66,152,735,20.68%,86,63,1,0,0,150
Governor,0013,548,361,909,2689,33.80%,653,241,8,3,0,905
Governor,0014,442,495,937,1870,50.11%,453,472,6,2,0,933
Governor,0015,597,898,1495,2878,51.95%,786,685,15,5,0,1491
Governor,0016,243,137,380,1071,35.48%,165,200,9,1,0,375
Governor,0017,185,215,400,1162,34.42%,176,207,7,1,0,391
Governor,0018,371,351,722,1443,50.03%,319,392,7,0,0,718
Governor,0019,172,207,379,1170,32.39%,114,261,2,2,0,379
Governor,0020,313,287,600,2646,22.68%,152,425,14,4,0,595
Governor,0021,179,184,363,1122,32.35%,67,282,5,3,0,357
Governor,0022,397,322,719,2473,29.07%,130,572,7,3,0,712
Governor,0023,31,22,53,541,9.80%,11,39,0,0,0,50
Governor,0024,107,88,195,655,29.77%,13,177,1,1,0,192
Governor,0025,105,143,248,1086,22.84%,9,233,2,1,0,245
Governor,0026,241,277,518,1845,28.08%,131,362,9,5,0,507
Governor,0027,463,427,890,3074,28.95%,226,639,9,7,0,881
Governor,0028,537,405,1042,3029,34.40%,674,345,3,3,1,1025
Governor,0029,194,237,431,2638,16.34%,171,239,3,6,0,419
