Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Theresa Chang,"DEM Scot ""Dolli"" Dollinger",Totals
"Judge, County Court at Law No. 2",0001,417,466,883,2358,37.45%,320,503,823
"Judge, County Court at Law No. 2",0002,333,313,646,1961,32.94%,273,325,598
"Judge, County Court at Law No. 2",0003,326,405,731,1560,46.86%,273,383,656
"Judge, County Court at Law No. 2",0004,369,487,856,1668,51.32%,322,460,782
"Judge, County Court at Law No. 2",0005,279,448,727,1417,51.31%,271,394,665
"Judge, County Court at Law No. 2",0006,656,456,1112,3702,30.04%,649,422,1071
"Judge, County Court at Law No. 2",0007,209,110,319,1017,31.37%,15,292,307
"Judge, County Court at Law No. 2",0008,393,310,703,1744,40.31%,375,301,676
"Judge, County Court at Law No. 2",0009,206,223,429,1874,22.89%,133,265,398
"Judge, County Court at Law No. 2",0010,255,171,426,1753,24.30%,135,261,396
"Judge, County Court at Law No. 2",0011,184,176,360,1785,20.17%,73,262,335
"Judge, County Court at Law No. 2",0012,86,66,152,735,20.68%,89,59,148
"Judge, County Court at Law No. 2",0013,548,361,909,2689,33.80%,658,204,862
"Judge, County Court at Law No. 2",0014,442,495,937,1870,50.11%,522,353,875
"Judge, County Court at Law No. 2",0015,597,898,1495,2878,51.95%,907,461,1368
"Judge, County Court at Law No. 2",0016,239,137,376,1071,35.11%,180,176,356
"Judge, County Court at Law No. 2",0017,185,215,400,1162,34.42%,181,192,373
"Judge, County Court at Law No. 2",0018,371,351,722,1443,50.03%,350,319,669
"Judge, County Court at Law No. 2",0019,170,207,377,1170,32.22%,127,225,352
"Judge, County Court at Law No. 2",0020,311,287,598,2646,22.60%,194,377,571
"Judge, County Court at Law No. 2",0021,176,184,360,1122,32.09%,77,265,342
"Judge, County Court at Law No. 2",0022,397,322,719,2473,29.07%,142,550,692
"Judge, County Court at Law No. 2",0023,31,22,53,541,9.80%,11,40,51
"Judge, County Court at Law No. 2",0024,106,88,194,655,29.62%,18,169,187
"Judge, County Court at Law No. 2",0025,104,143,247,1086,22.74%,14,227,241
"Judge, County Court at Law No. 2",0026,239,277,516,1845,27.97%,150,321,471
"Judge, County Court at Law No. 2",0027,463,427,890,3074,28.95%,244,592,836
"Judge, County Court at Law No. 2",0028,636,405,1041,3029,34.37%,680,311,991
"Judge, County Court at Law No. 2",0029,194,237,431,2638,16.34%,169,239,408
"Judge, County Court at Law No. 2",0030,368,391,759,2403,31.59%,209,515,724
"Judge, County Court at Law No. 2",0031,453,280,733,2511,29.19%,24,684,708
"Judge, County Court at Law No. 2",0032,318,405,723,2398,30.15%,302,372,674
"Judge, County Court at Law No. 2",0033,707,615,1322,3706,35.67%,455,784,1239
"Judge, County Court at Law No. 2",0034,625,579,1204,2786,43.22%,305,835,1140
"Judge, County Court at Law No. 2",0035,4,0,4,11,36.36%,1,3,4
"Judge, County Court at Law No. 2",0036,416,318,734,2927,25.08%,214,479,693
"Judge, County Court at Law No. 2",0037,542,436,978,2106,46.44%,300,608,908
"Judge, County Court at Law No. 2",0038,784,589,1373,2875,47.76%,499,782,1281
"Judge, County Court at Law No. 2",0039,657,575,1232,2759,44.65%,327,818,1145
"Judge, County Court at Law No. 2",0040,136,152,288,541,53.23%,154,113,267
"Judge, County Court at Law No. 2",0041,176,230,406,1334,30.43%,169,223,392
"Judge, County Court at Law No. 2",0042,228,109,337,1071,31.47%,5,321,326
"Judge, County Court at Law No. 2",0043,293,210,503,1695,29.68%,283,198,481
"Judge, County Court at Law No. 2",0044,204,222,426,2001,21.29%,105,291,396
"Judge, County Court at Law No. 2",0045,894,750,1644,6698,24.54%,324,1269,1593
"Judge, County Court at Law No. 2",0046,290,247,537,2511,21.39%,108,396,504
"Judge, County Court at Law No. 2",0047,213,218,431,1627,26.49%,20,398,418
"Judge, County Court at Law No. 2",0048,157,142,299,940,31.81%,25,266,291
"Judge, County Court at Law No. 2",0049,584,482,1066,3343,31.89%,774,260,1034
"Judge, County Court at Law No. 2",0050,785,771,1556,5211,29.86%,872,634,1506
"Judge, County Court at Law No. 2",0051,353,243,596,1689,35.29%,442,132,574
"Judge, County Court at Law No. 2",0052,422,447,869,2457,35.37%,425,394,819
"Judge, County Court at Law No. 2",0053,564,726,1290,2971,43.42%,562,630,1192
"Judge, County Court at Law No. 2",0054,269,364,633,1487,42.57%,333,255,588
"Judge, County Court at Law No. 2",0055,191,251,442,1506,29.35%,201,211,412
"Judge, County Court at Law No. 2",0056,282,278,560,1326,42.23%,384,145,529
"Judge, County Court at Law No. 2",0057,710,831,1541,3153,48.87%,628,779,1407
"Judge, County Court at Law No. 2",0058,469,556,1025,2690,38.10%,452,522,974
"Judge, County Court at Law No. 2",0059,555,609,1164,2544,45.75%,482,601,1083
"Judge, County Court at Law No. 2",0060,498,564,1062,2453,43.29%,269,719,988
"Judge, County Court at Law No. 2",0061,172,204,376,1773,21.21%,158,190,348
"Judge, County Court at Law No. 2",0062,145,322,467,2181,21.41%,130,311,441
"Judge, County Court at Law No. 2",0063,264,354,618,1826,33.84%,498,101,599
"Judge, County Court at Law No. 2",0064,191,221,412,2141,19.24%,97,292,389
"Judge, County Court at Law No. 2",0065,172,230,402,2167,18.55%,101,278,379
"Judge, County Court at Law No. 2",0066,69,143,212,1098,19.31%,38,161,199
"Judge, County Court at Law No. 2",0067,304,282,586,2794,20.97%,169,370,539
"Judge, County Court at Law No. 2",0068,553,352,905,2924,30.95%,28,854,882
"Judge, County Court at Law No. 2",0069,80,124,204,1284,15.89%,43,147,190
"Judge, County Court at Law No. 2",0070,882,664,1546,3337,46.33%,947,484,1431
"Judge, County Court at Law No. 2",0071,602,722,1324,4197,31.55%,666,589,1255
"Judge, County Court at Law No. 2",0072,220,293,513,1924,26.66%,167,316,483
"Judge, County Court at Law No. 2",0073,252,414,666,1555,42.83%,391,220,611
"Judge, County Court at Law No. 2",0074,1153,782,1935,3583,54.01%,1530,327,1857
"Judge, County Court at Law No. 2",0075,254,280,534,1444,36.98%,211,292,503
"Judge, County Court at Law No. 2",0076,373,374,747,2362,31.63%,447,268,715
"Judge, County Court at Law No. 2",0077,43,46,89,566,15.72%,22,63,85
"Judge, County Court at Law No. 2",0078,180,201,381,1522,25.03%,143,219,362
"Judge, County Court at Law No. 2",0079,205,306,511,2927,17.46%,141,330,471
"Judge, County Court at Law No. 2",0080,501,351,852,2725,31.27%,224,586,810
"Judge, County Court at Law No. 2",0081,183,187,370,1835,20.16%,143,203,346
"Judge, County Court at Law No. 2",0082,639,671,1310,3368,38.90%,997,272,1269
"Judge, County Court at Law No. 2",0083,1296,888,2184,6625,32.97%,1091,1012,2103
"Judge, County Court at Law No. 2",0084,208,218,426,1373,31.03%,305,102,407
"Judge, County Court at Law No. 2",0085,271,248,519,2173,23.88%,21,489,510
"Judge, County Court at Law No. 2",0086,447,568,1015,2910,34.88%,475,488,963
"Judge, County Court at Law No. 2",0087,574,787,1461,2818,51.85%,956,394,1350
"Judge, County Court at Law No. 2",0088,123,118,241,693,34.78%,158,71,229
"Judge, County Court at Law No. 2",0089,165,371,536,1094,48.99%,307,190,497
"Judge, County Court at Law No. 2",0090,844,790,1634,3700,44.16%,1210,347,1557
"Judge, County Court at Law No. 2",0091,219,222,441,1505,29.30%,270,153,423
"Judge, County Court at Law No. 2",0092,695,462,1157,2242,51.61%,787,288,1075
"Judge, County Court at Law No. 2",0093,381,301,682,3356,20.32%,283,356,639
"Judge, County Court at Law No. 2",0094,51,43,94,549,17.12%,28,63,91
"Judge, County Court at Law No. 2",0095,917,576,1493,3177,46.99%,1119,311,1430
"Judge, County Court at Law No. 2",0096,83,83,166,1296,12.81%,25,138,163
"Judge, County Court at Law No. 2",0097,1024,725,1749,4828,36.23%,1307,387,1694
"Judge, County Court at Law No. 2",0098,403,488,891,2651,33.61%,738,124,862
"Judge, County Court at Law No. 2",0099,254,184,438,2092,20.94%,214,208,422
"Judge, County Court at Law No. 2",0100,155,173,338,1730,19.54%,181,149,330
"Judge, County Court at Law No. 2",0101,72,58,130,946,13.74%,51,76,127
"Judge, County Court at Law No. 2",0102,207,121,328,1872,17.52%,92,223,315
"Judge, County Court at Law No. 2",0103,700,714,1414,5371,26.33%,808,564,1372
"Judge, County Court at Law No. 2",0104,530,231,761,1905,39.95%,21,724,745
"Judge, County Court at Law No. 2",0105,195,210,406,2165,18.75%,145,228,373
"Judge, County Court at Law No. 2",0106,15,7,25,294,8.50%,15,9,24
"Judge, County Court at Law No. 2",0107,154,197,351,2032,17.27%,59,272,331
"Judge, County Court at Law No. 2",0108,558,272,940,3365,27.93%,574,334,908
"Judge, County Court at Law No. 2",0109,529,245,774,2824,27.41%,12,741,753
"Judge, County Court at Law No. 2",0110,554,494,1148,3042,37.74%,766,348,1114
"Judge, County Court at Law No. 2",0111,815,795,1611,4102,39.27%,1193,346,1539
"Judge, County Court at Law No. 2",0112,542,485,1027,2976,34.51%,766,218,984
"Judge, County Court at Law No. 2",0113,552,429,991,2647,37.44%,618,328,946
"Judge, County Court at Law No. 2",0114,707,547,1254,3311,37.87%,1016,207,1223
"Judge, County Court at Law No. 2",0115,238,150,388,1800,21.56%,54,321,375
"Judge, County Court at Law No. 2",0116,982,776,1758,3147,55.86%,1371,290,1661
"Judge, County Court at Law No. 2",0117,215,226,441,1880,23.46%,226,197,423
"Judge, County Court at Law No. 2",0118,304,123,427,759,56.26%,365,50,415
"Judge, County Court at Law No. 2",0119,1288,1024,2312,5500,42.04%,1872,336,2208
