Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Storey,DEM Gloria Cantu Minnick,Totals
"Judge, County Court at Law No. 3",0001,417,466,883,2358,37.45%,288,535,823
"Judge, County Court at Law No. 3",0002,333,313,646,1961,32.94%,258,343,601
"Judge, County Court at Law No. 3",0003,325,405,731,1560,46.86%,248,405,653
"Judge, County Court at Law No. 3",0004,369,487,856,1668,51.32%,283,496,779
"Judge, County Court at Law No. 3",0005,279,448,727,1417,51.31%,237,425,662
"Judge, County Court at Law No. 3",0006,656,456,1112,3702,30.04%,640,436,1076
"Judge, County Court at Law No. 3",0007,209,110,319,1017,31.37%,13,294,307
"Judge, County Court at Law No. 3",0008,393,310,703,1744,40.31%,357,314,671
"Judge, County Court at Law No. 3",0009,206,223,429,1874,22.89%,115,281,396
"Judge, County Court at Law No. 3",0010,255,171,426,1753,24.30%,122,273,395
"Judge, County Court at Law No. 3",0011,184,176,360,1785,20.17%,69,264,333
"Judge, County Court at Law No. 3",0012,86,66,152,735,20.68%,88,60,148
"Judge, County Court at Law No. 3",0013,548,361,909,2689,33.80%,661,206,867
"Judge, County Court at Law No. 3",0014,442,495,937,1870,50.11%,481,393,874
"Judge, County Court at Law No. 3",0015,597,898,1495,2878,51.95%,815,545,1360
"Judge, County Court at Law No. 3",0016,239,137,376,1071,35.11%,163,187,350
"Judge, County Court at Law No. 3",0017,185,215,400,1162,34.42%,175,197,372
"Judge, County Court at Law No. 3",0018,371,351,722,1443,50.03%,319,344,663
"Judge, County Court at Law No. 3",0019,170,207,377,1170,32.22%,110,240,350
"Judge, County Court at Law No. 3",0020,311,287,598,2646,22.60%,173,396,569
"Judge, County Court at Law No. 3",0021,176,184,360,1122,32.09%,68,271,339
"Judge, County Court at Law No. 3",0022,397,322,719,2473,29.07%,132,560,692
"Judge, County Court at Law No. 3",0023,31,22,53,541,9.80%,10,40,50
"Judge, County Court at Law No. 3",0024,106,88,194,655,29.62%,16,171,187
"Judge, County Court at Law No. 3",0025,104,143,247,1086,22.74%,12,229,241
"Judge, County Court at Law No. 3",0026,239,277,516,1845,27.97%,125,351,476
"Judge, County Court at Law No. 3",0027,463,427,890,3074,28.95%,222,620,842
"Judge, County Court at Law No. 3",0028,636,405,1041,3029,34.37%,668,319,987
"Judge, County Court at Law No. 3",0029,194,237,431,2638,16.34%,169,239,408
"Judge, County Court at Law No. 3",0030,368,391,759,2403,31.59%,197,525,722
"Judge, County Court at Law No. 3",0031,453,280,733,2511,29.19%,18,690,708
"Judge, County Court at Law No. 3",0032,318,405,723,2398,30.15%,279,390,669
"Judge, County Court at Law No. 3",0033,707,615,1322,3706,35.67%,418,818,1236
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Storey,DEM Gloria Cantu Minnick,Totals
"Judge, County Court at Law No. 3",0034,625,579,1204,2786,43.22%,271,869,1140
"Judge, County Court at Law No. 3",0035,4,0,4,11,36.36%,1,3,4
"Judge, County Court at Law No. 3",0036,416,318,734,2927,25.08%,206,489,695
"Judge, County Court at Law No. 3",0037,542,436,978,2106,46.44%,278,628,906
"Judge, County Court at Law No. 3",0038,784,589,1373,2875,47.76%,444,830,1274
"Judge, County Court at Law No. 3",0039,657,575,1232,2759,44.65%,299,845,1144
"Judge, County Court at Law No. 3",0040,136,152,288,541,53.23%,122,145,267
"Judge, County Court at Law No. 3",0041,176,230,406,1334,30.43%,162,229,391
"Judge, County Court at Law No. 3",0042,228,109,337,1071,31.47%,5,321,326
"Judge, County Court at Law No. 3",0043,293,210,503,1695,29.68%,277,203,480
"Judge, County Court at Law No. 3",0044,204,222,426,2001,21.29%,87,308,395
"Judge, County Court at Law No. 3",0045,894,750,1644,6698,24.54%,329,1264,1593
"Judge, County Court at Law No. 3",0046,290,247,537,2511,21.39%,86,420,506
"Judge, County Court at Law No. 3",0047,213,218,431,1627,26.49%,20,402,422
"Judge, County Court at Law No. 3",0048,157,142,299,940,31.81%,24,267,291
"Judge, County Court at Law No. 3",0049,584,482,1066,3343,31.89%,779,253,1032
"Judge, County Court at Law No. 3",0050,785,771,1556,5211,29.86%,850,649,1499
"Judge, County Court at Law No. 3",0051,353,243,596,1689,35.29%,445,129,574
"Judge, County Court at Law No. 3",0052,422,447,869,2457,35.37%,400,411,811
"Judge, County Court at Law No. 3",0053,564,726,1290,2971,43.42%,503,688,1191
"Judge, County Court at Law No. 3",0054,269,364,633,1487,42.57%,320,272,592
