Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Roberta Lloyd,DEM Damon Crenshaw,Totals
"Judge, County Court at Law No. 4",0001,417,466,883,2358,37.45%,289,530,819
"Judge, County Court at Law No. 4",0002,333,313,646,1961,32.94%,265,334,599
"Judge, County Court at Law No. 4",0003,326,405,731,1560,46.86%,241,403,644
"Judge, County Court at Law No. 4",0004,359,487,856,1668,51.32%,278,501,779
"Judge, County Court at Law No. 4",0005,279,448,727,1417,51.31%,238,421,659
"Judge, County Court at Law No. 4",0006,656,456,1112,3702,30.04%,646,424,1070
"Judge, County Court at Law No. 4",0007,209,110,319,1017,31.37%,13,294,307
"Judge, County Court at Law No. 4",0008,393,310,703,1744,40.31%,355,316,671
"Judge, County Court at Law No. 4",0009,206,223,429,1874,22.89%,116,279,395
"Judge, County Court at Law No. 4",0010,255,171,426,1753,24.30%,129,265,394
"Judge, County Court at Law No. 4",0011,184,176,360,1785,20.17%,73,263,336
"Judge, County Court at Law No. 4",0012,86,66,152,735,20.68%,89,59,148
"Judge, County Court at Law No. 4",0013,548,361,909,2689,33.80%,652,214,866
"Judge, County Court at Law No. 4",0014,442,495,937,1870,50.11%,481,390,871
"Judge, County Court at Law No. 4",0015,597,898,1495,2878,51.95%,818,540,1358
"Judge, County Court at Law No. 4",0016,239,137,376,1071,35.11%,170,182,352
"Judge, County Court at Law No. 4",0017,185,215,400,1162,34.42%,175,196,371
"Judge, County Court at Law No. 4",0018,371,351,722,1443,50.03%,313,352,665
"Judge, County Court at Law No. 4",0019,170,207,377,1170,32.22%,116,235,351
"Judge, County Court at Law No. 4",0020,311,287,598,2646,22.60%,171,397,568
"Judge, County Court at Law No. 4",0021,175,184,360,1122,32.09%,73,268,341
"Judge, County Court at Law No. 4",0022,397,322,719,2473,29.07%,133,561,694
"Judge, County Court at Law No. 4",0023,31,22,53,541,9.80%,10,40,50
"Judge, County Court at Law No. 4",0024,106,88,194,655,29.62%,15,172,187
"Judge, County Court at Law No. 4",0025,104,143,247,1086,22.74%,13,228,241
"Judge, County Court at Law No. 4",0026,239,277,516,1845,27.97%,135,333,468
"Judge, County Court at Law No. 4",0027,463,427,890,3074,28.95%,223,614,837
"Judge, County Court at Law No. 4",0028,535,405,1041,3029,34.37%,668,319,987
"Judge, County Court at Law No. 4",0029,194,237,431,2638,16.34%,171,236,407
"Judge, County Court at Law No. 4",0030,368,391,759,2403,31.59%,195,525,720
"Judge, County Court at Law No. 4",0031,453,280,733,2511,29.19%,18,690,708
"Judge, County Court at Law No. 4",0032,318,405,723,2398,30.15%,285,383,668
"Judge, County Court at Law No. 4",0033,707,615,1322,3706,35.67%,409,822,1231
"Judge, County Court at Law No. 4",0034,625,579,1204,2786,43.22%,271,866,1137
"Judge, County Court at Law No. 4",0035,4,0,4,11,36.36%,1,3,4
"Judge, County Court at Law No. 4",0036,416,318,734,2927,25.08%,205,485,690
"Judge, County Court at Law No. 4",0037,542,436,978,2106,46.44%,282,622,904
"Judge, County Court at Law No. 4",0038,784,589,1373,2875,47.76%,434,838,1272
"Judge, County Court at Law No. 4",0039,657,575,1232,2759,44.65%,291,849,1140
"Judge, County Court at Law No. 4",0040,136,152,288,541,53.23%,121,145,266
"Judge, County Court at Law No. 4",0041,176,230,406,1334,30.43%,165,227,392
"Judge, County Court at Law No. 4",0042,228,109,337,1071,31.47%,5,320,325
"Judge, County Court at Law No. 4",0043,293,210,503,1695,29.68%,270,207,477
"Judge, County Court at Law No. 4",0044,204,222,426,2001,21.29%,97,299,396
