Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Robin Brown,Totals
"Judge, County Criminal Court No. 12",0001,417,466,883,2358,37.45%,367,367
"Judge, County Criminal Court No. 12",0002,333,313,646,1961,32.94%,323,323
"Judge, County Criminal Court No. 12",0003,326,405,731,1560,46.86%,308,308
"Judge, County Criminal Court No. 12",0004,369,487,856,1668,51.32%,352,352
"Judge, County Criminal Court No. 12",0005,279,448,727,1417,51.31,%,299,299
"Judge, County Criminal Court No. 12",0006,656,456,1112,3702,30.04%,719,719
"Judge, County Criminal Court No. 12",0007,209,110,319,1017,31.37%,26,26
"Judge, County Criminal Court No. 12",0008,393,310,703,1744,40.31%,404,404
"Judge, County Criminal Court No. 12",0009,206,223,429,1874,22.89%,162,162
"Judge, County Criminal Court No. 12",0010,255,171,426,1753,24.30%,167,167
"Judge, County Criminal Court No. 12",0011,184,176,360,1785,20.17%,99,99
"Judge, County Criminal Court No. 12",0012,86,66,152,735,20.68%,94,94
"Judge, County Criminal Court No. 12",0013,548,361,909,2689,33.80%,678,678
"Judge, County Criminal Court No. 12",0014,442,495,937,1870,50.11%,551,551
"Judge, County Criminal Court No. 12",0015,597,898,1495,2878,51.95%,907,907
"Judge, County Criminal Court No. 12",0016,239,137,376,1071,35.11%,202,202
"Judge, County Criminal Court No. 12",0017,185,215,400,1162,34.42%,207,207
"Judge, County Criminal Court No. 12",0018,371,351,722,1443,50.03%,382,382
"Judge, County Criminal Court No. 12",0019,170,207,377,1170,32.22%,151,151
"Judge, County Criminal Court No. 12",0020,311,287,598,2646,22.60%,225,225
"Judge, County Criminal Court No. 12",0021,176,184,360,1122,32.09%,103,103
"Judge, County Criminal Court No. 12",0022,397,322,719,2473,29.07%,177,177
"Judge, County Criminal Court No. 12",0023,31,22,53,541,9.80%,14,14
"Judge, County Criminal Court No. 12",0024,106,88,194,655,29.62%,32,32
"Judge, County Criminal Court No. 12",0025,104,143,247,1086,22.74%,29,29
"Judge, County Criminal Court No. 12",0026,239,277,516,1845,27.97%,184,184
"Judge, County Criminal Court No. 12",0027,463,427,890,3074,28.95%,314,314
"Judge, County Criminal Court No. 12",0028,636,405,1041,3029,34.37%,708,708
"Judge, County Criminal Court No. 12",0029,194,237,431,2638,16.34%,200,200
"Judge, County Criminal Court No. 12",0030,368,391,759,2403,31.59%,255,255
"Judge, County Criminal Court No. 12",0031,453,280,733,2511,29.19%,54,54
"Judge, County Criminal Court No. 12",0032,318,405,723,2398,30.15%,353,353
"Judge, County Criminal Court No. 12",0033,707,615,1322,3706,35.67%,533,533
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Robin Brown,Totals
"Judge, County Criminal Court No. 12",0034,625,579,1204,2786,43.22%,369,369
"Judge, County Criminal Court No. 12",0035,4,0,4,11,36.36%,1,1
"Judge, County Criminal Court No. 12",0036,416,318,734,2927,25.08%,269,269
"Judge, County Criminal Court No. 12",0037,542,436,978,2106,46.44%,344,344
"Judge, County Criminal Court No. 12",0038,784,589,1373,2875,47.76%,554,554
"Judge, County Criminal Court No. 12",0039,657,575,1232,2759,44.65%,392,392
"Judge, County Criminal Court No. 12",0040,136,152,288,541,53.23%,149,149
"Judge, County Criminal Court No. 12",0041,176,230,406,1334,30.43%,193,193
"Judge, County Criminal Court No. 12",0042,228,109,337,1071,31.47%,20,20
"Judge, County Criminal Court No. 12",0043,293,210,503,1695,29.68%,307,307
"Judge, County Criminal Court No. 12",0044,204,222,426,2001,21.29%,141,141
"Judge, County Criminal Court No. 12",0045,894,750,1644,6698,24.54%,454,454
"Judge, County Criminal Court No. 12",0046,290,247,537,2511,21.39%,150,150
"Judge, County Criminal Court No. 12",0047,213,218,431,1627,26.49%,45,45
"Judge, County Criminal Court No. 12",0048,157,142,299,940,31.81%,41,41
"Judge, County Criminal Court No. 12",0049,584,482,1066,3343,31.89%,814,814
"Judge, County Criminal Court No. 12",0050,785,771,1556,5211,29.86%,947,947
"Judge, County Criminal Court No. 12",0051,353,243,596,1689,35.29%,465,465
"Judge, County Criminal Court No. 12",0052,422,447,869,2457,35.37%,484,484
"Judge, County Criminal Court No. 12",0053,564,726,1290,2971,43.42%,583,583
"Judge, County Criminal Court No. 12",0054,259,364,633,1487,42.57%,376,376
"Judge, County Criminal Court No. 12",0055,191,251,442,1506,29.35%,229,229
"Judge, County Criminal Court No. 12",0056,282,278,560,1326,42.23%,390,390
"Judge, County Criminal Court No. 12",0057,710,831,1541,3153,48.87%,691,691
"Judge, County Criminal Court No. 12",0058,469,556,1025,2690,38.10%,511,511
