Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0001,417,466,883,2358,37.45%,285,500,34,819
"Judge, County Criminal Court No. 13",0002,333,313,646,1961,32.94%,267,307,23,597
"Judge, County Criminal Court No. 13",0003,326,405,731,1560,46.86%,252,357,35,644
"Judge, County Criminal Court No. 13",0004,369,487,856,1668,51.32%,300,442,30,772
"Judge, County Criminal Court No. 13",0005,279,448,727,1417,51.31%,244,385,31,660
"Judge, County Criminal Court No. 13",0006,656,456,1112,3702,30.04%,623,414,31,1068
"Judge, County Criminal Court No. 13",0007,209,110,319,1017,31.37%,11,296,2,309
"Judge, County Criminal Court No. 13",0008,393,310,703,1744,40.31%,358,292,22,672
"Judge, County Criminal Court No. 13",0009,206,223,429,1874,22.89%,105,274,17,396
"Judge, County Criminal Court No. 13",0010,255,171,426,1753,24.30%,121,261,12,394
"Judge, County Criminal Court No. 13",0011,184,176,360,1785,20.17%,71,255,9,335
"Judge, County Criminal Court No. 13",0012,86,66,152,735,20.68%,88,60,0,148
"Judge, County Criminal Court No. 13",0013,548,361,909,2689,33.80%,658,190,17,865
"Judge, County Criminal Court No. 13",0014,442,495,937,1870,50.11%,501,347,20,868
"Judge, County Criminal Court No. 13",0015,597,898,1495,2878,51.95%,878,465,21,1364
"Judge, County Criminal Court No. 13",0016,239,137,376,1071,35.11%,160,180,9,349
"Judge, County Criminal Court No. 13",0017,185,215,400,1162,34.42%,172,185,12,369
"Judge, County Criminal Court No. 13",0018,371,351,722,1443,50.03%,337,310,22,669
"Judge, County Criminal Court No. 13",0019,170,207,377,1170,32.22%,120,229,12,361
"Judge, County Criminal Court No. 13",0020,311,287,598,2646,22.60%,174,375,17,566
"Judge, County Criminal Court No. 13",0021,176,184,360,1122,32.09%,71,255,16,342
"Judge, County Criminal Court No. 13",0022,397,322,719,2473,29.07%,139,541,15,695
"Judge, County Criminal Court No. 13",0023,31,22,53,541,9.80%,9,40,1,50
"Judge, County Criminal Court No. 13",0024,106,88,194,655,29.62%,14,169,3,186
"Judge, County Criminal Court No. 13",0025,104,143,247,1086,22.74%,11,223,6,240
"Judge, County Criminal Court No. 13",0026,239,277,516,1845,27.97%,132,301,30,463
"Judge, County Criminal Court No. 13",0027,463,427,890,3074,28.95%,223,572,46,841
"Judge, County Criminal Court No. 13",0028,636,405,1041,3029,34.37%,676,299,17,992
"Judge, County Criminal Court No. 13",0029,194,237,431,2638,16.34%,168,223,12,403
"Judge, County Criminal Court No. 13",0030,368,391,759,2403,31.59%,188,513,26,727
"Judge, County Criminal Court No. 13",0031,453,280,733,2511,29.19%,16,682,9,707
