Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0001,417,466,883,2358,37.45%,295,522,817
"Judge, County Criminal Court No. 15",0002,333,313,646,1961,32.94%,275,324,599
"Judge, County Criminal Court No. 15",0003,325,405,731,1560,46.86%,256,384,640
"Judge, County Criminal Court No. 15",0004,359,487,856,1668,51.32%,312,462,774
"Judge, County Criminal Court No. 15",0005,279,448,727,1417,51.31%,259,402,661
"Judge, County Criminal Court No. 15",0006,555,456,1112,3702,30.04%,638,434,1072
"Judge, County Criminal Court No. 15",0007,209,110,319,1017,31.37%,10,299,309
"Judge, County Criminal Court No. 15",0008,393,310,703,1744,40.31%,360,312,672
"Judge, County Criminal Court No. 15",0009,205,223,429,1874,22.89%,108,290,398
"Judge, County Criminal Court No. 15",0010,255,171,426,1753,24.30%,114,285,399
"Judge, County Criminal Court No. 15",0011,184,176,360,1785,20.17%,71,267,338
"Judge, County Criminal Court No. 15",0012,55,66,152,735,20.68%,88,60,148
"Judge, County Criminal Court No. 15",0013,548,361,909,2689,33.80%,660,201,861
"Judge, County Criminal Court No. 15",0014,442,495,937,1870,50.11%,514,354,868
"Judge, County Criminal Court No. 15",0015,597,898,1495,2878,51.95%,890,463,1353
"Judge, County Criminal Court No. 15",0016,239,137,376,1071,35.11%,169,185,354
"Judge, County Criminal Court No. 15",0017,185,215,400,1162,34.42%,178,193,371
"Judge, County Criminal Court No. 15",0018,371,351,722,1443,50.03%,349,317,666
"Judge, County Criminal Court No. 15",0019,170,207,377,1170,32.22%,125,233,358
"Judge, County Criminal Court No. 15",0020,311,287,598,2646,22.60%,186,385,571
"Judge, County Criminal Court No. 15",0021,175,184,360,1122,32.09%,74,268,342
"Judge, County Criminal Court No. 15",0022,397,322,719,2473,29.07%,142,552,694
"Judge, County Criminal Court No. 15",0023,31,22,53,541,9.80%,9,42,51
"Judge, County Criminal Court No. 15",0024,106,88,194,655,29.62%,16,169,185
"Judge, County Criminal Court No. 15",0025,104,143,247,1086,22.74%,12,228,240
"Judge, County Criminal Court No. 15",0026,239,277,516,1845,27.97%,125,345,470
"Judge, County Criminal Court No. 15",0027,453,427,890,3074,28.95%,217,633,850
"Judge, County Criminal Court No. 15",0028,535,405,1041,3029,34.37%,678,310,988
"Judge, County Criminal Court No. 15",0029,194,237,431,2638,16.34%,167,241,408
"Judge, County Criminal Court No. 15",0030,358,391,759,2403,31.59%,195,526,721
"Judge, County Criminal Court No. 15",0031,453,280,733,2511,29.19%,16,691,707
"Judge, County Criminal Court No. 15",0032,318,405,723,2398,30.15%,286,385,671
"Judge, County Criminal Court No. 15",0033,707,615,1322,3706,35.67%,437,793,1230
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0034,625,579,1204,2786,43.22%,294,842,1136
"Judge, County Criminal Court No. 15",0035,4,0,4,11,36.36%,1,3,4
"Judge, County Criminal Court No. 15",0036,416,318,734,2927,25.08%,200,490,690
"Judge, County Criminal Court No. 15",0037,542,436,978,2106,46.44%,291,608,899
"Judge, County Criminal Court No. 15",0038,784,589,1373,2875,47.76%,478,790,1268
"Judge, County Criminal Court No. 15",0039,657,575,1232,2759,44.65%,323,814,1137
"Judge, County Criminal Court No. 15",0040,136,152,288,541,53.23%,151,116,267
"Judge, County Criminal Court No. 15",0041,176,230,406,1334,30.43%,164,228,392
"Judge, County Criminal Court No. 15",0042,228,109,337,1071,31.47%,6,320,326
"Judge, County Criminal Court No. 15",0043,293,210,503,1695,29.68%,269,208,477
"Judge, County Criminal Court No. 15",0044,204,222,426,2001,21.29%,90,312,402
"Judge, County Criminal Court No. 15",0045,894,750,1644,6698,24.54%,320,1272,1592
"Judge, County Criminal Court No. 15",0046,290,247,537,2511,21.39%,89,419,508
"Judge, County Criminal Court No. 15",0047,213,218,431,1627,26.49%,17,403,420
"Judge, County Criminal Court No. 15",0048,157,142,299,940,31.81%,23,266,289
"Judge, County Criminal Court No. 15",0049,584,482,1066,3343,31.89%,778,257,1035
"Judge, County Criminal Court No. 15",0050,785,771,1556,5211,29.86%,852,649,1501
"Judge, County Criminal Court No. 15",0051,353,243,596,1689,35.29%,444,131,575
"Judge, County Criminal Court No. 15",0052,422,447,869,2457,35.37%,409,403,812
"Judge, County Criminal Court No. 15",0053,564,726,1290,2971,43.42%,538,646,1184
"Judge, County Criminal Court No. 15",0054,269,364,633,1487,42.57%,330,258,588
"Judge, County Criminal Court No. 15",0055,191,251,442,1506,29.35%,194,212,406
"Judge, County Criminal Court No. 15",0056,282,278,560,1326,42.23%,380,148,528
"Judge, County Criminal Court No. 15",0057,710,831,1541,3153,48.87%,602,799,1401
"Judge, County Criminal Court No. 15",0058,469,556,1025,2690,38.10%,443,527,970
"Judge, County Criminal Court No. 15",0059,555,609,1164,2544,45.75%,462,607,1069
"Judge, County Criminal Court No. 15",0060,498,564,1062,2453,43.29%,260,723,983
"Judge, County Criminal Court No. 15",0061,172,204,376,1773,21.21%,149,199,348
"Judge, County Criminal Court No. 15",0062,145,322,467,2181,21.41%,106,340,446
"Judge, County Criminal Court No. 15",0063,264,354,618,1826,33.84%,510,90,600
"Judge, County Criminal Court No. 15",0064,191,221,412,2141,19.24%,77,312,389
"Judge, County Criminal Court No. 15",0065,172,230,402,2167,18.55%,85,297,382
"Judge, County Criminal Court No. 15",0066,69,143,212,1098,19.31%,35,165,200
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0067,304,282,586,2794,20.97%,150,397,547
"Judge, County Criminal Court No. 15",0068,553,352,905,2924,30.95%,23,858,881
"Judge, County Criminal Court No. 15",0069,80,124,204,1284,15.89%,39,153,192
"Judge, County Criminal Court No. 15",0070,882,664,1546,3337,46.33%,919,492,1411
"Judge, County Criminal Court No. 15",0071,602,722,1324,4197,31.55%,655,589,1244
"Judge, County Criminal Court No. 15",0072,220,293,513,1924,26.66%,153,331,484
"Judge, County Criminal Court No. 15",0073,252,414,666,1555,42.83%,384,226,610
"Judge, County Criminal Court No. 15",0074,1153,782,1935,3583,54.01%,1532,317,1849
"Judge, County Criminal Court No. 15",0075,254,280,534,1444,36.98%,203,297,500
"Judge, County Criminal Court No. 15",0076,373,374,747,2362,31.63%,435,282,717
"Judge, County Criminal Court No. 15",0077,43,46,89,566,15.72%,21,65,86
"Judge, County Criminal Court No. 15",0078,180,201,381,1522,25.03%,124,237,361
"Judge, County Criminal Court No. 15",0079,205,306,511,2927,17.46%,103,370,473
"Judge, County Criminal Court No. 15",0080,501,351,852,2725,31.27%,211,601,812
"Judge, County Criminal Court No. 15",0081,183,187,370,1835,20.16%,147,198,345
"Judge, County Criminal Court No. 15",0082,639,671,1310,3368,38.90%,986,285,1271
"Judge, County Criminal Court No. 15",0083,1296,888,2184,6625,32.97%,1070,1029,2099
"Judge, County Criminal Court No. 15",0084,208,218,426,1373,31.03%,311,95,406
"Judge, County Criminal Court No. 15",0085,271,248,519,2173,23.88%,18,487,505
"Judge, County Criminal Court No. 15",0086,447,568,1015,2910,34.88%,463,489,952
"Judge, County Criminal Court No. 15",0087,574,787,1461,2818,51.85%,942,399,1341
"Judge, County Criminal Court No. 15",0088,123,118,241,693,34.78%,159,70,229
"Judge, County Criminal Court No. 15",0089,165,371,536,1094,48.99%,304,180,484
"Judge, County Criminal Court No. 15",0090,844,790,1634,3700,44.16%,1209,350,1559
"Judge, County Criminal Court No. 15",0091,219,222,441,1505,29.30%,270,152,422
"Judge, County Criminal Court No. 15",0092,695,462,1157,2242,51.61,%,772,304,1076
"Judge, County Criminal Court No. 15",0093,381,301,682,3356,20.32%,265,377,642
"Judge, County Criminal Court No. 15",0094,51,43,94,549,17.12%,26,65,91
"Judge, County Criminal Court No. 15",0095,917,576,1493,3177,46.99%,1112,312,1424
"Judge, County Criminal Court No. 15",0096,83,83,166,1296,12.81%,24,141,165
"Judge, County Criminal Court No. 15",0097,1024,725,1749,4828,36.23%,1305,375,1680
"Judge, County Criminal Court No. 15",0098,403,488,891,2651,33.61%,742,119,861
"Judge, County Criminal Court No. 15",0099,254,184,438,2092,20.94%,210,213,423
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0100,155,173,338,1730,19.54%,180,149,329
"Judge, County Criminal Court No. 15",0101,72,58,130,946,13.74%,48,79,127
"Judge, County Criminal Court No. 15",0102,207,121,328,1872,17.52%,87,230,317
"Judge, County Criminal Court No. 15",0103,700,714,1414,5371,26.33%,806,561,1367
"Judge, County Criminal Court No. 15",0104,530,231,761,1905,39.95%,27,718,745
"Judge, County Criminal Court No. 15",0105,195,210,406,2165,18.75%,126,247,373
"Judge, County Criminal Court No. 15",0106,15,7,25,294,8.50%,15,9,24
"Judge, County Criminal Court No. 15",0107,154,197,351,2032,17.27%,52,281,333
"Judge, County Criminal Court No. 15",0108,558,272,940,3365,27.93%,577,330,907
"Judge, County Criminal Court No. 15",0109,529,245,774,2824,27.41%,10,745,755
"Judge, County Criminal Court No. 15",0110,554,494,1148,3042,37.74%,753,358,1111
"Judge, County Criminal Court No. 15",0111,815,795,1611,4102,39.27%,1181,351,1532
"Judge, County Criminal Court No. 15",0112,542,485,1027,2976,34.51%,764,219,983
"Judge, County Criminal Court No. 15",0113,552,429,991,2647,37.44%,617,324,941
"Judge, County Criminal Court No. 15",0114,707,547,1254,3311,37.87%,1016,203,1219
"Judge, County Criminal Court No. 15",0115,238,150,388,1800,21.56%,52,322,374
"Judge, County Criminal Court No. 15",0116,982,776,1758,3147,55.86%,1366,274,1640
"Judge, County Criminal Court No. 15",0117,215,226,441,1880,23.46%,220,198,418
"Judge, County Criminal Court No. 15",0118,304,123,427,759,56.26%,360,51,411
"Judge, County Criminal Court No. 15",0119,1288,1024,2312,5500,42.04%,1880,332,2212
"Judge, County Criminal Court No. 15",0120,712,422,1134,3191,35.54%,744,338,1082
"Judge, County Criminal Court No. 15",0121,92,178,270,848,31.84%,190,69,259
"Judge, County Criminal Court No. 15",0122,352,225,577,1890,30.53%,25,527,552
"Judge, County Criminal Court No. 15",0123,284,288,572,1392,41.09%,151,381,532
"Judge, County Criminal Court No. 15",0124,1734,1292,3026,7254,41.71%,2413,528,2941
"Judge, County Criminal Court No. 15",0125,415,332,747,2405,31.06%,462,258,720
"Judge, County Criminal Court No. 15",0126,893,467,1360,3100,43.87%,1202,117,1319
"Judge, County Criminal Court No. 15",0127,435,154,589,1836,32.08%,424,130,554
"Judge, County Criminal Court No. 15",0128,445,707,1152,2290,50.31%,758,291,1049
"Judge, County Criminal Court No. 15",0129,1030,1200,2230,5746,38.81%,1422,683,2105
"Judge, County Criminal Court No. 15",0130,727,523,1250,2333,53.58%,933,244,1177
"Judge, County Criminal Court No. 15",0131,251,259,510,1935,26.36%,124,359,483
"Judge, County Criminal Court No. 15",0132,593,323,916,2387,38.37%,19,872,891
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0133,513,858,1371,2662,51.50%,813,434,1247
"Judge, County Criminal Court No. 15",0134,192,265,457,1437,31.80%,203,233,436
