Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Harmon,DEM Harold J. Landreneau,Totals
"Judge, County Criminal Court No. 2",0001,417,466,883,2358,37.45%,300,521,821
"Judge, County Criminal Court No. 2",0002,333,313,646,1961,32.94%,273,329,602
"Judge, County Criminal Court No. 2",0003,326,405,731,1560,46.86%,266,383,649
"Judge, County Criminal Court No. 2",0004,369,487,856,1668,51.32%,308,471,779
"Judge, County Criminal Court No. 2",0005,279,448,727,1417,51.31%,254,413,667
"Judge, County Criminal Court No. 2",0006,656,456,1112,3702,30.04%,644,426,1070
"Judge, County Criminal Court No. 2",0007,209,110,319,1017,31.37%,15,292,307
"Judge, County Criminal Court No. 2",0008,393,310,703,1744,40.31%,366,308,674
"Judge, County Criminal Court No. 2",0009,206,223,429,1874,22.89%,117,278,395
"Judge, County Criminal Court No. 2",0010,255,171,426,1753,24.30%,125,268,393
"Judge, County Criminal Court No. 2",0011,184,176,360,1785,20.17%,73,261,334
"Judge, County Criminal Court No. 2",0012,86,66,152,735,20.68%,88,60,148
"Judge, County Criminal Court No. 2",0013,548,361,909,2689,33.80%,665,201,866
"Judge, County Criminal Court No. 2",0014,442,495,937,1870,50.11%,509,364,873
"Judge, County Criminal Court No. 2",0015,597,898,1495,2878,51.95%,890,479,1369
"Judge, County Criminal Court No. 2",0016,239,137,376,1071,35.11%,170,184,354
"Judge, County Criminal Court No. 2",0017,185,215,400,1162,34.42%,180,193,373
"Judge, County Criminal Court No. 2",0018,371,351,722,1443,50.03%,348,321,669
"Judge, County Criminal Court No. 2",0019,170,207,377,1170,32.22%,127,227,354
"Judge, County Criminal Court No. 2",0020,311,287,598,2646,22.60%,180,388,568
"Judge, County Criminal Court No. 2",0021,176,184,360,1122,32.09%,75,268,343
"Judge, County Criminal Court No. 2",0022,397,322,719,2473,29.07%,142,549,691
"Judge, County Criminal Court No. 2",0023,31,22,53,541,9.80%,9,42,51
"Judge, County Criminal Court No. 2",0024,106,88,194,655,29.62%,16,171,187
"Judge, County Criminal Court No. 2",0025,104,143,247,1086,22.74%,12,229,241
"Judge, County Criminal Court No. 2",0026,239,277,516,1845,27.97%,140,326,466
"Judge, County Criminal Court No. 2",0027,463,427,890,3074,28.95%,230,608,838
"Judge, County Criminal Court No. 2",0028,636,405,1041,3029,34.37%,677,312,989
"Judge, County Criminal Court No. 2",0029,194,237,431,2638,16.34%,174,232,406
"Judge, County Criminal Court No. 2",0030,368,391,759,2403,31.59%,192,530,722
"Judge, County Criminal Court No. 2",0031,453,280,733,2511,29.19%,17,692,709
"Judge, County Criminal Court No. 2",0032,318,405,723,2398,30.15%,293,380,673
"Judge, County Criminal Court No. 2",0033,707,615,1322,3706,35.67%,440,790,1230
"Judge, County Criminal Court No. 2",0034,625,579,1204,2786,43.22%,298,842,1140
"Judge, County Criminal Court No. 2",0035,4,0,4,11,36.36%,1,3,4
"Judge, County Criminal Court No. 2",0036,416,318,734,2927,25.08%,205,493,698
"Judge, County Criminal Court No. 2",0037,542,436,978,2106,46.44%,282,624,906
"Judge, County Criminal Court No. 2",0038,784,589,1373,2875,47.76%,471,805,1276
"Judge, County Criminal Court No. 2",0039,657,575,1232,2759,44.65%,314,826,1140
"Judge, County Criminal Court No. 2",0040,136,152,288,541,53.23%,147,121,268
"Judge, County Criminal Court No. 2",0041,176,230,406,1334,30.43%,168,223,391
"Judge, County Criminal Court No. 2",0042,228,109,337,1071,31.47%,6,320,326
"Judge, County Criminal Court No. 2",0043,293,210,503,1695,29.68%,282,197,479
"Judge, County Criminal Court No. 2",0044,204,222,426,2001,21.29%,100,298,398
"Judge, County Criminal Court No. 2",0045,894,750,1644,6698,24.54%,322,1274,1596
"Judge, County Criminal Court No. 2",0046,290,247,537,2511,21.39%,95,411,506
"Judge, County Criminal Court No. 2",0047,213,218,431,1627,26.49%,18,402,420
"Judge, County Criminal Court No. 2",0048,157,142,299,940,31.81%,25,267,292
"Judge, County Criminal Court No. 2",0049,584,482,1066,3343,31.89%,778,254,1032
"Judge, County Criminal Court No. 2",0050,785,771,1556,5211,29.86%,852,646,1498
"Judge, County Criminal Court No. 2",0051,353,243,596,1689,35.29%,450,125,575
"Judge, County Criminal Court No. 2",0052,422,447,869,2457,35.37%,416,399,815
"Judge, County Criminal Court No. 2",0053,564,726,1290,2971,43.42%,535,656,1191
"Judge, County Criminal Court No. 2",0054,269,364,633,1487,42.57%,330,259,589
"Judge, County Criminal Court No. 2",0055,191,251,442,1506,29.35%,196,211,407
"Judge, County Criminal Court No. 2",0056,282,278,560,1326,42.23%,382,148,530
"Judge, County Criminal Court No. 2",0057,710,831,1541,3153,48.87%,593,819,1412
"Judge, County Criminal Court No. 2",0058,469,556,1025,2690,38.10%,434,534,968
"Judge, County Criminal Court No. 2",0059,555,609,1164,2544,45.75%,456,622,1078
"Judge, County Criminal Court No. 2",0060,498,564,1062,2453,43.29%,266,720,986
"Judge, County Criminal Court No. 2",0061,172,204,376,1773,21.21%,156,192,348
"Judge, County Criminal Court No. 2",0062,145,322,467,2181,21.41%,126,315,441
"Judge, County Criminal Court No. 2",0063,264,354,618,1826,33.84%,503,96,599
"Judge, County Criminal Court No. 2",0064,191,221,412,2141,19.24%,91,295,386
"Judge, County Criminal Court No. 2",0065,172,230,402,2167,18.55%,103,277,380
"Judge, County Criminal Court No. 2",0066,69,143,212,1098,19.31%,37,160,197
"Judge, County Criminal Court No. 2",0067,304,282,586,2794,20.97%,167,373,540
"Judge, County Criminal Court No. 2",0068,553,352,905,2924,30.95%,21,860,881
"Judge, County Criminal Court No. 2",0069,80,124,204,1284,15.89%,42,147,189
"Judge, County Criminal Court No. 2",0070,882,664,1546,3337,46.33%,914,498,1412
"Judge, County Criminal Court No. 2",0071,602,722,1324,4197,31.55%,650,596,1246
"Judge, County Criminal Court No. 2",0072,220,293,513,1924,26.66%,169,316,485
"Judge, County Criminal Court No. 2",0073,252,414,666,1555,42.83%,384,226,610
"Judge, County Criminal Court No. 2",0074,1153,782,1935,3583,54.01%,1529,325,1854
"Judge, County Criminal Court No. 2",0075,254,280,534,1444,36.98%,201,300,501
"Judge, County Criminal Court No. 2",0076,373,374,747,2362,31.63%,450,265,715
"Judge, County Criminal Court No. 2",0077,43,46,89,566,15.72%,22,63,85
"Judge, County Criminal Court No. 2",0078,180,201,381,1522,25.03%,136,222,358
"Judge, County Criminal Court No. 2",0079,205,306,511,2927,17.46%,129,343,472
"Judge, County Criminal Court No. 2",0080,501,351,852,2725,31.27%,222,591,813
"Judge, County Criminal Court No. 2",0081,183,187,370,1835,20.16%,152,195,347
"Judge, County Criminal Court No. 2",0082,639,671,1310,3368,38.90%,994,278,1272
"Judge, County Criminal Court No. 2",0083,1296,888,2184,6625,32.97%,1074,1034,2108
"Judge, County Criminal Court No. 2",0084,208,218,426,1373,31.03%,309,99,408
"Judge, County Criminal Court No. 2",0085,271,248,519,2173,23.88%,21,484,505
"Judge, County Criminal Court No. 2",0086,447,568,1015,2910,34.88%,466,490,956
"Judge, County Criminal Court No. 2",0087,574,787,1461,2818,51.85%,951,397,1348
"Judge, County Criminal Court No. 2",0088,123,118,241,693,34.78%,157,72,229
"Judge, County Criminal Court No. 2",0089,165,371,536,1094,48.99%,309,179,488
"Judge, County Criminal Court No. 2",0090,844,790,1634,3700,44.16%,1208,349,1557
"Judge, County Criminal Court No. 2",0091,219,222,441,1505,29.30%,270,153,423
"Judge, County Criminal Court No. 2",0092,695,462,1157,2242,51.61%,775,303,1078
"Judge, County Criminal Court No. 2",0093,381,301,682,3356,20.32%,274,363,637
"Judge, County Criminal Court No. 2",0094,51,43,94,549,17.12%,28,63,91
"Judge, County Criminal Court No. 2",0095,917,576,1493,3177,46.99%,1101,320,1421
"Judge, County Criminal Court No. 2",0096,83,83,166,1296,12.81%,23,141,164
"Judge, County Criminal Court No. 2",0097,1024,725,1749,4828,36.23%,1308,379,1687
"Judge, County Criminal Court No. 2",0098,403,488,891,2651,33.61%,743,119,862
"Judge, County Criminal Court No. 2",0099,254,184,438,2092,20.94%,213,210,423
"Judge, County Criminal Court No. 2",0100,165,173,338,1730,19.54%,186,145,331
"Judge, County Criminal Court No. 2",0101,72,58,130,946,13.74%,50,78,128
"Judge, County Criminal Court No. 2",0102,207,121,328,1872,17.52%,91,223,314
"Judge, County Criminal Court No. 2",0103,700,714,1414,5371,26.33%,804,561,1365
"Judge, County Criminal Court No. 2",0104,530,231,761,1905,39.95%,20,723,743
"Judge, County Criminal Court No. 2",0105,196,210,406,2165,18.75%,131,243,374
"Judge, County Criminal Court No. 2",0106,18,7,25,294,8.50%,15,9,24
"Judge, County Criminal Court No. 2",0107,154,197,351,2032,17.27%,60,273,333
"Judge, County Criminal Court No. 2",0108,558,272,940,3365,27.93%,573,334,907
"Judge, County Criminal Court No. 2",0109,529,245,774,2824,27.41%,11,743,754
"Judge, County Criminal Court No. 2",0110,654,494,1148,3042,37.74%,754,358,1112
"Judge, County Criminal Court No. 2",0111,816,795,1611,4102,39.27%,1193,339,1532
"Judge, County Criminal Court No. 2",0112,542,485,1027,2976,34.51%,757,223,980
"Judge, County Criminal Court No. 2",0113,562,429,991,2647,37.44%,619,323,942
"Judge, County Criminal Court No. 2",0114,707,547,1254,3311,37.87%,1014,208,1222
"Judge, County Criminal Court No. 2",0115,238,150,388,1800,21.56%,50,328,378
"Judge, County Criminal Court No. 2",0116,982,776,1758,3147,55.86%,1365,282,1647
"Judge, County Criminal Court No. 2",0117,215,226,441,1880,23.46%,220,196,416
"Judge, County Criminal Court No. 2",0118,304,123,427,759,56.26%,359,51,410
"Judge, County Criminal Court No. 2",0119,1288,1024,2312,5500,42.04%,1891,325,2216
"Judge, County Criminal Court No. 2",0120,712,422,1134,3191,35.54%,748,332,1080
"Judge, County Criminal Court No. 2",0121,92,178,270,848,31.84%,190,68,258
"Judge, County Criminal Court No. 2",0122,352,225,577,1890,30.53%,20,535,555
"Judge, County Criminal Court No. 2",0123,284,288,572,1392,41.09%,150,385,535
"Judge, County Criminal Court No. 2",0124,1734,1292,3026,7254,41.71%,2412,529,2941
