Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Margaret Stewart Harris,DEM Ramona Franklin,Totals
"Judge, County Criminal Court No. 5",0001,417,466,883,2358,37.45%,308,515,823
"Judge, County Criminal Court No. 5",0002,333,313,646,1961,32.94%,282,321,603
"Judge, County Criminal Court No. 5",0003,326,405,731,1560,46.86%,263,382,645
"Judge, County Criminal Court No. 5",0004,369,487,856,1668,51.32%,319,456,775
"Judge, County Criminal Court No. 5",0005,279,448,727,1417,51.31%,256,401,657
"Judge, County Criminal Court No. 5",0006,656,456,1112,3702,30.04%,640,430,1070
"Judge, County Criminal Court No. 5",0007,209,110,319,1017,31.37%,12,296,308
"Judge, County Criminal Court No. 5",0008,393,310,703,1744,40.31%,366,307,673
"Judge, County Criminal Court No. 5",0009,206,223,429,1874,22.89%,116,280,396
"Judge, County Criminal Court No. 5",0010,255,171,426,1753,24.30%,124,272,396
"Judge, County Criminal Court No. 5",0011,184,176,360,1785,20.17%,75,258,333
"Judge, County Criminal Court No. 5",0012,86,66,152,735,20.68%,89,59,148
"Judge, County Criminal Court No. 5",0013,548,361,909,2689,33.80%,670,196,866
"Judge, County Criminal Court No. 5",0014,442,495,937,1870,50.11%,517,358,875
"Judge, County Criminal Court No. 5",0015,597,898,1495,2878,51.95%,890,463,1353
"Judge, County Criminal Court No. 5",0016,239,137,376,1071,35.11%,169,182,351
"Judge, County Criminal Court No. 5",0017,185,215,400,1162,34.42%,180,190,370
"Judge, County Criminal Court No. 5",0018,371,351,722,1443,50.03%,358,310,668
"Judge, County Criminal Court No. 5",0019,170,207,377,1170,32.22%,127,230,357
"Judge, County Criminal Court No. 5",0020,311,287,598,2646,22.60%,190,381,571
"Judge, County Criminal Court No. 5",0021,176,184,360,1122,32.09%,73,269,342
"Judge, County Criminal Court No. 5",0022,397,322,719,2473,29.07%,141,550,691
"Judge, County Criminal Court No. 5",0023,31,22,53,541,9.80%,10,41,51
"Judge, County Criminal Court No. 5",0024,106,88,194,655,29.62%,14,172,186
"Judge, County Criminal Court No. 5",0025,104,143,247,1086,22.74%,12,229,241
"Judge, County Criminal Court No. 5",0026,239,277,516,1845,27.97%,137,326,463
"Judge, County Criminal Court No. 5",0027,463,427,890,3074,28.95%,229,611,840
