Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Larry Standley,DEM Linda Geffin,Totals
"Judge, County Criminal Court No. 6",0001,417,466,883,2358,37.45%,278,545,823
"Judge, County Criminal Court No. 6",0002,333,313,646,1961,32.94%,264,336,600
"Judge, County Criminal Court No. 6",0003,326,405,731,1560,46.86%,235,411,646
"Judge, County Criminal Court No. 6",0004,359,487,856,1668,51.32%,277,501,778
"Judge, County Criminal Court No. 6",0005,279,448,727,1417,51.31%,232,427,659
"Judge, County Criminal Court No. 6",0006,656,456,1112,3702,30.04%,627,442,1069
"Judge, County Criminal Court No. 6",0007,209,110,319,1017,31.37%,15,294,309
"Judge, County Criminal Court No. 6",0008,393,310,703,1744,40.31%,336,336,672
"Judge, County Criminal Court No. 6",0009,206,223,429,1874,22.89%,109,288,397
"Judge, County Criminal Court No. 6",0010,255,171,426,1753,24.30%,124,270,394
"Judge, County Criminal Court No. 6",0011,184,176,360,1785,20.17%,72,261,333
"Judge, County Criminal Court No. 6",0012,86,66,152,735,20.68%,87,61,148
"Judge, County Criminal Court No. 6",0013,548,361,909,2689,33.80%,651,214,865
"Judge, County Criminal Court No. 6",0014,442,495,937,1870,50.11%,478,398,876
"Judge, County Criminal Court No. 6",0015,597,898,1495,2878,51.95%,802,565,1367
"Judge, County Criminal Court No. 6",0016,239,137,376,1071,35.11%,161,191,352
"Judge, County Criminal Court No. 6",0017,185,215,400,1162,34.42%,170,201,371
"Judge, County Criminal Court No. 6",0018,371,351,722,1443,50.03%,313,360,673
"Judge, County Criminal Court No. 6",0019,170,207,377,1170,32.22%,118,239,357
"Judge, County Criminal Court No. 6",0020,311,287,598,2646,22.60%,174,396,570
"Judge, County Criminal Court No. 6",0021,175,184,360,1122,32.09%,66,276,342
"Judge, County Criminal Court No. 6",0022,397,322,719,2473,29.07%,130,564,694
"Judge, County Criminal Court No. 6",0023,31,22,53,541,9.80%,8,43,51
"Judge, County Criminal Court No. 6",0024,106,88,194,655,29.62%,14,174,188
"Judge, County Criminal Court No. 6",0025,104,143,247,1086,22.74%,12,229,241
"Judge, County Criminal Court No. 6",0026,239,277,516,1845,27.97%,125,340,465
"Judge, County Criminal Court No. 6",0027,463,427,890,3074,28.95%,216,625,841
"Judge, County Criminal Court No. 6",0028,535,405,1041,3029,34.37%,672,317,989
"Judge, County Criminal Court No. 6",0029,194,237,431,2638,16.34%,164,244,408
"Judge, County Criminal Court No. 6",0030,368,391,759,2403,31.59%,191,533,724
"Judge, County Criminal Court No. 6",0031,453,280,733,2511,29.19%,19,692,711
"Judge, County Criminal Court No. 6",0032,318,405,723,2398,30.15%,283,388,671
"Judge, County Criminal Court No. 6",0033,707,615,1322,3706,35.67%,404,829,1233
"Judge, County Criminal Court No. 6",0034,625,579,1204,2786,43.22%,271,869,1140
"Judge, County Criminal Court No. 6",0035,4,0,4,11,36.36%,1,3,4
"Judge, County Criminal Court No. 6",0036,416,318,734,2927,25.08%,195,497,692
"Judge, County Criminal Court No. 6",0037,542,436,978,2106,46.44%,272,630,902
"Judge, County Criminal Court No. 6",0038,784,589,1373,2875,47.76%,420,856,1276
"Judge, County Criminal Court No. 6",0039,657,575,1232,2759,44.65%,288,856,1144
"Judge, County Criminal Court No. 6",0040,136,152,288,541,53.23%,120,146,266
"Judge, County Criminal Court No. 6",0041,176,230,406,1334,30.43%,163,229,392
"Judge, County Criminal Court No. 6",0042,228,109,337,1071,31.47%,6,317,323
"Judge, County Criminal Court No. 6",0043,293,210,503,1695,29.68%,271,210,481
"Judge, County Criminal Court No. 6",0044,204,222,426,2001,21.29%,98,301,399
"Judge, County Criminal Court No. 6",0045,894,750,1644,6698,24.54%,317,1278,1595
"Judge, County Criminal Court No. 6",0046,290,247,537,2511,21.39%,91,414,505
"Judge, County Criminal Court No. 6",0047,213,218,431,1627,26.49%,16,404,420
"Judge, County Criminal Court No. 6",0048,157,142,299,940,31.81%,25,266,291
"Judge, County Criminal Court No. 6",0049,584,482,1066,3343,31.89%,768,263,1031
"Judge, County Criminal Court No. 6",0050,785,771,1556,5211,29.86%,835,665,1500
"Judge, County Criminal Court No. 6",0051,353,243,596,1689,35.29%,443,133,576
"Judge, County Criminal Court No. 6",0052,422,447,869,2457,35.37%,389,425,814
"Judge, County Criminal Court No. 6",0053,564,726,1290,2971,43.42%,478,720,1198
"Judge, County Criminal Court No. 6",0054,269,364,633,1487,42.57%,316,271,587
"Judge, County Criminal Court No. 6",0055,191,251,442,1506,29.35%,188,218,406
"Judge, County Criminal Court No. 6",0056,282,278,560,1326,42.23%,358,171,529
"Judge, County Criminal Court No. 6",0057,710,831,1541,3153,48.87%,551,857,1408
"Judge, County Criminal Court No. 6",0058,469,556,1025,2690,38.10%,424,549,973
"Judge, County Criminal Court No. 6",0059,555,609,1164,2544,45.75%,431,649,1080
"Judge, County Criminal Court No. 6",0060,498,564,1062,2453,43.29%,249,735,984
"Judge, County Criminal Court No. 6",0061,172,204,376,1773,21.21%,154,193,347
"Judge, County Criminal Court No. 6",0062,145,322,467,2181,21.41%,116,326,442
"Judge, County Criminal Court No. 6",0063,264,354,618,1826,33.84%,497,103,600
"Judge, County Criminal Court No. 6",0064,191,221,412,2141,19.24%,84,301,385
"Judge, County Criminal Court No. 6",0065,172,230,402,2167,18.55%,89,291,380
"Judge, County Criminal Court No. 6",0066,69,143,212,1098,19.31%,35,165,200
"Judge, County Criminal Court No. 6",0067,304,282,586,2794,20.97%,158,384,542
"Judge, County Criminal Court No. 6",0068,553,352,905,2924,30.95%,25,857,882
"Judge, County Criminal Court No. 6",0069,80,124,204,1284,15.89%,40,151,191
"Judge, County Criminal Court No. 6",0070,882,664,1546,3337,46.33%,836,573,1409
"Judge, County Criminal Court No. 6",0071,602,722,1324,4197,31.55%,631,621,1252
"Judge, County Criminal Court No. 6",0072,220,293,513,1924,26.66%,163,324,487
"Judge, County Criminal Court No. 6",0073,252,414,666,1555,42.83%,363,247,610
"Judge, County Criminal Court No. 6",0074,1153,782,1935,3583,54.01%,1490,355,1845
"Judge, County Criminal Court No. 6",0075,254,280,534,1444,36.98%,196,305,501
"Judge, County Criminal Court No. 6",0076,373,374,747,2362,31.63%,440,275,715
"Judge, County Criminal Court No. 6",0077,43,46,89,566,15.72%,21,64,85
"Judge, County Criminal Court No. 6",0078,180,201,381,1522,25.03%,132,226,358
"Judge, County Criminal Court No. 6",0079,205,306,511,2927,17.46%,125,340,465
"Judge, County Criminal Court No. 6",0080,501,351,852,2725,31.27%,209,602,811
"Judge, County Criminal Court No. 6",0081,183,187,370,1835,20.16%,145,203,348
"Judge, County Criminal Court No. 6",0082,639,671,1310,3368,38.90%,981,291,1272
"Judge, County Criminal Court No. 6",0083,1296,888,2184,6625,32.97%,1059,1044,2103
"Judge, County Criminal Court No. 6",0084,208,218,426,1373,31.03%,304,103,407
"Judge, County Criminal Court No. 6",0085,271,248,519,2173,23.88%,23,485,508
"Judge, County Criminal Court No. 6",0086,447,568,1015,2910,34.88%,442,514,956
"Judge, County Criminal Court No. 6",0087,574,787,1461,2818,51.85%,853,495,1348
"Judge, County Criminal Court No. 6",0088,123,118,241,693,34.78%,154,73,227
"Judge, County Criminal Court No. 6",0089,165,371,536,1094,48.99%,274,211,485
"Judge, County Criminal Court No. 6",0090,844,790,1634,3700,44.16%,1160,403,1563
"Judge, County Criminal Court No. 6",0091,219,222,441,1505,29.30%,263,158,421
"Judge, County Criminal Court No. 6",0092,695,462,1157,2242,51.61%,745,334,1079
"Judge, County Criminal Court No. 6",0093,381,301,682,3356,20.32%,269,368,637
"Judge, County Criminal Court No. 6",0094,51,43,94,549,17.12%,29,62,91
"Judge, County Criminal Court No. 6",0095,917,576,1493,3177,46.99%,1046,378,1424
"Judge, County Criminal Court No. 6",0096,83,83,166,1296,12.81%,20,144,164
"Judge, County Criminal Court No. 6",0097,1024,725,1749,4828,36.23%,1288,397,1685
"Judge, County Criminal Court No. 6",0098,403,488,891,2651,33.61%,736,124,860
"Judge, County Criminal Court No. 6",0099,254,184,438,2092,20.94%,208,215,423
"Judge, County Criminal Court No. 6",0100,155,173,338,1730,19.54%,178,154,332
"Judge, County Criminal Court No. 6",0101,72,58,130,946,13.74%,46,81,127
"Judge, County Criminal Court No. 6",0102,207,121,328,1872,17.52%,89,226,315
"Judge, County Criminal Court No. 6",0103,700,714,1414,5371,26.33%,799,570,1369
"Judge, County Criminal Court No. 6",0104,530,231,761,1905,39.95%,17,727,744
"Judge, County Criminal Court No. 6",0105,195,210,406,2165,18.75%,135,240,375
"Judge, County Criminal Court No. 6",0106,15,7,25,294,8.50%,15,9,24
"Judge, County Criminal Court No. 6",0107,154,197,351,2032,17.27%,55,279,334
"Judge, County Criminal Court No. 6",0108,558,272,940,3365,27.93%,566,338,904
"Judge, County Criminal Court No. 6",0109,529,245,774,2824,27.41%,7,748,755
"Judge, County Criminal Court No. 6",0110,554,494,1148,3042,37.74%,742,374,1116
"Judge, County Criminal Court No. 6",0111,815,795,1611,4102,39.27%,1171,366,1537
"Judge, County Criminal Court No. 6",0112,542,485,1027,2976,34.51%,747,236,983
"Judge, County Criminal Court No. 6",0113,552,429,991,2647,37.44%,588,353,941
"Judge, County Criminal Court No. 6",0114,707,547,1254,3311,37.87%,1010,213,1223
"Judge, County Criminal Court No. 6",0115,238,150,388,1800,21.56%,49,326,375
"Judge, County Criminal Court No. 6",0116,982,776,1758,3147,55.86%,1321,323,1644
"Judge, County Criminal Court No. 6",0117,215,226,441,1880,23.46%,213,205,418
"Judge, County Criminal Court No. 6",0118,304,123,427,759,56.26%,346,66,412
"Judge, County Criminal Court No. 6",0119,1288,1024,2312,5500,42.04%,1856,359,2215
