Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0001,417,466,883,2358,37.45%,292,531,823
"Judge, County Criminal Court No. 7",0002,333,313,646,1961,32.94%,271,330,601
"Judge, County Criminal Court No. 7",0003,326,405,731,1560,46.86%,258,387,645
"Judge, County Criminal Court No. 7",0004,369,487,856,1668,51.32%,311,469,780
"Judge, County Criminal Court No. 7",0005,279,448,727,1417,51.31%,251,410,661
"Judge, County Criminal Court No. 7",0006,656,456,1112,3702,30.04%,635,436,1071
"Judge, County Criminal Court No. 7",0007,209,110,319,1017,31.37%,12,297,309
"Judge, County Criminal Court No. 7",0008,393,310,703,1744,40.31%,363,306,669
"Judge, County Criminal Court No. 7",0009,206,223,429,1874,22.89%,109,291,400
"Judge, County Criminal Court No. 7",0010,255,171,426,1753,24.30%,116,280,396
"Judge, County Criminal Court No. 7",0011,184,176,360,1785,20.17%,67,268,335
"Judge, County Criminal Court No. 7",0012,86,66,152,735,20.68%,86,62,148
"Judge, County Criminal Court No. 7",0013,548,361,909,2689,33.80%,655,209,864
"Judge, County Criminal Court No. 7",0014,442,495,937,1870,50.11%,508,364,872
"Judge, County Criminal Court No. 7",0015,597,898,1495,2878,51.95%,904,459,1363
"Judge, County Criminal Court No. 7",0016,239,137,376,1071,35.11%,174,178,352
"Judge, County Criminal Court No. 7",0017,185,215,400,1162,34.42%,177,194,371
"Judge, County Criminal Court No. 7",0018,371,351,722,1443,50.03%,351,318,669
"Judge, County Criminal Court No. 7",0019,170,207,377,1170,32.22%,123,234,357
"Judge, County Criminal Court No. 7",0020,311,287,598,2646,22.60%,191,382,573
"Judge, County Criminal Court No. 7",0021,176,184,360,1122,32.09%,72,269,341
"Judge, County Criminal Court No. 7",0022,397,322,719,2473,29.07%,137,555,692
"Judge, County Criminal Court No. 7",0023,31,22,53,541,9.80%,8,43,51
"Judge, County Criminal Court No. 7",0024,106,88,194,655,29.62%,13,175,188
"Judge, County Criminal Court No. 7",0025,104,143,247,1086,22.74%,10,231,241
"Judge, County Criminal Court No. 7",0026,239,277,516,1845,27.97%,126,338,464
"Judge, County Criminal Court No. 7",0027,463,427,890,3074,28.95%,220,622,842
"Judge, County Criminal Court No. 7",0028,636,405,1041,3029,34.37%,676,314,990
"Judge, County Criminal Court No. 7",0029,194,237,431,2638,16.34%,164,244,408
"Judge, County Criminal Court No. 7",0030,368,391,759,2403,31.59%,200,523,723
"Judge, County Criminal Court No. 7",0031,453,280,733,2511,29.19%,17,692,709
"Judge, County Criminal Court No. 7",0032,318,405,723,2398,30.15%,295,380,675
"Judge, County Criminal Court No. 7",0033,707,615,1322,3706,35.67%,441,793,1234
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0034,625,579,1204,2786,43.22%,299,842,1141
"Judge, County Criminal Court No. 7",0035,4,0,4,11,36.36%,1,3,4
"Judge, County Criminal Court No. 7",0036,416,318,734,2927,25.08%,202,484,686
"Judge, County Criminal Court No. 7",0037,542,436,978,2106,46.44%,293,612,905
"Judge, County Criminal Court No. 7",0038,784,589,1373,2875,47.76%,482,792,1274
"Judge, County Criminal Court No. 7",0039,657,575,1232,2759,44.65%,309,831,1140
"Judge, County Criminal Court No. 7",0040,136,152,288,541,53.23%,148,119,267
"Judge, County Criminal Court No. 7",0041,176,230,406,1334,30.43%,162,231,393
"Judge, County Criminal Court No. 7",0042,228,109,337,1071,31.47%,6,321,327
"Judge, County Criminal Court No. 7",0043,293,210,503,1695,29.68%,275,204,479
"Judge, County Criminal Court No. 7",0044,204,222,426,2001,21.29%,94,306,400
"Judge, County Criminal Court No. 7",0045,894,750,1644,6698,24.54%,319,1272,1591
"Judge, County Criminal Court No. 7",0046,290,247,537,2511,21.39%,88,422,510
"Judge, County Criminal Court No. 7",0047,213,218,431,1627,26.49%,17,404,421
"Judge, County Criminal Court No. 7",0048,157,142,299,940,31.81%,25,266,291
"Judge, County Criminal Court No. 7",0049,584,482,1066,3343,31.89%,774,259,1033
"Judge, County Criminal Court No. 7",0050,785,771,1556,5211,29.86%,857,644,1501
"Judge, County Criminal Court No. 7",0051,353,243,596,1689,35.29%,443,131,574
"Judge, County Criminal Court No. 7",0052,422,447,869,2457,35.37%,411,404,815
"Judge, County Criminal Court No. 7",0053,564,726,1290,2971,43.42%,531,656,1187
"Judge, County Criminal Court No. 7",0054,269,364,633,1487,42.57%,327,263,590
"Judge, County Criminal Court No. 7",0055,191,251,442,1506,29.35%,199,207,406
"Judge, County Criminal Court No. 7",0056,282,278,560,1326,42.23%,380,149,529
"Judge, County Criminal Court No. 7",0057,710,831,1541,3153,48.87%,601,804,1405
"Judge, County Criminal Court No. 7",0058,469,556,1025,2690,38.10%,440,532,972
"Judge, County Criminal Court No. 7",0059,555,609,1164,2544,45.75%,461,619,1080
"Judge, County Criminal Court No. 7",0060,498,564,1062,2453,43.29%,259,723,982
"Judge, County Criminal Court No. 7",0061,172,204,376,1773,21.21%,149,197,346
"Judge, County Criminal Court No. 7",0062,145,322,467,2181,21.41%,113,330,443
"Judge, County Criminal Court No. 7",0063,264,354,618,1826,33.84%,500,99,599
"Judge, County Criminal Court No. 7",0064,191,221,412,2141,19.24%,80,309,389
"Judge, County Criminal Court No. 7",0065,172,230,402,2167,18.55%,88,292,380
"Judge, County Criminal Court No. 7",0066,69,143,212,1098,19.31%,34,166,200
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0067,304,282,586,2794,20.97%,155,390,545
"Judge, County Criminal Court No. 7",0068,553,352,905,2924,30.95%,19,863,882
"Judge, County Criminal Court No. 7",0069,80,124,204,1284,15.89%,40,152,192
"Judge, County Criminal Court No. 7",0070,882,664,1546,3337,46.33%,921,490,1411
"Judge, County Criminal Court No. 7",0071,602,722,1324,4197,31.55%,653,592,1245
"Judge, County Criminal Court No. 7",0072,220,293,513,1924,26.66%,159,330,489
"Judge, County Criminal Court No. 7",0073,252,414,666,1555,42.83%,384,230,614
"Judge, County Criminal Court No. 7",0074,1153,782,1935,3583,54.01%,1521,322,1843
"Judge, County Criminal Court No. 7",0075,254,280,534,1444,36.98%,209,291,500
"Judge, County Criminal Court No. 7",0076,373,374,747,2362,31.63%,431,285,716
"Judge, County Criminal Court No. 7",0077,43,46,89,566,15.72%,21,63,84
"Judge, County Criminal Court No. 7",0078,180,201,381,1522,25.03%,121,239,360
"Judge, County Criminal Court No. 7",0079,205,306,511,2927,17.46%,112,357,469
"Judge, County Criminal Court No. 7",0080,501,351,852,2725,31.27%,209,603,812
"Judge, County Criminal Court No. 7",0081,183,187,370,1835,20.16%,142,202,344
"Judge, County Criminal Court No. 7",0082,639,671,1310,3368,38.90%,990,280,1270
"Judge, County Criminal Court No. 7",0083,1296,888,2184,6625,32.97%,1060,1041,2101
"Judge, County Criminal Court No. 7",0084,208,218,426,1373,31.03%,305,99,404
"Judge, County Criminal Court No. 7",0085,271,248,519,2173,23.88%,20,488,508
"Judge, County Criminal Court No. 7",0086,447,568,1015,2910,34.88%,467,491,958
"Judge, County Criminal Court No. 7",0087,574,787,1461,2818,51.85%,953,405,1358
"Judge, County Criminal Court No. 7",0088,123,118,241,693,34.78%,153,74,227
"Judge, County Criminal Court No. 7",0089,165,371,536,1094,48.99%,313,174,487
"Judge, County Criminal Court No. 7",0090,844,790,1634,3700,44.16%,1201,359,1560
"Judge, County Criminal Court No. 7",0091,219,222,441,1505,29.30%,266,156,422
"Judge, County Criminal Court No. 7",0092,695,462,1157,2242,51.61,%,779,299,1078
"Judge, County Criminal Court No. 7",0093,381,301,682,3356,20.32%,262,374,636
"Judge, County Criminal Court No. 7",0094,51,43,94,549,17.12%,26,65,91
"Judge, County Criminal Court No. 7",0095,917,576,1493,3177,46.99%,1103,318,1421
"Judge, County Criminal Court No. 7",0096,83,83,166,1296,12.81%,22,142,164
"Judge, County Criminal Court No. 7",0097,1024,725,1749,4828,36.23%,1304,382,1686
"Judge, County Criminal Court No. 7",0098,403,488,891,2651,33.61%,738,121,859
"Judge, County Criminal Court No. 7",0099,254,184,438,2092,20.94%,208,215,423
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0100,155,173,338,1730,19.54%,183,147,330
"Judge, County Criminal Court No. 7",0101,72,58,130,946,13.74%,48,78,125
"Judge, County Criminal Court No. 7",0102,207,121,328,1872,17.52%,88,231,319
"Judge, County Criminal Court No. 7",0103,700,714,1414,5371,26.33%,798,571,1369
"Judge, County Criminal Court No. 7",0104,530,231,761,1905,39.95%,19,727,746
"Judge, County Criminal Court No. 7",0105,195,210,406,2165,18.75%,124,250,374
"Judge, County Criminal Court No. 7",0106,15,7,25,294,8.50%,15,9,24
"Judge, County Criminal Court No. 7",0107,154,197,351,2032,17.27%,53,282,335
"Judge, County Criminal Court No. 7",0108,558,272,940,3365,27.93%,570,338,908
"Judge, County Criminal Court No. 7",0109,529,245,774,2824,27.41%,10,743,753
"Judge, County Criminal Court No. 7",0110,554,494,1148,3042,37.74%,755,359,1114
"Judge, County Criminal Court No. 7",0111,815,795,1611,4102,39.27%,1182,354,1536
"Judge, County Criminal Court No. 7",0112,542,485,1027,2976,34.51%,758,225,983
"Judge, County Criminal Court No. 7",0113,552,429,991,2647,37.44%,622,320,942
"Judge, County Criminal Court No. 7",0114,707,547,1254,3311,37.87%,1012,207,1219
"Judge, County Criminal Court No. 7",0115,238,150,388,1800,21.56%,51,325,376
"Judge, County Criminal Court No. 7",0116,982,776,1758,3147,55.86%,1357,284,1641
"Judge, County Criminal Court No. 7",0117,215,226,441,1880,23.46%,218,200,418
"Judge, County Criminal Court No. 7",0118,304,123,427,759,56.26%,363,48,411
"Judge, County Criminal Court No. 7",0119,1288,1024,2312,5500,42.04%,1878,335,2213
"Judge, County Criminal Court No. 7",0120,712,422,1134,3191,35.54%,743,337,1080
"Judge, County Criminal Court No. 7",0121,92,178,270,848,31.84%,191,68,259
"Judge, County Criminal Court No. 7",0122,352,225,577,1890,30.53%,22,534,556
"Judge, County Criminal Court No. 7",0123,284,288,572,1392,41.09%,142,391,533
"Judge, County Criminal Court No. 7",0124,1734,1292,3026,7254,41.71%,2415,527,2942
"Judge, County Criminal Court No. 7",0125,415,332,747,2405,31.06%,459,259,718
"Judge, County Criminal Court No. 7",0126,893,467,1360,3100,43.87%,1200,117,1317
"Judge, County Criminal Court No. 7",0127,435,154,589,1836,32.08%,415,137,552
"Judge, County Criminal Court No. 7",0128,445,707,1152,2290,50.31%,771,280,1051
"Judge, County Criminal Court No. 7",0129,1030,1200,2230,5746,38.81%,1419,682,2101
"Judge, County Criminal Court No. 7",0130,727,523,1250,2333,53.58%,938,242,1180
"Judge, County Criminal Court No. 7",0131,251,259,510,1935,26.36%,123,364,487
"Judge, County Criminal Court No. 7",0132,593,323,916,2387,38.37%,17,875,892
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0133,513,858,1371,2662,51.50%,806,443,1249
"Judge, County Criminal Court No. 7",0134,192,265,457,1437,31.80%,200,233,433
"Judge, County Criminal Court No. 7",0135,727,579,1306,2671,48.90%,945,283,1228
"Judge, County Criminal Court No. 7",0136,503,371,874,2013,43.42%,37,807,844
"Judge, County Criminal Court No. 7",0137,166,141,307,716,42.88%,154,125,279
"Judge, County Criminal Court No. 7",0138,296,199,495,1699,29.13%,16,469,485
"Judge, County Criminal Court No. 7",0139,699,551,1250,3037,41.16%,568,599,1167
"Judge, County Criminal Court No. 7",0140,699,480,1179,3214,36.68%,147,986,1133
"Judge, County Criminal Court No. 7",0141,80,80,160,855,18.71%,96,55,151
"Judge, County Criminal Court No. 7",0142,87,103,190,902,21.06%,61,119,180
"Judge, County Criminal Court No. 7",0143,1962,580,2542,6386,39.81%,1841,634,2475
"Judge, County Criminal Court No. 7",0144,216,158,374,1093,34.22%,12,351,363
"Judge, County Criminal Court No. 7",0145,264,213,477,1538,31.01%,11,453,464
"Judge, County Criminal Court No. 7",0146,426,519,945,2008,47.06%,428,460,888
"Judge, County Criminal Court No. 7",0147,689,329,1018,3008,33.84%,127,865,992
"Judge, County Criminal Court No. 7",0148,500,780,1280,2540,50.39%,520,643,1163
"Judge, County Criminal Court No. 7",0149,1621,737,2358,7993,29.50%,1229,1066,2295
"Judge, County Criminal Court No. 7",0150,236,169,405,1256,32.25%,12,385,397
"Judge, County Criminal Court No. 7",0151,137,79,216,826,26.15%,9,199,208
"Judge, County Criminal Court No. 7",0152,213,299,512,2788,18.36%,129,360,489
"Judge, County Criminal Court No. 7",0153,125,206,331,1808,18.31%,103,216,319
"Judge, County Criminal Court No. 7",0154,249,183,432,2190,19.73%,105,302,407
"Judge, County Criminal Court No. 7",0155,1022,619,1641,4109,39.94%,1152,429,1581
"Judge, County Criminal Court No. 7",0156,799,326,1125,3071,36.63%,34,1059,1093
"Judge, County Criminal Court No. 7",0157,448,214,662,2236,29.61%,25,617,642
"Judge, County Criminal Court No. 7",0158,600,315,915,3035,30.15%,23,871,894
"Judge, County Criminal Court No. 7",0159,116,127,243,998,24.35%,42,194,236
"Judge, County Criminal Court No. 7",0160,122,73,195,696,28.02%,5,187,192
"Judge, County Criminal Court No. 7",0161,163,141,304,991,30.68%,6,288,294
"Judge, County Criminal Court No. 7",0162,101,83,184,1265,14.55%,68,101,169
"Judge, County Criminal Court No. 7",0163,230,320,550,3037,18.11%,235,290,525
"Judge, County Criminal Court No. 7",0164,182,205,387,1420,27.25%,12,370,382
"Judge, County Criminal Court No. 7",0165,535,483,1018,2334,43.62%,676,291,967
