Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0001,417,466,883,2358,37.45%,295,529,824
"Judge, County Criminal Court No. 8",0002,333,313,646,1961,32.94%,266,335,601
"Judge, County Criminal Court No. 8",0003,326,405,731,1560,46.86%,243,403,646
"Judge, County Criminal Court No. 8",0004,369,487,856,1668,51.32%,300,475,775
"Judge, County Criminal Court No. 8",0005,279,448,727,1417,51.31%,259,405,664
"Judge, County Criminal Court No. 8",0006,656,456,1112,3702,30.04%,630,440,1070
"Judge, County Criminal Court No. 8",0007,209,110,319,1017,31.37%,13,298,311
"Judge, County Criminal Court No. 8",0008,393,310,703,1744,40.31%,351,321,672
"Judge, County Criminal Court No. 8",0009,206,223,429,1874,22.89%,115,283,398
"Judge, County Criminal Court No. 8",0010,255,171,426,1753,24.30%,123,271,394
"Judge, County Criminal Court No. 8",0011,184,176,360,1785,20.17%,71,264,335
"Judge, County Criminal Court No. 8",0012,86,66,152,735,20.68%,87,61,148
"Judge, County Criminal Court No. 8",0013,548,361,909,2689,33.80%,650,213,863
"Judge, County Criminal Court No. 8",0014,442,495,937,1870,50.11%,509,362,871
"Judge, County Criminal Court No. 8",0015,597,898,1495,2878,51.95%,886,477,1363
"Judge, County Criminal Court No. 8",0016,239,137,376,1071,35.11%,172,178,350
"Judge, County Criminal Court No. 8",0017,185,215,400,1162,34.42%,177,194,371
"Judge, County Criminal Court No. 8",0018,371,351,722,1443,50.03%,342,325,667
"Judge, County Criminal Court No. 8",0019,170,207,377,1170,32.22%,117,242,359
"Judge, County Criminal Court No. 8",0020,311,287,598,2646,22.60%,184,389,573
"Judge, County Criminal Court No. 8",0021,176,184,360,1122,32.09%,75,268,343
"Judge, County Criminal Court No. 8",0022,397,322,719,2473,29.07%,136,553,689
"Judge, County Criminal Court No. 8",0023,31,22,53,541,9.80%,9,42,51
