Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0001,417,466,883,2358,37.45%,367,367
"Judge, County Criminal Court No. 9",0002,333,313,646,1961,32.94%,321,321
"Judge, County Criminal Court No. 9",0003,328,405,731,1560,46.86%,310,310
"Judge, County Criminal Court No. 9",0004,369,487,856,1668,51.32%,344,344
"Judge, County Criminal Court No. 9",0005,279,448,727,1417,51.31%,299,299
"Judge, County Criminal Court No. 9",0006,858,456,1112,3702,30.04%,724,724
"Judge, County Criminal Court No. 9",0007,209,110,319,1017,31.37%,24,24
"Judge, County Criminal Court No. 9",0008,393,310,703,1744,40.31%,399,399
"Judge, County Criminal Court No. 9",0009,208,223,429,1874,22.89%,161,161
"Judge, County Criminal Court No. 9",0010,255,171,428,1753,24.30%,168,188
"Judge, County Criminal Court No. 9",0011,184,176,360,1785,20.17%,100,100
"Judge, County Criminal Court No. 9",0012,88,66,152,735,20.68%,94,94
"Judge, County Criminal Court No. 9",0013,548,361,909,2689,33.80%,679,679
"Judge, County Criminal Court No. 9",0014,442,495,937,1870,50.11%,550,550
"Judge, County Criminal Court No. 9",0015,597,898,1495,2878,51.95%,910,910
"Judge, County Criminal Court No. 9",0016,239,137,376,1071,35.11%,201,201
"Judge, County Criminal Court No. 9",0017,185,215,400,1162,34.42%,204,204
"Judge, County Criminal Court No. 9",0018,371,351,722,1443,50.03%,379,379
"Judge, County Criminal Court No. 9",0019,170,207,377,1170,32.22%,149,149
"Judge, County Criminal Court No. 9",0020,311,287,598,2646,22.60%,226,226
"Judge, County Criminal Court No. 9",0021,178,184,360,1122,32.09%,103,103
"Judge, County Criminal Court No. 9",0022,397,322,719,2473,29.07%,175,175
"Judge, County Criminal Court No. 9",0023,31,22,53,541,9.80%,13,13
"Judge, County Criminal Court No. 9",0024,108,88,194,655,29.62%,33,33
"Judge, County Criminal Court No. 9",0025,104,143,247,1086,22.74%,28,28
"Judge, County Criminal Court No. 9",0026,239,277,516,1845,27.97%,190,190
"Judge, County Criminal Court No. 9",0027,483,427,890,3074,28.95%,313,313
"Judge, County Criminal Court No. 9",0028,838,405,1041,3029,34.37%,710,710
"Judge, County Criminal Court No. 9",0029,194,237,431,2638,16.34%,199,199
"Judge, County Criminal Court No. 9",0030,388,391,759,2403,31.59%,260,260
"Judge, County Criminal Court No. 9",0031,453,280,733,2511,29.19%,49,49
"Judge, County Criminal Court No. 9",0032,318,405,723,2398,30.15%,352,352
"Judge, County Criminal Court No. 9",0033,707,615,1322,3706,35.67%,526,526
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0034,625,579,1204,2766,43.22%,366,366
"Judge, County Criminal Court No. 9",0035,4,0,4,11,36.36%,1,1
"Judge, County Criminal Court No. 9",0036,416,316,734,2927,25.06%,270,270
"Judge, County Criminal Court No. 9",0037,542,436,976,2106,46.44%,342,342
"Judge, County Criminal Court No. 9",0036,764,569,1373,2675,47.76%,550,550
"Judge, County Criminal Court No. 9",0039,657,575,1232,2759,44.65%,399,399
"Judge, County Criminal Court No. 9",0040,136,152,266,541,53.23%,147,147
"Judge, County Criminal Court No. 9",0041,176,230,406,1334,30.43%,191,191
"Judge, County Criminal Court No. 9",0042,228,109,337,1071,31.47%,21,21
"Judge, County Criminal Court No. 9",0043,293,210,503,1695,29.66%,303,303
"Judge, County Criminal Court No. 9",0044,204,222,426,2001,21.29%,146,146
"Judge, County Criminal Court No. 9",0045,894,750,1644,6698,24.54%,455,455
"Judge, County Criminal Court No. 9",0046,290,247,537,2511,21.39%,146,146
"Judge, County Criminal Court No. 9",0047,213,216,431,1627,26.49%,40,40
"Judge, County Criminal Court No. 9",0048,157,142,299,940,31.61%,41,41
"Judge, County Criminal Court No. 9",0049,564,462,1066,3343,31.69%,614,614
"Judge, County Criminal Court No. 9",0050,765,771,1556,5211,29.66%,946,946
"Judge, County Criminal Court No. 9",0051,353,243,596,1669,35.29%,465,465
"Judge, County Criminal Court No. 9",0052,422,447,669,2457,35.37%,464,464
"Judge, County Criminal Court No. 9",0053,564,726,1290,2971,43.42%,561,561
"Judge, County Criminal Court No. 9",0054,269,364,633,1467,42.57%,374,374
"Judge, County Criminal Court No. 9",0055,191,251,442,1506,29.35%,226,226
"Judge, County Criminal Court No. 9",0056,262,276,560,1326,42.23%,364,364
"Judge, County Criminal Court No. 9",0057,710,631,1541,3153,46.67%,669,669
"Judge, County Criminal Court No. 9",0056,469,556,1025,2690,36.10%,516,516
"Judge, County Criminal Court No. 9",0059,555,609,1164,2544,45.75%,534,534
"Judge, County Criminal Court No. 9",0060,498,564,1052,2453,43.29%,345,345
"Judge, County Criminal Court No. 9",0061,172,204,376,1773,21.21%,175,175
"Judge, County Criminal Court No. 9",0062,145,322,467,2161,21.41%,172,172
"Judge, County Criminal Court No. 9",0063,264,354,616,1626,33.64%,511,511
"Judge, County Criminal Court No. 9",0064,191,221,412,2141,19.24%,116,116
"Judge, County Criminal Court No. 9",0065,172,230,402,2167,16.55%,147,147
"Judge, County Criminal Court No. 9",0066,69,143,212,1096,19.31%,51,51
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0067,304,282,586,2794,20.97%,208,208
"Judge, County Criminal Court No. 9",0068,553,352,905,2924,30.95%,71,71
"Judge, County Criminal Court No. 9",0069,80,124,204,1284,15.89%,64,64
"Judge, County Criminal Court No. 9",0070,882,664,1546,3337,46.33%,976,976
"Judge, County Criminal Court No. 9",0071,602,722,1324,4197,31.55%,744,744
"Judge, County Criminal Court No. 9",0072,220,293,513,1924,26.66%,207,207
"Judge, County Criminal Court No. 9",0073,252,414,666,1555,42.83%,409,409
"Judge, County Criminal Court No. 9",0074,1153,782,1935,3583,54.01%,1527,1527
"Judge, County Criminal Court No. 9",0075,254,280,534,1444,36.98%,251,251
"Judge, County Criminal Court No. 9",0076,373,374,747,2362,31.63%,495,495
"Judge, County Criminal Court No. 9",0077,43,46,89,566,15.72%,26,26
"Judge, County Criminal Court No. 9",0078,180,201,381,1522,25.03%,172,172
"Judge, County Criminal Court No. 9",0079,205,306,511,2927,17.46%,196,196
"Judge, County Criminal Court No. 9",0080,501,351,852,2725,31.27%,282,282
"Judge, County Criminal Court No. 9",0081,183,187,370,1835,20.16%,178,178
"Judge, County Criminal Court No. 9",0082,639,671,1310,3368,38.90%,1029,1029
"Judge, County Criminal Court No. 9",0083,1296,888,2184,6625,32.97%,1214,1214
"Judge, County Criminal Court No. 9",0084,208,218,426,1373,31.03%,322,322
"Judge, County Criminal Court No. 9",0085,271,248,519,2173,23.88%,62,62
"Judge, County Criminal Court No. 9",0086,447,568,1015,2910,34.88%,532,532
"Judge, County Criminal Court No. 9",0087,574,787,1461,2818,51.85%,972,972
"Judge, County Criminal Court No. 9",0088,123,118,241,693,34.78%,162,162
"Judge, County Criminal Court No. 9",0089,165,371,536,1094,48.99%,324,324
"Judge, County Criminal Court No. 9",0090,844,790,1634,3700,44.16%,1242,1242
"Judge, County Criminal Court No. 9",0091,219,222,441,1505,29.30%,298,298
"Judge, County Criminal Court No. 9",0092,695,462,1157,2242,51.61%,801,801
"Judge, County Criminal Court No. 9",0093,381,301,682,3356,20.32%,332,332
"Judge, County Criminal Court No. 9",0094,51,43,94,549,17.12%,39,39
"Judge, County Criminal Court No. 9",0095,917,576,1493,3177,46.99%,1118,1118
"Judge, County Criminal Court No. 9",0096,83,83,166,1296,12.81%,37,37
"Judge, County Criminal Court No. 9",0097,1024,725,1749,4828,36.23%,1354,1354
"Judge, County Criminal Court No. 9",0098,403,488,891,2651,33.61%,755,755
"Judge, County Criminal Court No. 9",0099,254,184,438,2092,20.94%,237,237
