Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Diane Bull,Totals
"Judge, County Criminal Court No.11",0001,417,466,883,2358,37.45%,369,369
"Judge, County Criminal Court No.11",0002,333,313,646,1961,32.94%,320,320
"Judge, County Criminal Court No.11",0003,326,405,731,1560,46.86%,309,309
"Judge, County Criminal Court No.11",0004,369,487,856,1668,51.32%,351,351
"Judge, County Criminal Court No.11",0005,279,448,727,1417,51.31%,299,299
"Judge, County Criminal Court No.11",0006,656,456,1112,3702,30.04%,723,723
"Judge, County Criminal Court No.11",0007,209,110,319,1017,31.37%,24,24
"Judge, County Criminal Court No.11",0008,393,310,703,1744,40.31%,404,404
"Judge, County Criminal Court No.11",0009,206,223,429,1874,22.89%,165,165
"Judge, County Criminal Court No.11",0010,255,171,426,1753,24.30%,168,168
"Judge, County Criminal Court No.11",0011,184,176,360,1785,20.17%,99,99
"Judge, County Criminal Court No.11",0012,86,66,152,735,20.68%,94,94
"Judge, County Criminal Court No.11",0013,548,361,909,2689,33.80%,679,679
"Judge, County Criminal Court No.11",0014,442,495,937,1870,50.11%,552,552
"Judge, County Criminal Court No.11",0015,597,898,1495,2878,51.95%,912,912
"Judge, County Criminal Court No.11",0016,239,137,376,1071,35.11%,201,201
"Judge, County Criminal Court No.11",0017,185,215,400,1162,34.42%,206,206
"Judge, County Criminal Court No.11",0018,371,351,722,1443,50.03%,384,384
"Judge, County Criminal Court No.11",0019,170,207,377,1170,32.22%,151,151
"Judge, County Criminal Court No.11",0020,311,287,598,2646,22.60%,226,226
"Judge, County Criminal Court No.11",0021,176,184,360,1122,32.09%,105,105
"Judge, County Criminal Court No.11",0022,397,322,719,2473,29.07%,175,175
"Judge, County Criminal Court No.11",0023,31,22,53,541,9.80%,14,14
"Judge, County Criminal Court No.11",0024,106,88,194,655,29.62%,32,32
"Judge, County Criminal Court No.11",0025,104,143,247,1086,22.74%,29,29
"Judge, County Criminal Court No.11",0026,239,277,516,1845,27.97%,189,189
"Judge, County Criminal Court No.11",0027,463,427,890,3074,28.95%,315,315
"Judge, County Criminal Court No.11",0028,636,405,1041,3029,34.37%,709,709
"Judge, County Criminal Court No.11",0029,194,237,431,2638,16.34%,198,198
"Judge, County Criminal Court No.11",0030,368,391,759,2403,31.59%,257,257
"Judge, County Criminal Court No.11",0031,453,280,733,2511,29.19%,54,54
"Judge, County Criminal Court No.11",0032,318,405,723,2398,30.15%,350,350
"Judge, County Criminal Court No.11",0033,707,615,1322,3706,35.67%,535,535
"Judge, County Criminal Court No.11",0034,625,579,1204,2786,43.22%,370,370
"Judge, County Criminal Court No.11",0035,4,0,4,11,36.36%,1,1
"Judge, County Criminal Court No.11",0036,416,318,734,2927,25.08%,268,268
"Judge, County Criminal Court No.11",0037,542,436,978,2106,46.44%,346,346
"Judge, County Criminal Court No.11",0038,784,589,1373,2875,47.76%,552,552
"Judge, County Criminal Court No.11",0039,657,575,1232,2759,44.65%,393,393
"Judge, County Criminal Court No.11",0040,136,152,288,541,53.23%,150,150
"Judge, County Criminal Court No.11",0041,176,230,406,1334,30.43%,193,193
"Judge, County Criminal Court No.11",0042,228,109,337,1071,31.47%,19,19
"Judge, County Criminal Court No.11",0043,293,210,503,1695,29.68%,306,306
"Judge, County Criminal Court No.11",0044,204,222,426,2001,21.29%,141,141
"Judge, County Criminal Court No.11",0045,894,750,1644,6698,24.54%,451,451
"Judge, County Criminal Court No.11",0046,290,247,537,2511,21.39%,152,152
"Judge, County Criminal Court No.11",0047,213,218,431,1627,26.49%,42,42
"Judge, County Criminal Court No.11",0048,157,142,299,940,31.81%,41,41
"Judge, County Criminal Court No.11",0049,584,482,1066,3343,31.89%,815,815
"Judge, County Criminal Court No.11",0050,785,771,1556,5211,29.86%,946,946
"Judge, County Criminal Court No.11",0051,353,243,596,1689,35.29%,465,465
"Judge, County Criminal Court No.11",0052,422,447,869,2457,35.37%,485,485
"Judge, County Criminal Court No.11",0053,564,726,1290,2971,43.42%,584,584
"Judge, County Criminal Court No.11",0054,269,364,633,1487,42.57%,373,373
"Judge, County Criminal Court No.11",0055,191,251,442,1506,29.35%,227,227
"Judge, County Criminal Court No.11",0056,282,278,560,1326,42.23%,390,390
"Judge, County Criminal Court No.11",0057,710,831,1541,3153,48.87%,691,691
"Judge, County Criminal Court No.11",0058,469,556,1025,2690,38.10%,514,514
"Judge, County Criminal Court No.11",0059,555,609,1164,2544,45.75%,540,540
"Judge, County Criminal Court No.11",0060,498,564,1062,2453,43.29%,344,344
"Judge, County Criminal Court No.11",0061,172,204,376,1773,21.21%,173,173
"Judge, County Criminal Court No.11",0062,145,322,467,2181,21.41%,170,170
"Judge, County Criminal Court No.11",0063,264,354,618,1826,33.84%,512,512
"Judge, County Criminal Court No.11",0064,191,221,412,2141,19.24%,120,120
