Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0001,417,466,883,2358,37.45%,288,531,819
"Judge, County Criminal Court No.4",0002,333,313,646,1961,32.94%,277,318,595
"Judge, County Criminal Court No.4",0003,326,405,731,1560,46.86%,259,383,642
"Judge, County Criminal Court No.4",0004,369,487,856,1668,51.32%,313,462,775
"Judge, County Criminal Court No.4",0005,279,448,727,1417,51.31%,259,393,652
"Judge, County Criminal Court No.4",0006,656,456,1112,3702,30.04%,634,436,1070
"Judge, County Criminal Court No.4",0007,209,110,319,1017,31.37%,12,295,307
"Judge, County Criminal Court No.4",0008,393,310,703,1744,40.31%,357,313,670
"Judge, County Criminal Court No.4",0009,206,223,429,1874,22.89%,114,280,394
"Judge, County Criminal Court No.4",0010,255,171,426,1753,24.30%,126,268,394
"Judge, County Criminal Court No.4",0011,184,176,360,1785,20.17%,74,261,335
"Judge, County Criminal Court No.4",0012,86,66,152,735,20.68%,89,59,148
"Judge, County Criminal Court No.4",0013,548,361,909,2689,33.80%,659,205,864
"Judge, County Criminal Court No.4",0014,442,495,937,1870,50.11%,503,371,874
"Judge, County Criminal Court No.4",0015,597,898,1495,2878,51.95%,865,488,1353
"Judge, County Criminal Court No.4",0016,239,137,376,1071,35.11%,163,188,351
"Judge, County Criminal Court No.4",0017,185,215,400,1162,34.42%,178,193,371
"Judge, County Criminal Court No.4",0018,371,351,722,1443,50.03%,346,318,664
"Judge, County Criminal Court No.4",0019,170,207,377,1170,32.22%,122,235,357
"Judge, County Criminal Court No.4",0020,311,287,598,2646,22.60%,186,379,565
"Judge, County Criminal Court No.4",0021,176,184,360,1122,32.09%,72,270,342
"Judge, County Criminal Court No.4",0022,397,322,719,2473,29.07%,139,553,692
"Judge, County Criminal Court No.4",0023,31,22,53,541,9.80%,9,42,51
"Judge, County Criminal Court No.4",0024,106,88,194,655,29.62%,14,173,187
"Judge, County Criminal Court No.4",0025,104,143,247,1086,22.74%,11,230,241
"Judge, County Criminal Court No.4",0026,239,277,516,1845,27.97%,135,329,464
"Judge, County Criminal Court No.4",0027,463,427,890,3074,28.95%,225,615,840
"Judge, County Criminal Court No.4",0028,636,405,1041,3029,34.37%,677,308,985
"Judge, County Criminal Court No.4",0029,194,237,431,2638,16.34%,175,232,407
"Judge, County Criminal Court No.4",0030,368,391,759,2403,31.59%,193,525,718
"Judge, County Criminal Court No.4",0031,453,280,733,2511,29.19%,15,692,707
"Judge, County Criminal Court No.4",0032,318,405,723,2398,30.15%,292,379,671
"Judge, County Criminal Court No.4",0033,707,615,1322,3706,35.67%,433,799,1232
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0034,625,579,1204,2786,43.22%,293,835,1128
"Judge, County Criminal Court No.4",0035,4,0,4,11,36.36%,1,3,4
"Judge, County Criminal Court No.4",0036,416,318,734,2927,25.08%,201,489,690
"Judge, County Criminal Court No.4",0037,542,436,978,2106,46.44%,279,623,902
"Judge, County Criminal Court No.4",0038,784,589,1373,2875,47.76%,467,800,1267
"Judge, County Criminal Court No.4",0039,657,575,1232,2759,44.65%,314,814,1128
"Judge, County Criminal Court No.4",0040,136,152,288,541,53.23%,142,122,264
"Judge, County Criminal Court No.4",0041,176,230,406,1334,30.43%,166,226,392
"Judge, County Criminal Court No.4",0042,228,109,337,1071,31.47%,6,323,329
"Judge, County Criminal Court No.4",0043,293,210,503,1695,29.68%,272,205,477
"Judge, County Criminal Court No.4",0044,204,222,426,2001,21.29%,92,304,396
"Judge, County Criminal Court No.4",0045,894,750,1644,6698,24.54%,324,1271,1595
"Judge, County Criminal Court No.4",0046,290,247,537,2511,21.39%,93,409,502
"Judge, County Criminal Court No.4",0047,213,218,431,1627,26.49%,18,403,421
"Judge, County Criminal Court No.4",0048,157,142,299,940,31.81%,25,268,293
"Judge, County Criminal Court No.4",0049,584,482,1066,3343,31.89%,773,261,1034
"Judge, County Criminal Court No.4",0050,785,771,1556,5211,29.86%,843,657,1500
"Judge, County Criminal Court No.4",0051,353,243,596,1689,35.29%,447,129,576
"Judge, County Criminal Court No.4",0052,422,447,869,2457,35.37%,409,401,810
"Judge, County Criminal Court No.4",0053,564,726,1290,2971,43.42%,534,649,1183
"Judge, County Criminal Court No.4",0054,269,364,633,1487,42.57%,327,261,588
"Judge, County Criminal Court No.4",0055,191,251,442,1506,29.35%,192,215,407
"Judge, County Criminal Court No.4",0056,282,278,560,1326,42.23%,377,153,530
"Judge, County Criminal Court No.4",0057,710,831,1541,3153,48.87%,594,809,1403
"Judge, County Criminal Court No.4",0058,469,556,1025,2690,38.10%,427,541,968
"Judge, County Criminal Court No.4",0059,555,609,1164,2544,45.75%,462,613,1075
"Judge, County Criminal Court No.4",0060,498,564,1062,2453,43.29%,253,721,974
"Judge, County Criminal Court No.4",0061,172,204,376,1773,21.21%,152,193,345
"Judge, County Criminal Court No.4",0062,145,322,467,2181,21.41%,123,321,444
"Judge, County Criminal Court No.4",0063,264,354,618,1826,33.84%,499,101,600
"Judge, County Criminal Court No.4",0064,191,221,412,2141,19.24%,89,297,386
"Judge, County Criminal Court No.4",0065,172,230,402,2167,18.55%,95,281,376
"Judge, County Criminal Court No.4",0066,69,143,212,1098,19.31%,35,165,200
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0067,304,282,586,2794,20.97%,166,379,545
"Judge, County Criminal Court No.4",0068,553,352,905,2924,30.95%,20,865,885
"Judge, County Criminal Court No.4",0069,80,124,204,1284,15.89%,40,150,190
"Judge, County Criminal Court No.4",0070,882,664,1546,3337,46.33%,895,514,1409
"Judge, County Criminal Court No.4",0071,602,722,1324,4197,31.55%,650,598,1248
