Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0001,417,466,883,2358,37.45%,291,525,816
"Judge, County Probate Court No. 1",0002,333,313,646,1961,32.94%,270,328,598
"Judge, County Probate Court No. 1",0003,326,405,731,1560,46.86%,259,386,645
"Judge, County Probate Court No. 1",0004,369,487,856,1668,51.32%,323,455,778
"Judge, County Probate Court No. 1",0005,279,448,727,1417,51.31%,253,403,656
"Judge, County Probate Court No. 1",0006,656,456,1112,3702,30.04%,638,433,1071
"Judge, County Probate Court No. 1",0007,209,110,319,1017,31.37%,14,294,308
"Judge, County Probate Court No. 1",0008,393,310,703,1744,40.31%,360,312,672
"Judge, County Probate Court No. 1",0009,206,223,429,1874,22.89%,117,278,395
"Judge, County Probate Court No. 1",0010,255,171,426,1753,24.30%,122,266,388
"Judge, County Probate Court No. 1",0011,184,176,360,1785,20.17%,70,265,335
"Judge, County Probate Court No. 1",0012,86,66,152,735,20.68%,88,60,148
"Judge, County Probate Court No. 1",0013,548,361,909,2689,33.80%,660,203,863
"Judge, County Probate Court No. 1",0014,442,495,937,1870,50.11%,508,363,871
"Judge, County Probate Court No. 1",0015,597,898,1495,2878,51.95%,886,468,1354
"Judge, County Probate Court No. 1",0016,239,137,376,1071,35.11%,176,173,349
"Judge, County Probate Court No. 1",0017,185,215,400,1162,34.42%,179,193,372
"Judge, County Probate Court No. 1",0018,371,351,722,1443,50.03%,349,321,670
"Judge, County Probate Court No. 1",0019,170,207,377,1170,32.22%,120,233,353
"Judge, County Probate Court No. 1",0020,311,287,598,2646,22.60%,185,385,570
"Judge, County Probate Court No. 1",0021,176,184,360,1122,32.09%,76,265,341
"Judge, County Probate Court No. 1",0022,397,322,719,2473,29.07%,141,552,693
"Judge, County Probate Court No. 1",0023,31,22,53,541,9.80%,10,41,51
"Judge, County Probate Court No. 1",0024,106,88,194,655,29.62%,14,170,184
"Judge, County Probate Court No. 1",0025,104,143,247,1086,22.74%,15,225,240
"Judge, County Probate Court No. 1",0026,239,277,516,1845,27.97%,138,325,463
"Judge, County Probate Court No. 1",0027,463,427,890,3074,28.95%,234,602,836
"Judge, County Probate Court No. 1",0028,636,405,1041,3029,34.37%,677,309,986
"Judge, County Probate Court No. 1",0029,194,237,431,2638,16.34%,176,227,403
"Judge, County Probate Court No. 1",0030,368,391,759,2403,31.59%,202,520,722
"Judge, County Probate Court No. 1",0031,453,280,733,2511,29.19%,20,688,708
"Judge, County Probate Court No. 1",0032,318,405,723,2398,30.15%,289,379,668
"Judge, County Probate Court No. 1",0033,707,615,1322,3706,35.67%,430,793,1223
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0034,625,579,1204,2786,43.22%,297,842,1139
"Judge, County Probate Court No. 1",0035,4,0,4,11,36.36%,1,3,4
"Judge, County Probate Court No. 1",0036,416,318,734,2927,25.08%,205,486,691
"Judge, County Probate Court No. 1",0037,542,436,978,2106,46.44%,289,615,904
"Judge, County Probate Court No. 1",0038,784,589,1373,2875,47.76%,468,801,1269
"Judge, County Probate Court No. 1",0039,657,575,1232,2759,44.65%,328,821,1149
"Judge, County Probate Court No. 1",0040,136,152,288,541,53.23%,144,118,262
"Judge, County Probate Court No. 1",0041,176,230,406,1334,30.43%,161,231,392
"Judge, County Probate Court No. 1",0042,228,109,337,1071,31.47%,7,320,327
"Judge, County Probate Court No. 1",0043,293,210,503,1695,29.68%,281,202,483
"Judge, County Probate Court No. 1",0044,204,222,426,2001,21.29%,96,298,394
"Judge, County Probate Court No. 1",0045,894,750,1644,6698,24.54%,329,1257,1586
"Judge, County Probate Court No. 1",0046,290,247,537,2511,21.39%,101,406,507
"Judge, County Probate Court No. 1",0047,213,218,431,1627,26.49%,16,401,417
"Judge, County Probate Court No. 1",0048,157,142,299,940,31.81%,25,263,288
"Judge, County Probate Court No. 1",0049,584,482,1066,3343,31.89%,774,256,1030
"Judge, County Probate Court No. 1",0050,785,771,1556,5211,29.86%,853,649,1502
"Judge, County Probate Court No. 1",0051,353,243,596,1689,35.29%,446,131,577
"Judge, County Probate Court No. 1",0052,422,447,869,2457,35.37%,404,408,812
"Judge, County Probate Court No. 1",0053,564,726,1290,2971,43.42%,535,647,1182
"Judge, County Probate Court No. 1",0054,269,364,633,1487,42.57%,323,259,582
"Judge, County Probate Court No. 1",0055,191,251,442,1506,29.35%,193,213,406
"Judge, County Probate Court No. 1",0056,282,278,560,1326,42.23%,380,148,528
"Judge, County Probate Court No. 1",0057,710,831,1541,3153,48.87%,593,806,1399
"Judge, County Probate Court No. 1",0058,469,556,1025,2690,38.10%,432,536,968
"Judge, County Probate Court No. 1",0059,555,609,1164,2544,45.75%,460,614,1074
"Judge, County Probate Court No. 1",0060,498,564,1062,2453,43.29%,257,724,981
"Judge, County Probate Court No. 1",0061,172,204,376,1773,21.21%,158,187,345
"Judge, County Probate Court No. 1",0062,145,322,467,2181,21.41%,121,320,441
"Judge, County Probate Court No. 1",0063,264,354,618,1826,33.84%,504,96,600
"Judge, County Probate Court No. 1",0064,191,221,412,2141,19.24%,88,296,384
"Judge, County Probate Court No. 1",0065,172,230,402,2167,18.55%,98,282,380
"Judge, County Probate Court No. 1",0066,69,143,212,1098,19.31%,37,161,198
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0067,304,282,586,2794,20.97%,165,377,542
"Judge, County Probate Court No. 1",0068,553,352,905,2924,30.95%,26,857,883
"Judge, County Probate Court No. 1",0069,80,124,204,1284,15.89%,44,144,188
"Judge, County Probate Court No. 1",0070,882,664,1546,3337,46.33%,914,507,1421
"Judge, County Probate Court No. 1",0071,602,722,1324,4197,31.55%,641,605,1246
"Judge, County Probate Court No. 1",0072,220,293,513,1924,26.66%,170,310,480
"Judge, County Probate Court No. 1",0073,252,414,666,1555,42.83%,374,231,605
"Judge, County Probate Court No. 1",0074,1153,782,1935,3583,54.01%,1526,319,1845
"Judge, County Probate Court No. 1",0075,254,280,534,1444,36.98%,202,298,500
"Judge, County Probate Court No. 1",0076,373,374,747,2362,31.63%,447,266,713
"Judge, County Probate Court No. 1",0077,43,46,89,566,15.72%,22,63,85
"Judge, County Probate Court No. 1",0078,180,201,381,1522,25.03%,141,220,361
"Judge, County Probate Court No. 1",0079,205,306,511,2927,17.46%,136,330,466
"Judge, County Probate Court No. 1",0080,501,351,852,2725,31.27%,222,590,812
"Judge, County Probate Court No. 1",0081,183,187,370,1835,20.16%,153,195,348
"Judge, County Probate Court No. 1",0082,639,671,1310,3368,38.90%,990,280,1270
"Judge, County Probate Court No. 1",0083,1296,888,2184,6625,32.97%,1072,1025,2097
"Judge, County Probate Court No. 1",0084,208,218,426,1373,31.03%,309,97,406
"Judge, County Probate Court No. 1",0085,271,248,519,2173,23.88%,21,488,509
"Judge, County Probate Court No. 1",0086,447,568,1015,2910,34.88%,465,488,953
"Judge, County Probate Court No. 1",0087,574,787,1461,2818,51.85%,934,416,1350
"Judge, County Probate Court No. 1",0088,123,118,241,693,34.78%,156,71,227
"Judge, County Probate Court No. 1",0089,165,371,536,1094,48.99%,298,187,485
"Judge, County Probate Court No. 1",0090,844,790,1634,3700,44.16%,1202,357,1559
"Judge, County Probate Court No. 1",0091,219,222,441,1505,29.30%,270,153,423
"Judge, County Probate Court No. 1",0092,695,462,1157,2242,51.61%,771,306,1077
"Judge, County Probate Court No. 1",0093,381,301,682,3356,20.32%,280,358,638
"Judge, County Probate Court No. 1",0094,51,43,94,549,17.12%,28,63,91
"Judge, County Probate Court No. 1",0095,917,576,1493,3177,46.99%,1101,322,1423
"Judge, County Probate Court No. 1",0096,83,83,166,1296,12.81%,24,142,166
"Judge, County Probate Court No. 1",0097,1024,725,1749,4828,36.23%,1296,388,1684
"Judge, County Probate Court No. 1",0098,403,488,891,2651,33.61%,740,119,859
"Judge, County Probate Court No. 1",0099,254,184,438,2092,20.94%,212,213,425
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0100,165,173,338,1730,19.54%,183,146,329
"Judge, County Probate Court No. 1",0101,72,58,130,946,13.74%,46,81,127
"Judge, County Probate Court No. 1",0102,207,121,328,1872,17.52%,93,221,314
"Judge, County Probate Court No. 1",0103,700,714,1414,5371,26.33%,805,559,1364
"Judge, County Probate Court No. 1",0104,530,231,761,1905,39.95%,18,727,745
"Judge, County Probate Court No. 1",0105,196,210,406,2165,18.75%,133,241,374
"Judge, County Probate Court No. 1",0106,18,7,25,294,8.50%,15,9,24
"Judge, County Probate Court No. 1",0107,154,197,351,2032,17.27%,59,272,331
"Judge, County Probate Court No. 1",0108,558,272,940,3365,27.93%,572,330,902
"Judge, County Probate Court No. 1",0109,529,245,774,2824,27.41%,11,746,757
"Judge, County Probate Court No. 1",0110,654,494,1148,3042,37.74%,751,357,1108
"Judge, County Probate Court No. 1",0111,816,795,1611,4102,39.27%,1176,359,1535
"Judge, County Probate Court No. 1",0112,542,485,1027,2976,34.51%,763,218,981
"Judge, County Probate Court No. 1",0113,562,429,991,2647,37.44%,606,335,941
"Judge, County Probate Court No. 1",0114,707,547,1254,3311,37.87%,1016,205,1221
"Judge, County Probate Court No. 1",0115,238,150,388,1800,21.56%,52,324,376
"Judge, County Probate Court No. 1",0116,982,776,1758,3147,55.86%,1343,298,1641
"Judge, County Probate Court No. 1",0117,215,226,441,1880,23.46%,225,192,417
"Judge, County Probate Court No. 1",0118,304,123,427,759,56.26%,361,51,412
"Judge, County Probate Court No. 1",0119,1288,1024,2312,5500,42.04%,1877,339,2216
"Judge, County Probate Court No. 1",0120,712,422,1134,3191,35.54%,745,334,1079
"Judge, County Probate Court No. 1",0121,92,178,270,848,31.84%,189,70,259
"Judge, County Probate Court No. 1",0122,352,225,577,1890,30.53%,21,532,553
"Judge, County Probate Court No. 1",0123,284,288,572,1392,41.09%,154,381,535
"Judge, County Probate Court No. 1",0124,1734,1292,3026,7254,41.71%,2411,529,2940
"Judge, County Probate Court No. 1",0125,415,332,747,2405,31.06%,465,254,719
"Judge, County Probate Court No. 1",0126,893,467,1360,3100,43.87%,1204,116,1320
"Judge, County Probate Court No. 1",0127,435,154,589,1836,32.08%,419,134,553
"Judge, County Probate Court No. 1",0128,445,707,1152,2290,50.31%,747,299,1046
"Judge, County Probate Court No. 1",0129,1030,1200,2230,5746,38.81%,1422,690,2112
"Judge, County Probate Court No. 1",0130,727,523,1250,2333,53.58%,927,252,1179
"Judge, County Probate Court No. 1",0131,251,259,510,1935,26.36%,121,364,485
"Judge, County Probate Court No. 1",0132,593,323,916,2387,38.37%,21,871,892
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0133,513,858,1371,2662,51.50%,802,452,1254
"Judge, County Probate Court No. 1",0134,192,265,457,1437,31.80%,213,222,435
"Judge, County Probate Court No. 1",0135,727,579,1305,2671,48.90%,937,288,1225
"Judge, County Probate Court No. 1",0136,503,371,874,2013,43.42%,33,806,839
"Judge, County Probate Court No. 1",0137,166,141,307,716,42.88%,155,124,279
"Judge, County Probate Court No. 1",0138,296,199,495,1699,29.13%,17,465,482
"Judge, County Probate Court No. 1",0139,699,551,1250,3037,41.16%,557,605,1162
"Judge, County Probate Court No. 1",0140,699,480,1179,3214,36.68%,149,986,1135
"Judge, County Probate Court No. 1",0141,80,80,160,855,18.71%,97,54,151
"Judge, County Probate Court No. 1",0142,87,103,190,902,21.06%,65,114,179
"Judge, County Probate Court No. 1",0143,1962,580,2542,6386,39.81%,1836,634,2470
"Judge, County Probate Court No. 1",0144,216,158,374,1093,34.22%,9,356,365
"Judge, County Probate Court No. 1",0145,264,213,477,1538,31.01%,12,452,464
"Judge, County Probate Court No. 1",0146,426,519,945,2008,47.06%,421,468,889
"Judge, County Probate Court No. 1",0147,589,329,1018,3008,33.84%,137,853,990
"Judge, County Probate Court No. 1",0148,500,780,1280,2540,50.39%,515,644,1159
"Judge, County Probate Court No. 1",0149,1621,737,2358,7993,29.50%,1236,1054,2290
"Judge, County Probate Court No. 1",0150,236,169,405,1256,32.25%,15,383,398
"Judge, County Probate Court No. 1",0151,137,79,216,826,26.15%,12,197,209
"Judge, County Probate Court No. 1",0152,213,299,512,2788,18.36%,143,344,487
"Judge, County Probate Court No. 1",0153,125,206,331,1808,18.31%,108,206,314
"Judge, County Probate Court No. 1",0154,249,183,432,2190,19.73%,116,289,405
"Judge, County Probate Court No. 1",0155,1022,619,1641,4109,39.94%,1156,423,1579
"Judge, County Probate Court No. 1",0156,799,326,1125,3071,36.63%,42,1047,1089
"Judge, County Probate Court No. 1",0157,448,214,662,2236,29.61%,25,615,640
"Judge, County Probate Court No. 1",0158,600,315,915,3035,30.15%,30,858,888
"Judge, County Probate Court No. 1",0159,116,127,243,998,24.35%,36,197,233
"Judge, County Probate Court No. 1",0160,122,73,195,696,28.02%,7,184,191
"Judge, County Probate Court No. 1",0161,163,141,304,991,30.68%,6,287,293
"Judge, County Probate Court No. 1",0162,101,83,184,1265,14.55%,72,99,171
"Judge, County Probate Court No. 1",0163,230,320,550,3037,18.11%,246,273,519
"Judge, County Probate Court No. 1",0164,182,205,387,1420,27.25%,13,368,381
"Judge, County Probate Court No. 1",0165,535,483,1018,2334,43.62%,681,286,967
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0166,158,233,391,1028,38.04%,118,250,368
"Judge, County Probate Court No. 1",0167,3,0,3,24,12.50%,0,3,3
"Judge, County Probate Court No. 1",0168,92,58,150,503,29.82%,5,141,146
"Judge, County Probate Court No. 1",0169,518,251,767,2513,30.52%,18,731,749
"Judge, County Probate Court No. 1",0170,271,141,412,1869,22.04%,217,173,390
"Judge, County Probate Court No. 1",0171,202,198,400,1604,24.94%,12,377,389
"Judge, County Probate Court No. 1",0172,88,80,166,621,26.73%,67,85,152
"Judge, County Probate Court No. 1",0173,817,739,1556,3599,43.23%,1261,244,1505
"Judge, County Probate Court No. 1",0174,829,733,1562,3296,47.39%,1086,388,1474
"Judge, County Probate Court No. 1",0175,557,749,1306,2618,49.89%,670,522,1192
"Judge, County Probate Court No. 1",0176,344,451,795,1602,49.63%,427,285,712
"Judge, County Probate Court No. 1",0177,278,326,604,1496,40.37%,344,215,559
"Judge, County Probate Court No. 1",0178,504,365,869,1765,49.24%,611,186,797
"Judge, County Probate Court No. 1",0179,256,188,444,1575,28.19%,238,179,417
"Judge, County Probate Court No. 1",0180,470,343,813,2834,28.69%,22,750,772
"Judge, County Probate Court No. 1",0181,175,262,437,2061,21.20%,140,273,413
"Judge, County Probate Court No. 1",0182,590,974,1564,3405,45.93%,967,452,1419
"Judge, County Probate Court No. 1",0183,519,794,1313,2491,52.71%,889,327,1216
"Judge, County Probate Court No. 1",0184,106,135,241,994,24.25%,86,131,217
"Judge, County Probate Court No. 1",0185,283,292,575,1933,29.75%,209,337,546
"Judge, County Probate Court No. 1",0186,97,106,203,798,25.44%,37,159,196
"Judge, County Probate Court No. 1",0187,21,25,46,311,14.79%,15,29,44
"Judge, County Probate Court No. 1",0188,153,146,299,1637,18.27%,142,145,287
"Judge, County Probate Court No. 1",0189,239,360,599,1465,40.89%,315,234,549
"Judge, County Probate Court No. 1",0190,120,177,297,1723,17.24%,133,149,282
"Judge, County Probate Court No. 1",0191,79,126,205,1366,15.01%,91,105,196
"Judge, County Probate Court No. 1",0192,380,225,605,1959,30.88%,26,559,585
"Judge, County Probate Court No. 1",0193,173,187,360,1074,33.52%,8,338,346
"Judge, County Probate Court No. 1",0194,350,431,781,1912,40.85%,243,491,734
"Judge, County Probate Court No. 1",0195,269,278,547,1694,32.29%,20,510,530
"Judge, County Probate Court No. 1",0196,52,32,84,316,26.58%,5,77,82
"Judge, County Probate Court No. 1",0197,543,309,852,2914,29.24%,18,817,835
"Judge, County Probate Court No. 1",0198,53,74,127,642,19.78%,4,121,125
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0199,812,661,1473,3216,45.80%,1147,256,1403
"Judge, County Probate Court No. 1",0200,962,536,1498,3382,44.29%,674,704,1378
"Judge, County Probate Court No. 1",0201,98,87,185,724,25.55%,4,177,181
"Judge, County Probate Court No. 1",0202,217,189,406,1464,27.73%,16,381,397
"Judge, County Probate Court No. 1",0203,107,68,175,960,18.23%,44,121,165
"Judge, County Probate Court No. 1",0204,816,784,1600,3487,45.88%,900,580,1480
"Judge, County Probate Court No. 1",0205,464,171,635,1664,38.16%,12,613,625
"Judge, County Probate Court No. 1",0206,362,462,824,2779,29.65%,245,528,773
"Judge, County Probate Court No. 1",0207,265,261,526,1188,44.28%,176,314,490
