Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wood,DEM Josefina Rendon,Totals
"Judge, County Probate Court No. 2",0001,417,466,883,2358,37.45%,292,530,822
"Judge, County Probate Court No. 2",0002,333,313,646,1961,32.94%,268,333,601
"Judge, County Probate Court No. 2",0003,326,405,731,1560,46.86%,254,392,646
"Judge, County Probate Court No. 2",0004,369,487,856,1668,51.32%,315,463,778
"Judge, County Probate Court No. 2",0005,279,448,727,1417,51.31%,260,403,663
"Judge, County Probate Court No. 2",0006,656,456,1112,3702,30.04%,632,443,1075
"Judge, County Probate Court No. 2",0007,209,110,319,1017,31.37%,11,299,310
"Judge, County Probate Court No. 2",0008,393,310,703,1744,40.31%,363,310,673
"Judge, County Probate Court No. 2",0009,206,223,429,1874,22.89%,112,283,395
"Judge, County Probate Court No. 2",0010,255,171,426,1753,24.30%,123,277,400
"Judge, County Probate Court No. 2",0011,184,176,360,1785,20.17%,68,268,336
"Judge, County Probate Court No. 2",0012,86,66,152,735,20.68%,88,60,148
"Judge, County Probate Court No. 2",0013,548,361,909,2689,33.80%,666,197,863
"Judge, County Probate Court No. 2",0014,442,495,937,1870,50.11%,509,361,870
"Judge, County Probate Court No. 2",0015,597,898,1495,2878,51.95%,904,459,1363
"Judge, County Probate Court No. 2",0016,239,137,376,1071,35.11%,176,176,352
"Judge, County Probate Court No. 2",0017,185,215,400,1162,34.42%,172,202,374
"Judge, County Probate Court No. 2",0018,371,351,722,1443,50.03%,348,323,671
"Judge, County Probate Court No. 2",0019,170,207,377,1170,32.22%,119,234,353
"Judge, County Probate Court No. 2",0020,311,287,598,2646,22.60%,184,387,571
"Judge, County Probate Court No. 2",0021,176,184,360,1122,32.09%,76,265,341
"Judge, County Probate Court No. 2",0022,397,322,719,2473,29.07%,140,556,696
"Judge, County Probate Court No. 2",0023,31,22,53,541,9.80%,10,41,51
"Judge, County Probate Court No. 2",0024,106,88,194,655,29.62%,15,170,185
"Judge, County Probate Court No. 2",0025,104,143,247,1086,22.74%,15,226,241
"Judge, County Probate Court No. 2",0026,239,277,516,1845,27.97%,131,345,476
"Judge, County Probate Court No. 2",0027,463,427,890,3074,28.95%,230,618,848
"Judge, County Probate Court No. 2",0028,636,405,1041,3029,34.37%,682,307,989
"Judge, County Probate Court No. 2",0029,194,237,431,2638,16.34%,168,239,407
"Judge, County Probate Court No. 2",0030,368,391,759,2403,31.59%,203,520,723
"Judge, County Probate Court No. 2",0031,453,280,733,2511,29.19%,19,689,708
"Judge, County Probate Court No. 2",0032,318,405,723,2398,30.15%,285,384,669
"Judge, County Probate Court No. 2",0033,707,615,1322,3706,35.67%,441,786,1227
"Judge, County Probate Court No. 2",0034,625,579,1204,2786,43.22%,290,855,1145
"Judge, County Probate Court No. 2",0035,4,0,4,11,36.36%,1,3,4
"Judge, County Probate Court No. 2",0036,416,318,734,2927,25.08%,200,496,696
"Judge, County Probate Court No. 2",0037,542,436,978,2106,46.44%,287,617,904
"Judge, County Probate Court No. 2",0038,784,589,1373,2875,47.76%,475,801,1276
"Judge, County Probate Court No. 2",0039,657,575,1232,2759,44.65%,327,819,1146
"Judge, County Probate Court No. 2",0040,136,152,288,541,53.23%,146,117,263
"Judge, County Probate Court No. 2",0041,176,230,406,1334,30.43%,168,225,393
"Judge, County Probate Court No. 2",0042,228,109,337,1071,31.47%,6,321,327
"Judge, County Probate Court No. 2",0043,293,210,503,1695,29.68%,280,202,482
"Judge, County Probate Court No. 2",0044,204,222,426,2001,21.29%,93,306,399
"Judge, County Probate Court No. 2",0045,894,750,1644,6698,24.54%,329,1263,1592
"Judge, County Probate Court No. 2",0046,290,247,537,2511,21.39%,91,416,507
"Judge, County Probate Court No. 2",0047,213,218,431,1627,26.49%,17,400,417
"Judge, County Probate Court No. 2",0048,157,142,299,940,31.81%,27,262,289
"Judge, County Probate Court No. 2",0049,584,482,1066,3343,31.89%,775,257,1032
"Judge, County Probate Court No. 2",0050,785,771,1556,5211,29.86%,856,647,1503
"Judge, County Probate Court No. 2",0051,353,243,596,1689,35.29%,455,126,581
"Judge, County Probate Court No. 2",0052,422,447,869,2457,35.37%,414,397,811
"Judge, County Probate Court No. 2",0053,564,726,1290,2971,43.42%,532,659,1191
"Judge, County Probate Court No. 2",0054,269,364,633,1487,42.57%,323,264,587
"Judge, County Probate Court No. 2",0055,191,251,442,1506,29.35%,198,211,409
"Judge, County Probate Court No. 2",0056,282,278,560,1326,42.23%,384,144,528
"Judge, County Probate Court No. 2",0057,710,831,1541,3153,48.87%,610,800,1410
"Judge, County Probate Court No. 2",0058,469,556,1025,2690,38.10%,433,540,973
"Judge, County Probate Court No. 2",0059,555,609,1164,2544,45.75%,465,614,1079
"Judge, County Probate Court No. 2",0060,498,564,1062,2453,43.29%,265,722,987
"Judge, County Probate Court No. 2",0061,172,204,376,1773,21.21%,154,194,348
"Judge, County Probate Court No. 2",0062,145,322,467,2181,21.41%,111,333,444
"Judge, County Probate Court No. 2",0063,264,354,618,1826,33.84%,508,93,601
"Judge, County Probate Court No. 2",0064,191,221,412,2141,19.24%,80,310,390
"Judge, County Probate Court No. 2",0065,172,230,402,2167,18.55%,90,290,380
"Judge, County Probate Court No. 2",0066,69,143,212,1098,19.31%,34,165,199
"Judge, County Probate Court No. 2",0067,304,282,586,2794,20.97%,154,389,543
"Judge, County Probate Court No. 2",0068,553,352,905,2924,30.95%,24,859,883
"Judge, County Probate Court No. 2",0069,80,124,204,1284,15.89%,39,151,190
"Judge, County Probate Court No. 2",0070,882,664,1546,3337,46.33%,925,497,1422
"Judge, County Probate Court No. 2",0071,602,722,1324,4197,31.55%,654,594,1248
"Judge, County Probate Court No. 2",0072,220,293,513,1924,26.66%,157,333,490
"Judge, County Probate Court No. 2",0073,252,414,666,1555,42.83%,380,232,612
"Judge, County Probate Court No. 2",0074,1153,782,1935,3583,54.01%,1539,313,1852
"Judge, County Probate Court No. 2",0075,254,280,534,1444,36.98%,200,301,501
"Judge, County Probate Court No. 2",0076,373,374,747,2362,31.63%,445,273,718
"Judge, County Probate Court No. 2",0077,43,46,89,566,15.72%,20,66,86
"Judge, County Probate Court No. 2",0078,180,201,381,1522,25.03%,134,228,362
"Judge, County Probate Court No. 2",0079,205,306,511,2927,17.46%,114,357,471
"Judge, County Probate Court No. 2",0080,501,351,852,2725,31.27%,212,597,809
"Judge, County Probate Court No. 2",0081,183,187,370,1835,20.16%,148,198,346
"Judge, County Probate Court No. 2",0082,639,671,1310,3368,38.90%,990,281,1271
"Judge, County Probate Court No. 2",0083,1296,888,2184,6625,32.97%,1074,1032,2106
"Judge, County Probate Court No. 2",0084,208,218,426,1373,31.03%,317,91,408
"Judge, County Probate Court No. 2",0085,271,248,519,2173,23.88%,24,486,510
"Judge, County Probate Court No. 2",0086,447,568,1015,2910,34.88%,462,495,957
"Judge, County Probate Court No. 2",0087,574,787,1461,2818,51.85%,948,409,1357
"Judge, County Probate Court No. 2",0088,123,118,241,693,34.78%,156,72,228
"Judge, County Probate Court No. 2",0089,165,371,536,1094,48.99%,316,174,490
"Judge, County Probate Court No. 2",0090,844,790,1634,3700,44.16%,1206,350,1556
"Judge, County Probate Court No. 2",0091,219,222,441,1505,29.30%,269,154,423
"Judge, County Probate Court No. 2",0092,695,462,1157,2242,51.61%,776,307,1083
"Judge, County Probate Court No. 2",0093,381,301,682,3356,20.32%,274,365,639
"Judge, County Probate Court No. 2",0094,51,43,94,549,17.12%,27,64,91
"Judge, County Probate Court No. 2",0095,917,576,1493,3177,46.99%,1100,327,1427
"Judge, County Probate Court No. 2",0096,83,83,166,1296,12.81%,24,141,165
"Judge, County Probate Court No. 2",0097,1024,725,1749,4828,36.23%,1306,379,1685
"Judge, County Probate Court No. 2",0098,403,488,891,2651,33.61%,749,111,860
"Judge, County Probate Court No. 2",0099,254,184,438,2092,20.94%,211,213,424
"Judge, County Probate Court No. 2",0100,155,173,338,1730,19.54%,181,150,331
"Judge, County Probate Court No. 2",0101,72,58,130,946,13.74%,47,80,127
"Judge, County Probate Court No. 2",0102,207,121,328,1872,17.52%,90,229,319
"Judge, County Probate Court No. 2",0103,700,714,1414,5371,26.33%,806,565,1371
"Judge, County Probate Court No. 2",0104,530,231,761,1905,39.95%,20,723,743
