Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0001,417,466,883,2358,37.45%,283,536,819
"Judge, County Probate Court No. 3",0002,333,313,646,1961,32.94%,265,338,603
"Judge, County Probate Court No. 3",0003,326,405,731,1560,46.86%,242,404,646
"Judge, County Probate Court No. 3",0004,369,487,856,1668,51.32%,276,499,775
"Judge, County Probate Court No. 3",0005,279,448,727,1417,51.31%,236,423,659
"Judge, County Probate Court No. 3",0006,656,456,1112,3702,30.04%,638,431,1069
"Judge, County Probate Court No. 3",0007,209,110,319,1017,31.37%,15,295,310
"Judge, County Probate Court No. 3",0008,393,310,703,1744,40.31%,356,316,672
"Judge, County Probate Court No. 3",0009,206,223,429,1874,22.89%,108,284,392
"Judge, County Probate Court No. 3",0010,255,171,426,1753,24.30%,124,267,391
"Judge, County Probate Court No. 3",0011,184,176,360,1785,20.17%,75,259,334
"Judge, County Probate Court No. 3",0012,86,66,152,735,20.68%,88,60,148
"Judge, County Probate Court No. 3",0013,548,361,909,2689,33.80%,648,211,859
"Judge, County Probate Court No. 3",0014,442,495,937,1870,50.11%,465,405,870
"Judge, County Probate Court No. 3",0015,597,898,1495,2878,51.95%,799,557,1356
"Judge, County Probate Court No. 3",0016,239,137,376,1071,35.11%,167,183,350
"Judge, County Probate Court No. 3",0017,185,215,400,1162,34.42%,172,200,372
"Judge, County Probate Court No. 3",0018,371,351,722,1443,50.03%,307,362,669
"Judge, County Probate Court No. 3",0019,170,207,377,1170,32.22%,115,237,352
"Judge, County Probate Court No. 3",0020,311,287,598,2646,22.60%,172,395,567
"Judge, County Probate Court No. 3",0021,176,184,360,1122,32.09%,72,270,342
"Judge, County Probate Court No. 3",0022,397,322,719,2473,29.07%,133,558,691
"Judge, County Probate Court No. 3",0023,31,22,53,541,9.80%,11,40,51
"Judge, County Probate Court No. 3",0024,106,88,194,655,29.62%,13,173,186
"Judge, County Probate Court No. 3",0025,104,143,247,1086,22.74%,13,228,241
"Judge, County Probate Court No. 3",0026,239,277,516,1845,27.97%,131,329,460
"Judge, County Probate Court No. 3",0027,463,427,890,3074,28.95%,215,625,840
"Judge, County Probate Court No. 3",0028,636,405,1041,3029,34.37%,664,320,984
"Judge, County Probate Court No. 3",0029,194,237,431,2638,16.34%,179,227,406
"Judge, County Probate Court No. 3",0030,368,391,759,2403,31.59%,198,523,721
"Judge, County Probate Court No. 3",0031,453,280,733,2511,29.19%,19,689,708
"Judge, County Probate Court No. 3",0032,318,405,723,2398,30.15%,281,385,666
"Judge, County Probate Court No. 3",0033,707,615,1322,3706,35.67%,417,809,1226
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0034,625,579,1204,2786,43.22%,267,869,1136
"Judge, County Probate Court No. 3",0035,4,0,4,11,36.36%,1,3,4
"Judge, County Probate Court No. 3",0036,416,318,734,2927,25.08%,202,490,692
"Judge, County Probate Court No. 3",0037,542,436,978,2106,46.44%,268,638,906
"Judge, County Probate Court No. 3",0038,784,589,1373,2875,47.76%,428,846,1274
"Judge, County Probate Court No. 3",0039,657,575,1232,2759,44.65%,284,859,1143
"Judge, County Probate Court No. 3",0040,136,152,288,541,53.23%,120,145,265
"Judge, County Probate Court No. 3",0041,176,230,406,1334,30.43%,162,230,392
"Judge, County Probate Court No. 3",0042,228,109,337,1071,31.47%,8,319,327
"Judge, County Probate Court No. 3",0043,293,210,503,1695,29.68%,270,208,478
"Judge, County Probate Court No. 3",0044,204,222,426,2001,21.29%,99,297,396
"Judge, County Probate Court No. 3",0045,894,750,1644,6698,24.54%,325,1272,1597
"Judge, County Probate Court No. 3",0046,290,247,537,2511,21.39%,96,410,506
"Judge, County Probate Court No. 3",0047,213,218,431,1627,26.49%,17,402,419
"Judge, County Probate Court No. 3",0048,157,142,299,940,31.81%,25,262,287
"Judge, County Probate Court No. 3",0049,584,482,1066,3343,31.89%,769,260,1029
"Judge, County Probate Court No. 3",0050,785,771,1556,5211,29.86%,854,646,1500
"Judge, County Probate Court No. 3",0051,353,243,596,1689,35.29%,445,132,577
