Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0001,417,466,883,2358,37.45%,287,504,48,839
"Judge, Court of Criminal Appeals, Place 3",0002,334,313,647,1961,32.99%,257,322,33,612
"Judge, Court of Criminal Appeals, Place 3",0003,326,405,731,1560,46.86%,249,383,40,672
"Judge, Court of Criminal Appeals, Place 3",0004,369,487,856,1668,51,32%,302,459,46,807
"Judge, Court of Criminal Appeals, Place 3",0005,280,448,728,1417,51,38%,244,393,41,678
"Judge, Court of Criminal Appeals, Place 3",0006,656,456,1112,3702,30.04%,611,418,52,1081
"Judge, Court of Criminal Appeals, Place 3",0007,209,110,319,1017,31.37%,12,296,2,310
"Judge, Court of Criminal Appeals, Place 3",0008,393,310,703,1744,40.31%,349,309,22,680
"Judge, Court of Criminal Appeals, Place 3",0009,206,223,429,1874,22.89%,111,268,19,398
"Judge, Court of Criminal Appeals, Place 3",0010,255,171,426,1753,24.30%,117,269,15,401
"Judge, Court of Criminal Appeals, Place 3",0011,184,176,360,1785,20.17%,68,264,6,338
"Judge, Court of Criminal Appeals, Place 3",0012,86,66,152,735,20.68%,82,61,5,148
"Judge, Court of Criminal Appeals, Place 3",0013,548,361,909,2689,33.80%,657,203,19,879
"Judge, Court of Criminal Appeals, Place 3",0014,442,495,937,1870,50.11%,496,376,23,895
"Judge, Court of Criminal Appeals, Place 3",0015,597,898,1495,2878,51.95%,875,476,32,1383
"Judge, Court of Criminal Appeals, Place 3",0016,243,137,380,1071,35.48%,162,177,22,361
"Judge, Court of Criminal Appeals, Place 3",0017,185,215,400,1162,34.42%,170,190,15,375
"Judge, Court of Criminal Appeals, Place 3",0018,371,351,722,1443,50.03%,324,323,37,684
"Judge, Court of Criminal Appeals, Place 3",0019,172,207,379,1170,32.39%,122,225,17,364
"Judge, Court of Criminal Appeals, Place 3",0020,313,287,600,2646,22.68%,166,382,30,578
"Judge, Court of Criminal Appeals, Place 3",0021,179,184,363,1122,32.35%,70,263,20,353
"Judge, Court of Criminal Appeals, Place 3",0022,397,322,719,2473,29.07%,137,550,15,702
"Judge, Court of Criminal Appeals, Place 3",0023,31,22,53,541,9.80%,8,42,1,51
"Judge, Court of Criminal Appeals, Place 3",0024,107,88,195,655,29.77%,13,169,8,190
"Judge, Court of Criminal Appeals, Place 3",0025,105,143,248,1086,22.84%,10,228,5,243
"Judge, Court of Criminal Appeals, Place 3",0026,241,277,518,1845,28.08%,135,324,17,476
"Judge, Court of Criminal Appeals, Place 3",0027,463,427,890,3074,28.95%,218,602,33,853
"Judge, Court of Criminal Appeals, Place 3",0028,637,405,1042,3029,34.40%,667,308,22,997
"Judge, Court of Criminal Appeals, Place 3",0029,194,237,431,2638,16.34%,168,227,18,413
"Judge, Court of Criminal Appeals, Place 3",0030,369,391,760,2403,31.63%,188,516,38,742
"Judge, Court of Criminal Appeals, Place 3",0031,455,280,735,2511,29.27%,17,690,5,712
"Judge, Court of Criminal Appeals, Place 3",0032,320,405,725,2398,30.23%,272,367,54,693
"Judge, Court of Criminal Appeals, Place 3",0033,709,615,1324,3706,35.73%,409,780,78,1267
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0034,626,579,1205,2786,43.25%,272,825,48,1145
"Judge, Court of Criminal Appeals, Place 3",0035,4,0,4,11,36.36%,1,3,0,4
"Judge, Court of Criminal Appeals, Place 3",0036,416,318,734,2927,25.08%,194,482,21,697
"Judge, Court of Criminal Appeals, Place 3",0037,542,436,978,2106,46.44%,271,610,42,923
"Judge, Court of Criminal Appeals, Place 3",0038,786,589,1375,2875,47.83%,448,799,53,1300
"Judge, Court of Criminal Appeals, Place 3",0039,659,575,1234,2759,44.73%,297,826,47,1170
"Judge, Court of Criminal Appeals, Place 3",0040,136,152,288,541,53.23%,140,118,12,270
"Judge, Court of Criminal Appeals, Place 3",0041,176,230,406,1334,30.43%,165,220,12,397
"Judge, Court of Criminal Appeals, Place 3",0042,228,109,337,1071,31.47%,6,317,3,326
"Judge, Court of Criminal Appeals, Place 3",0043,293,210,503,1695,29.68%,267,196,18,481
"Judge, Court of Criminal Appeals, Place 3",0044,204,222,426,2001,21.29%,90,299,16,405
"Judge, Court of Criminal Appeals, Place 3",0045,894,750,1644,6698,24.54%,318,1261,23,1602
"Judge, Court of Criminal Appeals, Place 3",0046,290,247,537,2511,21.39%,88,405,22,515
"Judge, Court of Criminal Appeals, Place 3",0047,213,218,431,1627,26.49%,16,397,9,422
"Judge, Court of Criminal Appeals, Place 3",0048,158,142,300,940,31.91%,23,270,4,297
"Judge, Court of Criminal Appeals, Place 3",0049,584,482,1066,3343,31.89%,777,241,23,1041
"Judge, Court of Criminal Appeals, Place 3",0050,785,771,1556,5211,29.86%,838,636,42,1516
"Judge, Court of Criminal Appeals, Place 3",0051,353,243,596,1689,35.29%,441,124,15,580
"Judge, Court of Criminal Appeals, Place 3",0052,422,447,869,2457,35.37%,394,394,33,821
"Judge, Court of Criminal Appeals, Place 3",0053,564,726,1290,2971,43.42%,511,634,74,1219
"Judge, Court of Criminal Appeals, Place 3",0054,270,364,634,1487,42.64%,315,257,29,601
"Judge, Court of Criminal Appeals, Place 3",0055,191,251,442,1506,29.35%,190,213,15,418
"Judge, Court of Criminal Appeals, Place 3",0056,282,278,560,1326,42.23%,369,146,21,536
"Judge, Court of Criminal Appeals, Place 3",0057,710,831,1541,3153,48.87%,583,788,74,1445
"Judge, Court of Criminal Appeals, Place 3",0058,470,556,1026,2690,38.14%,415,517,50,982
"Judge, Court of Criminal Appeals, Place 3",0059,555,609,1164,2544,45.75%,441,597,67,1105
"Judge, Court of Criminal Appeals, Place 3",0060,500,564,1064,2453,43.38%,243,705,55,1003
"Judge, Court of Criminal Appeals, Place 3",0061,172,204,376,1773,21.21,%,157,188,7,352
"Judge, Court of Criminal Appeals, Place 3",0062,145,322,467,2181,21.41%,122,312,10,444
"Judge, Court of Criminal Appeals, Place 3",0063,264,354,618,1826,33.84%,495,97,12,604
"Judge, Court of Criminal Appeals, Place 3",0064,191,221,412,2141,19.24%,88,293,12,393
"Judge, Court of Criminal Appeals, Place 3",0065,172,230,402,2167,18.55%,95,275,10,380
"Judge, Court of Criminal Appeals, Place 3",0066,69,143,212,1098,19.31%,36,159,6,201
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0067,304,282,586,2794,20.97%,166,377,14,557
"Judge, Court of Criminal Appeals, Place 3",0068,553,352,905,2924,30.95%,22,850,14,886
"Judge, Court of Criminal Appeals, Place 3",0069,80,124,204,1284,15.89%,42,145,5,192
"Judge, Court of Criminal Appeals, Place 3",0070,882,664,1546,3337,46.33%,899,506,54,1459
"Judge, Court of Criminal Appeals, Place 3",0071,602,722,1324,4197,31.55%,610,589,76,1275
"Judge, Court of Criminal Appeals, Place 3",0072,220,293,513,1924,26.66%,162,311,15,488
"Judge, Court of Criminal Appeals, Place 3",0073,252,414,666,1555,42.83%,364,230,26,620
"Judge, Court of Criminal Appeals, Place 3",0074,1153,782,1935,3583,54.01%,1506,322,34,1862
"Judge, Court of Criminal Appeals, Place 3",0075,254,280,534,1444,36.98%,198,281,27,506
"Judge, Court of Criminal Appeals, Place 3",0076,373,374,747,2362,31.63%,441,274,13,728
"Judge, Court of Criminal Appeals, Place 3",0077,43,46,89,566,15.72%,21,65,3,89
"Judge, Court of Criminal Appeals, Place 3",0078,181,201,382,1522,25.10%,131,213,18,362
"Judge, Court of Criminal Appeals, Place 3",0079,205,306,511,2927,17.46%,137,330,16,483
"Judge, Court of Criminal Appeals, Place 3",0080,501,351,852,2725,31.27%,211,589,15,815
"Judge, Court of Criminal Appeals, Place 3",0081,183,187,370,1835,20.16%,143,194,14,351
"Judge, Court of Criminal Appeals, Place 3",0082,639,671,1310,3368,38.90%,968,273,43,1284
"Judge, Court of Criminal Appeals, Place 3",0083,1298,888,2186,6625,33.00%,1054,1031,45,2130
"Judge, Court of Criminal Appeals, Place 3",0084,208,218,426,1373,31.03%,303,97,11,411
"Judge, Court of Criminal Appeals, Place 3",0085,271,248,519,2173,23.88%,21,480,8,509
