Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0001,417,466,883,2358,37.45%,316,140,187,643
"Judge, Court of Criminal Appeals, Place 4",0002,334,313,647,1961,32.99%,280,92,108,480
"Judge, Court of Criminal Appeals, Place 4",0003,326,405,731,1560,46.86%,273,115,151,539
"Judge, Court of Criminal Appeals, Place 4",0004,369,487,856,1668,51.32%,321,112,196,629
"Judge, Court of Criminal Appeals, Place 4",0005,280,448,728,1417,51.38%,271,99,175,545
"Judge, Court of Criminal Appeals, Place 4",0006,656,456,1112,3702,30.04%,654,128,91,873
"Judge, Court of Criminal Appeals, Place 4",0007,209,110,319,1017,31.37%,16,48,15,79
"Judge, Court of Criminal Appeals, Place 4",0008,393,310,703,1744,40.31%,386,60,107,553
"Judge, Court of Criminal Appeals, Place 4",0009,206,223,429,1874,22.89%,138,58,85,281
"Judge, Court of Criminal Appeals, Place 4",0010,255,171,426,1753,24.30%,135,39,58,232
"Judge, Court of Criminal Appeals, Place 4",0011,184,176,360,1785,20.17%,89,29,49,167
"Judge, Court of Criminal Appeals, Place 4",0012,86,66,152,735,20.68%,88,10,5,103
"Judge, Court of Criminal Appeals, Place 4",0013,548,361,909,2689,33.80%,670,46,49,765
"Judge, Court of Criminal Appeals, Place 4",0014,442,495,937,1870,50.11%,541,86,119,746
"Judge, Court of Criminal Appeals, Place 4",0015,597,898,1495,2878,51.95%,897,103,147,1147
"Judge, Court of Criminal Appeals, Place 4",0016,243,137,380,1071,35.48%,178,56,70,304
"Judge, Court of Criminal Appeals, Place 4",0017,185,215,400,1162,34.42%,190,43,55,288
"Judge, Court of Criminal Appeals, Place 4",0018,371,351,722,1443,50.03%,368,69,115,552
"Judge, Court of Criminal Appeals, Place 4",0019,172,207,379,1170,32.39%,129,69,86,284
"Judge, Court of Criminal Appeals, Place 4",0020,313,287,600,2646,22.68%,187,92,136,415
"Judge, Court of Criminal Appeals, Place 4",0021,179,184,363,1122,32.35%,80,71,78,229
"Judge, Court of Criminal Appeals, Place 4",0022,397,322,719,2473,29.07%,152,97,92,341
"Judge, Court of Criminal Appeals, Place 4",0023,31,22,53,541,9.80%,14,6,9,29
"Judge, Court of Criminal Appeals, Place 4",0024,107,88,195,655,29.77%,19,40,28,87
"Judge, Court of Criminal Appeals, Place 4",0025,105,143,248,1086,22.84%,19,18,23,60
"Judge, Court of Criminal Appeals, Place 4",0026,241,277,518,1845,28.08%,150,52,143,345
"Judge, Court of Criminal Appeals, Place 4",0027,463,427,890,3074,28.95%,248,108,214,570
"Judge, Court of Criminal Appeals, Place 4",0028,637,405,1042,3029,34.40%,704,63,44,811
"Judge, Court of Criminal Appeals, Place 4",0029,194,237,431,2638,16.34%,189,30,46,265
"Judge, Court of Criminal Appeals, Place 4",0030,369,391,760,2403,31.63%,220,125,129,474
"Judge, Court of Criminal Appeals, Place 4",0031,455,280,735,2511,29.27%,31,86,42,159
"Judge, Court of Criminal Appeals, Place 4",0032,320,405,725,2398,30.23%,304,138,131,573
"Judge, Court of Criminal Appeals, Place 4",0033,709,615,1324,3706,35.73%,460,217,327,1004
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0034,626,579,1205,2786,43.25%,306,219,348,873
"Judge, Court of Criminal Appeals, Place 4",0035,4,0,4,11,36.36%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 4",0036,416,318,734,2927,25.08%,224,89,94,407
"Judge, Court of Criminal Appeals, Place 4",0037,542,436,978,2106,46.44%,311,144,249,704
"Judge, Court of Criminal Appeals, Place 4",0038,786,589,1375,2875,47.83%,507,183,322,1012
"Judge, Court of Criminal Appeals, Place 4",0039,659,575,1234,2759,44.73%,336,209,354,899
"Judge, Court of Criminal Appeals, Place 4",0040,136,152,288,541,53.23%,145,28,39,212
"Judge, Court of Criminal Appeals, Place 4",0041,176,230,406,1334,30.43%,177,56,51,284
"Judge, Court of Criminal Appeals, Place 4",0042,228,109,337,1071,31.47%,9,35,25,69
"Judge, Court of Criminal Appeals, Place 4",0043,293,210,503,1695,29.68%,283,54,57,394
"Judge, Court of Criminal Appeals, Place 4",0044,204,222,426,2001,21.29%,110,53,83,246
"Judge, Court of Criminal Appeals, Place 4",0045,894,750,1644,6698,24.54%,394,202,188,784
"Judge, Court of Criminal Appeals, Place 4",0046,290,247,537,2511,21.39%,126,52,96,274
"Judge, Court of Criminal Appeals, Place 4",0047,213,218,431,1627,26.49%,26,51,37,114
"Judge, Court of Criminal Appeals, Place 4",0048,158,142,300,940,31.91%,34,39,32,105
"Judge, Court of Criminal Appeals, Place 4",0049,584,482,1066,3343,31.89%,792,70,56,918
"Judge, Court of Criminal Appeals, Place 4",0050,785,771,1556,5211,29.86%,887,175,148,1210
"Judge, Court of Criminal Appeals, Place 4",0051,353,243,596,1689,35.29%,456,34,30,520
"Judge, Court of Criminal Appeals, Place 4",0052,422,447,869,2457,35.37%,436,112,154,702
"Judge, Court of Criminal Appeals, Place 4",0053,564,726,1290,2971,43.42%,542,173,265,980
"Judge, Court of Criminal Appeals, Place 4",0054,270,364,634,1487,42.64%,338,83,100,521
"Judge, Court of Criminal Appeals, Place 4",0055,191,251,442,1506,29.35%,201,68,64,333
"Judge, Court of Criminal Appeals, Place 4",0056,282,278,560,1326,42.23%,381,53,45,479
"Judge, Court of Criminal Appeals, Place 4",0057,710,831,1541,3153,48.87%,666,187,332,1185
"Judge, Court of Criminal Appeals, Place 4",0058,470,556,1026,2690,38.14%,452,153,176,781
"Judge, Court of Criminal Appeals, Place 4",0059,555,609,1164,2544,45.75%,493,152,229,874
"Judge, Court of Criminal Appeals, Place 4",0060,500,564,1064,2453,43.38%,292,176,315,783
"Judge, Court of Criminal Appeals, Place 4",0061,172,204,376,1773,21.21%,165,30,38,233
"Judge, Court of Criminal Appeals, Place 4",0062,145,322,467,2181,21.41%,133,53,57,243
"Judge, Court of Criminal Appeals, Place 4",0063,264,354,618,1826,33.84%,501,32,16,549
"Judge, Court of Criminal Appeals, Place 4",0064,191,221,412,2141,19.24%,111,23,66,200
"Judge, Court of Criminal Appeals, Place 4",0065,172,230,402,2167,18.55%,116,34,68,218
"Judge, Court of Criminal Appeals, Place 4",0066,69,143,212,1098,19.31%,43,14,25,82
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0067,304,282,586,2794,20.97%,183,44,93,320
"Judge, Court of Criminal Appeals, Place 4",0068,553,352,905,2924,30.95%,32,107,75,214
"Judge, Court of Criminal Appeals, Place 4",0069,80,124,204,1284,15.89%,53,21,28,102
"Judge, Court of Criminal Appeals, Place 4",0070,882,664,1546,3337,46.33%,968,140,159,1267
"Judge, Court of Criminal Appeals, Place 4",0071,602,722,1324,4197,31.55%,656,209,195,1060
"Judge, Court of Criminal Appeals, Place 4",0072,220,293,513,1924,26.66%,188,43,80,311
"Judge, Court of Criminal Appeals, Place 4",0073,252,414,666,1555,42.83%,398,43,90,531
"Judge, Court of Criminal Appeals, Place 4",0074,1153,782,1935,3583,54.01%,1539,99,79,1717
"Judge, Court of Criminal Appeals, Place 4",0075,254,280,534,1444,36.98%,225,61,115,401
"Judge, Court of Criminal Appeals, Place 4",0076,373,374,747,2362,31.63%,482,51,60,593
"Judge, Court of Criminal Appeals, Place 4",0077,43,46,89,566,15.72%,22,17,10,49
"Judge, Court of Criminal Appeals, Place 4",0078,181,201,382,1522,25.10%,148,33,64,245
"Judge, Court of Criminal Appeals, Place 4",0079,205,306,511,2927,17.46%,150,38,84,272
"Judge, Court of Criminal Appeals, Place 4",0080,501,351,852,2725,31.27%,243,78,89,410
"Judge, Court of Criminal Appeals, Place 4",0081,183,187,370,1835,20.16%,163,26,31,220
"Judge, Court of Criminal Appeals, Place 4",0082,639,671,1310,3368,38.90%,992,98,60,1150
"Judge, Court of Criminal Appeals, Place 4",0083,1298,888,2186,6625,33.00%,1141,244,184,1569
"Judge, Court of Criminal Appeals, Place 4",0084,208,218,426,1373,31.03%,313,36,15,364
"Judge, Court of Criminal Appeals, Place 4",0085,271,248,519,2173,23.88%,38,84,78,200
"Judge, Court of Criminal Appeals, Place 4",0086,448,568,1016,2910,34.91%,495,133,168,796
"Judge, Court of Criminal Appeals, Place 4",0087,674,787,1461,2818,51.85%,974,84,114,1172
"Judge, Court of Criminal Appeals, Place 4",0088,123,118,241,693,34.78%,156,12,17,185
"Judge, Court of Criminal Appeals, Place 4",0089,165,371,536,1094,48.99%,320,47,54,421
"Judge, Court of Criminal Appeals, Place 4",0090,845,790,1635,3700,44.19%,1210,97,117,1424
"Judge, Court of Criminal Appeals, Place 4",0091,221,222,443,1505,29.44%,271,47,58,376
"Judge, Court of Criminal Appeals, Place 4",0092,695,462,1157,2242,51.61%,792,71,86,949
"Judge, Court of Criminal Appeals, Place 4",0093,381,301,682,3356,20.32%,297,47,57,401
"Judge, Court of Criminal Appeals, Place 4",0094,51,43,94,549,17.12%,34,5,15,54
"Judge, Court of Criminal Appeals, Place 4",0095,917,576,1493,3177,46.99%,1108,88,93,1289
"Judge, Court of Criminal Appeals, Place 4",0096,83,83,166,1296,12.81%,30,23,19,72
"Judge, Court of Criminal Appeals, Place 4",0097,1024,725,1749,4828,36.23%,1329,106,68,1503
"Judge, Court of Criminal Appeals, Place 4",0098,403,488,891,2651,33.61%,739,42,22,803
"Judge, Court of Criminal Appeals, Place 4",0099,254,184,438,2092,20.94%,221,40,29,290
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0100,155,173,338,1730,19.54%,188,28,19,235
"Judge, Court of Criminal Appeals, Place 4",0101,72,58,130,946,13.74%,49,24,11,84
"Judge, Court of Criminal Appeals, Place 4",0102,207,121,328,1872,17.52%,96,30,29,155
"Judge, Court of Criminal Appeals, Place 4",0103,700,714,1414,5371,26.33%,827,133,79,1039
"Judge, Court of Criminal Appeals, Place 4",0104,530,231,761,1905,39.95%,41,98,45,184
"Judge, Court of Criminal Appeals, Place 4",0105,195,210,406,2165,18.75%,149,30,49,228
"Judge, Court of Criminal Appeals, Place 4",0106,18,7,25,294,8.50%,18,0,2,20
"Judge, Court of Criminal Appeals, Place 4",0107,154,197,351,2032,17.27%,68,33,36,137
"Judge, Court of Criminal Appeals, Place 4",0108,558,272,940,3365,27.93%,588,71,50,709
"Judge, Court of Criminal Appeals, Place 4",0109,530,245,775,2824,27.44%,23,83,62,168
"Judge, Court of Criminal Appeals, Place 4",0110,554,494,1148,3042,37.74%,783,105,60,948
